OutPredict,Inferelator,GRNBoost,Genie3,GRISLI,GRNVBEM,LEAP,PIDC,PPCOR,SCODE,SCRIBE,SINCERITIES,Ensemble,set_name
0.04224376,0.028152771,0.023093279,0.023588353,0.011971627,0.010263992,0.024220928,0.035197133,0.012114538,0.013266551,0.011639898,0.012073879,0.054801218,dream3_100#1
0.145853564,0.121429857,0.074228616,0.084056674,0.017164973,0.012741637,0.070884768,0.064382694,0.0072,0.016509529,0.017588862,0.014542933,0.179866217,dream3_100#2
0.077446507,0.117346019,0.043782131,0.048058933,0.018398164,0.018567394,0.042536375,0.02643089,0.01357391,0.01908027,0.017572149,0.017731597,0.095304905,dream3_100#3
0.068620074,0.059760004,0.053419599,0.056050795,0.048371927,0.039673851,0.051618978,0.045012518,0.0177,0.043045691,0.037849869,0.046593554,0.067354848,dream3_100#4
0.073472799,0.091273189,0.0808388,0.080878725,0.047616049,0.059384313,0.079752237,0.083457659,0.038378687,0.057800704,0.060118551,0.062393937,0.07711461,dream3_100#5
0.028846895,0.024849359,0.021806306,0.026082921,0.017382902,0.02154943,0.017601471,0.018763757,0.0104,0.019105626,0.032143174,0.020481987,0.021163942,dream3_50#1
0.105445623,0.0930881,0.056160661,0.130898147,0.048176153,0.023885009,0.040698517,0.042669481,0.0164,0.033488421,0.034559174,0.036236623,0.122783813,dream3_50#2
0.1094932,0.058354722,0.075749429,0.167014475,0.035627412,0.029554397,0.072724577,0.055048612,0.049056576,0.035972493,0.036622929,0.033960859,0.078622405,dream3_50#3
0.058775341,0.074977059,0.056364484,0.083670128,0.053993148,0.047733697,0.051973341,0.05986594,0.036125771,0.040218972,0.047819573,0.047887064,0.068141634,dream3_50#4
0.068883532,0.083087568,0.067359065,0.069155144,0.062073914,0.059438378,0.05980899,0.078153328,0.064786964,0.043158041,0.046978992,0.072849889,0.064487167,dream3_50#5
0.041472943,0.040701591,0.039418415,0.044354949,0.018465512,0.023554064,0.037213447,0.055568611,0.0096,0.029715454,0.025544637,0.024348446,0.070253745,dream4_100#1
0.036679583,0.080863305,0.04150022,0.065689372,0.029838496,0.022968816,0.047242829,0.045984068,0.021315385,0.036585926,0.032717571,0.022466709,0.093393216,dream4_100#2
0.080352139,0.169054801,0.071336219,0.097953811,0.021974485,0.018345049,0.085420025,0.041491635,0.0096,0.01879067,0.029999665,0.020718906,0.207945993,dream4_100#3
0.072749127,0.048972217,0.05286352,0.072530257,0.027134113,0.020880928,0.041077896,0.040813632,0.014897788,0.0223972,0.020642965,0.022738229,0.150755563,dream4_100#4
0.144235389,0.189115275,0.091343364,0.089843711,0.025929101,0.014358162,0.126044009,0.022282344,0.0084,0.019444066,0.018171088,0.019186428,0.222680846,dream4_100#5
