	TS_0_0	TS_0_1	TS_0_2	TS_0_3	TS_0_4	TS_0_5	TS_0_6	TS_0_7	TS_0_8	TS_0_9	TS_0_10	TS_1_0	TS_1_1	TS_1_2	TS_1_3	TS_1_4	TS_1_5	TS_1_6	TS_1_7	TS_1_8	TS_1_9	TS_1_10	TS_2_0	TS_2_1	TS_2_2	TS_2_3	TS_2_4	TS_2_5	TS_2_6	TS_2_7	TS_2_8	TS_2_9	TS_2_10	TS_3_0	TS_3_1	TS_3_2	TS_3_3	TS_3_4	TS_3_5	TS_3_6	TS_3_7	TS_3_8	TS_3_9	TS_3_10	TS_4_0	TS_4_1	TS_4_2	TS_4_3	TS_4_4	TS_4_5	TS_4_6	TS_4_7	TS_4_8	TS_4_9	TS_4_10	TS_5_0	TS_5_1	TS_5_2	TS_5_3	TS_5_4	TS_5_5	TS_5_6	TS_5_7	TS_5_8	TS_5_9	TS_5_10	TS_6_0	TS_6_1	TS_6_2	TS_6_3	TS_6_4	TS_6_5	TS_6_6	TS_6_7	TS_6_8	TS_6_9	TS_6_10	TS_7_0	TS_7_1	TS_7_2	TS_7_3	TS_7_4	TS_7_5	TS_7_6	TS_7_7	TS_7_8	TS_7_9	TS_7_10	TS_8_0	TS_8_1	TS_8_2	TS_8_3	TS_8_4	TS_8_5	TS_8_6	TS_8_7	TS_8_8	TS_8_9	TS_8_10	TS_9_0	TS_9_1	TS_9_2	TS_9_3	TS_9_4	TS_9_5	TS_9_6	TS_9_7	TS_9_8	TS_9_9	TS_9_10
G1	0.2112613	0.2186199	0.2000663	0.1886664	0.1195618	0.1987774	0.1455883	0.2234781	0.2007745	0.1441182	0.1378332	0.1579714	0.1805321	0.138153	0.2110362	0.1723194	0.1397995	0.2301439	0.1624609	0.22353	0.1216084	0.2305747	0.162812	0.0862992	0.0577253	0.0496266	0.056105	0.0443211	0.172614	0.1934585	0.1969665	0.1842681	0.1866798	0.1710287	0.0435113	0.073014	0.0829302	0.1085463	0.0654854	0.2294906	0.2530707	0.1402152	0.2112347	0.21962	0.1643133	0.1723451	0.2789994	0.2571638	0.3075112	0.3752963	0.2742591	0.3431139	0.2011729	0.1950463	0.230119	0.1399746	0.2485083	0.3322127	0.4140903	0.3339504	0.3740367	0.1971223	0.226359	0.1885863	0.1143304	0.1760073	0.1443122	0.0471869	0.0200004	0.0413028	0.0595056	0.0206691	0.1463814	0.1573038	0.2193075	0.1980206	0.1605494	0.1594219	0.1341455	0.0876093	0.1696438	0.1155063	0.1538212	0.2509218	0.1771041	0.1837189	0.2098786	0.1962646	0.1499316	0.3414658	0.628777	0.5657682	0.5959974	0.723078	0.5082106	0.3231714	0.1949996	0.1631521	0.219772	0.1739123	0.1752449	0.1142708	0.1647876	0.155703	0.1411443	0.1703876	0.2015793	0.180843	0.1946523	0.1799014
G2	0.5737246	0.6630485	0.6305648	0.6258916	0.5822618	0.7278862	0.5997258	0.4966356	0.5665926	0.5646014	0.6193504	0.5265325	0.5740485	0.571226	0.6677874	0.6532044	0.615629	0.6801507	0.7177818	0.5626246	0.6216812	0.5550956	0.5793048	0.4731768	0.5312291	0.6154706	0.4772207	0.5584173	0.5752955	0.6677572	0.7077755	0.4892533	0.6171173	0.6054017	0.1218776	0.1154762	0.0976618	0.13282	0.1273722	0.6569784	0.7264258	0.5543385	0.6013455	0.722651	0.5162352	0.6808771	0.6025899	0.6436611	0.5258069	0.4503125	0.4272897	0.5616667	0.6308864	0.5737617	0.5856794	0.5376843	0.4786676	0.4697678	0.4980323	0.41039	0.3041909	0.5451557	0.5844494	0.5203176	0.5947114	0.5986292	0.5771908	0.0720741	0.1414002	0.0664378	0.082787	0.1519955	0.6190801	0.6043689	0.6490963	0.6288844	0.5956571	0.5918927	0.6912632	0.6265158	0.7099373	0.6728806	0.6452726	0.578274	0.5593017	0.5830832	0.6571054	0.6228223	0.6049395	0.515612	0.4194406	0.2635906	0.2993018	0.1670141	0.2134592	0.4587973	0.5384654	0.5674292	0.6630611	0.5640176	0.457259	0.3781591	0.399816	0.4088874	0.4168392	0.6084132	0.6242016	0.7000592	0.6945346	0.7564401
G3	0.7904755	0.6391124	0.5777497	0.5439938	0.5434169	0.6744518	0.8058057	0.5939416	0.5716471	0.7513964	0.6230378	0.70564	0.0636251	0.0473194	0.0353074	0.0401809	0.0146422	0.5646174	0.6664835	0.6261513	0.6446313	0.5354151	0.7064157	0.6896746	0.5245787	0.6758179	0.728249	0.6466732	0.6601705	0.5171385	0.6145399	0.6245773	0.624916	0.5637598	0.6667182	0.6674622	0.7096171	0.661464	0.5775141	0.5529953	0.6592892	0.6169188	0.5745268	0.7263327	0.5928435	0.3716329	0.2982075	0.3321742	0.2875223	0.3230912	0.5671342	0.6874964	0.6610113	0.6447076	0.6822133	0.685921	0.5134641	0.5567559	0.5395862	0.4859795	0.546513	0.5467914	0.6962911	0.605876	0.6511985	0.8400185	0.5625714	0.6126994	0.5060636	0.789686	0.6399206	0.5853416	0.818713	0.6059662	0.7696643	0.7333961	0.7003033	0.6686874	0.6536654	0.5225616	0.6342445	0.7567324	0.6869273	0.6428484	0.6789317	0.6170381	0.6257533	0.6224668	0.7357476	0.753628	0.6388852	0.3531762	0.4396105	0.3243528	0.3801639	0.4947451	0.7263007	0.6249442	0.7279845	0.7499045	0.7086637	0.5292377	0.6781112	0.6480217	0.6740879	0.6371828	0.6878226	0.605332	0.6452272	0.6445308
G4	0.670298	0.2617122	0.1413799	0.1381699	0.0403538	0.0731948	0.535185	0.6278792	0.6253927	0.5968954	0.6025021	0.6840288	0.720308	0.6486624	0.5833265	0.6840235	0.6153588	0.7178129	0.6609697	0.6054288	0.8432604	0.7288776	0.6081128	0.711482	0.6546828	0.5957502	0.593661	0.7907693	0.6308138	0.6240672	0.5693123	0.5938023	0.7132272	0.5520857	0.3355116	0.1935725	0.2234657	0.1914317	0.1899668	0.4893272	0.6787383	0.661475	0.541693	0.7369196	0.5446959	0.7755335	0.6237664	0.5836195	0.682793	0.6837453	0.7003267	0.7192502	0.8473565	0.7755604	0.6187602	0.6513756	0.5168985	0.5672068	0.5415344	0.5345578	0.6916307	0.6723068	0.7614254	0.574155	0.691669	0.688031	0.7593007	0.6706447	0.6701374	0.7061963	0.5959624	0.5749303	0.7416344	0.6289485	0.5544217	0.7252127	0.6821823	0.6581145	0.5271227	0.5781438	0.6495113	0.5240562	0.6701982	0.6219717	0.8313905	0.7075447	0.6146607	0.6742642	0.8550542	0.6691989	0.5916556	0.5840413	0.5606249	0.4468144	0.5425767	0.5957094	0.5810144	0.6117326	0.6728207	0.6100139	0.5579993	0.5748225	0.4597413	0.378529	0.395364	0.5914848	0.6883423	0.6222634	0.6850718	0.5586395
G5	0.0405351	0.1682192	0.2798358	0.187239	0.2494925	0.2838809	0.0489945	0.027513	0.033747	0.0202212	0.045322	0.0259137	0.0325758	0.0457342	0.0418671	0.0491483	0.0260839	0.0443	0.0373642	0.0268509	0.0362644	0.0388648	0.0445099	0.0616038	0.0424687	0.0574995	0.0521738	0.0541721	0.05191	0.0761179	0.0460166	0.0314707	0.0306099	0.0603117	0.0549142	0.0212807	0.0275721	0.0372693	0.0613579	0.0574006	0.0427214	0.0500517	0.0247822	0.0444762	0.0390294	0.0295349	0.064075	0.0304767	0.0521095	0.0581952	0.0507247	0.0503189	0.0495746	0.0318347	0.0476382	0.0360424	0.0979357	0.1228791	0.1403266	0.1436383	0.1958869	0.0528711	0.0229703	0.0425566	0.0384485	0.0557394	0.053711	0.0498381	0.0603659	0.0493458	0.0558704	0.0562356	0.0614079	0.0317786	0.040603	0.0288764	0.0637511	0.02595	0.0456742	0.050387	0.0334264	0.0510491	0.0401448	0.0695453	0.0840313	0.0363897	0.0373596	0.060863	0.0584471	0.0520768	0.0538745	0.1329015	0.0777303	0.0530045	0.0386907	0.0420814	0.0338181	0.0387052	0.0592653	0.0750166	0.0526575	0.0609318	0.0450312	0.0534124	0.0505103	0.0507338	0.0897665	0.0466828	0.0589669	0.0893425
G6	0.628246	0.6447642	0.6670482	0.6316629	0.718244	0.6665405	0.591863	0.6414604	0.6332873	0.6248069	0.8057057	0.6950144	0.630613	0.6733593	0.6919374	0.6059792	0.5383416	0.6729164	0.7870384	0.6321048	0.6337514	0.7949753	0.768964	0.1020785	0.0973979	0.0848669	0.0698642	0.0494612	0.659102	0.5697583	0.5753715	0.574863	0.7492336	0.5774515	0.6535939	0.6929	0.5964269	0.5731962	0.6486	0.6639942	0.6663532	0.5864002	0.6048121	0.7177009	0.644871	0.1594663	0.1206223	0.0939388	0.183993	0.1841614	0.5830907	0.6762563	0.5738135	0.7608345	0.6205822	0.7684129	0.6402835	0.7574975	0.5917593	0.7148971	0.6166693	0.4956619	0.5776354	0.749744	0.6442965	0.5585322	0.6365346	0.676028	0.6789173	0.678984	0.7300838	0.6729528	0.6937472	0.5534198	0.6951223	0.6467619	0.7319	0.677222	0.0520321	0.0194386	0.0185619	0.0253181	0.0266465	0.5966161	0.5599787	0.5701322	0.7691589	0.6739233	0.5921059	0.7045618	0.5949707	0.5875251	0.6907596	0.59172	0.7456409	0.5609027	0.6982829	0.7566372	0.5861194	0.6725207	0.47734	0.5374983	0.4025492	0.5016564	0.5581763	0.6335617	0.6978204	0.6863475	0.64276	0.6313081
G7	0.3952278	0.4817812	0.3352938	0.3075405	0.4265744	0.423954	0.3776604	0.2764902	0.3520824	0.4012343	0.4069518	0.3522093	0.5197156	0.3544064	0.4005422	0.440331	0.4350679	0.4669242	0.4603985	0.4582211	0.494225	0.4270966	0.3908968	0.3291423	0.1376459	0.1060198	0.1049528	0.0461546	0.2443662	0.3667458	0.3702401	0.3096856	0.4176804	0.3215198	0.5610483	0.581807	0.5595901	0.7416723	0.6398965	0.2902671	0.3822931	0.4047538	0.3231982	0.3539393	0.3891854	0.2820753	0.1714983	0.1619495	0.2651336	0.2353044	0.3219832	0.3159266	0.3520087	0.3813281	0.4921875	0.3724574	0.607358	0.6090356	0.6099187	0.5020516	0.7208885	0.3443977	0.3971739	0.4216658	0.3964325	0.4781145	0.3246487	0.3571814	0.3198812	0.3432837	0.3714662	0.4106339	0.4371242	0.4166054	0.3840037	0.3892612	0.3768811	0.3702291	0.2798738	0.1373446	0.0584994	0.0490381	0.0619562	0.2827936	0.3813129	0.3439066	0.3121356	0.3473728	0.3265593	0.4280294	0.3656416	0.4286695	0.4054004	0.3429548	0.4230163	0.4032033	0.3892953	0.3842986	0.5203444	0.3595912	0.5030609	0.5266708	0.581074	0.6178867	0.6823719	0.404333	0.2928413	0.2875885	0.330048	0.3825824
G8	0.3365727	0.2955091	0.2480692	0.2765149	0.4070518	0.2778623	0.3030084	0.2239958	0.3002295	0.2953571	0.2511198	0.2697263	0.3207088	0.2627168	0.2620177	0.286234	0.2542187	0.2532088	0.2781379	0.2191885	0.2894073	0.2853896	0.2785429	0.3950994	0.4120091	0.3918001	0.4502499	0.4015947	0.278052	0.3594025	0.333314	0.2706697	0.2728197	0.2917005	0.5300699	0.5482052	0.44901	0.5219099	0.5517532	0.3289503	0.2953421	0.2219927	0.2427984	0.2463514	0.2744189	0.1321798	0.050354	0.0149743	0.0129943	0.0123194	0.1401878	0.2275687	0.2760439	0.2367834	0.2365404	0.2324654	0.2497597	0.2965493	0.2240694	0.2083811	0.2352685	0.2070077	0.2186194	0.2466471	0.2966974	0.3037677	0.333214	0.3661403	0.5295649	0.6101585	0.5502429	0.5679565	0.3224029	0.2453054	0.2921592	0.2844881	0.2204165	0.2571697	0.2209968	0.1917748	0.2474018	0.2323264	0.2239897	0.1516654	0.2218942	0.2230713	0.2474633	0.3188924	0.3593371	0.2667311	0.1986797	0.1988471	0.1981611	0.1859395	0.1864298	0.1913285	0.206833	0.3886594	0.3954649	0.2883616	0.3147882	0.2154187	0.2579563	0.2129569	0.2249858	0.1517526	0.2042245	0.2349696	0.2116706	0.260519
G9	0.4268566	0.4878732	0.3874954	0.3396033	0.1961961	0.2997705	0.4909707	0.4059545	0.5106768	0.5448907	0.4567486	0.3603681	0.5770531	0.648985	0.6214649	0.6517088	0.6653171	0.5269609	0.5480598	0.4476754	0.4141732	0.3977395	0.3913632	0.3174252	0.2144949	0.1951271	0.2164877	0.2214595	0.2125131	0.300535	0.4105798	0.34705	0.3938385	0.4863962	0.4810053	0.2952229	0.5273545	0.4903496	0.4012303	0.4887373	0.4642618	0.4513092	0.4543825	0.4659179	0.4396633	0.486986	0.6421565	0.5237252	0.5636969	0.6020883	0.7099494	0.5074846	0.5684121	0.4944717	0.3733404	0.4345225	0.6122141	0.5062945	0.5953049	0.4263686	0.5647424	0.5380222	0.4296778	0.6193805	0.4672376	0.3568105	0.4453537	0.311784	0.2331172	0.1769858	0.2422225	0.1933366	0.1574928	0.358589	0.2959977	0.5362726	0.502994	0.4005516	0.3822808	0.3011964	0.3037125	0.244188	0.4244176	0.5519854	0.4184187	0.4717097	0.4259917	0.4010462	0.4750654	0.5207998	0.5612761	0.7216606	0.4797127	0.5868532	0.5242039	0.5559187	0.5533533	0.3731926	0.3678793	0.4805225	0.3272254	0.3967018	0.3650987	0.4854474	0.3627585	0.6127246	0.4182857	0.3119245	0.3445411	0.4492021
G10	0.1137926	0.1075505	0.0648969	0.0620421	0.1389593	0.0846453	0.109305	0.0678754	0.0537354	0.0659817	0.0565402	0.0880986	0.077915	0.1055174	0.082609	0.0658942	0.079139	0.0497106	0.0505545	0.0755295	0.0642855	0.0671296	0.0772938	0.0817506	0.1982132	0.2620877	0.2599403	0.2899728	0.2797332	0.1037758	0.041637	0.0620947	0.0684297	0.0944101	0.0155643	0.0184989	0.0121417	0.0212882	0.0111217	0.0768972	0.0858171	0.0569826	0.0729111	0.0544227	0.0900573	0.0085665	0.0054112	0.0035092	0.0107412	0.0010337	0.1135599	0.0530522	0.0630951	0.0547079	0.0596282	0.110597	0.0500276	0.0508737	0.0344513	0.0297615	0.03079	0.0647025	0.0604997	0.0358107	0.0842385	0.0746934	0.0861427	0.2121508	0.2127653	0.1576988	0.1931539	0.1335211	0.149599	0.0460184	0.0810356	0.0354864	0.052038	0.0962462	0.0156549	0.0151217	0.0052877	0.020703	0.0059151	0.1476116	0.0685126	0.0532053	0.0686363	0.102766	0.0718324	0.0196212	0.0050355	0.0020543	0.0096482	0.0012808	0.04333	0.0399767	0.0668074	0.0562638	0.0844768	0.0759443	0.0200126	0.0157724	0.0005492	0.015053	0.0038605	0.0737784	0.0736218	0.0637742	0.0565455	0.0974676
