isTs	is1stLast	prevCol	del.t	condName
TRUE	f	NA	NA	TS_0_0
TRUE	m	TS_0_0	100	TS_0_1
TRUE	m	TS_0_1	100	TS_0_2
TRUE	m	TS_0_2	100	TS_0_3
TRUE	m	TS_0_3	100	TS_0_4
TRUE	m	TS_0_4	100	TS_0_5
TRUE	m	TS_0_5	100	TS_0_6
TRUE	m	TS_0_6	100	TS_0_7
TRUE	m	TS_0_7	100	TS_0_8
TRUE	m	TS_0_8	100	TS_0_9
TRUE	l	TS_0_9	100	TS_0_10
TRUE	f	NA	NA	TS_1_0
TRUE	m	TS_1_0	100	TS_1_1
TRUE	m	TS_1_1	100	TS_1_2
TRUE	m	TS_1_2	100	TS_1_3
TRUE	m	TS_1_3	100	TS_1_4
TRUE	m	TS_1_4	100	TS_1_5
TRUE	m	TS_1_5	100	TS_1_6
TRUE	m	TS_1_6	100	TS_1_7
TRUE	m	TS_1_7	100	TS_1_8
TRUE	m	TS_1_8	100	TS_1_9
TRUE	l	TS_1_9	100	TS_1_10
TRUE	f	NA	NA	TS_2_0
TRUE	m	TS_2_0	100	TS_2_1
TRUE	m	TS_2_1	100	TS_2_2
TRUE	m	TS_2_2	100	TS_2_3
TRUE	m	TS_2_3	100	TS_2_4
TRUE	m	TS_2_4	100	TS_2_5
TRUE	m	TS_2_5	100	TS_2_6
TRUE	m	TS_2_6	100	TS_2_7
TRUE	m	TS_2_7	100	TS_2_8
TRUE	m	TS_2_8	100	TS_2_9
TRUE	l	TS_2_9	100	TS_2_10
TRUE	f	NA	NA	TS_3_0
TRUE	m	TS_3_0	100	TS_3_1
TRUE	m	TS_3_1	100	TS_3_2
TRUE	m	TS_3_2	100	TS_3_3
TRUE	m	TS_3_3	100	TS_3_4
TRUE	m	TS_3_4	100	TS_3_5
TRUE	m	TS_3_5	100	TS_3_6
TRUE	m	TS_3_6	100	TS_3_7
TRUE	m	TS_3_7	100	TS_3_8
TRUE	m	TS_3_8	100	TS_3_9
TRUE	l	TS_3_9	100	TS_3_10
TRUE	f	NA	NA	TS_4_0
TRUE	m	TS_4_0	100	TS_4_1
TRUE	m	TS_4_1	100	TS_4_2
TRUE	m	TS_4_2	100	TS_4_3
TRUE	m	TS_4_3	100	TS_4_4
TRUE	m	TS_4_4	100	TS_4_5
TRUE	m	TS_4_5	100	TS_4_6
TRUE	m	TS_4_6	100	TS_4_7
TRUE	m	TS_4_7	100	TS_4_8
TRUE	m	TS_4_8	100	TS_4_9
TRUE	l	TS_4_9	100	TS_4_10
TRUE	f	NA	NA	TS_5_0
TRUE	m	TS_5_0	100	TS_5_1
TRUE	m	TS_5_1	100	TS_5_2
TRUE	m	TS_5_2	100	TS_5_3
TRUE	m	TS_5_3	100	TS_5_4
TRUE	m	TS_5_4	100	TS_5_5
TRUE	m	TS_5_5	100	TS_5_6
TRUE	m	TS_5_6	100	TS_5_7
TRUE	m	TS_5_7	100	TS_5_8
TRUE	m	TS_5_8	100	TS_5_9
TRUE	l	TS_5_9	100	TS_5_10
TRUE	f	NA	NA	TS_6_0
TRUE	m	TS_6_0	100	TS_6_1
TRUE	m	TS_6_1	100	TS_6_2
TRUE	m	TS_6_2	100	TS_6_3
TRUE	m	TS_6_3	100	TS_6_4
TRUE	m	TS_6_4	100	TS_6_5
TRUE	m	TS_6_5	100	TS_6_6
TRUE	m	TS_6_6	100	TS_6_7
TRUE	m	TS_6_7	100	TS_6_8
TRUE	m	TS_6_8	100	TS_6_9
TRUE	l	TS_6_9	100	TS_6_10
TRUE	f	NA	NA	TS_7_0
TRUE	m	TS_7_0	100	TS_7_1
TRUE	m	TS_7_1	100	TS_7_2
TRUE	m	TS_7_2	100	TS_7_3
TRUE	m	TS_7_3	100	TS_7_4
TRUE	m	TS_7_4	100	TS_7_5
TRUE	m	TS_7_5	100	TS_7_6
TRUE	m	TS_7_6	100	TS_7_7
TRUE	m	TS_7_7	100	TS_7_8
TRUE	m	TS_7_8	100	TS_7_9
TRUE	l	TS_7_9	100	TS_7_10
TRUE	f	NA	NA	TS_8_0
TRUE	m	TS_8_0	100	TS_8_1
TRUE	m	TS_8_1	100	TS_8_2
TRUE	m	TS_8_2	100	TS_8_3
TRUE	m	TS_8_3	100	TS_8_4
TRUE	m	TS_8_4	100	TS_8_5
TRUE	m	TS_8_5	100	TS_8_6
TRUE	m	TS_8_6	100	TS_8_7
TRUE	m	TS_8_7	100	TS_8_8
TRUE	m	TS_8_8	100	TS_8_9
TRUE	l	TS_8_9	100	TS_8_10
TRUE	f	NA	NA	TS_9_0
TRUE	m	TS_9_0	100	TS_9_1
TRUE	m	TS_9_1	100	TS_9_2
TRUE	m	TS_9_2	100	TS_9_3
TRUE	m	TS_9_3	100	TS_9_4
TRUE	m	TS_9_4	100	TS_9_5
TRUE	m	TS_9_5	100	TS_9_6
TRUE	m	TS_9_6	100	TS_9_7
TRUE	m	TS_9_7	100	TS_9_8
TRUE	m	TS_9_8	100	TS_9_9
TRUE	l	TS_9_9	100	TS_9_10
