,TS_0_0,TS_0_1,TS_0_2,TS_0_3,TS_0_4,TS_0_5,TS_0_6,TS_0_7,TS_0_8,TS_0_9,TS_0_10,TS_1_0,TS_1_1,TS_1_2,TS_1_3,TS_1_4,TS_1_5,TS_1_6,TS_1_7,TS_1_8,TS_1_9,TS_1_10,TS_2_0,TS_2_1,TS_2_2,TS_2_3,TS_2_4,TS_2_5,TS_2_6,TS_2_7,TS_2_8,TS_2_9,TS_2_10,TS_3_0,TS_3_1,TS_3_2,TS_3_3,TS_3_4,TS_3_5,TS_3_6,TS_3_7,TS_3_8,TS_3_9,TS_3_10,TS_4_0,TS_4_1,TS_4_2,TS_4_3,TS_4_4,TS_4_5,TS_4_6,TS_4_7,TS_4_8,TS_4_9,TS_4_10,TS_5_0,TS_5_1,TS_5_2,TS_5_3,TS_5_4,TS_5_5,TS_5_6,TS_5_7,TS_5_8,TS_5_9,TS_5_10,TS_6_0,TS_6_1,TS_6_2,TS_6_3,TS_6_4,TS_6_5,TS_6_6,TS_6_7,TS_6_8,TS_6_9,TS_6_10,TS_7_0,TS_7_1,TS_7_2,TS_7_3,TS_7_4,TS_7_5,TS_7_6,TS_7_7,TS_7_8,TS_7_9,TS_7_10,TS_8_0,TS_8_1,TS_8_2,TS_8_3,TS_8_4,TS_8_5,TS_8_6,TS_8_7,TS_8_8,TS_8_9,TS_8_10,TS_9_0,TS_9_1,TS_9_2,TS_9_3,TS_9_4,TS_9_5,TS_9_6,TS_9_7,TS_9_8,TS_9_9,TS_9_10
G1,0.6533445,0.6191202,0.6284024,0.477913,0.4970344,0.3801541,0.6960748,0.678563,0.644222,0.6403334,0.6142275,0.6927998,0.7030653,0.6402068,0.5756694,0.7650165,0.7158688,0.5909066,0.5657899,0.6508095,0.6641189,0.8407921,0.7449919,0.4854239,0.4575306,0.4628737,0.4859698,0.4193081,0.6887866,0.7659641,0.7376819,0.6173925,0.7890049,0.7917573,0.7374695,0.7216087,0.7121219,0.6951308,0.641395,0.7258931,0.6685518,0.6738759,0.7854221,0.6883292,0.7721563,0.6581701,0.676659,0.5635029,0.6050329,0.6985404,0.6123811,0.5987174,0.7501217,0.7511448,0.7609562,0.6561544,0.5530679,0.6204509,0.8107428,0.5987806,0.5805591,0.6401184,0.5467241,0.6608534,0.6179615,0.6757337,0.6022508,0.5962187,0.7444207,0.6904489,0.7113089,0.6577275,0.6991363,0.7602519,0.6541275,0.5928628,0.6051222,0.7472062,0.3737015,0.4034104,0.324963,0.3907527,0.4879544,0.6646404,0.6143393,0.6050513,0.6563422,0.7133074,0.6824627,0.5097181,0.4148183,0.3807613,0.3948558,0.5178441,0.6443497,0.653572,0.5277185,0.6875393,0.6731912,0.7041185,0.6090719,0.7136037,0.6683066,0.7558424,0.6219844,0.5336026,0.590627,0.5811342,0.7188331,0.6082431
G2,0.671889,0.6623803,0.6640534,0.8426999,0.6484214,0.657317,0.6063519,0.6507878,0.6073902,0.6045376,0.6477462,0.5773499,0.7804665,0.6275624,0.583828,0.4853559,0.8004413,0.724191,0.6911716,0.8102512,0.6651621,0.6754479,0.6644508,0.587765,0.6233486,0.5322991,0.5466329,0.7360805,0.562261,0.6983599,0.586432,0.6012221,0.6366197,0.5847646,0.5915494,0.6503267,0.6425927,0.6837488,0.6868047,0.6684604,0.651618,0.6810804,0.622055,0.5447854,0.5513669,0.6501606,0.6041462,0.7432626,0.5411038,0.6595916,0.6916363,0.6498932,0.629094,0.6299076,0.6967378,0.8273438,0.6235049,0.5981002,0.8162368,0.7865402,0.5771,0.6425953,0.7249,0.7688172,0.625511,0.603187,0.6901641,0.7049517,0.6003572,0.6678223,0.6128064,0.6326824,0.5993146,0.6760385,0.5745966,0.6698498,0.7000505,0.6885758,0.6348058,0.5860893,0.556496,0.6161715,0.7449426,0.5925374,0.8038288,0.5719889,0.6743569,0.6428507,0.6474065,0.6320961,0.4981634,0.5625439,0.4962135,0.4944777,0.5961497,0.7605355,0.6466644,0.5678103,0.5797242,0.7105748,0.6063887,0.6023938,0.6394543,0.6692696,0.6594838,0.7240572,0.628647,0.8252196,0.6291029,0.5806291
G3,0.4073391,0.39376,0.3672653,0.4146684,0.389769,0.5060258,0.4334425,0.3240997,0.3650092,0.4224237,0.2925535,0.3659931,0.5790429,0.5710694,0.6773655,0.5963231,0.5372432,0.4407662,0.4624633,0.429882,0.3752743,0.4138157,0.4943583,0.4042447,0.4397913,0.3988728,0.4923362,0.4015734,0.4387242,0.392441,0.3755581,0.4347586,0.544069,0.4235793,0.2947062,0.3156986,0.3663005,0.443193,0.361581,0.4619215,0.404136,0.4097842,0.3824862,0.4864182,0.4315839,0.5590215,0.4557898,0.4801913,0.5043041,0.5004257,0.3835264,0.3637973,0.3656501,0.3394357,0.3566668,0.4331416,0.3435971,0.2039721,0.3367676,0.2527472,0.2634698,0.3864606,0.4623421,0.4303608,0.3881915,0.4250936,0.44161,0.4937989,0.4075687,0.3851694,0.3594107,0.416249,0.4624211,0.4316006,0.5015769,0.47506,0.4471653,0.4054043,0.5251788,0.4158485,0.4433104,0.4397442,0.3592971,0.4129671,0.3741167,0.4212825,0.4202663,0.4347781,0.4287518,0.3668677,0.3889764,0.5105898,0.4302799,0.4160403,0.5111575,0.3646178,0.3598727,0.4003186,0.3100931,0.3311859,0.3543169,0.3708006,0.3745087,0.364216,0.3596454,0.4368753,0.3969086,0.3924404,0.4729666,0.4732587
G4,0.6551602,0.6208024,0.6869174,0.7801562,0.6927673,0.7746895,0.563514,0.7334602,0.630881,0.6170062,0.6607585,0.7238389,0.5896226,0.6040446,0.5544962,0.6194264,0.6259527,0.6349008,0.7340955,0.5909747,0.6414298,0.5981558,0.7439943,0.5922826,0.6896745,0.681869,0.6611449,0.6751463,0.655677,0.739678,0.6376432,0.815858,0.7127352,0.6243856,0.687731,0.7199742,0.7030489,0.6003878,0.6802945,0.6993048,0.6000147,0.575764,0.6721987,0.594871,0.7521785,0.7198157,0.837711,0.7280811,0.7340134,0.7214723,0.733799,0.6440066,0.8087512,0.6004523,0.6917909,0.6731407,0.7767148,0.6847511,0.7479506,0.608425,0.6836056,0.652395,0.6900829,0.6782093,0.5616091,0.5427091,0.5860908,0.5587679,0.6739799,0.5748937,0.7826076,0.6142942,0.6674118,0.6323338,0.5938751,0.7597718,0.6547536,0.677798,0.7655893,0.6698286,0.8788456,0.7469725,0.7252916,0.6043361,0.5364791,0.7151806,0.5465194,0.5975522,0.6547107,0.6207954,0.6878936,0.7171567,0.6500614,0.6814281,0.753187,0.6417726,0.6090799,0.7409416,0.5247748,0.6612273,0.5610842,0.6752667,0.7861323,0.5484349,0.6845386,0.6228306,0.6422713,0.758983,0.6538229,0.6486382
G5,0.2450828,0.1661086,0.2918166,0.2297718,0.0686285,0.0778204,0.1583806,0.3059611,0.3103827,0.1487224,0.0988368,0.2099878,0.4948688,0.4296092,0.4387597,0.3865029,0.583492,0.2709407,0.1142575,0.2275083,0.1743401,0.152556,0.2476785,0.2667165,0.2577651,0.3002607,0.3384835,0.2649272,0.2706583,0.1667765,0.2354453,0.2584039,0.1715741,0.2518396,0.121493,0.0825249,0.0653126,0.0891721,0.1291671,0.1927874,0.0740883,0.0154183,0.2211725,0.1322977,0.2912495,0.4111148,0.3476075,0.1373434,0.269125,0.1968389,0.2742948,0.0534395,0.0469114,0.2219049,0.3114375,0.1998436,0.3988834,0.1029275,0.0535844,0.0821076,0.041833,0.103764,0.2422626,0.2507807,0.1753454,0.210415,0.249286,0.3101952,0.1801804,0.1659883,0.2716941,0.0977809,0.2301054,0.2926505,0.1917095,0.1918371,0.0926058,0.2440991,0.5647247,0.5633662,0.5899658,0.7476513,0.6626007,0.2936883,0.3201219,0.3706775,0.2076101,0.232564,0.2584007,0.0954622,0.1034679,0.2322632,0.1467702,0.2112212,0.1105436,0.203542,0.458195,0.223544,0.23058,0.2155217,0.2884701,0.0814111,0.1204335,0.2457428,0.1357878,0.2070364,0.2124989,0.296198,0.2933009,0.1804687
G6,0.2034877,0.2857651,0.373729,0.2452623,0.2447784,0.0779468,0.1979231,0.2479871,0.3078151,0.2303824,0.1504248,0.2185088,0.3985527,0.4173796,0.4453579,0.4332861,0.3704107,0.4797666,0.2029547,0.188823,0.1620676,0.1809811,0.2431227,0.2319425,0.242339,0.1922402,0.3295619,0.2819681,0.3334834,0.3424981,0.3055474,0.2513559,0.1403151,0.3106019,0.2227638,0.1259973,0.1004665,0.0880039,0.2095811,0.2035862,0.1502168,0.1107245,0.1889412,0.2100529,0.2139425,0.4484836,0.4003488,0.335962,0.2736874,0.2533792,0.2679749,0.2106511,0.1220443,0.2239457,0.2938846,0.2369364,0.349103,0.2806464,0.1754647,0.0761993,0.0978451,0.0962192,0.2060636,0.1434719,0.2255702,0.2237297,0.2142844,0.3007968,0.1653975,0.200409,0.2092908,0.2351093,0.2069791,0.2678673,0.3867265,0.2406318,0.2429573,0.2203487,0.507917,0.4945275,0.4241097,0.4889978,0.4697789,0.3849439,0.3669126,0.3512755,0.3829699,0.3167632,0.2486008,0.1979972,0.0972577,0.1566343,0.2157721,0.1670032,0.2357722,0.1809177,0.4345358,0.2532797,0.3299734,0.2146607,0.4401639,0.3805211,0.3825063,0.4820532,0.4768102,0.2091006,0.2734009,0.406406,0.3176449,0.237771
G7,0.0090195,0.0143208,0.0120217,0.0016263,0.0029272,0.0063588,0.0087857,0.0030961,0.0066549,0.0080106,0.0058924,0.0085143,0.0366428,0.0053816,0.0088852,0.022745,0.0154526,0.0274698,0.01147,0.0064177,0.0137748,0.0089484,0.0275049,0.0159729,0.0254214,0.0084439,0.0172873,0.0247089,0.0103139,0.0069465,0.010036,0.0173552,0.0073869,0.0090389,0.0037714,0.0003299,0.000936,0.0011427,0.0005693,0.00622,0.0023367,0.0045429,0.0063781,0.0140742,0.0122396,0.0059027,0.0027064,0.0100146,0.0111864,0.0047923,0.0034604,0.0048954,0.0081668,0.0051401,0.0109143,0.0057581,0.0049318,0.0010703,0.0003887,0.0011002,0.0002508,0.0054903,0.0073294,0.0116076,0.0108436,0.0091488,0.0180175,0.0144123,0.0130957,0.0041296,0.00885,0.0032897,0.013854,0.0177903,0.0141686,0.0335598,0.0147119,0.004427,0.0248103,0.0197919,0.0055702,0.0132042,0.0067387,0.0326176,0.015927,0.0048705,0.0263977,0.0101465,0.0075033,0.0147946,0.0047329,0.018094,0.0126497,0.0188486,0.0084797,0.031775,0.0031714,0.0104681,0.0120143,0.0065998,0.003881,0.0025458,0.0052131,0.0048503,0.0030897,0.0049976,0.0158937,0.0153029,0.0118417,0.0098071
G8,0.2449148,0.3122484,0.1995578,0.1337304,0.2279027,0.2614997,0.2658098,0.2062838,0.1897802,0.4076263,0.1849413,0.2309931,0.4186904,0.3377904,0.2789985,0.388356,0.3116963,0.299455,0.4000729,0.2913467,0.2772652,0.2633271,0.3138907,0.2861616,0.3397978,0.3576371,0.2638198,0.1997513,0.2311814,0.2314683,0.2488056,0.2643597,0.2253524,0.1801578,0.3502108,0.2871514,0.2418656,0.1949097,0.0997401,0.137638,0.2469544,0.2412385,0.4044609,0.3082646,0.1770606,0.1894508,0.1018928,0.3000074,0.2397735,0.2437477,0.2790531,0.2374144,0.2948901,0.2415608,0.3183696,0.2251509,0.0523239,0.0309227,0.0663679,0.0333286,0.0306071,0.2506903,0.2364398,0.2066654,0.2037507,0.3151648,0.1981864,0.2906539,0.3232289,0.2109573,0.1674606,0.1963282,0.3319001,0.2148344,0.2009221,0.3160585,0.2587078,0.2189188,0.0553297,0.0541721,0.0500726,0.0554215,0.0658983,0.2884764,0.1958532,0.2859011,0.3373317,0.3453184,0.1770308,0.2944245,0.2597255,0.2138074,0.1609948,0.1773117,0.2191629,0.160637,0.2048271,0.2555779,0.2167136,0.1610039,0.1095166,0.0604994,0.1035959,0.1105735,0.0976939,0.3158681,0.3107664,0.3330641,0.2489838,0.2472
G9,0.0152203,0.0145444,0.0120734,0.0050787,0.0080712,0.0097137,0.0149296,0.0210103,0.0186177,0.0290274,0.010001,0.0265473,0.0183914,0.0079009,0.0179113,0.0335299,0.0163188,0.0129532,0.001658,0.0037558,0.0204236,0.0045603,0.0121056,0.0079714,0.0027861,0.0170141,0.0073958,0.0267343,0.0105123,0.0250979,0.0263446,0.0077483,0.0144066,0.0212349,0.0185511,0.0326716,0.02238,0.0336085,0.0190945,0.0217072,0.004979,0.0164415,0.0045279,0.0188249,0.0365057,0.01944,0.010397,0.0182634,0.0160713,0.0169756,0.0176504,0.0099676,0.0146869,0.0184126,0.0098731,0.0103832,0.0244909,0.0133031,0.0198425,0.0272257,0.0101101,0.017389,0.0097416,0.0119549,0.0112798,0.0117996,0.0138269,0.0149663,0.0102257,0.0101082,0.0149886,0.0208131,0.0252693,0.0084979,0.0234672,0.0068634,0.0122288,0.0123281,0.0383846,0.0073013,0.0105867,0.0213245,0.0084114,0.0359847,0.0046122,0.0126854,0.0065444,0.0101014,0.0194811,0.0011666,0.0240237,0.0143161,0.0518359,0.0164137,0.0313495,0.0457506,0.0181549,0.022122,0.0130917,0.0088768,0.0100157,0.0093494,0.013265,0.0166263,0.0023423,0.0151803,0.019256,0.0263419,0.0211382,0.0101109
G10,0.2738476,0.3928414,0.4834234,0.2111393,0.4859927,0.578442,0.6482327,0.3282183,0.4069265,0.5867531,0.3520652,0.3081664,0.4775505,0.3684125,0.4754217,0.5223466,0.4077393,0.4894639,0.5330919,0.5787971,0.5199992,0.4198514,0.3900458,0.4001636,0.4898462,0.4678689,0.536708,0.4867309,0.4330555,0.4335972,0.3962631,0.3710139,0.3033223,0.3426971,0.5885114,0.4858573,0.2083165,0.3940257,0.2669897,0.2979898,0.5736665,0.4974987,0.5481117,0.4634852,0.3411315,0.3577882,0.2926439,0.518973,0.597282,0.3789008,0.4702668,0.5999575,0.5469194,0.5201359,0.4948556,0.3168074,0.2378125,0.2955839,0.2379588,0.1093331,0.2011771,0.35395,0.4684677,0.5596773,0.530762,0.3846905,0.3182565,0.7084683,0.7455224,0.6303091,0.6074059,0.6233851,0.4180326,0.4982687,0.3948272,0.5439931,0.4627637,0.3451489,0.3124917,0.3359311,0.3962768,0.3727668,0.3693501,0.3949233,0.2679222,0.5000251,0.5789929,0.4113864,0.3302976,0.7127398,0.6048488,0.350317,0.2470639,0.3704389,0.3789181,0.3803149,0.3856391,0.3878471,0.4716582,0.3504149,0.6342189,0.6280401,0.7252478,0.6260482,0.9006243,0.5382955,0.564676,0.574478,0.6015078,0.4614197
