"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.1197837	0.6437697	0.6930911	0.0786431	0.4596261	0.2563661	0.4758480	0.7600745	0.7117506	0.4862143	0.0015148	0.5396868	0.5917128	0.6182655	0.8273799	0.0579008	0.7732067	0.0611507	0.6767021	0.5562901	0.6993429	0.0069779	0.0294030	0.3654204	0.0575496	0.8543923	0.5170906	0.0190735	0.4618697	0.7448293	0.5635077	0.0764998	0.2890792	0.4390101	0.2065141	0.7381873	0.0201969	0.5463818	0.6013900	0.6112729	0.0347296	0.7518805	0.6206807	0.0755113	0.5712714	0.6787521	0.0154912	0.5628553	0.5604170	0.7111335	0.5211424	0.4326668	0.6893110	0.6549493	0.5918437	0.6045751	0.5223366	0.1977320	0.4268396	0.6037612	0.0406158	0.2735338	0.4318328	0.0363361	0.5197310	0.6470973	0.5067418	0.0000534	0.7119486	0.0781122	0.0003488	0.6539846	0.8165900	0.0633240	0.6480767	0.2525557	0.4918260	0.3507056	0.0013380	0.0134658	0.0211822	0.1307237	0.7435292	0.5614706	0.6924411	0.3329547	0.8015432	0.2505901	0.0484930	0.0001506	0.6619364	0.3116182	0.0091365	0.3305421	0.4434277	0.6282126	0.5731212	0.8479606	0.0287893	0.3761559
100	0.0288107	0.5659699	0.4059076	0.0771511	0.5062257	0.0215228	0.4073093	0.5370774	0.6291965	0.5383150	0.0000640	0.5204672	0.5773775	0.7016934	0.7045188	0.0679022	0.6304970	0.0892653	0.7531442	0.3814731	0.6014095	0.0002665	0.0453662	0.4251584	0.0279226	0.5415699	0.5731243	0.1441862	0.5296567	0.3204155	0.6264632	0.0000479	0.0498851	0.2245523	0.2427306	0.0703244	0.0074045	0.4751018	0.6753850	0.6310487	0.5871404	0.6022995	0.6430763	0.2435664	0.5146388	0.4985238	0.0020624	0.6992760	0.3895480	0.0683751	0.5552711	0.6526114	0.5810649	0.1675542	0.3934797	0.4853149	0.5987843	0.1277015	0.4412197	0.6194516	0.1641515	0.2488125	0.3676893	0.0314304	0.6350434	0.5383852	0.5668450	0.0001414	0.6520111	0.0869858	0.0044940	0.9034744	0.7241498	0.0452422	0.6744120	0.2954240	0.5272627	0.4430327	0.0102574	0.3257058	0.0104950	0.3599362	0.5249497	0.5188812	0.7470692	0.4683300	0.6929749	0.1769153	0.0336169	0.0182436	0.6635783	0.5816553	0.0251171	0.0934472	0.5645294	0.6598946	0.6193407	0.6914029	0.0262763	0.3893938
200	0.0018122	0.6848322	0.4009053	0.0268560	0.5357921	0.0193341	0.4704994	0.4511326	0.6304827	0.4716044	0.0045442	0.5824920	0.6352495	0.5839520	0.5783073	0.0766487	0.5878599	0.0575107	0.7104390	0.3912207	0.6352742	0.0004607	0.0397974	0.3020502	0.0056040	0.6842161	0.6458225	0.1527864	0.2615224	0.2586525	0.5081819	0.0000396	0.0419002	0.0791226	0.3285555	0.0211777	0.0075105	0.4312706	0.6137803	0.5879619	0.5806025	0.6808812	0.5809474	0.3695984	0.6784529	0.3849386	0.0001071	0.6045017	0.5333624	0.0046094	0.5021258	0.6190912	0.6992273	0.0793533	0.3429303	0.1846345	0.6307633	0.1821878	0.4426894	0.4854088	0.1381589	0.1987650	0.6409297	0.0210242	0.5911575	0.5353196	0.5774502	0.0000133	0.7118000	0.0855155	0.0364241	0.5606293	0.7700356	0.0849921	0.5754315	0.2770811	0.4672952	0.3320135	0.0039642	0.4454528	0.0144682	0.3684093	0.1355322	0.4188465	0.5861767	0.5506426	0.6791584	0.2156862	0.0512506	0.0442122	0.7066899	0.4880733	0.0118453	0.0639016	0.7865867	0.5792383	0.5817988	0.6561121	0.0223775	0.3890624
300	0.0031437	0.6355542	0.3661548	0.0134258	0.3477667	0.0828447	0.6154495	0.4290412	0.5993717	0.5947495	0.0001623	0.6564954	0.5901965	0.5214758	0.6656838	0.0928082	0.7070326	0.0613578	0.6719531	0.4563844	0.7296874	0.0003176	0.0793997	0.3617900	0.0003295	0.5704075	0.5295915	0.1210618	0.4269781	0.2569765	0.4401839	0.0000000	0.2282402	0.0569308	0.1278355	0.0246984	0.0076098	0.5230614	0.6079279	0.7146849	0.6679405	0.7241921	0.6360392	0.3338960	0.3223033	0.4752134	0.0001415	0.5374559	0.5775476	0.0179976	0.5210808	0.5623127	0.6835167	0.1158734	0.3149156	0.1138527	0.6151639	0.1057900	0.3948439	0.4668167	0.1752892	0.2604956	0.6384460	0.0231449	0.6066671	0.5577802	0.4930820	0.0000021	0.6750134	0.0976918	0.1020848	0.7265052	0.6738495	0.0672317	0.7422036	0.2985248	0.3711865	0.2782131	0.0009788	0.3450919	0.0226053	0.4043982	0.3759189	0.3097714	0.5171652	0.3953673	0.6933447	0.2079780	0.0455609	0.0347192	0.7156068	0.6058182	0.0080534	0.0821745	0.7666086	0.5079150	0.5661276	0.6814558	0.0332719	0.3860943
400	0.0038333	0.5568815	0.2971646	0.0074749	0.3960718	0.1032499	0.6734500	0.3031792	0.7362916	0.5762968	0.0063091	0.5820601	0.6382590	0.5095246	0.3954793	0.0786142	0.5747093	0.0418171	0.5532991	0.6243951	0.6103999	0.0123473	0.0464593	0.3089971	0.0004318	0.5832812	0.5587512	0.1486870	0.5048304	0.2743659	0.4606571	0.0000081	0.3111594	0.0920954	0.1738834	0.0102496	0.0254743	0.4089234	0.7163352	0.7896673	0.5772470	0.6525621	0.7145140	0.3663239	0.3847046	0.4361795	0.0004929	0.6535172	0.4837975	0.0307620	0.5295071	0.7312332	0.6486199	0.1219353	0.3383056	0.1431819	0.6332087	0.0406155	0.3548486	0.4365300	0.1292749	0.2128218	0.5493431	0.0269917	0.5321291	0.6119777	0.5364005	0.0001590	0.6624147	0.0246656	0.1165925	0.6306231	0.5958693	0.0662659	0.6357497	0.2022224	0.4031655	0.3656475	0.0058046	0.3247165	0.0039344	0.3528215	0.4967208	0.2012879	0.4912954	0.4432365	0.5659904	0.1918836	0.0350148	0.0175431	0.7562465	0.6017771	0.0118315	0.0437187	0.6658167	0.6366381	0.6526425	0.6691791	0.0100871	0.3575735
500	0.0009943	0.6559036	0.4944235	0.0052124	0.3710013	0.0832647	0.6694253	0.3374812	0.6996510	0.6811013	0.0003876	0.5656011	0.5944201	0.6188919	0.6233966	0.0622822	0.6793595	0.0447339	0.7162841	0.4804909	0.6350394	0.0002572	0.0424293	0.4518872	0.0028437	0.5442019	0.5434369	0.2514934	0.4653801	0.3034633	0.4891258	0.0000010	0.2466904	0.0658432	0.1026602	0.0067144	0.0054403	0.5393606	0.5820411	0.6470370	0.6113549	0.7897578	0.6138280	0.2948754	0.4297948	0.4993885	0.0051181	0.5662203	0.4628599	0.0145860	0.5392247	0.7741572	0.6066607	0.0815601	0.4477216	0.1397654	0.7049915	0.1079474	0.3738898	0.3828146	0.1369021	0.2931071	0.6497689	0.0340867	0.7656549	0.7153469	0.4432612	0.0000497	0.8154099	0.0557512	0.1072025	0.5946158	0.6789609	0.0796306	0.5671695	0.3299887	0.5313983	0.3416715	0.0112391	0.4228709	0.0189002	0.3814088	0.5912757	0.2336299	0.5757494	0.4382212	0.7201503	0.1954840	0.0240902	0.0384915	0.6588589	0.5830628	0.0259221	0.0699137	0.5772839	0.6774339	0.6402913	0.6752880	0.0152134	0.4599685
600	0.0673038	0.6042903	0.7076385	0.0336973	0.2102116	0.6280690	0.6155671	0.5498233	0.7010338	0.7053429	0.0002181	0.5581901	0.5955560	0.6768222	0.6109042	0.0864487	0.7476996	0.0488257	0.6553202	0.4166325	0.5123287	0.0143632	0.0364791	0.3479956	0.0230406	0.6226749	0.5696274	0.0061097	0.5378936	0.6638799	0.6595752	0.0497661	0.2560522	0.1727788	0.1548561	0.4880042	0.0178093	0.6429178	0.6565649	0.6386318	0.3043033	0.5638907	0.6732612	0.1012583	0.5427726	0.5634819	0.0129830	0.5335523	0.4871310	0.5064708	0.4170201	0.3314770	0.6502277	0.5837755	0.5586309	0.4498875	0.5637268	0.0881800	0.3128120	0.6233053	0.0158265	0.3671430	0.4975016	0.0509974	0.7202403	0.6927838	0.4476034	0.0000010	0.7002548	0.1406748	0.0150142	0.6404172	0.6237001	0.0803323	0.6393020	0.2210068	0.4007367	0.3129093	0.0032735	0.0767454	0.0066021	0.4158017	0.6071485	0.4466215	0.4695716	0.2591117	0.7124831	0.2801791	0.0326140	0.0061112	0.7134226	0.5737723	0.0043338	0.3150799	0.3791110	0.5715402	0.6879320	0.6342069	0.0564390	0.2528088
700	0.1399230	0.6566563	0.7135912	0.0492918	0.3364633	0.5906585	0.6496784	0.6298316	0.7546216	0.6271543	0.0000000	0.5153466	0.6333360	0.6552919	0.7056669	0.0634264	0.5864795	0.0305562	0.6733230	0.3691854	0.8011230	0.0290116	0.0443133	0.3934887	0.0518523	0.7156168	0.5274147	0.0007329	0.3813759	0.8075403	0.5307174	0.0426305	0.3102687	0.2787162	0.2213998	0.6786123	0.0063706	0.4137347	0.5451102	0.8741965	0.0487739	0.6546050	0.5468863	0.0859012	0.6338542	0.6533072	0.0015176	0.6893668	0.5013151	0.5384574	0.6701094	0.3897567	0.6219095	0.6507026	0.6205898	0.5608243	0.5831019	0.0776167	0.3453348	0.5130220	0.0064936	0.2534650	0.4621882	0.0205927	0.4897752	0.5457108	0.6409839	0.0000235	0.7312203	0.1257036	0.0008124	0.7724268	0.7286783	0.0975775	0.6314646	0.2172352	0.3834786	0.3541198	0.0013630	0.0297931	0.0135000	0.2001931	0.6353713	0.6966430	0.6200063	0.3353230	0.7821192	0.1255185	0.0379750	0.0000086	0.5546164	0.7858455	0.0085263	0.3121705	0.4150471	0.5471774	0.5619091	0.6992531	0.0330281	0.2523332
800	0.2678732	0.8791297	0.7309612	0.0826101	0.4217299	0.3047096	0.6023369	0.6099019	0.6420547	0.7172570	0.0013609	0.5966396	0.6864012	0.6683807	0.6507890	0.0558201	0.5312461	0.0287205	0.5937019	0.4335636	0.6376393	0.0350473	0.0486892	0.3778512	0.0735821	0.6267256	0.5116779	0.0103035	0.3906363	0.6476679	0.5799488	0.0515262	0.3099087	0.3539682	0.1630628	0.6759440	0.0085104	0.4877543	0.6167530	0.6637316	0.0330613	0.6479607	0.5737793	0.1029088	0.6785967	0.7141878	0.0049722	0.6018285	0.4257090	0.6914987	0.5070955	0.3776989	0.6884531	0.7362902	0.7005234	0.6782331	0.6054016	0.0875773	0.4151055	0.4844228	0.0107748	0.2431051	0.5145171	0.0378813	0.6644455	0.6856973	0.5932243	0.0000197	0.6287072	0.0961878	0.0011249	0.5891102	0.6815363	0.0684736	0.5629354	0.2684046	0.3227666	0.3453768	0.0016159	0.0486841	0.0164973	0.0560881	0.6779823	0.5738505	0.6830437	0.2642367	0.5464641	0.1873060	0.0317415	0.0025362	0.6899299	0.5382774	0.0195940	0.3045691	0.4062780	0.4827706	0.5927584	0.6169279	0.0342364	0.2330684
