TF	target	importance
G73	G18	0.1257894887085415
G4	G8	0.12410838020998122
G18	G73	0.1204857177750117
G94	G86	0.11677388144245676
G8	G4	0.11520349032741145
G25	G41	0.10361659525960222
G86	G94	0.10339213118765887
G57	G75	0.09788097768304321
G79	G77	0.0973265787226529
G1	G8	0.09677909218325942
G19	G17	0.09616473925741832
G17	G16	0.09616281602082674
G41	G25	0.09321806247250376
G10	G3	0.09151000596686851
G68	G35	0.0911226635389664
G84	G8	0.09080472592546193
G88	G87	0.09013997349540816
G59	G51	0.08878495094559231
G7	G29	0.0874129911738573
G59	G26	0.08637762919026501
G11	G23	0.0861941465091646
G16	G17	0.08601312251376546
G79	G68	0.08482607042776168
G84	G4	0.08363457291612957
G57	G31	0.08363073763399759
G48	G14	0.08295927341864848
G33	G23	0.08260396710620488
G23	G11	0.08181719306492984
G84	G2	0.0817945563959161
G66	G96	0.08175510839916819
G33	G11	0.08023163950462729
G8	G2	0.08019432788249212
G34	G15	0.08003796933428642
G28	G73	0.07994513519049135
G73	G28	0.07974845883327414
G88	G67	0.07965644786773886
G20	G46	0.07961466102882186
G39	G48	0.07779909352098523
G2	G62	0.0777917287270339
G14	G17	0.07773823359632306
G8	G1	0.07764025586402816
G9	G10	0.07738437409496701
G63	G46	0.07691039796393855
G1	G4	0.07669499431434401
G72	G71	0.07663293224388991
G11	G33	0.07620931132459197
G87	G88	0.07614163917634566
G4	G1	0.07586087428717997
G8	G84	0.07579812307949933
G71	G72	0.07534220966252564
G31	G72	0.07528918200800704
G61	G59	0.07528669332516096
G23	G33	0.07479630753957395
G49	G99	0.07446120540467367
G99	G49	0.07424097046802475
G59	G61	0.07411812628837194
G99	G100	0.07313867623672032
G43	G48	0.07307881286290806
G83	G84	0.07275730271428443
G4	G84	0.07269384178005978
G55	G95	0.07268287458410845
G8	G5	0.07247264758607369
G13	G19	0.0720935843657575
G76	G77	0.07183813911828213
G45	G49	0.07176651860119039
G61	G40	0.07158393133283038
G78	G100	0.07139066527865587
G83	G25	0.07132203370409958
G100	G63	0.07096686809117513
G61	G96	0.07087243301240456
G87	G56	0.07061301727539823
G36	G37	0.0703524676989391
G26	G51	0.07029427717367319
G94	G96	0.0702476636661851
G19	G13	0.07014716290409062
G57	G34	0.06958781121160738
G36	G87	0.06940668519620007
G63	G49	0.0691858790724781
G78	G49	0.06854219282701496
G75	G74	0.06812008966584426
G87	G67	0.06807459305905468
G41	G58	0.06800694848184907
G75	G57	0.0679283319207941
G87	G36	0.06740902821312361
G38	G48	0.06727685473177707
G45	G100	0.06611859325089882
G63	G82	0.06609803826210278
G51	G26	0.06607308763728999
G55	G59	0.06555550853216847
G61	G26	0.06522013015765799
