SourceGENES,TargetGENES,Interaction,Edges
G89,G51,1.38336654411366,repression
G59,G51,1.14630190794017,repression
G83,G64,1.00151874053092,repression
G50,G51,1,activation
G84,G65,0.951263689381805,repression
G99,G51,0.891584055466704,repression
G77,G51,0.842038643511764,activation
G70,G51,0.835771957964391,repression
G83,G65,0.778106945495611,repression
G84,G64,0.761994925391124,activation
G2,G65,0.699672214448732,repression
G70,G64,0.691907154302658,repression
G8,G65,0.682958886473478,repression
G89,G3,0.666943140115307,activation
G84,G33,0.653734773408221,activation
G13,G51,0.632440292518247,repression
G8,G64,0.627273381358347,repression
G4,G64,0.613752174717608,repression
G2,G64,0.606400071681169,repression
G4,G65,0.591452806452377,repression
G67,G51,0.583488326833271,repression
G89,G92,0.564866770436205,activation
G50,G92,0.564213165623744,activation
G8,G33,0.559849019237234,repression
G83,G100,0.554116706253538,activation
G26,G51,0.546631304516813,activation
G50,G44,0.530661282510538,repression
G70,G65,0.51805234465215,activation
G99,G64,0.512570548408037,activation
G84,G46,0.502860285784897,activation
G84,G51,0.497542340395328,activation
G2,G33,0.497089781499677,repression
G50,G77,0.48060433040868,activation
G89,G77,0.478202195703618,activation
G6,G51,0.475414268483051,repression
G59,G3,0.438582621333761,activation
G50,G3,0.433187092130623,repression
G70,G22,0.428316568496595,activation
G26,G92,0.416227611752671,activation
G83,G33,0.415015573443695,repression
G99,G65,0.412804324917795,activation
G61,G51,0.405514365092187,repression
G89,G43,0.398409958703618,repression
G46,G51,0.398061483775849,activation
G84,G23,0.394819484395437,activation
G8,G23,0.393578505707737,activation
G77,G3,0.38446726337043,activation
G77,G92,0.381022874874183,activation
G83,G22,0.377845230962429,activation
G84,G90,0.376775250493642,repression
G4,G33,0.369650715313148,activation
G67,G65,0.366133051201033,repression
G83,G62,0.363086851125164,repression
G2,G46,0.357573528273316,repression
G5,G64,0.354907562439751,activation
G8,G46,0.354469096811845,activation
G26,G77,0.350574332649726,repression
G59,G43,0.350300390873849,repression
G99,G22,0.346283707682462,activation
G50,G43,0.3455906545175,repression
G84,G22,0.3384475393626,activation
G70,G100,0.338389591991739,repression
G67,G44,0.334234193831961,repression
G77,G77,0.323861490670445,activation
G59,G92,0.314158579264245,repression
G89,G82,0.314020242159125,repression
G2,G23,0.313542785014319,repression
G83,G55,0.309690760861628,activation
G83,G97,0.308583887092388,repression
G99,G3,0.301672332018208,activation
G48,G92,0.300239994657065,activation
G83,G17,0.299688842270426,repression
G26,G44,0.297839744472145,activation
G59,G65,0.295655370925116,repression
G26,G3,0.293264334420877,repression
G81,G64,0.289631809896228,activation
G19,G44,0.288069517785301,activation
G8,G17,0.287418676033368,repression
G46,G92,0.287104251632645,repression
G81,G51,0.283411650901659,repression
G67,G33,0.282435503449005,activation
G50,G13,0.27986673115903,repression
G4,G100,0.278695661696837,repression
G84,G88,0.275581225650778,activation
G83,G66,0.274600686451694,repression
G59,G77,0.272738535077764,repression
G8,G100,0.26980410797455,activation
G83,G48,0.269786383475086,repression
G59,G44,0.266745024682804,activation
G59,G64,0.264645829130254,repression
G2,G90,0.263733313740115,repression
G84,G55,0.262434785818419,activation
G77,G43,0.26083981390956,repression
G5,G65,0.260772454864784,activation
G50,G6,0.259203503332127,repression
G13,G44,0.25674782734384,repression
G4,G46,0.254635506288916,repression
G8,G62,0.254256267214718,activation
G70,G3,0.253063797131267,repression
G83,G80,0.252119813611791,repression
G61,G92,0.251964540650255,repression
G77,G44,0.251449524693921,activation
G83,G32,0.2509053193536,activation
G59,G22,0.250831356513847,repression
G8,G90,0.250137111723796,activation
G83,G46,0.24980022946386,activation
G48,G77,0.246278350088853,repression
G83,G60,0.245210245018606,activation
G67,G46,0.244848704835987,repression
G99,G43,0.244161680103508,activation
G70,G24,0.242248513827869,repression
G89,G22,0.241514877232165,repression
G4,G22,0.241380574024735,activation
G84,G38,0.2412255565047,repression
G46,G77,0.240290734719865,activation
G84,G60,0.239669184764121,activation
G83,G68,0.239438070512366,repression
G46,G3,0.237452298893978,repression
G84,G80,0.237118102093059,repression
G2,G22,0.236315624754319,repression
G70,G55,0.235824683039798,activation
G8,G97,0.234640435799818,activation
G26,G13,0.234233468990634,activation
G61,G3,0.233864758766305,activation
G83,G29,0.233585674032766,activation
G83,G63,0.233369586020265,activation
G89,G53,0.229049397571965,activation
G83,G23,0.228326935698386,repression
G83,G31,0.228033846622386,repression
G99,G100,0.22644940700156,repression
G6,G3,0.226036153830048,repression
G89,G44,0.225286046309216,activation
G84,G100,0.224526354354652,repression
G50,G82,0.223981259636081,activation
G8,G48,0.222964265022923,repression
G84,G29,0.222418731327997,repression
G50,G81,0.22224949382445,activation
G89,G36,0.221762504770501,activation
G81,G65,0.221750202419652,activation
G89,G76,0.221136702279913,repression
G83,G12,0.221111927588835,activation
G50,G53,0.221036162747505,activation
G59,G82,0.220699570016227,activation
G19,G51,0.220285705301847,repression
G84,G48,0.220137904056131,activation
G4,G23,0.218936662945399,repression
G2,G100,0.218169652335235,repression
G48,G3,0.217738128318087,repression
G13,G3,0.21740830116164,repression
G67,G43,0.215159736469377,activation
G83,G57,0.215027864081017,repression
G89,G98,0.214941337976669,repression
G99,G24,0.214147780030906,activation
G89,G96,0.213541933207173,repression
G83,G94,0.21197847995489,repression
G13,G43,0.211202460730095,activation
G8,G80,0.210982013341812,activation
G61,G77,0.210975307572412,repression
G70,G43,0.210448827558071,repression
G96,G64,0.209370432701544,activation
G89,G52,0.20745717525027,activation
G84,G73,0.206577346807423,activation
G84,G15,0.206329494704083,repression
G8,G26,0.205434314871446,repression
G8,G29,0.205168922223107,repression
G89,G24,0.204247059056573,activation
G70,G88,0.203713593005398,activation
G13,G92,0.201372580870038,repression
G2,G55,0.20115381914377,activation
G96,G65,0.201061945694076,activation
G83,G15,0.19979239718197,activation
G5,G100,0.199590548525756,repression
G84,G12,0.199562027336929,repression
G84,G34,0.199417266395804,activation
G84,G24,0.198704701234451,activation
G50,G36,0.198199094919697,repression
G59,G24,0.19816501767176,activation
G84,G21,0.198062759847998,repression
G50,G5,0.198016211766234,repression
G70,G66,0.197555583589236,repression
G4,G55,0.197456860878401,activation
G70,G63,0.196789223147205,activation
G70,G21,0.196621398402912,activation
G70,G60,0.195943788123256,activation
G8,G55,0.195926539517346,repression
G50,G16,0.194492659284316,activation
G84,G79,0.19440614234316,activation
G8,G11,0.19342314207664,activation
G13,G65,0.192554397253409,repression
G59,G21,0.191306226241479,repression
G83,G47,0.190478363323838,activation
G84,G63,0.190167118342846,repression
G6,G92,0.189908348409237,repression
G84,G31,0.189774780598798,repression
G70,G41,0.18952621107925,activation
G4,G90,0.189184316303237,activation
G2,G80,0.189090437269727,activation
G77,G82,0.187907895741509,repression
G84,G95,0.187310077425953,activation
G84,G66,0.186795697154932,repression
G89,G21,0.186048665014899,activation
G26,G43,0.185882850242445,activation
G50,G76,0.185878751277074,activation
G83,G90,0.185510197017203,activation
G67,G90,0.185243045675728,repression
G2,G48,0.185080676722251,repression
G2,G88,0.18466164255273,repression
G99,G21,0.183430403891212,repression
G59,G52,0.183009564430816,repression
G48,G51,0.182759270772081,repression
G19,G6,0.182322024097197,activation
G84,G43,0.181549210969677,activation
G89,G30,0.180925782723819,repression
G84,G14,0.180851616523968,activation
G48,G13,0.180831921803881,repression
G83,G88,0.180753858533154,repression
G4,G62,0.180688140609198,repression
G99,G55,0.180310724489284,activation
G70,G15,0.179668663209232,repression
G84,G87,0.179660165460487,activation
G83,G11,0.179280291291364,activation
G2,G29,0.179007770415186,repression
G8,G31,0.178764055867493,activation
G67,G38,0.17800435504675,repression
G2,G60,0.17795277881947,repression
G19,G92,0.177576265579187,activation
G59,G36,0.1775428804554,repression
G2,G17,0.176138588044643,activation
G59,G76,0.176112684132091,repression
G13,G77,0.175749798768499,activation
G84,G37,0.17574310304966,repression
G99,G88,0.174840243107045,activation
G70,G52,0.174778206556454,repression
G48,G50,0.174576757156405,repression
G67,G23,0.173385881005274,repression
G4,G48,0.173130878903873,activation
G59,G53,0.173026645210559,repression
G8,G22,0.172227641933557,repression
G4,G17,0.171844480357104,activation
G70,G37,0.171201505612515,repression
G4,G80,0.170859807644906,activation
G81,G22,0.169781489729678,repression
G59,G30,0.169292222586653,repression
G83,G73,0.168499157786036,repression
G99,G41,0.168380972201515,activation
G84,G91,0.168267392973276,activation
G83,G58,0.168235112146416,repression
G67,G64,0.168230847831804,activation
G99,G52,0.167818822614964,activation
G84,G86,0.167372591113397,activation
G67,G6,0.166996244682851,repression
G8,G60,0.166495799556016,repression
G4,G60,0.166120889105072,activation
G8,G94,0.164379935154534,activation
G70,G68,0.164247681860293,activation
G26,G50,0.164232385836128,repression
G96,G33,0.163948480719745,repression
G50,G38,0.163538490794342,activation
G89,G41,0.162994283906866,activation
G84,G17,0.162867679946313,activation
G84,G44,0.16249588115573,activation
G4,G66,0.160981073692545,activation
G6,G77,0.160969472076183,repression
G84,G94,0.159619562458643,activation
G4,G29,0.159594576569674,activation
G84,G11,0.158491776096534,repression
G59,G41,0.157326959017874,activation
G84,G32,0.156975394895591,activation
G8,G66,0.156295089989127,repression
G83,G9,0.155769468980218,activation
G84,G75,0.155594238920825,activation
G2,G31,0.155593631922636,repression
G77,G53,0.154945050612822,repression
G50,G56,0.154891181057177,activation
G84,G41,0.154699233494275,activation
G70,G12,0.154407209628387,activation
