Gene1	Gene2	EdgeWeight
G74	G21	0.11954610425308158
G35	G12	0.1036892733288731
G49	G80	0.09465328045013882
G91	G90	0.09331661824405771
G94	G58	0.0925064684418445
G21	G74	0.09216130901136478
G14	G17	0.09182933018652663
G33	G60	0.09090819002795092
G80	G49	0.09069410418586435
G24	G38	0.09033558294204475
G50	G55	0.0902534609126568
G45	G58	0.0882936151625399
G22	G97	0.08826441606320753
G48	G38	0.08750553926688402
G63	G66	0.0865315081296288
G59	G53	0.0832354723955832
G10	G90	0.08286512149207113
G58	G64	0.08284478361403712
G88	G87	0.08282429904905775
G83	G75	0.08184428146702517
G83	G72	0.08171564253328222
G8	G4	0.08163066193808428
G4	G21	0.0815962674109868
G13	G21	0.0804689046917482
G96	G66	0.07985684312209132
G4	G8	0.07927938857836778
G21	G4	0.07924364203819922
G75	G83	0.07915174968273213
G40	G48	0.07792403630911207
G40	G38	0.07649468135297836
G57	G86	0.0763930669732287
G52	G86	0.07583248342392966
G28	G32	0.07578475877108286
G46	G44	0.07569887911868359
G46	G74	0.07554343559980134
G55	G50	0.0751895327418799
G72	G83	0.07512147528291287
G74	G4	0.07509342461885407
G40	G44	0.07426208975886218
G62	G13	0.07353630557862707
G26	G53	0.07311315187446066
G60	G63	0.07281879896088901
G12	G35	0.07277279806369548
G13	G17	0.07277151453413605
G40	G46	0.07183389973236413
G67	G82	0.07181401955967423
G46	G43	0.07149746525583411
G63	G60	0.07036209195102129
G38	G48	0.06995921058303232
G94	G45	0.06915003349821942
G26	G92	0.06895623469855723
G87	G67	0.06859862874348398
G59	G57	0.06842476820921256
G24	G40	0.0682952316120212
G53	G59	0.06773792164393032
G31	G64	0.06770007015444493
G25	G41	0.06749565207155686
G10	G91	0.06747197613689344
G45	G90	0.06721881746029551
G42	G48	0.06718461156880672
G27	G99	0.06692550520093987
G87	G88	0.06631350937053675
G59	G51	0.0659596149220808
G90	G91	0.06587979496236465
G38	G40	0.06574761385145172
G17	G11	0.0656774637438232
G17	G16	0.06530305781275716
G48	G44	0.06530173388835317
G44	G46	0.06522877643331287
G66	G96	0.06484998895553244
G33	G99	0.0646312786714525
G58	G90	0.06441663543102977
G28	G22	0.06429238243332591
G24	G41	0.0642816469312398
G70	G31	0.06424690193250017
G21	G17	0.06420141624267778
G82	G67	0.0641546407979327
G23	G33	0.0641389954953308
G99	G28	0.06407453707623952
G1	G71	0.06387312217384879
G52	G57	0.06347809867816268
G58	G31	0.06330954691860106
G23	G60	0.06321439854418526
G49	G68	0.06289799815291064
G59	G46	0.06279587971227749
G70	G7	0.06279383602478124
G48	G46	0.06274501376714453
G97	G22	0.06251906458607363
G53	G51	0.06213901887441909
G55	G23	0.06208593759693
G69	G32	0.0617475395817642
G66	G63	0.061689522606868955
G95	G54	0.06166586909557192
G72	G95	0.06146382313020567
G23	G11	0.06136437149124343
G53	G20	0.06130757075737534
G41	G25	0.0612124605565534
G24	G44	0.061005821111488556
G43	G42	0.06097084145999714
G81	G83	0.060943891447018325
G5	G49	0.06057145101233828
G13	G19	0.06056666832052307
G48	G40	0.06025078418778474
G70	G81	0.0601961583066894
G62	G80	0.059874477470974484
G59	G26	0.05981377041398649
G59	G52	0.05980431474052815
G11	G23	0.059601613518994234
G40	G58	0.059460747911499794
G48	G24	0.05915161506046721
G58	G69	0.05895270559952292
G49	G12	0.058852500563162234
G28	G30	0.058692112941937435
G50	G15	0.05854860909626116
G31	G28	0.058381322256820536
G46	G53	0.05807953300244606
G63	G74	0.05799692316489994
G67	G87	0.057616342857217534
G40	G24	0.05760653942642928
G71	G1	0.057426882333717774
G57	G52	0.05703258101378923
G26	G57	0.057012284181432685
G43	G48	0.05699438826834122
G31	G81	0.05699099654539362
G14	G21	0.05692925644044696
G57	G51	0.05688076031937203
G70	G3	0.05677346512030134
G24	G48	0.056690778167050676
G62	G49	0.05666709929787955
G1	G8	0.05657074444453773
G29	G28	0.05654878272147445
G7	G16	0.05638474270027282
G44	G24	0.05612840068701271
G58	G32	0.05602147623581037
G58	G45	0.05589431640123339
G90	G10	0.055861935533408416
G28	G99	0.055834603179725245
G71	G89	0.055779632430232706
G80	G62	0.055681390550231885
G54	G95	0.055642625193135425
G51	G53	0.055130158114721904
G46	G40	0.055104504501892436
G45	G91	0.05491255767258339
G91	G10	0.05484588993008318
G70	G1	0.05481075029084889
G69	G64	0.05475731099789866
G13	G62	0.05455185714941312
G99	G27	0.054414256217948036
G20	G53	0.0543223673023129
G7	G81	0.05424632291355478
G67	G36	0.054174970050004954
G2	G8	0.05388285708058822
G40	G43	0.053841286718363364
G46	G21	0.0538302805049567
G57	G59	0.053810176963800506
G17	G19	0.05367447791009989
G50	G62	0.05361690447351896
G10	G45	0.05360148614072069
G10	G41	0.053487125894633045
G62	G72	0.05347639653007242
G95	G72	0.05345460869864445
G40	G59	0.053278833314475
G26	G51	0.053175421313696
G5	G80	0.05301686641810142
G80	G68	0.05291957108934303
G90	G58	0.05291592346477304
G4	G74	0.05279751671269078
G56	G41	0.052781370840686515
G17	G13	0.05276601230679826
G71	G12	0.052663926807117255
G7	G17	0.052445875132062524
G94	G90	0.052389770922751766
G21	G43	0.05223981558482255
G87	G3	0.05219093202573386
G14	G13	0.05212355990187175
G84	G9	0.051999027810894244
G38	G15	0.05198522459875254
G68	G49	0.05195026775476847
G53	G26	0.05194777348562595
G26	G59	0.05179543005338871
G29	G83	0.05177363683795116
G63	G96	0.051637132884937674
G10	G7	0.051540966058546495
G52	G26	0.05148723037895805
G54	G51	0.0514763742207622
G58	G10	0.05131479226792472
G26	G14	0.051211377367915326
G44	G61	0.05087610982170133
G27	G92	0.05070809055900568
G32	G5	0.050479178431757324
G7	G3	0.05041799014036406
G59	G40	0.05041204303962825
G3	G7	0.05033966335397908
G58	G81	0.05010119000584619
G10	G70	0.05002105618920492
G36	G67	0.05000917749650174
G46	G4	0.0498007126293251
G63	G19	0.04968801328630469
G30	G64	0.04966719395975586
G46	G2	0.049564331257901925
G74	G46	0.049511544995983967
G22	G99	0.04941108147887639
G77	G61	0.04939766021310434
G98	G34	0.04932824858410575
G10	G58	0.04923673111109858
G59	G44	0.04921957740158387
G44	G40	0.04914130385576737
G20	G26	0.049037027965477514
G31	G30	0.04895665347083284
G55	G84	0.048868244173544226
G64	G30	0.0488304272137204
G69	G92	0.04879993233751323
G51	G26	0.04876138339041689
G60	G58	0.048721084618050206
G45	G10	0.04853315239241038
G56	G36	0.04848213030644451
G69	G29	0.04843586102070617
G60	G45	0.0484259033476168
G57	G14	0.048034314098788035
G57	G13	0.0480115747151918
G46	G59	0.048004448924662435
G47	G36	0.04781265420223352
G99	G22	0.04779283399517712
G48	G15	0.04773339317246677
G85	G23	0.047614031143552636
G37	G48	0.047504351949100125
G36	G47	0.04747977303196135
G7	G31	0.047362851636838246
G44	G38	0.047216094168862646
G55	G15	0.047146414480608474
G17	G39	0.04703255152675528
G58	G94	0.046971792964617634
G64	G69	0.04695101918614728
G98	G23	0.046815000677978134
G70	G48	0.0466506068784909
G74	G8	0.046594983618454655
G63	G92	0.046589084384983985
G38	G46	0.0464971765318259
G55	G34	0.04649243542788699
G90	G45	0.04646972463458536
G62	G50	0.046465422495530706
G10	G3	0.04622857889615814
G53	G46	0.04609517073313531
G46	G38	0.045887836590247325
G53	G91	0.045800289328982814
G71	G32	0.045726618569626246
G12	G49	0.04569494617486607
G52	G53	0.04564718765229449
G59	G20	0.045606206148071815
G38	G24	0.04542240056722837
G66	G92	0.045223768486178886
G56	G24	0.0451779774082991
G42	G43	0.04516991286561118
G29	G92	0.045139553213795404
G59	G10	0.04510623252644662
G49	G62	0.045001134658096256
G46	G48	0.044874067782277094
G5	G32	0.044850447611604914
G59	G58	0.04484267610746956
G28	G64	0.04477553907381441
G62	G5	0.044668254158090344
G3	G88	0.04461099193575232
G52	G59	0.04455607027990273
G83	G95	0.04454071374315441
G64	G58	0.044251917006937924
G80	G5	0.04424339518981208
G84	G79	0.0441126614940434
G44	G26	0.044070251522696995
G54	G69	0.04397222039127815
G38	G44	0.043792379136062015
G84	G29	0.04372200489736384
G67	G56	0.04367732177022305
G52	G13	0.043655564596455684
G26	G44	0.043644681672215024
G57	G54	0.04357304462667666
G96	G92	0.04350631687963902
G49	G83	0.043341992281055085
G95	G8	0.04308136904555765
G40	G45	0.04300360517197035
G53	G52	0.042954585781507126
G83	G81	0.04293320744474641
G59	G90	0.04286377626363164
G52	G51	0.04282259380512108
G49	G5	0.042807405263626246
G43	G38	0.042595839246121314
G44	G53	0.042547899338527054
G26	G20	0.042407677071798766
G75	G49	0.04238087419056563
G21	G13	0.04233951244756442
G26	G52	0.04213527427287768
G53	G45	0.0419941198526781
G16	G17	0.04197886569338393
G17	G21	0.041965618340391815
