TF	target	importance
G52	G89	59.98239431201727
G87	G38	50.457272748094574
G34	G30	45.58613960643848
G32	G30	45.57899693024659
G78	G38	45.46656207268379
G9	G10	45.255973621607886
G85	G36	44.23739354930556
G86	G88	44.01696825615539
G66	G67	43.51052283597044
G44	G42	43.360411693413326
G66	G5	42.08722997093407
G36	G85	41.82366135103695
G36	G87	41.047146451326626
G45	G57	40.6180223774287
G5	G66	40.308254445500566
G88	G22	40.17162143306607
G52	G61	40.15001606783272
G58	G29	39.39245288723579
G69	G89	39.28609889447302
G85	G22	38.20027210323291
G63	G89	37.78885814093209
G13	G38	37.77386458009145
G42	G86	37.71470667263996
G73	G29	37.34770818753997
G29	G58	37.1880366395295
G51	G70	36.77237855131784
G45	G48	36.37535186983185
G62	G58	35.8916983127658
G22	G36	35.79875943394906
G66	G70	35.3792056415793
G85	G88	35.19645550275221
G22	G24	35.09972854276905
G38	G63	35.067436817552895
G10	G30	34.972083664491194
G10	G9	34.54827303155671
G80	G10	34.496859720817895
G19	G86	34.46662348674947
G69	G67	34.40816105802808
G87	G36	34.11151557059812
G86	G42	34.101225749690244
G36	G22	33.83587311899277
G45	G23	33.70737937980513
G82	G58	33.63018003695613
G23	G48	33.588484452455724
G22	G88	33.20216699332787
G8	G80	32.611053336687064
G36	G56	32.561095598553294
G65	G70	32.419564927445606
G9	G80	32.325806300341014
G25	G15	32.21768009883895
G85	G86	31.96993632995213
G65	G51	31.8957622386102
G48	G23	31.79988730756513
G48	G60	31.46582598351178
G49	G86	31.23438669969719
G55	G61	31.000311396197645
G51	G65	30.944637644658094
G87	G85	30.37756003704396
G13	G22	30.17798608526904
G29	G13	30.079591051819712
G22	G87	30.028740609871054
G67	G65	29.990185598811202
G22	G13	29.97456630580426
G43	G91	29.26582246209032
G74	G51	29.22865159219842
G50	G58	28.582193126165787
G12	G85	28.463578219229912
G38	G89	28.37516237000284
G27	G31	28.369458522775034
G47	G45	28.096118830627315
G15	G61	27.96640465616388
G65	G10	27.830713648703984
G41	G1	27.740594682656308
G22	G38	27.38638897694298
G63	G38	27.235540219392504
G48	G45	27.209628004939525
G27	G97	27.091787478236007
G69	G65	26.98567238591736
G51	G18	26.938000274127813
G46	G97	26.75517291495455
G36	G88	26.75269939254038
G58	G45	26.448628912052186
G13	G47	26.26322512887786
G25	G61	26.193375717318442
G80	G9	25.899004547189396
G69	G18	25.784099265827116
G13	G29	25.72029032078967
G52	G86	25.71709103108833
G83	G39	25.65951687912547
G11	G9	25.479954047943494
G86	G22	25.37765660676249
G38	G87	25.324353810998605
G51	G42	25.304620703735043
G97	G46	25.290516925236222
G36	G15	25.27236097184369
G85	G87	25.249898388058902
G57	G86	25.146909555212737
G42	G51	25.028649545914085
G50	G5	24.94205805104162
G82	G62	24.82141969289776
G62	G5	24.679585050776925
G86	G19	24.47683036441027
G45	G50	24.476732396251666
G65	G67	24.304341574312033
G70	G67	24.29234625395531
G86	G49	24.203230789896566
G44	G91	24.13971177321653
G36	G38	24.030884109835988
G26	G78	24.028496840767573
G28	G82	24.023856850526375
G73	G39	23.995239452161684
G38	G78	23.91904958357675
G56	G38	23.844698274185664
G9	G30	23.59356354376693
