Gene1	Gene2	EdgeWeight
G72	G75	0.279325396825397
G72	G75	0.279325396825397
G8	G75	0.279325396825397
G8	G75	0.279325396825397
G18	G75	0.261587301587302
G18	G75	0.261587301587302
G33	G75	0.248849206349206
G33	G75	0.248849206349206
G14	G75	0.246944444444444
G14	G75	0.246944444444444
G61	G75	0.23331956334796
G61	G75	0.23331956334796
G80	G75	0.23218253968254
G80	G75	0.23218253968254
G4	G75	0.226944444444444
G4	G75	0.226944444444444
G9	G75	0.223134920634921
G9	G75	0.223134920634921
G77	G75	0.218159043156071
G77	G75	0.218159043156071
G43	G75	0.214634354443787
G43	G75	0.214634354443787
G92	G75	0.208253968253968
G92	G75	0.208253968253968
G38	G75	0.205441004213086
G38	G75	0.205441004213086
G73	G75	0.205396825396825
G73	G75	0.205396825396825
G60	G75	0.20515873015873
G60	G75	0.20515873015873
G83	G75	0.201825396825397
G83	G75	0.201825396825397
G56	G75	0.201587301587302
G56	G75	0.201587301587302
G16	G75	0.201468253968254
G16	G75	0.201468253968254
G46	G75	0.199325396825397
G46	G75	0.199325396825397
G6	G75	0.196825396825397
G6	G75	0.196825396825397
G90	G75	0.195992063492063
G90	G75	0.195992063492063
G21	G75	0.19515873015873
G21	G75	0.19515873015873
G28	G75	0.19265873015873
G28	G75	0.19265873015873
G12	G75	0.190515873015873
G12	G75	0.190515873015873
G63	G75	0.188849206349206
G63	G75	0.188849206349206
G71	G75	0.187539682539682
G71	G75	0.187539682539682
G59	G75	0.187016424021909
G59	G75	0.187016424021909
G29	G75	0.18695458238939
G29	G75	0.18695458238939
G11	G75	0.183611111111111
G11	G75	0.183611111111111
G96	G75	0.182447470073284
G96	G75	0.182447470073284
G97	G75	0.181468253968254
G97	G75	0.181468253968254
G52	G75	0.18104889724715
G52	G75	0.18104889724715
G39	G37	0.180952380952381
G39	G37	0.180952380952381
G70	G75	0.179255990288431
G70	G75	0.179255990288431
G69	G75	0.175753968253968
G69	G75	0.175753968253968
G12	G54	0.174245424195737
G12	G54	0.174245424195737
G81	G75	0.173968253968254
G81	G75	0.173968253968254
G57	G75	0.169247682704715
G57	G75	0.169247682704715
G3	G91	0.167738095238095
G3	G91	0.167738095238095
G93	G75	0.16718253968254
G93	G75	0.16718253968254
G78	G60	0.166620596545841
G78	G60	0.166620596545841
G99	G75	0.164554771107422
G99	G75	0.164554771107422
G31	G75	0.163725595909538
G31	G75	0.163725595909538
G49	G75	0.163611111111111
G49	G75	0.163611111111111
G26	G75	0.162900124344418
G26	G75	0.162900124344418
G40	G75	0.16218253968254
G40	G75	0.16218253968254
G49	G54	0.160770523024246
G49	G54	0.160770523024246
G62	G75	0.160396825396825
G62	G75	0.160396825396825
G14	G27	0.158571428571429
G14	G27	0.158571428571429
G57	G94	0.155284675730044
G57	G94	0.155284675730044
G65	G16	0.155238095238095
G65	G16	0.155238095238095
G89	G75	0.153921691329864
G89	G75	0.153921691329864
G8	G11	0.153452380952381
G8	G11	0.153452380952381
G49	G66	0.15297619047619
G49	G66	0.15297619047619
G62	G3	0.150952380952381
G62	G3	0.150952380952381
G55	G75	0.149801587301587
G55	G75	0.149801587301587
G24	G75	0.149516155762595
G24	G75	0.149516155762595
G98	G75	0.149444444444444
G98	G75	0.149444444444444
G2	G75	0.14899441583766
G2	G75	0.14899441583766
G82	G75	0.147066592649049
G82	G75	0.147066592649049
G15	G75	0.147023338190885
G15	G75	0.147023338190885
G39	G69	0.146785714285714
G39	G69	0.146785714285714
G73	G47	0.146666666666667
G73	G47	0.146666666666667
G85	G20	0.146536062192822
G85	G20	0.146536062192822
G3	G75	0.145873015873016
G3	G75	0.145873015873016
G35	G75	0.145500077251359
G35	G75	0.145500077251359
G39	G40	0.145357142857143
G39	G40	0.145357142857143
G64	G75	0.14515873015873
G64	G75	0.14515873015873
G72	G22	0.143358659154521
G72	G22	0.143358659154521
G53	G75	0.142777777777778
G53	G75	0.142777777777778
G76	G75	0.142707889511221
G76	G75	0.142707889511221
G94	G75	0.142539682539682
G94	G75	0.142539682539682
G19	G78	0.141666666666667
G19	G78	0.141666666666667
G91	G75	0.138473606556195
G91	G75	0.138473606556195
G78	G75	0.138373015873016
G78	G75	0.138373015873016
G91	G83	0.138178833491079
G91	G83	0.138178833491079
G85	G75	0.138134920634921
G85	G75	0.138134920634921
G42	G22	0.136719328351909
G42	G22	0.136719328351909
G66	G75	0.135719416625498
G66	G75	0.135719416625498
G34	G75	0.135634920634921
G34	G75	0.135634920634921
G72	G7	0.134404761904762
G72	G7	0.134404761904762
G75	G47	0.134285714285714
G75	G47	0.134285714285714
G17	G75	0.133611111111111
G17	G75	0.133611111111111
G20	G83	0.132500651918707
G20	G83	0.132500651918707
G78	G63	0.132335299865463
G78	G63	0.132335299865463
G17	G92	0.131904761904762
G17	G92	0.131904761904762
G20	G56	0.131190476190476
G20	G56	0.131190476190476
G36	G20	0.131117372026022
G36	G20	0.131117372026022
G22	G20	0.13104175059402
G22	G20	0.13104175059402
G13	G75	0.130396825396825
G13	G75	0.130396825396825
G10	G11	0.130119047619048
G10	G11	0.130119047619048
G75	G71	0.129523809523809
G75	G71	0.129523809523809
G53	G12	0.128809523809524
G53	G12	0.128809523809524
G27	G75	0.128688345435476
G27	G75	0.128688345435476
G39	G75	0.128548900357541
G39	G75	0.128548900357541
G13	G85	0.127738095238095
G13	G85	0.127738095238095
G58	G75	0.127161978345394
G58	G75	0.127161978345394
G81	G16	0.126190476190476
G81	G16	0.126190476190476
G80	G12	0.126173780189665
G80	G12	0.126173780189665
G65	G75	0.125873015873016
G65	G75	0.125873015873016
G47	G94	0.124867360524121
G47	G94	0.124867360524121
G41	G75	0.124801587301587
G41	G75	0.124801587301587
G74	G75	0.123985440422801
G74	G75	0.123985440422801
G23	G57	0.123577203159225
G23	G57	0.123577203159225
G95	G75	0.122896825396825
G95	G75	0.122896825396825
G82	G97	0.122830014112402
G82	G97	0.122830014112402
G17	G81	0.122023809523809
G17	G81	0.122023809523809
G42	G75	0.121342539136358
G42	G75	0.121342539136358
G20	G3	0.121309523809524
G20	G3	0.121309523809524
G72	G3	0.120952380952381
G72	G3	0.120952380952381
G6	G27	0.12047619047619
G6	G27	0.12047619047619
G32	G63	0.119809231998495
G32	G63	0.119809231998495
G67	G9	0.119642857142857
G67	G9	0.119642857142857
G86	G16	0.119642857142857
G86	G16	0.119642857142857
G22	G63	0.118140689061985
G22	G63	0.118140689061985
G86	G94	0.118131491083663
G86	G94	0.118131491083663
G23	G75	0.118015873015873
G23	G75	0.118015873015873
G51	G69	0.117619047619048
G51	G69	0.117619047619048
G48	G83	0.11760031495916
G48	G83	0.11760031495916
G54	G75	0.116944444444444
G54	G75	0.116944444444444
G52	G51	0.116818004723657
G52	G51	0.116818004723657
G25	G75	0.116793063167081
G25	G75	0.116793063167081
G62	G56	0.116785714285714
G62	G56	0.116785714285714
G7	G75	0.116432450886148
G7	G75	0.116432450886148
G56	G12	0.116309523809524
G56	G12	0.116309523809524
G36	G75	0.116111111111111
G36	G75	0.116111111111111
G28	G86	0.11547619047619
G28	G86	0.11547619047619
G49	G22	0.115384015398738
G49	G22	0.115384015398738
G46	G3	0.115357142857143
G46	G3	0.115357142857143
G56	G81	0.115238095238095
G56	G81	0.115238095238095
G79	G48	0.115238095238095
G79	G48	0.115238095238095
G22	G57	0.11465285197879
G22	G57	0.11465285197879
G82	G56	0.113452380952381
G82	G56	0.113452380952381
G11	G47	0.113333333333333
G11	G47	0.113333333333333
G1	G75	0.113300034121636
G1	G75	0.113300034121636
G43	G16	0.11297619047619
G43	G16	0.11297619047619
G53	G38	0.112380952380952
G53	G38	0.112380952380952
G42	G54	0.11219814267214
G42	G54	0.11219814267214
G79	G75	0.111919970766063
G79	G75	0.111919970766063
G49	G12	0.111825570217697
G49	G12	0.111825570217697
G45	G75	0.111676061551018
G45	G75	0.111676061551018
G85	G63	0.111649994835122
G85	G63	0.111649994835122
G68	G75	0.111111111111111
G5	G75	0.111111111111111
G44	G75	0.111111111111111
G30	G75	0.111111111111111
G44	G75	0.111111111111111
G30	G75	0.111111111111111
G67	G75	0.111111111111111
G68	G75	0.111111111111111
G67	G75	0.111111111111111
G5	G75	0.111111111111111
G53	G11	0.111071428571429
G53	G11	0.111071428571429
G53	G27	0.110595238095238
G53	G27	0.110595238095238
G56	G54	0.110414836383023
G56	G54	0.110414836383023
G87	G35	0.110357142857143
G87	G35	0.110357142857143
G32	G16	0.110119047619048
G32	G16	0.110119047619048
G34	G69	0.11
G81	G55	0.11
G81	G55	0.11
G34	G69	0.11
G31	G48	0.109523809523809
G31	G48	0.109523809523809
G29	G20	0.109061176795586
G29	G20	0.109061176795586
G87	G75	0.108968253968254
G87	G75	0.108968253968254
G89	G51	0.108902759088678
G89	G51	0.108902759088678
G22	G75	0.108611111111111
G22	G75	0.108611111111111
G97	G57	0.107992153811296
G97	G57	0.107992153811296
G98	G71	0.107738095238095
G98	G71	0.107738095238095
G73	G27	0.107619047619048
G73	G27	0.107619047619048
G6	G47	0.107619047619047
G6	G47	0.107619047619047
