"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.4042740	0.0114568	0.7054366	0.3055541	0.1302614	0.2919982	0.1775194	0.1792838	0.3669161	0.5250375	0.7238976	0.4954400	0.5169571	0.4177833	0.3480530	0.0489512	0.6071508	0.3604123	0.5320653	0.1987173	0.5431497	0.6639956	0.6155172	0.4107843	0.3429597	0.3892452	0.4018083	0.6337078	0.5869986	0.3731381	0.2712765	0.0417211	0.1330287	0.0475164	0.0054882	0.4561845	0.0431594	0.0400034	0.7339469	0.3080913	0.6290150	0.6162380	0.2155572	0.0670041	0.3588409	0.6450113	0.6925447	0.0310966	0.2470718	0.3482233	0.5041045	0.4335189	0.6522221	0.7013534	0.0395592	0.5803076	0.6261605	0.5399832	0.4230722	0.1794506	0.0816881	0.2461457	0.5876963	0.0707910	0.6651392	0.4838545	0.7218358	0.5819247	0.6465206	0.6992303	0.0458826	0.1464041	0.5569686	0.6495273	0.1324281	0.5988371	0.5995591	0.0081891	0.6011593	0.2349775	0.6184937	0.0058285	0.3870116	0.6832880	0.0174892	0.1401864	0.2719577	0.3329433	0.3532927	0.0332827	0.5395928	0.6343941	0.0592068	0.0096381	0.0316814	0.6599800	0.6856886	0.0568960	0.6447222	0.2354317
100	0.4159975	0.5010392	0.7253694	0.2796594	0.1557957	0.4689543	0.1041319	0.2351342	0.0122595	0.6214655	0.5455420	0.4061651	0.6058930	0.5052146	0.3392140	0.0289423	0.5671997	0.2496003	0.6682393	0.1811587	0.5811462	0.5649280	0.1764711	0.4111102	0.5934394	0.3670230	0.6357062	0.6083057	0.6934799	0.3021474	0.0901065	0.0060354	0.1558245	0.0952187	0.0012232	0.3062701	0.1187651	0.0319744	0.6487540	0.2474515	0.6663314	0.6321315	0.1627604	0.0897002	0.0660995	0.6779364	0.7115919	0.0324452	0.2857650	0.2755989	0.4637954	0.4832797	0.6354191	0.6781860	0.1852047	0.5232595	0.7421451	0.4599087	0.3821409	0.0594581	0.0006584	0.3673451	0.6752962	0.0015768	0.6902186	0.3799983	0.6264751	0.6297072	0.7026996	0.6458244	0.0369135	0.0946289	0.6936789	0.6115576	0.1857246	0.5683115	0.5550715	0.0167649	0.4650070	0.2949257	0.6205397	0.0010015	0.2644790	0.6400632	0.4362229	0.1595029	0.2953208	0.0968024	0.5269332	0.0072569	0.2597011	0.7046291	0.2242212	0.0330492	0.0093474	0.5514643	0.5986362	0.5792612	0.5702243	0.2382422
200	0.3905811	0.4652393	0.6782562	0.3236686	0.1911322	0.4628970	0.1236651	0.1711113	0.0344352	0.6103867	0.3896517	0.3388419	0.7322524	0.6527960	0.3855854	0.0413925	0.6260765	0.2241182	0.7631996	0.1869019	0.7163139	0.6932438	0.1354827	0.3930682	0.4649184	0.4592374	0.5519925	0.6454649	0.5947452	0.3320423	0.0633971	0.0003326	0.1029373	0.1010669	0.0020498	0.3440485	0.1436651	0.0694831	0.6825509	0.2455489	0.6204198	0.6763948	0.0881243	0.0412205	0.0164475	0.5782267	0.6689633	0.0730767	0.1861242	0.3194987	0.4148968	0.4508598	0.6747996	0.8275174	0.2495783	0.4805379	0.6379134	0.6198002	0.4060223	0.0500693	0.0000396	0.4054510	0.6818898	0.0052190	0.6765835	0.4719666	0.7193591	0.6697677	0.6527176	0.6472379	0.0807122	0.1303077	0.5541293	0.6546024	0.2380218	0.6933387	0.5821684	0.0455580	0.4293725	0.4962439	0.5206684	0.0315716	0.3299244	0.6917751	0.5099855	0.1754904	0.3496316	0.0906407	0.5453457	0.0442401	0.2047139	0.7650287	0.1940706	0.0245547	0.0050676	0.5936563	0.6137589	0.5666147	0.6112689	0.2299780
300	0.5120161	0.6702484	0.6383940	0.3011033	0.1319843	0.3997458	0.1986224	0.1931405	0.0332834	0.6308903	0.3061555	0.3734770	0.6634838	0.6694153	0.3662905	0.0476102	0.5684434	0.2853933	0.5839156	0.1662800	0.4882504	0.6926864	0.1499130	0.2543807	0.5512554	0.6406137	0.6334311	0.6275843	0.7445474	0.3893022	0.0531696	0.0016697	0.1082818	0.0862207	0.0060835	0.3554576	0.0735574	0.1277124	0.6101853	0.3309677	0.7224022	0.7677759	0.0980334	0.0735544	0.0276827	0.6968761	0.5730459	0.0816239	0.1712800	0.3025991	0.5295594	0.4845828	0.6389109	0.6478791	0.1658866	0.4673703	0.6827951	0.5791070	0.4171603	0.0301286	0.0000907	0.4179378	0.6911233	0.0103150	0.6106544	0.5312071	0.5436597	0.7169512	0.5758354	0.7396556	0.0565839	0.1883434	0.7117446	0.6927770	0.2645947	0.7743826	0.7200051	0.0153487	0.4847385	0.5791664	0.4817274	0.0295552	0.2880180	0.6656087	0.3778636	0.1575386	0.3499411	0.0983406	0.4149882	0.0577804	0.1496916	0.6188672	0.1912931	0.0195674	0.0234046	0.4620838	0.7734812	0.7227961	0.5363643	0.2328826
400	0.4501257	0.5086802	0.5291594	0.4063139	0.1810127	0.3971587	0.1287527	0.1636857	0.0363630	0.7011676	0.4293116	0.3193265	0.5725781	0.6651111	0.4203430	0.0709781	0.6726461	0.2188884	0.6961375	0.1063915	0.6242003	0.7077967	0.0969900	0.3714122	0.7000839	0.5750325	0.5486271	0.6646281	0.6951993	0.3161219	0.0420129	0.0055948	0.1309092	0.0942183	0.0035143	0.3715810	0.1345230	0.1064336	0.6585078	0.4386114	0.6095455	0.7572660	0.0850698	0.0873207	0.0232915	0.6228622	0.7767337	0.0792303	0.1861446	0.4140305	0.4354876	0.4075753	0.7715104	0.7193380	0.2666119	0.5367299	0.6591402	0.6165902	0.4188386	0.0343004	0.0018451	0.1870523	0.7791419	0.0086859	0.7059016	0.4188741	0.6499854	0.6737580	0.6827419	0.5904212	0.0454952	0.1889449	0.6965240	0.7057142	0.1802185	0.6512585	0.5369013	0.0216793	0.3235664	0.6829161	0.4085669	0.0581698	0.2595632	0.6109397	0.5060231	0.1593418	0.2332191	0.1210238	0.3764383	0.0826774	0.1750928	0.7066790	0.2166991	0.0155891	0.0041912	0.4423713	0.7181751	0.4745376	0.6113202	0.2712638
500	0.5330347	0.4691492	0.5891524	0.5281535	0.1994149	0.2841124	0.1355569	0.1663535	0.0268983	0.5984030	0.2867555	0.3869174	0.6549233	0.7397504	0.3418835	0.1042143	0.6961214	0.0976470	0.7750063	0.1277097	0.6268165	0.5778956	0.0932169	0.2985104	0.4677680	0.5730879	0.6775782	0.6519818	0.6990712	0.3492315	0.0391557	0.0021303	0.1173503	0.0880288	0.0027886	0.3983474	0.0823908	0.1960270	0.6613964	0.4665652	0.6544212	0.6815273	0.0609910	0.0506063	0.0289479	0.6285217	0.6457182	0.0786394	0.2499676	0.3812927	0.4920921	0.4399471	0.7472735	0.6620142	0.2063709	0.5539895	0.5756783	0.6195337	0.3737917	0.0657018	0.0000000	0.2203131	0.6053853	0.0080811	0.7014265	0.4930600	0.6971773	0.5901621	0.6863001	0.6501519	0.0354685	0.1513631	0.6934718	0.6465936	0.2691885	0.6541434	0.6151339	0.0082030	0.4097633	0.5467497	0.4072187	0.0888857	0.2272925	0.6747702	0.5228768	0.1366658	0.4254894	0.1235059	0.2321779	0.1592580	0.1176424	0.6244325	0.1902672	0.0379910	0.0217373	0.4179763	0.6784880	0.5516318	0.6639138	0.2637315
600	0.4681915	0.0332844	0.6419368	0.4499801	0.1141575	0.2651127	0.2039732	0.1169801	0.2753351	0.5962235	0.4293620	0.3982105	0.5587982	0.3975720	0.4722774	0.0802369	0.5552628	0.1608842	0.7126308	0.1206804	0.5504447	0.6597808	0.5594399	0.3377496	0.2923424	0.4228586	0.2778957	0.6638037	0.5580304	0.3455815	0.0884533	0.0359464	0.1018654	0.0860423	0.0213216	0.4202115	0.1025162	0.2393778	0.5054260	0.7124241	0.6249229	0.7011810	0.1007400	0.0768494	0.3035404	0.5149569	0.6637649	0.1061129	0.2159289	0.3268812	0.4533495	0.3426685	0.6392809	0.7465487	0.0353892	0.5560531	0.6271803	0.5718200	0.2690587	0.1241933	0.0240747	0.1116433	0.8059483	0.0533008	0.6618415	0.5787284	0.5745216	0.5443863	0.6343581	0.5559072	0.0381915	0.2002163	0.6762676	0.6507212	0.1541785	0.6294696	0.5148350	0.0157696	0.7159892	0.4191273	0.6976426	0.0244473	0.4211453	0.7152800	0.0097199	0.1712245	0.3312187	0.3697797	0.2144472	0.1188701	0.4668568	0.7058063	0.0494463	0.0366040	0.0128412	0.7781739	0.7815366	0.2208803	0.6527304	0.1575623
700	0.3858740	0.0126212	0.6554541	0.3537212	0.1793312	0.2463010	0.1670838	0.1288006	0.3420678	0.6714631	0.4767018	0.4808347	0.4574233	0.3421961	0.3306742	0.0698015	0.6491477	0.1631705	0.5873516	0.1439972	0.6424495	0.6575044	0.6420259	0.5157894	0.2671621	0.4565525	0.3679710	0.5280717	0.8072505	0.4071032	0.2787194	0.0593919	0.1341409	0.0661075	0.0158860	0.4633707	0.0718168	0.1304404	0.4757718	0.6699381	0.5731385	0.5882586	0.2586837	0.0735269	0.3718781	0.6338143	0.6819679	0.0922276	0.1951465	0.3141059	0.4985179	0.4149387	0.6014887	0.7884669	0.0305492	0.7921700	0.5567399	0.5367105	0.2806351	0.1351219	0.0446377	0.0668030	0.5464122	0.0644667	0.6952801	0.5354334	0.6171934	0.6145677	0.6467317	0.7260005	0.0530471	0.1942877	0.8044507	0.5567533	0.1953520	0.8279105	0.5527439	0.0148016	0.5899657	0.2506509	0.6843686	0.0041201	0.4856540	0.5300696	0.0145141	0.1268771	0.2248880	0.4364724	0.2341535	0.0746020	0.4400074	0.7287274	0.0543617	0.0481288	0.0059745	0.5518649	0.7338246	0.1622129	0.6195461	0.3405585
800	0.4911238	0.0382034	0.5630129	0.3142408	0.1180233	0.3100968	0.1516146	0.1299006	0.2875863	0.5543043	0.4237356	0.4685360	0.2973863	0.2921381	0.2609882	0.0224900	0.4660910	0.1035946	0.6614636	0.1235385	0.5939685	0.7316744	0.7314315	0.2688290	0.3029694	0.5392989	0.1650295	0.6520024	0.7648072	0.3898482	0.2450464	0.0535988	0.1343131	0.0412587	0.0038489	0.3255289	0.1274503	0.0873706	0.6157294	0.4888667	0.7436917	0.6161754	0.2359652	0.0368932	0.3823331	0.5536880	0.6173416	0.0235689	0.1667570	0.3752606	0.6131492	0.4244490	0.5821148	0.8066320	0.0072523	0.7496461	0.6199212	0.5266531	0.3137710	0.1894804	0.0454317	0.0619595	0.6332942	0.0968133	0.5797867	0.5095155	0.5321027	0.5681297	0.6202568	0.6483657	0.0511545	0.1332670	0.6499346	0.7243519	0.1387616	0.6364192	0.6119001	0.0273225	0.6547711	0.1957072	0.6794630	0.0032472	0.3657819	0.5622480	0.0148720	0.0998405	0.3146110	0.2682834	0.2235720	0.1077072	0.4509564	0.6483915	0.0244465	0.0211193	0.0025957	0.8038154	0.6313095	0.1029812	0.6289290	0.2011573
