Gene1	Gene2	EdgeWeight
G26	G98	161.64890695519438
G98	G26	109.6413925296921
G100	G95	105.93515068338492
G100	G85	93.04866716279139
G5	G26	89.36217383155173
G86	G94	88.85098211520977
G44	G69	86.54281806823849
G95	G85	86.4757726853533
G95	G100	81.7182447330753
G43	G45	79.55328211766485
G85	G100	77.07432666204289
G86	G81	75.52882494911655
G81	G86	75.26108753883611
G94	G86	73.97932622510655
G52	G44	72.79372564587875
G12	G5	72.46824356754229
G85	G95	71.92628427632135
G44	G52	70.72429795187985
G66	G72	66.05769006775697
G12	G98	64.42960072428536
G5	G98	63.706365394814945
G45	G8	61.353305970627716
G30	G19	60.75737418965142
G43	G53	60.60453162300419
G91	G19	59.75420363469251
G40	G24	59.18279905602478
G65	G97	58.52232262615324
G13	G33	58.391583644120544
G53	G43	57.434431527168705
G31	G85	56.668334753171926
G23	G12	55.71024588982364
G87	G76	55.62485117531509
G5	G12	55.18276259090315
G97	G45	55.136828353808106
G30	G51	55.04492719108468
G49	G68	54.93013348274162
G54	G76	54.86534304186304
G19	G30	54.75313447209666
G49	G78	54.5368754396203
G24	G28	54.5204599941867
G31	G17	53.87421305408935
G26	G5	53.00113347452738
G79	G97	52.93283861844719
G99	G56	52.4772279246457
G61	G81	52.39297399683227
G31	G51	51.85499416615694
G51	G92	51.853203133746064
G50	G4	51.67754498056722
G30	G91	51.243523740033076
G69	G44	51.21586847463003
G80	G66	50.888091813797104
G33	G13	50.46396455589514
G70	G97	50.227098667638515
G32	G72	49.90805845458008
G99	G4	49.54036556893078
G17	G31	48.883167344186
G78	G49	48.855353424034
G65	G77	48.51577173004036
G85	G99	48.45428309080907
G40	G43	48.08081821612161
G31	G47	47.49531466647775
G85	G31	47.31424954994672
G40	G29	47.039907865187295
G39	G44	47.006073246755875
G30	G13	46.62899728409228
G49	G25	46.07192765551322
G87	G54	45.7974187347739
G19	G91	45.443242325125055
G19	G16	44.88043284296795
G68	G78	44.80125148015046
G99	G85	44.68091646010905
G72	G66	44.19427236207517
G25	G28	44.01257002009482
G47	G78	43.50877953783675
G80	G72	43.395412264115706
G44	G12	43.37243178966106
G27	G72	43.08586304532636
G31	G37	42.995850092072594
G24	G51	42.59642365606631
G28	G14	42.368919663811745
G39	G52	42.15117998774454
G37	G17	42.11080422910445
G23	G4	42.03050131764427
G94	G69	41.84030926360557
G97	G8	41.16227800590855
G95	G10	41.081621928557404
G8	G45	40.87286524642373
G12	G23	40.83621043494961
G12	G26	40.77880640798484
G14	G56	40.747970720143165
G23	G50	40.6786304169644
G40	G53	40.526043688753056
G99	G52	40.31573341612074
G80	G76	40.26026101115401
G54	G81	40.195463831657676
G99	G50	40.054565000585995
G88	G12	39.97522449197679
G28	G24	39.8959011301164
G8	G97	39.69818958870983
G4	G50	39.61896576649449
G47	G31	39.595318746489795
G60	G49	39.49159450665007
G53	G46	39.22265823463241
G76	G8	39.140852757439056
G15	G76	39.11051415369704
G15	G54	38.76058909745906
G45	G51	38.34361039053245
G87	G45	38.198359114518475
G76	G14	38.03217224886704
G4	G23	37.94027610994667
G91	G47	37.391520868165685
G68	G86	37.210256880275715
G95	G99	37.04534863532622
G60	G78	37.022198053542795
G99	G95	36.98713651855654
G70	G5	36.971484580754264
G52	G28	36.96864677156578
G28	G31	36.95870994131428
G23	G29	36.94628333156044
G56	G33	36.81809612289886
G41	G70	36.656363541432945
G68	G49	36.54790933790944
G86	G61	36.47230446838369
G77	G65	36.44809976366327
G17	G37	36.392935120377565
G52	G12	36.34819859425295
G65	G62	36.32239023434851
G25	G91	36.136371968327076
G86	G68	36.12873561704147
G30	G16	35.95732722022346
G53	G24	35.954642918693224
G92	G88	35.93342064828464
G76	G19	35.903254689984045
G29	G40	35.8205307249256
G63	G51	35.552355891944615
G52	G99	35.46161396167951
G8	G51	35.40903889445957
G76	G54	35.325083957342265
G66	G76	35.10073933912819
G45	G43	34.900599479520444
G23	G65	34.869102350315444
G100	G40	34.8532583104696
G13	G44	34.63647142866406
G40	G85	34.54446696730939
G44	G39	34.43899296178167
G17	G21	34.304314576859596
G37	G31	34.092359135298075
G56	G14	34.045106860486705
G52	G39	33.90398677541342
G29	G81	33.86415272523901
G60	G68	33.72555330084133
G23	G16	33.686396436812956
G68	G25	33.50577655562856
G62	G65	33.36539507608025
G86	G4	33.166000557690225
G78	G25	33.1396093615867
G25	G78	32.99772980094906
G28	G52	32.87560160199055
G76	G66	32.76495648683288
G52	G47	32.510943888612054
G50	G23	32.18375601910172
G29	G54	32.18203220286857
G39	G13	32.142696972960685
G29	G92	32.03944459949086
G77	G69	31.876827221397033
G88	G92	31.830759456736665
G32	G76	31.755543989233647
G70	G65	31.73691897423781
G92	G51	31.333536745842135
G52	G59	31.134031776119453
G99	G23	30.947407876605354
G12	G100	30.914473580327247
G86	G78	30.907888006863583
G65	G23	30.849718841936266
G97	G70	30.75503057071358
G69	G94	30.693198763282712
G97	G20	30.677581886267365
G43	G24	30.53536030198189
G13	G30	30.496638729383466
G97	G79	30.34257456150141
G23	G92	30.21251570541952
G45	G87	30.15316841906372
G90	G95	30.13134886575485
G29	G87	30.099392238476405
G69	G72	30.069550979421354
G82	G43	30.036926563970884
G82	G48	29.87772925286836
G20	G97	29.875796540425196
G47	G68	29.65590333514152
G81	G73	29.593672811098916
G8	G43	29.361250718852197
G51	G31	29.175384120523596
G25	G43	29.126530298006973
G29	G15	29.014456809185436
G24	G94	28.888685993690764
G65	G70	28.851959069212327
G24	G63	28.849258139956138
G65	G79	28.78083971463813
G81	G94	28.708709393361172
G76	G32	28.43124496635271
G73	G43	28.368179619131013
G87	G7	28.35070587661491
G99	G68	28.33760871551754
G13	G39	28.325785996370584
G65	G20	28.204711368137925
G86	G25	28.143466743459978
G50	G86	28.124939245074117
G29	G64	28.12037631612211
G54	G56	28.096646716224686
G9	G30	28.07355887309814
G5	G70	28.05756842354443
G44	G62	27.945350750113935
G40	G64	27.909375871668338
G100	G98	27.89806502671338
G30	G31	27.881140463179108
G60	G4	27.845005936209994
G85	G90	27.740288482323415
G30	G82	27.701396518986314
G44	G65	27.68803996963762
G29	G76	27.56156236415585
G81	G44	27.482678859582528
G87	G80	27.18704048799595
G44	G5	27.177637543507807
G39	G91	27.062267540429634
G39	G41	26.960841487879485
G80	G32	26.800804375118872
G29	G7	26.76118072816296
G17	G95	26.740010066371184
G47	G28	26.65540125996518
G94	G23	26.508539034536835
G14	G28	26.385451711792587
G65	G69	26.139467583164887
G76	G72	26.029373389085272
G92	G23	25.993773955041398
G53	G82	25.989545047650164
G72	G69	25.98091869696237
