Gene1	Gene2	EdgeWeight
G30	G69	1.37287716180878
G71	G69	1.3696188150139699
G19	G69	1.36179924977064
G54	G69	1.3586204055894098
G23	G69	1.34233795738473
G83	G69	1.33156754792814
G42	G69	1.31739613337974
G22	G69	1.31731338668981
G35	G69	1.30183464213497
G53	G69	1.29946793924709
G50	G69	1.2939940860177501
G96	G69	1.2915507145948701
G36	G69	1.29147207821142
G14	G69	1.29140037285803
G3	G69	1.28145212352061
G58	G69	1.2782523412943798
G77	G69	1.2758987749751698
G60	G69	1.27187600024276
G15	G69	1.26957274540059
G11	G69	1.26086999926384
G93	G69	1.25424750497775
G67	G69	1.24431795781969
G18	G69	1.24406633506822
G21	G69	1.21565568531666
G61	G69	1.19993265908053
G32	G69	1.19617441522339
G27	G69	1.19603803456697
G10	G69	1.19288559104922
G13	G69	1.1815787242154199
G57	G69	1.1786229325781201
G65	G69	1.1693851768347099
G6	G69	1.1662602456203301
G34	G69	1.1529045992651399
G66	G69	1.12087561774035
G71	G95	1.10999345308631
G30	G95	1.1071722578471
G19	G95	1.0998290041106398
G54	G95	1.09900868919801
G23	G95	1.0844431202814
G16	G69	1.08176192908231
G83	G95	1.07999730908404
G68	G69	1.06906786918374
G38	G69	1.06886119341892
G22	G95	1.06840529035265
G42	G95	1.06832780970215
G35	G95	1.05655696442015
G53	G95	1.0535517527525
G71	G98	1.0532533498732801
G74	G69	1.05190636073148
G96	G95	1.04817712292679
G36	G95	1.04804920942183
G50	G95	1.04778510151347
G14	G95	1.0414845026038
G3	G95	1.03999973400042
G58	G95	1.03748159064566
G77	G95	1.03395040651244
G83	G98	1.0328594436199499
G60	G95	1.03128301941669
G15	G95	1.02995871980315
G59	G69	1.02502466179141
G89	G69	1.0239144742414599
G11	G95	1.02264660903456
G22	G98	1.02115795734622
G42	G98	1.0204936371609399
G93	G95	1.01851573119803
G35	G98	1.0183702609196401
G96	G98	1.01033814468624
G54	G98	1.01033317854869
G18	G95	1.0102772179155999
G67	G95	1.00992871490589
G36	G98	1.0085586270608802
G3	G98	1.00209475632739
G58	G98	0.999481706724018
G53	G98	0.9993402525066221
G19	G98	0.987457386649597
G93	G98	0.9852781993100129
G15	G98	0.9849361453831179
G21	G95	0.9847812057698629
G82	G69	0.9843796692404491
G60	G98	0.9815971682297991
G18	G98	0.980266265490172
G23	G98	0.9785117262562579
G11	G98	0.977583863847
G50	G98	0.975872586744935
G30	G98	0.975335670091646
G61	G95	0.9737315561276759
G67	G98	0.9729432338447129
G27	G95	0.972292873956272
G32	G95	0.9721176250367041
G77	G98	0.971435425603886
G10	G95	0.969174090137773
G49	G69	0.962439141398247
G30	G94	0.959151166746082
G57	G95	0.9572493173549591
G13	G95	0.956450304936163
G75	G69	0.95606761115842
G27	G98	0.9520224382409731
G32	G98	0.94757301962926
G65	G95	0.947079332010593
G6	G95	0.9459193608734009
G19	G94	0.9441421784830161
G70	G69	0.9402305473364009
G10	G98	0.939638867840955
G34	G95	0.9363645244117099
G21	G98	0.9354182277896189
G61	G98	0.933831617700402
G54	G94	0.932451742157604
G57	G98	0.928882351925687
G23	G94	0.9287267705850941
G71	G94	0.9265654241795871
G95	G69	0.9175494752778679
G66	G95	0.9120845304395891
G14	G98	0.9118573385813191
G34	G98	0.9089348291936179
G73	G69	0.908409557924532
G14	G94	0.904853317598727
G6	G98	0.9035508979947591
G66	G98	0.900789095140139
G83	G94	0.8977302767800759
G42	G94	0.8886125408189599
G22	G94	0.8883860363616221
G50	G94	0.883100332797614
G53	G94	0.87955802966518
G13	G98	0.878161377477615
G16	G95	0.8777704489317291
G35	G94	0.874593847237355
G65	G98	0.874485046148293
G37	G69	0.8713480857068521
G68	G95	0.870496984451588
G36	G94	0.868272375117573
G79	G69	0.867897362736997
G38	G95	0.8677828315332121
G96	G94	0.8676234350855659
G77	G94	0.86752765145327
G3	G94	0.8610152587738878
G68	G98	0.860930205904218
G60	G94	0.859394959382607
G58	G94	0.85898314318746
G15	G94	0.8561631659984259
G74	G95	0.852669895606845
G20	G69	0.852455656490511
G11	G94	0.8502966525719442
G93	G94	0.841368917830919
G38	G98	0.8409184925513291
G62	G69	0.8388868308824459
G17	G69	0.8383781300928391
G67	G94	0.8361679810107209
G16	G98	0.834962060148963
G59	G95	0.83336156447243
G89	G95	0.8333402456646658
G18	G94	0.8332369996425458
G89	G98	0.8300568407557709
G59	G98	0.8221698800046859
G21	G94	0.8215072617097321
G55	G69	0.8210675209109141
G74	G98	0.813270981336922
G13	G94	0.812037626720024
G61	G94	0.8082041917967521
G65	G94	0.801787327449245
G82	G95	0.8005193530338209
G32	G94	0.7997196381191541
G10	G94	0.799622546933708
G27	G94	0.79789995309994
G82	G98	0.7896946877146421
G57	G94	0.789461624379905
G30	G30	0.789006272322235
G6	G94	0.7868302895931679
G49	G95	0.7834887744373851
G49	G98	0.776809489173823
G69	G69	0.7766310430374491
G75	G95	0.7756405737559691
G34	G94	0.772065643250452
G7	G69	0.7644711962987091
G70	G95	0.759113296131717
G14	G30	0.753627371156644
G66	G94	0.7449040305875501
G75	G98	0.744762631201204
G19	G30	0.7440427328312281
G73	G95	0.7393910559631708
G95	G95	0.7387009060702059
G73	G98	0.7376375873223578
G39	G69	0.736373578970765
G16	G94	0.73175415046196
G23	G30	0.7232370306404542
G71	G70	0.7214216102670279
G92	G69	0.717576096252431
G30	G70	0.716669560462867
G38	G94	0.7162006659449258
G28	G69	0.715526283495861
G54	G70	0.71282026058483
G19	G70	0.7124415175030859
G68	G94	0.710324060695506
G74	G94	0.7097958670547159
G71	G37	0.70760049339627
G37	G95	0.7036443252386538
G79	G95	0.7033174320416661
G62	G98	0.703220690146463
G23	G70	0.7026107685290821
G83	G70	0.702082775021563
G22	G70	0.694503737724646
G42	G70	0.6944958263626851
G54	G30	0.6933417700904749
G20	G95	0.691342569600991
G83	G37	0.690637679906157
G54	G37	0.690172961861552
G70	G98	0.6898866981704351
G35	G70	0.687027261855331
G53	G70	0.68442468338452
G62	G95	0.684122185937275
G69	G98	0.683543152926171
G19	G37	0.6834255712858349
G22	G37	0.6829976667228851
G42	G37	0.6829018824201271
G30	G37	0.682622741417634
G17	G95	0.682342720930508
G96	G70	0.68162887056623
G36	G70	0.6814519350949261
G59	G94	0.6810015984478021
G46	G69	0.680344884363183
G50	G70	0.680000798713461
G35	G37	0.6778473887236249
G8	G69	0.677556233280462
G89	G94	0.677290219671422
G3	G70	0.6762681947840351
G23	G37	0.6752722808992121
G58	G70	0.6745892136446171
G98	G69	0.674025339965933
G14	G70	0.6735611800580581
G96	G37	0.672579702167875
G36	G37	0.671924403058497
G17	G98	0.671233979185663
G77	G70	0.671158728692504
G53	G37	0.670893112982851
G60	G70	0.6702166042586829
G15	G70	0.669343672490402
G55	G98	0.668706291997175
G55	G95	0.668308530304797
G3	G37	0.667161371561241
G79	G98	0.665756121529437
G58	G37	0.6654106780909139
G11	G70	0.6647130221610451
G93	G70	0.662253836999381
G50	G37	0.661717100616734
G15	G37	0.658200072133816
G60	G37	0.6580087917916679
G18	G70	0.65710918877808
G67	G70	0.65668368310991
G20	G98	0.655264977196975
G77	G37	0.6552016127044761
G93	G37	0.654170177829447
G82	G94	0.6540994860036371
G11	G37	0.653699595630481
G18	G37	0.6499979153622989
G95	G98	0.648981826957902
G67	G37	0.647759945540884
G70	G94	0.6476852287673989
G37	G98	0.6442541810745379
G75	G94	0.643409840079777
G21	G70	0.640627416006256
G95	G94	0.6405435709264301
G14	G37	0.639649648322249
G49	G94	0.6384888228754089
G69	G95	0.637564240590393
G50	G30	0.63409348303692
G61	G70	0.6328174437813111
G27	G70	0.632412678306229
G32	G70	0.632141548559301
G71	G30	0.6308542262558651
G10	G70	0.629983455027151
G21	G37	0.629157708764086
G27	G37	0.6275584193659101
G32	G37	0.6261390223572401
G61	G37	0.622914818114895
G10	G37	0.622580076226376
G57	G70	0.622535393717194
G7	G95	0.6215257556169941
G13	G70	0.619650576262552
G30	G14	0.617853467364787
G57	G37	0.615727347800928
G7	G98	0.615034348626671
G6	G70	0.6147503692725389
G65	G70	0.6136557040740289
G34	G70	0.6090148652304871
G77	G30	0.607535949297669
G13	G30	0.6049131727845961
G6	G37	0.604316923964994
G34	G37	0.602484410911883
G73	G94	0.600403880816431
G39	G95	0.599151903088989
G53	G30	0.59913254223513
G13	G37	0.598978686116359
G37	G94	0.598180717662272
G39	G98	0.597070282339716
G83	G30	0.596462004814837
G14	G14	0.595597434785789
G65	G37	0.59439601244887
G66	G70	0.593267980941045
G42	G30	0.592640561673839
G22	G30	0.5913421512219139
G66	G37	0.5905080745874909
G65	G30	0.588372845827125
G79	G94	0.587847696885697
G71	G68	0.5864329883610699
G92	G95	0.580753100576487
G60	G30	0.579458492281104
G30	G68	0.577638295326563
G20	G94	0.577463839338795
G54	G68	0.5770300570090661
G28	G95	0.576536602380855
G19	G68	0.575213671086469
G83	G68	0.570987029189556
G16	G70	0.569788373067523
G15	G30	0.568700951015689
G88	G69	0.567685437536315
G23	G68	0.56762909490224
G35	G30	0.566524759891486
G80	G69	0.5663179917822879
G68	G70	0.5659192851419189
G19	G14	0.565638199216921
G11	G30	0.565611260248299
G36	G30	0.565405049857277
G30	G19	0.5653787694431059
G42	G68	0.5648263524958671
G22	G68	0.5647711846033051
G38	G70	0.564524361504325
G68	G37	0.563250986023452
G96	G30	0.56199791462835
G35	G68	0.55917598599031
G17	G94	0.558651762834549
G16	G37	0.558622835049761
G3	G30	0.558341488623511
G21	G30	0.558318218407891
G38	G37	0.558259262106265
G58	G30	0.557335693818912
G53	G68	0.555907366492449
G71	G17	0.555591327913798
G96	G68	0.554816578477656
G36	G68	0.55450737010107
G74	G70	0.5544949295080239
G46	G95	0.552869141105084
G50	G68	0.551154196264615
G3	G68	0.550385770526405
G8	G95	0.550027822272607
G58	G68	0.548911473620735
G62	G94	0.545833778922122
G74	G37	0.545154145637826
G23	G14	0.545119423404151
G60	G68	0.5447242429414071
G83	G17	0.5443848662695571
G77	G68	0.544350371813328
G15	G68	0.544120441127873
G98	G95	0.54300489658282
G92	G98	0.5428267162792579
G89	G70	0.54267537731077
G59	G70	0.542616512962831
G67	G30	0.54253556415586
G89	G37	0.542395803744028
G14	G68	0.542116889807415
G55	G94	0.541762350366032
G14	G19	0.541339159097036
G11	G68	0.540556886803221
G59	G37	0.540448721078461
G46	G98	0.539979324205264
G93	G68	0.538925886269746
G93	G30	0.538296385082954
G22	G17	0.538290641784479
G42	G17	0.5379151309581279
G35	G17	0.5363207600852911
G54	G17	0.535634791139321
G18	G68	0.535120293302411
G67	G68	0.534352177931915
G96	G17	0.532020407586445
G61	G30	0.531883431648432
G95	G30	0.5317821420504111
G36	G17	0.5312348023828359
G8	G98	0.52968461762859
G19	G19	0.528870459953135
G18	G30	0.527797084736378
G3	G17	0.5277376980919241
G53	G17	0.5275100721595151
G71	G21	0.5267802407340529
G58	G17	0.52639759425936
G19	G17	0.525363057323074
G6	G30	0.524550941521166
G100	G69	0.5237885563287271
G21	G68	0.5212774828878151
G82	G70	0.521181523579888
G23	G17	0.52030839867359
G30	G17	0.520183393718523
G15	G17	0.519380613722886
G82	G37	0.519004985013115
G83	G21	0.518921809177149
G93	G17	0.5187957347978259
G60	G17	0.517730866785931
G50	G17	0.516465235434566
G18	G17	0.515844461202957
G11	G17	0.51539199159583
G27	G68	0.5152008503636091
G32	G68	0.514670180722959
G61	G68	0.514535282247166
G35	G21	0.5139702862707071
G77	G17	0.513701769047515
G23	G19	0.5128833495778641
G22	G21	0.5127986595469319
G10	G68	0.512482187042608
G67	G17	0.51240830255196
G42	G21	0.512406802998893
G96	G21	0.510037414412697
G49	G70	0.5096290902680429
G36	G21	0.5085402587882609
G49	G37	0.507964622273946
G28	G94	0.5075548944611931
G10	G30	0.5074233632293571
G7	G94	0.5070269817936249
G57	G68	0.506861712282677
G3	G21	0.5056984794919079
G75	G70	0.50428520191069
G58	G21	0.504252975496154
G54	G14	0.504172497772692
G13	G68	0.500843103427546
G27	G17	0.5007302388537279
G57	G30	0.49983452752404295
G6	G68	0.49983001769947105
G53	G21	0.49907330460596994
G32	G17	0.49868318144283297
G30	G23	0.498482984953247
G32	G30	0.49824436396246
G93	G21	0.498074346982613
G70	G30	0.49696856289104996
G75	G37	0.49682307526674097
G18	G21	0.496698726700365
G65	G68	0.49618504903942207
G34	G68	0.495887242576782
G69	G94	0.49576425377052896
G10	G17	0.49492655090198395
G15	G21	0.494382664379954
G54	G21	0.494165317507831
G16	G30	0.493472737673348
G70	G70	0.492926237846754
G21	G17	0.49264494808483705
G61	G17	0.49234935137172997
G60	G21	0.49160153276666707
G67	G21	0.490886182244059
G11	G21	0.49085237994043396
G28	G98	0.49036852367621503
G64	G69	0.490116926987773
G87	G69	0.48929275863433397
G27	G30	0.489242032676445
G98	G98	0.488917841840363
