Parent	Type	Child	Weight	Probability	Score
G1	+	G1	0.074128	0.996274	0.240491
G2	+	G1	0.015811	0.443507	0.022834
G3	+	G1	0.029834	0.468175	0.045484
G4	+	G1	0.019424	0.281546	0.017809
G5	-	G1	-0.100010	0.984312	-0.320562
G6	+	G1	0.040893	0.679660	0.090507
G7	+	G1	0.037930	0.626206	0.077346
G8	+	G1	0.095908	0.995455	0.310896
G9	-	G1	-0.008032	0.249031	-0.006514
G10	-	G1	-0.002685	0.279045	-0.002440
G11	-	G1	-0.042287	0.713946	-0.098314
G12	+	G1	0.003584	0.179493	0.002095
G13	-	G1	-0.001656	0.260009	-0.001402
G14	+	G1	0.020604	0.329088	0.022080
G15	-	G1	-0.090650	0.999295	-0.294985
G16	+	G1	0.021604	0.339005	0.023849
G17	-	G1	-0.041443	0.582003	-0.078544
G18	+	G1	0.040987	0.638990	0.085286
G19	-	G1	-0.092545	0.981584	-0.295814
G20	+	G1	0.022902	0.421751	0.031454
G21	+	G1	0.085641	0.954855	0.266290
G22	-	G1	-0.049093	0.580891	-0.092865
G23	+	G1	0.025685	0.425748	0.035610
G24	+	G1	0.063654	0.926966	0.192146
G25	+	G1	0.017657	0.374461	0.021530
G26	+	G1	0.015518	0.440188	0.022243
G27	-	G1	-0.070305	0.767934	-0.175813
G28	+	G1	0.047379	0.806631	0.124452
G29	+	G1	0.062110	0.950405	0.192224
G30	-	G1	-0.001751	0.226141	-0.001290
G31	+	G1	0.050098	0.817294	0.133334
G32	+	G1	0.010978	0.245805	0.008787
G33	-	G1	-0.042123	0.549502	-0.075376
G34	+	G1	0.039086	0.694003	0.088333
G35	+	G1	0.020525	0.360157	0.024072
G36	+	G1	0.025827	0.352821	0.029674
G37	-	G1	-0.006159	0.227210	-0.004557
G38	-	G1	-0.004246	0.265507	-0.003671
G39	+	G1	0.010475	0.277458	0.009464
G40	+	G1	0.026925	0.464844	0.040757
G41	+	G1	0.012233	0.318420	0.012684
G42	-	G1	-0.015057	0.356713	-0.017490
G43	+	G1	0.025190	0.356058	0.029207
G44	+	G1	0.040201	0.761174	0.099646
G45	+	G1	0.084220	0.999191	0.274031
G46	+	G1	0.006943	0.260868	0.005898
G47	+	G1	0.005181	0.276570	0.004666
G48	+	G1	0.046134	0.760670	0.114275
G49	+	G1	0.042654	0.664019	0.092231
G50	+	G1	0.148061	1.000000	0.482147
G51	+	G1	0.077490	0.926753	0.233856
G52	+	G1	0.010885	0.267080	0.009467
G53	-	G1	-0.026734	0.417281	-0.036327
G54	+	G1	0.089262	0.997908	0.290064
G55	+	G1	0.015762	0.313070	0.016069
G56	-	G1	-0.035986	0.524897	-0.061511
G57	+	G1	0.029762	0.476154	0.046148
G58	+	G1	0.042647	0.721742	0.100233
G59	+	G1	0.072892	0.994312	0.236014
G60	+	G1	0.027196	0.471815	0.041784
G61	+	G1	0.041553	0.747180	0.101104
G62	+	G1	0.051252	0.895321	0.149425
G63	-	G1	-0.021480	0.369680	-0.025859
G64	+	G1	0.019064	0.338070	0.020988
G65	+	G1	0.031532	0.495095	0.050837
G66	+	G1	0.058800	0.934363	0.178909
G67	+	G1	0.033184	0.390099	0.042154
G68	+	G1	0.086364	0.970479	0.272932
G69	+	G1	0.034577	0.643852	0.072496
G70	-	G1	-0.017679	0.324251	-0.018667
G71	-	G1	-0.030619	0.390575	-0.038943
G72	-	G1	-0.012790	0.254296	-0.010591
G73	-	G1	-0.018952	0.248556	-0.015339
G74	-	G1	-0.044941	0.690888	-0.101109
G75	+	G1	0.093013	0.997786	0.302217
G76	-	G1	-0.072647	0.876341	-0.207314
G77	+	G1	0.016528	0.311560	0.016768
G78	+	G1	0.050809	0.838657	0.138758
G79	+	G1	0.046177	0.769515	0.115712
G80	+	G1	0.087196	0.973952	0.276550
G81	+	G1	0.039982	0.608883	0.079275
G82	+	G1	0.053660	0.778115	0.135966
G83	-	G1	-0.009853	0.270092	-0.008666
G84	+	G1	0.017687	0.299063	0.017225
G85	+	G1	0.066742	0.920715	0.200107
G86	+	G1	0.010258	0.228786	0.007642
G87	+	G1	0.041261	0.582014	0.078201
G88	+	G1	0.036659	0.628093	0.074980
G89	+	G1	0.016090	0.273581	0.014334
G90	+	G1	0.033797	0.526590	0.057955
G91	+	G1	0.093547	0.998154	0.304063
G92	+	G1	0.037324	0.571441	0.069454
G93	-	G1	-0.024468	0.401263	-0.031972
G94	+	G1	0.010658	0.172847	0.005999
G95	+	G1	0.045422	0.791517	0.117075
G96	+	G1	0.021474	0.362906	0.025377
G97	+	G1	0.072594	0.947162	0.223906
G98	+	G1	0.053972	0.909046	0.159768
G99	+	G1	0.051679	0.904818	0.152269
G100	+	G1	0.045709	0.842044	0.125334
G1	+	G2	0.005898	0.211054	0.004054
G2	+	G2	0.008764	0.447376	0.012767
G3	-	G2	-0.007224	0.332137	-0.007813
G4	-	G2	-0.010416	0.363045	-0.012314
G5	+	G2	0.042149	0.984300	0.135098
G6	-	G2	-0.010540	0.468311	-0.016074
G7	-	G2	-0.002128	0.281774	-0.001953
G8	-	G2	-0.014187	0.408948	-0.018893
G9	+	G2	0.002883	0.215562	0.002024
G10	+	G2	0.003087	0.263166	0.002646
G11	+	G2	0.007530	0.229497	0.005628
G12	+	G2	0.006949	0.188220	0.004259
G13	-	G2	-0.006562	0.363771	-0.007773
G14	+	G2	0.006779	0.266492	0.005882
G15	+	G2	0.035355	0.990097	0.113990
G16	+	G2	0.011558	0.347469	0.013077
G17	+	G2	0.026461	0.790870	0.068148
G18	+	G2	0.006194	0.245431	0.004950
G19	+	G2	0.016214	0.450372	0.023779
G20	+	G2	0.036848	0.995751	0.119482
G21	-	G2	-0.008056	0.368316	-0.009662
G22	+	G2	0.009621	0.490359	0.015363
G23	+	G2	0.007471	0.212718	0.005175
G24	-	G2	-0.003415	0.295611	-0.003287
G25	-	G2	-0.003947	0.306642	-0.003941
G26	+	G2	0.004655	0.418697	0.006346
G27	+	G2	0.026671	0.678987	0.058972
G28	+	G2	0.031172	0.983544	0.099838
G29	+	G2	0.011505	0.312067	0.011692
G30	-	G2	-0.001835	0.239206	-0.001429
G31	-	G2	-0.013846	0.568906	-0.025652
G32	+	G2	0.006074	0.199657	0.003949
G33	+	G2	0.018318	0.526979	0.031434
G34	-	G2	-0.024862	0.971741	-0.078674
G35	+	G2	0.034773	0.985032	0.111541
G36	+	G2	0.006411	0.206855	0.004318
G37	+	G2	0.014738	0.382448	0.018354
G38	+	G2	0.008501	0.281863	0.007803
G39	-	G2	-0.014825	0.584959	-0.028239
G40	+	G2	0.017983	0.568530	0.033293
G41	-	G2	-0.011945	0.372985	-0.014508
G42	+	G2	0.007907	0.335654	0.008643
G43	-	G2	-0.011386	0.367233	-0.013616
G44	+	G2	0.024632	0.833034	0.066818
G45	+	G2	0.008222	0.245017	0.006560
G46	+	G2	0.008591	0.288072	0.008059
G47	+	G2	0.004134	0.263914	0.003553
G48	-	G2	-0.000903	0.218570	-0.000642
G49	+	G2	0.005312	0.232065	0.004014
G50	-	G2	-0.013718	0.577747	-0.025809
G51	-	G2	-0.009241	0.365162	-0.010988
G52	-	G2	-0.001487	0.237818	-0.001151
G53	+	G2	0.006761	0.347885	0.007659
G54	-	G2	-0.006079	0.308804	-0.006113
G55	+	G2	0.020228	0.634021	0.041764
G56	+	G2	0.013232	0.464893	0.020032
G57	-	G2	-0.030341	0.964775	-0.095323
G58	+	G2	0.005097	0.236494	0.003925
G59	-	G2	-0.018508	0.875215	-0.052749
G60	+	G2	0.001778	0.236982	0.001372
