Gene1	Gene2	EdgeWeight
G1	G1	1.0
G64	G64	1.0
G74	G74	1.0
G73	G73	1.0
G72	G72	1.0
G71	G71	1.0
G70	G70	1.0
G69	G69	1.0
G68	G68	1.0
G67	G67	1.0
G66	G66	1.0
G65	G65	1.0
G63	G63	1.0
G2	G2	1.0
G62	G62	1.0
G61	G61	1.0
G60	G60	1.0
G59	G59	1.0
G58	G58	1.0
G57	G57	1.0
G56	G56	1.0
G55	G55	1.0
G54	G54	1.0
G53	G53	1.0
G75	G75	1.0
G76	G76	1.0
G77	G77	1.0
G78	G78	1.0
G99	G99	1.0
G98	G98	1.0
G97	G97	1.0
G96	G96	1.0
G95	G95	1.0
G94	G94	1.0
G93	G93	1.0
G92	G92	1.0
G91	G91	1.0
G90	G90	1.0
G89	G89	1.0
G88	G88	1.0
G87	G87	1.0
G86	G86	1.0
G85	G85	1.0
G84	G84	1.0
G83	G83	1.0
G82	G82	1.0
G81	G81	1.0
G80	G80	1.0
G79	G79	1.0
G52	G52	1.0
G51	G51	1.0
G50	G50	1.0
G25	G25	1.0
G23	G23	1.0
G22	G22	1.0
G21	G21	1.0
G20	G20	1.0
G19	G19	1.0
G18	G18	1.0
G17	G17	1.0
G16	G16	1.0
G15	G15	1.0
G14	G14	1.0
G13	G13	1.0
G12	G12	1.0
G11	G11	1.0
G10	G10	1.0
G9	G9	1.0
G8	G8	1.0
G7	G7	1.0
G6	G6	1.0
G5	G5	1.0
G4	G4	1.0
G3	G3	1.0
G24	G24	1.0
G26	G26	1.0
G49	G49	1.0
G27	G27	1.0
G48	G48	1.0
G47	G47	1.0
G46	G46	1.0
G45	G45	1.0
G44	G44	1.0
G43	G43	1.0
G42	G42	1.0
G41	G41	1.0
G40	G40	1.0
G39	G39	1.0
G38	G38	1.0
G37	G37	1.0
G36	G36	1.0
G35	G35	1.0
G34	G34	1.0
G33	G33	1.0
G32	G32	1.0
G31	G31	1.0
G30	G30	1.0
G29	G29	1.0
G28	G28	1.0
G100	G100	1.0
G37	G36	-0.41136316307440995
G36	G37	-0.411363163074409
G18	G62	0.396325598462046
G62	G18	0.39632559846204496
G91	G90	-0.366257558093828
G90	G91	-0.366257558093827
G24	G26	-0.29393196088769397
G26	G24	-0.29393196088769297
G98	G75	0.28174559019571804
G75	G98	0.28174559019571804
G18	G20	0.274189228085537
G20	G18	0.27418922808553603
G27	G34	0.258314223733841
G34	G27	0.25831422373384
G1	G20	-0.250965809721021
G20	G1	-0.250965809721021
G24	G25	0.248546921340874
G25	G24	0.248546921340874
G90	G62	-0.24724970150691897
G62	G90	-0.24724970150691897
G2	G98	0.242898117587311
G98	G2	0.242898117587311
G8	G6	0.24234272015362804
G6	G8	0.24234272015362804
G95	G75	-0.23997125322206103
G75	G95	-0.23997125322206103
G8	G4	-0.22052340098304998
G4	G8	-0.22052340098304998
G71	G75	0.220136779489526
G75	G71	0.220136779489526
G75	G34	0.21663356198211897
G34	G75	0.21663356198211897
G18	G40	-0.21407319246082002
G40	G18	-0.21407319246082002
G40	G38	0.21345613670496502
G38	G40	0.21345613670496502
G14	G13	0.212139572821248
G13	G14	0.212139572821248
G4	G5	-0.210375694836834
G5	G4	-0.210375694836834
G1	G7	0.207342398024507
G7	G1	0.207342398024507
G25	G57	0.20618817896203398
G57	G25	0.20618817896203398
G16	G31	-0.202423005865012
G31	G16	-0.202423005865012
G36	G15	0.19718005021947
G15	G36	0.19718005021947
G100	G62	0.19509016992267803
G62	G100	0.19509016992267803
G30	G8	-0.19355704142998398
G8	G30	-0.19355704142998398
G4	G6	-0.19263674334632502
G6	G4	-0.19263674334632397
G27	G40	-0.19142436171647798
G40	G27	-0.19142436171647798
G37	G34	0.18958842784324803
G34	G37	0.18958842784324698
G88	G89	-0.184295648799095
G89	G88	-0.184295648799095
G98	G80	-0.18334555339865805
G80	G98	-0.18334555339865805
G38	G48	0.182446067435784
G48	G38	0.18244606743578304
G62	G91	0.18204309059455998
G91	G62	0.18204309059455998
G36	G98	-0.17846342817820396
G98	G36	-0.17846342817820396
G15	G14	0.17731932930246
G14	G15	0.17731932930246
G61	G16	0.176286703812076
G16	G61	0.176286703812075
G1	G6	-0.174606649826678
G6	G1	-0.174606649826678
G17	G46	0.174303105525662
G46	G17	0.174303105525662
G75	G88	0.17094116495294298
G88	G75	0.17094116495294298
G48	G11	-0.16572085240724
G11	G48	-0.16572085240724
G5	G27	0.165716019433171
G27	G5	0.165716019433171
G100	G75	0.16531216162923498
G75	G100	0.16531216162923498
G16	G34	0.163390410326568
G34	G16	0.16339041032656698
G8	G61	-0.15916938906480402
G61	G8	-0.15916938906480402
G95	G2	0.159155730844719
G2	G95	0.159155730844719
G36	G17	-0.15861320642858098
G17	G36	-0.15861320642858098
G14	G98	-0.157940630970954
G98	G14	-0.157940630970954
G56	G55	-0.156940216848766
G55	G56	-0.156940216848766
G51	G39	0.155814028447022
G39	G51	0.155814028447021
G49	G38	-0.15542331478116
G38	G49	-0.15542331478116
G80	G21	0.155362856293376
G21	G80	0.155362856293376
G87	G98	0.153987203212817
G98	G87	0.153987203212817
G15	G9	-0.15356962907349403
G9	G15	-0.15356962907349403
G89	G6	0.152688745780368
G6	G89	0.152688745780368
G33	G38	0.150994911333806
G38	G33	0.150994911333806
G5	G56	-0.150683632744051
G56	G5	-0.150683632744051
G55	G31	-0.150486831326302
G31	G55	-0.150486831326302
G53	G40	0.149952649520919
G40	G53	0.149952649520918
G48	G37	0.149875238237129
G37	G48	0.149875238237128
G55	G50	0.14959363685906
G50	G55	0.149593636859059
G26	G37	-0.14930598741560502
G37	G26	-0.14930598741560502
G98	G100	-0.149235950126898
G100	G98	-0.149235950126898
G90	G38	0.148193854045435
G38	G90	0.148193854045435
