Gene1	Gene2	EdgeWeight
G31	G86	1.10595407022658
G31	G86	1.10595407022658
G65	G6	1.01613016905109
G65	G6	1.01613016905109
G31	G8	1.0
G31	G8	1.0
G45	G94	0.9279393154837109
G45	G94	0.9279393154837109
G45	G8	0.9202218471753519
G45	G8	0.9202218471753519
G65	G68	0.9161881634702371
G65	G68	0.9161881634702371
G17	G94	0.795160613143131
G17	G94	0.795160613143131
G31	G36	0.7828328988699979
G31	G36	0.7828328988699979
G97	G68	0.7809947350600791
G97	G68	0.7809947350600791
G97	G6	0.684787458986319
G97	G6	0.684787458986319
G26	G6	0.683761083782766
G26	G6	0.683761083782766
G31	G59	0.662318562076344
G31	G59	0.662318562076344
G40	G6	0.621122717443889
G40	G6	0.621122717443889
G26	G68	0.6040900006129211
G26	G68	0.6040900006129211
G28	G6	0.596153163019952
G28	G6	0.596153163019952
G45	G59	0.579956333309422
G45	G59	0.579956333309422
G40	G68	0.5481702354412229
G40	G68	0.5481702354412229
G28	G68	0.5463604529469529
G28	G68	0.5463604529469529
G17	G8	0.544918110595031
G17	G8	0.544918110595031
G77	G68	0.539097475564892
G77	G68	0.539097475564892
G18	G6	0.5370350685541111
G18	G6	0.5370350685541111
G77	G6	0.535625922373059
G77	G6	0.535625922373059
G33	G6	0.527547151868062
G33	G6	0.527547151868062
G100	G94	0.49343950617890997
G100	G94	0.49343950617890997
G31	G13	0.47566123283564293
G31	G13	0.47566123283564293
G18	G68	0.46054621100257204
G18	G68	0.46054621100257204
G33	G68	0.43822323915595895
G33	G68	0.43822323915595895
G45	G86	0.43644626378188295
G45	G86	0.43644626378188295
G25	G94	0.43327196337235296
G25	G94	0.43327196337235296
G13	G94	0.430363019212641
G13	G94	0.430363019212641
G31	G43	0.42161811435777796
G31	G43	0.42161811435777796
G7	G94	0.42117021517920705
G7	G94	0.42117021517920705
G11	G94	0.38848447380312706
G11	G94	0.38848447380312706
G74	G6	0.386161179016181
G74	G6	0.386161179016181
G31	G94	0.37103956516387204
G31	G94	0.37103956516387204
G13	G8	0.3701754490396889
G13	G8	0.3701754490396889
G100	G8	0.36706573180895397
G100	G8	0.36706573180895397
G94	G68	0.36624142145450606
G94	G68	0.36624142145450606
G45	G43	0.353924473028014
G45	G43	0.353924473028014
G45	G13	0.34727482363586104
G45	G13	0.34727482363586104
G17	G59	0.337218410878847
G17	G59	0.337218410878847
G25	G6	0.330413968335438
G25	G6	0.330413968335438
G94	G6	0.32147822987656205
G94	G6	0.32147822987656205
G14	G68	0.319606355109608
G14	G68	0.319606355109608
G72	G68	0.3090819166027
G72	G68	0.3090819166027
G72	G6	0.30590664925105704
G72	G6	0.30590664925105704
G67	G94	0.300816231271889
G67	G94	0.300816231271889
G46	G6	0.29826034817756997
G46	G6	0.29826034817756997
G31	G96	0.289819647085784
G31	G96	0.289819647085784
G36	G94	0.284183997725981
G36	G94	0.284183997725981
G45	G36	0.278823792071786
G45	G36	0.278823792071786
G86	G94	0.275213327684016
G86	G94	0.275213327684016
G17	G40	0.26569681007948803
G17	G40	0.26569681007948803
G14	G6	0.264386639907559
G14	G6	0.264386639907559
G45	G40	0.264101624248202
G45	G40	0.264101624248202
G36	G8	0.264018107011655
G36	G8	0.264018107011655
G51	G86	0.25962060681765803
G51	G86	0.25962060681765803
G74	G68	0.259359301857599
G74	G68	0.259359301857599
G75	G86	0.257975474550821
G75	G86	0.257975474550821
G86	G8	0.24377470065756102
G86	G8	0.24377470065756102
G38	G8	0.242186176958213
G38	G8	0.242186176958213
G42	G94	0.23486142137738802
G42	G94	0.23486142137738802
G25	G68	0.23388340220943998
G25	G68	0.23388340220943998
G70	G86	0.22871543842067998
G70	G86	0.22871543842067998
G45	G25	0.228488591852599
G45	G25	0.228488591852599
G25	G8	0.225913869219152
G25	G8	0.225913869219152
G29	G94	0.22547882162012
G29	G94	0.22547882162012
G49	G8	0.22497219752939399
G49	G8	0.22497219752939399
G77	G94	0.22396343022706502
G77	G94	0.22396343022706502
G90	G94	0.22129393265018998
G90	G94	0.22129393265018998
G50	G8	0.22004975185811498
G50	G8	0.22004975185811498
G46	G86	0.21877025509997602
G46	G86	0.21877025509997602
G49	G94	0.217857898651863
G49	G94	0.217857898651863
G75	G8	0.21416314239311396
G75	G8	0.21416314239311396
G13	G59	0.21270671282335601
G13	G59	0.21270671282335601
G51	G36	0.21223750890982396
G51	G36	0.21223750890982396
G96	G94	0.208121928635827
G96	G94	0.208121928635827
G65	G82	0.20664143238143
G65	G82	0.20664143238143
G65	G22	0.20631739095321103
G65	G22	0.20631739095321103
G18	G86	0.20528978290339803
G18	G86	0.20528978290339803
G21	G36	0.201703252053127
G21	G36	0.201703252053127
G31	G67	0.20169380692885297
G31	G67	0.20169380692885297
G79	G94	0.20128889430273
G79	G94	0.20128889430273
G100	G59	0.199831371557335
G100	G59	0.199831371557335
G46	G68	0.19918737365911998
G46	G68	0.19918737365911998
G17	G43	0.19558912539314002
G17	G43	0.19558912539314002
G31	G42	0.19471943100719002
G31	G42	0.19471943100719002
G70	G36	0.19301491380286603
G70	G36	0.19301491380286603
G21	G86	0.19227613784049696
G21	G86	0.19227613784049696
G38	G94	0.18934941256715
G38	G94	0.18934941256715
G11	G8	0.18806043828635602
G11	G8	0.18806043828635602
G65	G88	0.18792793228402696
G65	G88	0.18792793228402696
G5	G94	0.187783130941137
G5	G94	0.187783130941137
G90	G8	0.186330975593446
G90	G8	0.186330975593446
G53	G94	0.18501819939418399
G53	G94	0.18501819939418399
G87	G8	0.183783829778013
G87	G8	0.183783829778013
G11	G59	0.18314726689146602
G11	G59	0.18314726689146602
G75	G36	0.1817598183292
G75	G36	0.1817598183292
G21	G59	0.180405697808869
G21	G59	0.180405697808869
G18	G22	0.17892269515357104
G18	G22	0.17892269515357104
G65	G20	0.17849231951776395
G65	G20	0.17849231951776395
G70	G59	0.17687562033554502
G70	G59	0.17687562033554502
G21	G67	0.174612976784245
G21	G67	0.174612976784245
G38	G59	0.17317724901528
G38	G59	0.17317724901528
G51	G59	0.172968791111852
G51	G59	0.172968791111852
G96	G8	0.172674580172965
G96	G8	0.172674580172965
G18	G82	0.17264623240569
G18	G82	0.17264623240569
G7	G40	0.170216155934058
G7	G40	0.170216155934058
G17	G25	0.170025301270779
G17	G25	0.170025301270779
G79	G8	0.16972375255704902
G79	G8	0.16972375255704902
G11	G40	0.16822928475051901
G11	G40	0.16822928475051901
G66	G86	0.167626107111712
G66	G86	0.167626107111712
G31	G25	0.16755862261339302
G31	G25	0.16755862261339302
G18	G36	0.166880335670956
G18	G36	0.166880335670956
G17	G13	0.16687254471496
G17	G13	0.16687254471496
G50	G94	0.166400615091194
G50	G94	0.166400615091194
G50	G59	0.16638045290928
G50	G59	0.16638045290928
G51	G8	0.164567967282963
G51	G8	0.164567967282963
G38	G86	0.163319498439482
G38	G86	0.163319498439482
G74	G86	0.16272552869716697
G74	G86	0.16272552869716697
G27	G94	0.161525597854472
G27	G94	0.161525597854472
G46	G36	0.16091400916431
G46	G36	0.16091400916431
G70	G8	0.15802707968930602
G70	G8	0.15802707968930602
G90	G59	0.153755369944103
G90	G59	0.153755369944103
G59	G8	0.152738619337489
G59	G8	0.152738619337489
G50	G86	0.151107687743499
G50	G86	0.151107687743499
G99	G94	0.149845326661363
G99	G94	0.149845326661363
G100	G40	0.14955195816298
G100	G40	0.14955195816298
G28	G22	0.148758684447166
G28	G22	0.148758684447166
G18	G88	0.14767990453987698
G18	G88	0.14767990453987698
G66	G36	0.146304387446549
G66	G36	0.146304387446549
G28	G82	0.14586709399078698
G28	G82	0.14586709399078698
G18	G20	0.14519692891798403
G18	G20	0.14519692891798403
G30	G94	0.14463061511502698
G30	G94	0.14463061511502698
G26	G82	0.144385775339673
G26	G82	0.144385775339673
G26	G22	0.144376775446859
G26	G22	0.144376775446859
G29	G59	0.143875658361971
G29	G59	0.143875658361971
G87	G94	0.14339446096264
G87	G94	0.14339446096264
G59	G94	0.142686372704522
G59	G94	0.142686372704522
G67	G8	0.139578201968958
G67	G8	0.139578201968958
G5	G8	0.13943706990400598
G5	G8	0.13943706990400598
G21	G37	0.13900148253790098
G21	G37	0.13900148253790098
G81	G8	0.13894006944759804
G81	G8	0.13894006944759804
G13	G43	0.138262094473425
G13	G43	0.138262094473425
G75	G59	0.13816425072192198
G75	G59	0.13816425072192198
G36	G59	0.136546432762822
G36	G59	0.136546432762822
G89	G94	0.136201574526664
G89	G94	0.136201574526664
G86	G59	0.134555332717171
G86	G59	0.134555332717171
G1	G8	0.13443906298179598
G1	G8	0.13443906298179598
G13	G13	0.133665257304231
G13	G13	0.133665257304231
G3	G8	0.133169181333735
G3	G8	0.133169181333735
G89	G59	0.13291267038212198
G89	G59	0.13291267038212198
G100	G43	0.132881216598674
G100	G43	0.132881216598674
G33	G22	0.13258134014911202
G33	G22	0.13258134014911202
G33	G82	0.13122901450793
G33	G82	0.13122901450793
G26	G88	0.130922546537683
G26	G88	0.130922546537683
G27	G8	0.130587132382547
G27	G8	0.130587132382547
G74	G8	0.12979731262065403
G74	G8	0.12979731262065403
G28	G88	0.12834526050401
G28	G88	0.12834526050401
G87	G86	0.127664490731192
G87	G86	0.127664490731192
G81	G59	0.126913720656512
G81	G59	0.126913720656512
G40	G82	0.12637616242483
G40	G82	0.12637616242483
G40	G22	0.12580543141221198
G40	G22	0.12580543141221198
G37	G94	0.125533783354194
G37	G94	0.125533783354194
G13	G86	0.12477518522972099
G13	G86	0.12477518522972099
G26	G20	0.12462714725130002
G26	G20	0.12462714725130002
G13	G40	0.12457371132608899
G13	G40	0.12457371132608899
G28	G20	0.124053958959783
G28	G20	0.124053958959783
G49	G86	0.123903934501662
G49	G86	0.123903934501662
G29	G40	0.123850157085342
G29	G40	0.123850157085342
G100	G13	0.123373962979986
G100	G13	0.123373962979986
G97	G22	0.121973650419919
G97	G22	0.121973650419919
G87	G59	0.121177163835127
G87	G59	0.121177163835127
G80	G68	0.119918153125322
G80	G68	0.119918153125322
G29	G37	0.119738655536676
G29	G37	0.119738655536676
G97	G82	0.11922646630193301
G97	G82	0.11922646630193301
G1	G59	0.11869583099644698
G1	G59	0.11869583099644698
G55	G8	0.117661022194127
G55	G8	0.117661022194127
G38	G36	0.117557052715863
G38	G36	0.117557052715863
G49	G59	0.117296428726095
G49	G59	0.117296428726095
G95	G94	0.117199914758148
G95	G94	0.117199914758148
G36	G86	0.117047597540362
G36	G86	0.117047597540362
G33	G88	0.11691042600912599
G33	G88	0.11691042600912599
G40	G88	0.11537384189475199
G40	G88	0.11537384189475199
G11	G25	0.114980764770209
G11	G25	0.114980764770209
G18	G58	0.11399695600899301
G18	G58	0.11399695600899301
G31	G49	0.113928157811212
G31	G49	0.113928157811212
G95	G59	0.113530702164941
G95	G59	0.113530702164941
G89	G37	0.11283580599886699
G89	G37	0.11283580599886699
G33	G20	0.112526704833872
G33	G20	0.112526704833872
G50	G36	0.11249480339372901
G50	G36	0.11249480339372901
G81	G86	0.110792195960397
G81	G86	0.110792195960397
G65	G58	0.109938892080419
G65	G58	0.109938892080419
G70	G67	0.10957377878222098
G70	G67	0.10957377878222098
G79	G59	0.10949528039980301
G79	G59	0.10949528039980301
G40	G20	0.10943021553673402
G40	G20	0.10943021553673402
G42	G40	0.10879952464905199
G42	G40	0.10879952464905199
G46	G22	0.107071055093164
G46	G22	0.107071055093164
G25	G40	0.10646893964118302
G25	G40	0.10646893964118302
G51	G67	0.105987710785999
G51	G67	0.105987710785999
G10	G8	0.10584805280903199
G10	G8	0.10584805280903199
G75	G13	0.10558839759645099
G75	G13	0.10558839759645099
G97	G88	0.105417519741737
G97	G88	0.105417519741737
G3	G59	0.105139072042439
G3	G59	0.105139072042439
G55	G59	0.10470515716139099
G55	G59	0.10470515716139099
G46	G82	0.104428864650901
G46	G82	0.104428864650901
G95	G8	0.10299391081068801
G95	G8	0.10299391081068801
G9	G94	0.102555645073328
G9	G94	0.102555645073328
G21	G96	0.102075252925304
G21	G96	0.102075252925304
G3	G86	0.101992106313949
G3	G86	0.101992106313949
G23	G59	0.10193786335049801
G23	G59	0.10193786335049801
G5	G59	0.101740331789583
G5	G59	0.101740331789583
G36	G13	0.101370687082971
