Gene1	Gene2	EdgeWeight
G20	G1	9999
G20	G2	9998
G15	G2	9997
G15	G1	9996
G15	G3	9995
G20	G3	9994
G32	G1	9993
G32	G2	9992
G15	G4	9991
G20	G4	9990
G32	G3	9989
G77	G21	9988
G7	G46	9987
G58	G46	9986
G62	G66	9985
G15	G5	9984
G42	G21	9983
G62	G21	9982
G16	G21	9981
G88	G21	9980
G35	G21	9979
G25	G7	9978
G48	G46	9977
G14	G21	9976
G1	G21	9975
G20	G5	9974
G31	G7	9973
G11	G1	9972
G74	G21	9971
G60	G46	9970
G69	G21	9969
G96	G21	9968
G90	G46	9967
G98	G7	9966
G78	G21	9965
G71	G21	9964
G14	G1	9963
G46	G46	9962
G39	G21	9961
G12	G21	9960
G89	G46	9959
G1	G22	9958
G34	G21	9957
G19	G7	9956
G80	G1	9955
G29	G76	9954
G28	G21	9953
G93	G21	9952
G35	G46	9951
G52	G46	9950
G13	G46	9949
G51	G46	9948
G1	G56	9947
G70	G21	9946
G72	G7	9945
G47	G46	9944
G75	G21	9943
G32	G4	9942
G13	G21	9941
G50	G46	9940
G65	G66	9939
G27	G21	9938
G22	G46	9937
G4	G21	9936
G41	G66	9935
G33	G98	9934
G42	G46	9933
G54	G21	9932
G98	G98	9931
G11	G56	9930
G43	G44	9929
G33	G21	9928
G4	G22	9927
G41	G21	9926
G42	G98	9925
G16	G16	9924
G82	G22	9923
G98	G21	9922
G12	G46	9921
G91	G46	9920
G34	G22	9919
G44	G22	9918
G2	G21	9917
G57	G46	9916
G21	G46	9915
G61	G66	9914
G4	G42	9913
G29	G77	9912
G100	G7	9911
G92	G91	9910
G55	G46	9909
G82	G21	9908
G29	G39	9907
G66	G7	9906
G48	G53	9905
G8	G21	9904
G61	G44	9903
G33	G7	9902
G92	G46	9901
G37	G46	9900
G53	G46	9899
G89	G41	9898
G1	G7	9897
G74	G7	9896
G56	G46	9895
G73	G76	9894
G49	G56	9893
G70	G46	9892
G29	G40	9891
G67	G88	9890
G68	G89	9889
G10	G66	9888
G76	G46	9887
G14	G22	9886
G49	G46	9885
G94	G7	9884
G31	G98	9883
G56	G4	9882
G74	G22	9881
G33	G56	9880
G73	G21	9879
G38	G53	9878
G34	G7	9877
G79	G66	9876
G72	G40	9875
G97	G7	9874
G86	G77	9873
G83	G85	9872
G69	G56	9871
G69	G93	9870
G40	G40	9869
G93	G46	9868
G79	G21	9867
G44	G41	9866
G85	G4	9865
G76	G21	9864
G32	G5	9863
G85	G46	9862
G99	G74	9861
G77	G41	9860
G54	G98	9859
G44	G7	9858
G42	G7	9857
G79	G22	9856
G36	G21	9855
G83	G56	9854
G87	G44	9853
G70	G56	9852
G88	G88	9851
G31	G94	9850
G93	G7	9849
G46	G56	9848
G53	G74	9847
G25	G56	9846
G37	G39	9845
G25	G98	9844
G93	G56	9843
G1	G57	9842
G17	G41	9841
G39	G7	9840
G66	G21	9839
G4	G57	9838
G52	G56	9837
G73	G7	9836
G44	G69	9835
G86	G22	9834
G23	G46	9833
G86	G40	9832
G24	G55	9831
G58	G98	9830
G46	G7	9829
G98	G56	9828
G83	G4	9827
G48	G98	9826
G34	G98	9825
G49	G47	9824
G70	G7	9823
G65	G42	9822
G21	G4	9821
G92	G41	9820
G40	G47	9819
G9	G46	9818
G9	G66	9817
G80	G21	9816
G11	G46	9815
G64	G93	9814
G39	G98	9813
G46	G98	9812
G86	G89	9811
G11	G2	9810
G79	G44	9809
G4	G56	9808
G71	G7	9807
G34	G94	9806
G25	G76	9805
G73	G77	9804
G67	G7	9803
G90	G1	9802
G25	G77	9801
G50	G53	9800
G7	G98	9799
G97	G66	9798
G69	G7	9797
G45	G56	9796
G5	G72	9795
G65	G57	9794
G28	G56	9793
G28	G64	9792
