	G71	G53	G2	G1	G13	G46	G72	G56	G40	G86	G37	G64	G82	G77	G85	G24	G62	G26	G6	G96	G73	G88	G20	G29	G18	G34	G49	G66	G97	G15	G28	G38	G59	G19	G17	G80	G31	G12	G36	G93	G23	G48	G60	G100	G42	G16	G68	G22	G79	G94	G74	G61	G91	G3	G51	G87	G11	G5	G8	G89	G44	G83	G32	G43	G54	G47	G63	G41	G75	G69	G57	G9	G25	G30	G14	G50	G70	G98	G55	G45	G33	G90	G95	G58	G76	G21	G4	G10	G99	G27	G7	G84	G67	G39	G81	G65	G52	G35	G78	G92
G1	0.01841620146748394	0.01965452117412934	0.012019069722176872	0.05696197887363478	0.007911973276632154	0.04461957506474938	0.012528044026150023	0.010183537691459518	0.021750731513352696	0.013477177894322376	0.02212255608176877	0.004618583900387814	0.0051621842889322984	0.005540529040818709	0.0036939981884906337	0.01664002609769526	0.016500457562853964	0.006430510641900244	0.005043366415593676	0.0045861948885325176	0.011486690065558742	0.007232582950237857	0.004558732981003045	0.05693343247886276	0.009325093297898265	0.005358860145740707	0.0058123416654746775	0.01039187291152924	0.007925319177771447	0.004879040585899675	0.005138687184258254	0.007051383921952967	0.00772009720658924	0.005284765055924672	0.004312281241255232	0.003866507241307798	0.00486327202156503	0.00590997991411716	0.00425510839535153	0.005639716262682132	0.016025060423653148	0.019677373857349696	0.010970604723470029	0.005822361047762496	0.006980261018167468	0.009927538592093632	0.005339352915610361	0.006770194504081169	0.005967094590306315	0.008558018422558076	0.051590048187895386	0.0055559130100099096	0.006368733997957552	0.005086514244642713	0.018381836858138146	0.004201470464273527	0.0038812705544942583	0.005761984452393429	0.01134395189727828	0.00636372912759076	0.004904604883391535	0.005868762725532126	0.005557964206917849	0.004966820807778381	0.005530650035769876	0.021368833819701623	0.004978734023117978	0.00886754297715025	0.005431581730514536	0.01361094355968938	0.018014137581648427	0.005574835387875451	0.013976150161441528	0.004755268072853181	0.004393421404185009	0.015108290870313342	0.005227405901813735	0.004087012129071095	0.006024097041095935	0.005810543031251304	0.006340526446198077	0.007660604420160461	0.00529915256888478	0.009639169579702253	0.0073430657926475676	0.0038611973131772942	0.017533498123599545	0.00641568296954163	0.005701382866097932	0.00564222671503561	0.00873052345227139	0.0052860942759831156	0.0052657233283176065	0.0054157025226884165	0.004965667352312454	0.007072724316480476	0.00790421682133513	0.003664370329603882	0.006324272006074433	0.005496303043003662
G2	0.032403726309668916	0.006206005107654664	0.09799435291413887	0.006079213491611313	0.0035152991065999215	0.01525499043934013	0.002954303173921996	0.006790265304905376	0.008263169508927	0.00432785827745703	0.0035695772561729873	0.0034961167708811797	0.005356687555010865	0.007774695487818942	0.0074073363159967475	0.003510781258968446	0.011929051406148104	0.012265457834271963	0.00530738232869805	0.002842950726299449	0.003457933445515554	0.005119991977635901	0.0025494643579540397	0.0033206154211270233	0.005146044058478915	0.004153253960564995	0.00585647668825007	0.005930501552186607	0.008080659804206093	0.007527918879435931	0.0047508439192377565	0.003254270106084889	0.003868787345278165	0.002168394148500934	0.005882395322643467	0.004922493287718293	0.005192373114004324	0.015564778864479442	0.011825953641555543	0.00521025740115717	0.02500345311578325	0.009310287652408409	0.024636521124605164	0.003371253910101109	0.008769817387669375	0.016653599954212693	0.00431789521298482	0.0037898964316750105	0.001960374703603026	0.0034917965183938	0.0059229126115624055	0.008067586258871504	0.0044350458656939274	0.0028574408424870113	0.012129800620111307	0.04106544149222987	0.004288376745708156	0.006558080565449182	0.0471988768243847	0.006541485115727516	0.0018814945920535228	0.032506982576044854	0.005009511231019612	0.0021744632882581883	0.005003808521822458	0.014096595859881926	0.002771347331080356	0.006091350703847081	0.0060503283457981364	0.004661874531459987	0.010585741313844712	0.019881206303806746	0.014632961103457916	0.002440171887404881	0.0031177617863232445	0.037935931665198076	0.003798906149003592	0.005808516274362031	0.004516507979098836	0.013603126335815037	0.005627220086923691	0.07988672399140105	0.008305852764955112	0.010851524464342198	0.0020919544636731698	0.008362018521867019	0.008571793696976826	0.0022179840573858045	0.007656374384105913	0.005303018614503716	0.0034325209105650163	0.004427498305519233	0.0025873709106254304	0.00715448651520784	0.0032524462563574027	0.006190824380481672	0.013273084994766232	0.0049575356172409804	0.013913148013385593	0.003965460445965477
G3	0.006956071715760991	0.009039959403663644	0.008028455131839333	0.0076652811646806965	0.00861649842000225	0.006006646507768766	0.00695247048834903	0.005872987597027126	0.03673225704039431	0.013318124160423299	0.006940349225334849	0.00942305566294869	0.008644664133545159	0.009806080183509838	0.00877350118239756	0.02146788056743374	0.009957884820343403	0.01434530532652067	0.007151822896451339	0.010806591964523656	0.008238403227977377	0.013937370001086634	0.0078009149125969025	0.010519264374867427	0.00767092899360447	0.005610459686661038	0.006509766731340143	0.006851100277719152	0.028031881321529676	0.00698527554307151	0.007406658557652254	0.014505007023993467	0.008525552612546299	0.005926368338030739	0.005984889639676517	0.006960924835249063	0.010978018686779624	0.01570062695825089	0.01733582822366751	0.006344128201026333	0.01821030222168444	0.007546016090862039	0.006548970827451492	0.010611410698045018	0.006337085052441374	0.0065974460378503234	0.007105852300596597	0.006963903660250304	0.006516101447456746	0.014408817177920938	0.015472424703183968	0.008896463319034017	0.006803656288130312	0.03818227946103897	0.019542206378101192	0.009433660899181805	0.006778073892638697	0.008805108165828758	0.009251076324309918	0.006657024475599808	0.007365009862887371	0.007692091937219334	0.009164715851062273	0.01977395117967937	0.006443537611268067	0.0056568537712797405	0.010875824991150931	0.005545301929085863	0.008147258731092424	0.006862351755387603	0.006668514281731364	0.00802252610993291	0.007945503217486376	0.009072848185294132	0.007176459329459634	0.013463049699331554	0.010848587353343977	0.007022497994301232	0.00998211216751444	0.011040863927386216	0.007978617689463249	0.006407180567587133	0.007530796906415444	0.006630375906569561	0.011998302749275349	0.00786426815696647	0.009065809762676822	0.008013078138554541	0.006564320707626012	0.009296907623078787	0.0079726671777789	0.015431714657623807	0.011295766235769241	0.00962833895723023	0.007321667642818821	0.006473640116419636	0.008929309472250438	0.007875814062071211	0.016764267824145047	0.009190160597932437
G4	0.006654277251683057	0.02852688043572321	0.008328191611337596	0.008163057812275503	0.009168146416017235	0.02227293120797145	0.005510833681981849	0.00582163251991083	0.013384090458143153	0.007566013979785756	0.006331478537150408	0.0030241147784526206	0.005848807019312062	0.003589772576859937	0.0038864263893085772	0.032120240249098646	0.0272832295030667	0.0037755381533625338	0.004941557695879272	0.0068860396253511156	0.0061091161689559035	0.007726088889151581	0.007590277474846733	0.026136898382843284	0.011267426911661542	0.003971270572542638	0.019053020863503387	0.006386996127539249	0.043366501955291535	0.003209420669781425	0.010319917040722236	0.0035166890961114204	0.003913274656989923	0.0033567461955004278	0.014036515412076393	0.004320216102041658	0.006305023274813218	0.0050784090754388	0.009270852389057069	0.012873234451289134	0.005223476570439133	0.010445315113641156	0.004494261728338055	0.005448438420070467	0.003593987415548299	0.005919008490115764	0.00355850676743966	0.006185230816106317	0.007364338836090384	0.006472404737514466	0.012576371299673152	0.050267770241088285	0.0032608470192311127	0.006770929757310022	0.005429550275370532	0.018462342906912683	0.004881646506197754	0.0026447192912171453	0.009734373496256525	0.005833216686903167	0.005744336277743505	0.03932217740533349	0.011536450054524517	0.004679454453318217	0.004571477777060949	0.008243031991894105	0.004699278862756022	0.01582362990780661	0.007825794460076488	0.0055903096209019365	0.028413704484325997	0.022872186861315657	0.014492428831006474	0.002855009730033929	0.00398800126803806	0.008267717169766464	0.004100685491803935	0.005901226108552539	0.012142321845134888	0.0043778734405897565	0.01357326072074548	0.005670995644631222	0.0045609869986664095	0.005444227205732187	0.005886859265789528	0.00410189803330572	0.06973595135926001	0.004899825107002215	0.005515355650878148	0.004033260980573602	0.003747870272502508	0.009266527839340469	0.00515702796668702	0.004158610684800675	0.0070697319942835055	0.01242810904689632	0.00453472146580429	0.004070475384776114	0.007508688700108562	0.003730627647939395
G5	0.014218524385862494	0.006874775850282294	0.0067778787518153645	0.006872687361224975	0.007220559365703938	0.008644127648321951	0.012916945229449852	0.013507784215724612	0.03665996552734857	0.03870824668020363	0.017457245203586987	0.010309544638478654	0.0083252457624134	0.005897757038010206	0.007150023780929971	0.007705834915993864	0.008260512781711379	0.007877245761519505	0.005606961422912719	0.00826515557914104	0.01237586190132673	0.0070353407765978175	0.011387951101287585	0.04804354104399278	0.016491562270937645	0.0054829171033543445	0.0075135084055816355	0.005805905839780263	0.008771873810613144	0.008659667884410135	0.010654718160432607	0.008846699754696298	0.009473221223530707	0.02164882080455464	0.005599629638133488	0.006008108448513447	0.01189409931202025	0.006695780154268865	0.008733307324898576	0.0061947650955845234	0.0077976806407887185	0.011756965798203624	0.007006577861477059	0.011808925009191293	0.00955336146975257	0.0052176092267709525	0.00834054109458783	0.007658846311441183	0.010538060023817871	0.0074747066788370346	0.01127891072533197	0.006825671389389936	0.007572961984970948	0.00801862577038209	0.005475409354243321	0.007391949799771969	0.011807357391045664	0.011792142407491515	0.0077549952583489045	0.006940737865448382	0.008824753253102295	0.01417066084709749	0.012705528291673316	0.008210984292893747	0.00865532441399473	0.02678405158501797	0.00756425614367575	0.006232916220959823	0.005736044745711074	0.011398362465690533	0.00787629901363834	0.0075940840490047404	0.007019326824344317	0.007083173106406138	0.006928652384302159	0.007160229609692293	0.005293805463063368	0.008826420428888843	0.012725333255179157	0.008061517834854579	0.007959447362744438	0.008014140266576396	0.006384325182278314	0.008991869019857135	0.00938333225415166	0.006535678855463889	0.007706257021053649	0.00648187763422043	0.011436651741728312	0.007368290938604941	0.0074656225015855525	0.006983548401764575	0.009690505330608801	0.014472745256978132	0.00916643142914945	0.0074659939719298445	0.01721143981748178	0.0059144740035775405	0.0062074701345451845	0.007721836630065414
G6	0.004688446767521488	0.008227447976253485	0.005097788371691955	0.0045174051967539885	0.006808796440898223	0.00790296346849638	0.006137094700457771	0.006108782055003829	0.010870650899146458	0.0073549320163609835	0.0048318513456624594	0.007810967337459827	0.006382389720448252	0.006138100496832052	0.009608144968235388	0.008164003160333099	0.03196807791257603	0.005459241334661697	0.04569515935712275	0.011301184223251503	0.008869297022301473	0.01854212321160191	0.00463350669979089	0.010142498516575607	0.026143037016842577	0.006896291846419153	0.00798526682455032	0.005904186252954809	0.016722363274276238	0.00593514532628083	0.0077112429350905285	0.007513833414605865	0.0047850913855816395	0.005446665356467497	0.007166454839152069	0.019876689362713442	0.010111814150716766	0.006138986538727046	0.010407421192247223	0.007685220563795832	0.00759975110648904	0.012113178773767252	0.011341280651771644	0.009603147170936934	0.005889291302089964	0.006997457129122877	0.006537420833208677	0.004468934159017562	0.026967751783929676	0.011976670520785316	0.016758714807116104	0.05022967481784669	0.010133921693103417	0.015117351808464252	0.0070932704476367415	0.006995777611320458	0.016982929777578527	0.0053187526217852495	0.00762214672152412	0.011223811409780784	0.013783013095422647	0.004745646912178094	0.011860091411977799	0.022502820757461132	0.0066351768438475235	0.006401277837112459	0.006073604617934288	0.014299824020245377	0.004998798209766589	0.007989688788640483	0.013540780574524191	0.0066276728004865315	0.020506329687769175	0.0059424233023637465	0.005258979252316217	0.0037353129916351912	0.006869141839852188	0.006867000682114364	0.008705520688851004	0.009434678585248433	0.006781220835795383	0.0069297241023806395	0.00464816612251066	0.005839956836791857	0.010589822586381012	0.011181102356300186	0.007557917858488262	0.007997936294194586	0.005198429416565739	0.006418094149640512	0.009339110415889314	0.004781991697445827	0.01849233507439303	0.010300857503820784	0.006652078220950179	0.009446269776203269	0.005575766708823927	0.0042682999383753546	0.007380438871857566	0.009180899706309874
G7	0.005453839126826927	0.021938185836782673	0.007427775078019692	0.010021587139448247	0.0049672201494472745	0.024651187549617173	0.004780590119071634	0.024797351041914894	0.008252227749628619	0.01067064919506384	0.0084860032234866	0.0029966142632936806	0.01674606980414774	0.012234818889132306	0.004598899224663448	0.0035167580052912536	0.003719763965551267	0.0038791982289964285	0.004176498560453497	0.003033390536055714	0.008693861079243843	0.003507522502042072	0.0057310513209786	0.031031898137486663	0.016992678045760646	0.010315313581386813	0.007784899312484071	0.021250343997215145	0.0028517627530108124	0.0030576577280336473	0.014039792525317993	0.01550624089497572	0.0037411350863758696	0.0033235038699281692	0.001948745290153167	0.004532533415892038	0.010618561355887046	0.0037295897018201542	0.00692955765093904	0.00923175270644641	0.002707252865546986	0.0053935692562869265	0.01900531450027402	0.0031651228659197493	0.023287654012358064	0.0063862668643880835	0.004325981754013639	0.010357227304222965	0.007109048615876592	0.05231378207632361	0.0067616779659830555	0.0037038746767256085	0.002407079525266421	0.002981417208357447	0.004191731953938495	0.004127445303979379	0.0029220061743654006	0.003386173922761861	0.0212396106091592	0.005584113992319453	0.003076656531424378	0.0021765797247520692	0.0034810916179490855	0.003893327750919758	0.0036257082837075926	0.016183858147903924	0.0033785923692317464	0.0034304946565947127	0.008187703845836296	0.00540227950331041	0.007211445179921364	0.00517041604069853	0.08779225059238423	0.0022155093047709685	0.0035297357052198604	0.006277807648666473	0.0031267010916182416	0.027354662281388654	0.003495790763971508	0.0054965941916099	0.013980918877351102	0.006612867278648858	0.003474914821480855	0.004797911313924538	0.0074698203317706035	0.003234971802535518	0.006626339343154289	0.003407084441082799	0.0306513793478399	0.0024059348735091337	0.1170898638731117	0.001655505531513554	0.0029894527575827228	0.006660236580243727	0.0032888087084881994	0.005237560454043891	0.0042973169689043585	0.0032418214985002474	0.003395547183959517	0.002451158690136958
G8	0.03165494127505368	0.0038632699618772956	0.03929948457503423	0.005478708870659642	0.0037012202226050605	0.00918296763505705	0.007344312921685652	0.005614159984531761	0.012790408223706686	0.004852997291582378	0.004578832079335131	0.0061489315320100105	0.0040623100057889045	0.008552783395851964	0.011695979923461903	0.008161150502191112	0.00733891309758541	0.019837462482843876	0.0031476565625631805	0.009879320121919914	0.006732394879707425	0.01510357619370961	0.0024574495594947387	0.013130942444824902	0.009659129734566759	0.0042555180980094354	0.005537374520114698	0.0054051117688392455	0.02029086385935776	0.006883524615493593	0.018325887657286963	0.005102201623747073	0.008697451236403237	0.005845947562296272	0.003278909284989238	0.0052951680599869315	0.005957625963027309	0.011811432225144611	0.011719867108718493	0.004824075810789522	0.02396402415011364	0.004537826101082774	0.015584216651832655	0.0037700336377416237	0.005648643637653227	0.006762831930665001	0.004741827863589169	0.0050619815811498515	0.004023764480974344	0.006956210528182057	0.008063168126566333	0.006764818713313427	0.009814227036697907	0.004372344158272022	0.021352148074824863	0.02116774496610588	0.004057979349340038	0.005062278541019814	0.07764949711722186	0.007655264943359151	0.0040109681371197714	0.019345242638097882	0.006912257243591003	0.008043990028010263	0.006943820773985662	0.007028398407922724	0.003855588077166486	0.006283972981221961	0.0034351606823333903	0.0077030590123404645	0.007696906521063379	0.013115621293796842	0.009285699852058302	0.003877716731737781	0.0034629838302343997	0.041332369650508086	0.01097419531106158	0.011723624123798439	0.00862166249334258	0.00518958653202886	0.006130292553928666	0.04467494290288224	0.0072370582593301236	0.0104395960428267	0.005939597471306502	0.012738848314104406	0.00462945855147556	0.00799529858713316	0.003424020263848072	0.004682651104505014	0.005338990005455086	0.012745460012296553	0.010732580550464096	0.016803258946321266	0.004325281374821216	0.005698130471295489	0.004668611360497705	0.003985044031886029	0.008954073413719087	0.005502886998924915
G9	0.006447300650454241	0.008849461323076622	0.017110054106144006	0.0065443769050004316	0.0013975459841336804	0.005253388994694523	0.002288829801899068	0.005989335385187127	0.003876384218550926	0.004003364061050416	0.002347614315281602	0.008019316030413316	0.003584086108251308	0.006801096860270831	0.0018276360692842163	0.00862221521708799	0.004421445521668267	0.005003920944248084	0.011242642229848705	0.02584732986940951	0.0022227902620699496	0.009342780045003309	0.005012542204900462	0.002712065531455095	0.004860211440286589	0.0031273170642078497	0.011651935740282648	0.005945005279438889	0.010499604670188574	0.009639150286795817	0.0061164816855793815	0.006430634408299171	0.005926211339128233	0.029466175469390458	0.021250956599595392	0.012382927690839571	0.013221606937903651	0.021130915022559763	0.0028292302306598205	0.004104641877829698	0.005146527788218049	0.009013047619459981	0.013918255182940473	0.0025296512106188183	0.006369855223492458	0.018920493864264663	0.0037731759608851953	0.0076297728704965385	0.010390042658888193	0.001746622182408687	0.002401205822767405	0.005993893509260959	0.006222633820310718	0.002330277947097076	0.004011182924368814	0.010804064429211247	0.012543589017135686	0.0036027023213950253	0.013048316041794905	0.015723878165406057	0.006486757422161552	0.015484112113675532	0.003751593204904092	0.0020773720587427416	0.001990982069629414	0.004819338749694955	0.002771743592015402	0.0049637021952295204	0.004627302264702306	0.004194588716487804	0.004617503261098788	0.11764396658095334	0.010567425921605538	0.0019059269483284525	0.004881192278006549	0.006026014605643905	0.0023454637055545296	0.004041915673420316	0.004163141359578705	0.005971414662446847	0.0018609198002034304	0.01854109660475191	0.024253418616368712	0.0033196306485845785	0.003314705861061846	0.039483525966114784	0.015916208235041716	0.04907266268018097	0.002359673875230279	0.0026936114263507805	0.003209374552883596	0.0788334974890958	0.005936817254087177	0.010811515509550413	0.003058052326702556	0.013139091888137274	0.0034875004938694637	0.010689760842126297	0.005431050735866926	0.007786710867121069
G10	0.007194519763847318	0.007076210830303832	0.004802323453460995	0.006047346081423691	0.004875930135792543	0.009261524375455972	0.003280170016269858	0.0056372857084214965	0.0036053087658700655	0.005158432451865075	0.0026258150146259824	0.007844193649590553	0.0038735288832083947	0.010890704644960487	0.004647943692472975	0.015259983177102787	0.006578284645239689	0.004418073911653303	0.014538436710147012	0.027644570276129998	0.0030664868206128175	0.0038466303500204716	0.006074346811066514	0.00446657399790106	0.003121534300501085	0.004464845352738604	0.007945891302510716	0.003533253277331703	0.005520506817171801	0.005600807303425226	0.01364264290207611	0.00541603381386322	0.007999832785307885	0.04176252039442516	0.01981795417727373	0.013806883278754175	0.03668932599930705	0.007926546598343043	0.009559766932329138	0.006954014951363685	0.004940132455502386	0.00988321453458872	0.004697260643279348	0.0032612809536326014	0.004322681866905111	0.024178810012490306	0.004893633867497981	0.0052626754084952885	0.01218433836089456	0.0038189572758219777	0.0042170290170623955	0.010282526692934758	0.0062884165816852605	0.004342485528159619	0.007645112160838137	0.0061701862026989455	0.01309745024573341	0.0027064853003474962	0.010012341299701208	0.019652759479393617	0.01737422792013498	0.006061826132639986	0.004080240290346966	0.0068165269647703945	0.005463101907676359	0.008366869726692143	0.005979296238857029	0.00983467157894041	0.00483563352786651	0.008870652047503232	0.006339934574650243	0.049652765620477435	0.0040856855900671335	0.0033323406719929644	0.0042817535186934624	0.005706562296042507	0.0027106944107987787	0.005274956947817407	0.005884089241692717	0.004049150959626771	0.004001758400388768	0.007788740239614429	0.011024558613444195	0.003019376533635393	0.014666663380860456	0.010182013630388445	0.006414476680494824	0.0880169633727798	0.005876702759686175	0.006635056777548277	0.0038057705057035723	0.07463656338066876	0.007390971851730846	0.01989394156496481	0.0060663801887199725	0.009608890427881475	0.004444743997515638	0.007578059418225727	0.004323249521502746	0.007289376345130135
