Gene1	Gene2	Score
G73	G72	0.84200349654366
G72	G73	0.84200349654366
G76	G28	-0.789938216814059
G28	G76	-0.789938216814059
G73	G71	0.789251745129738
G71	G73	0.789251745129738
G93	G26	-0.78267256702464
G26	G93	-0.78267256702464
G80	G79	-0.765045189083533
G79	G80	-0.765045189083533
G72	G71	0.756074316602852
G71	G72	0.756074316602852
G85	G26	-0.740014347218514
G26	G85	-0.740014347218514
G28	G8	-0.733537945715256
G8	G28	-0.733537945715256
G76	G73	0.729524573804227
G73	G76	0.729524573804227
G99	G84	-0.723287846655427
G84	G99	-0.723287846655427
G46	G35	-0.713116599672073
G35	G46	-0.713116599672073
G73	G29	-0.710152442750171
G29	G73	-0.710152442750171
G97	G93	0.703970714078217
G93	G97	0.703970714078217
G76	G46	0.693388710317939
G46	G76	0.693388710317939
G56	G46	0.689547408243026
G46	G56	0.689547408243026
G96	G26	-0.685250543307507
G26	G96	-0.685250543307507
G94	G65	0.684825101961768
G65	G94	0.684825101961768
G88	G80	-0.683901214069027
G80	G88	-0.683901214069027
G53	G14	-0.681634230736251
G14	G53	-0.681634230736251
G13	G3	0.680207819139891
G3	G13	0.680207819139891
G56	G4	-0.678787546405247
G4	G56	-0.678787546405247
G74	G12	0.675672576599092
G12	G74	0.675672576599092
G79	G43	-0.673801383453208
G43	G79	-0.673801383453208
G97	G26	-0.668210196611095
G26	G97	-0.668210196611095
G54	G4	0.663663573688731
G4	G54	0.663663573688731
G96	G85	0.662244203074453
G85	G96	0.662244203074453
G72	G29	-0.660148503898248
G29	G72	-0.660148503898248
G56	G54	-0.659155330988183
G54	G56	-0.659155330988183
G46	G28	-0.654186920724015
G28	G46	-0.654186920724015
G76	G72	0.65341024132313
G72	G76	0.65341024132313
G76	G8	0.651750519314557
G8	G76	0.651750519314557
G50	G12	0.644391529329672
G12	G50	0.644391529329672
G46	G4	-0.63754213887627
G4	G46	-0.63754213887627
G54	G46	-0.637228201241432
G46	G54	-0.637228201241432
G63	G48	-0.635769959685497
G48	G63	-0.635769959685497
G77	G12	-0.631470972317871
G12	G77	-0.631470972317871
G74	G70	0.628143466204032
G70	G74	0.628143466204032
G34	G15	0.627105336654703
G15	G34	0.627105336654703
G94	G26	-0.623326850150937
G26	G94	-0.623326850150937
G25	G22	0.621590816357573
G22	G25	0.621590816357573
G98	G57	-0.618732359428606
G57	G98	-0.618732359428606
G49	G15	0.616327926384318
G15	G49	0.616327926384318
G76	G56	0.608560384840548
G56	G76	0.608560384840548
G95	G65	0.607509879823279
G65	G95	0.607509879823279
G95	G94	0.606922734180637
G94	G95	0.606922734180637
G36	G28	-0.605769552294706
G28	G36	-0.605769552294706
G77	G50	-0.604389775252991
G50	G77	-0.604389775252991
G87	G64	0.601577670145327
G64	G87	0.601577670145327
G97	G63	0.601379632046284
G63	G97	0.601379632046284
G83	G12	-0.598618170976841
G12	G83	-0.598618170976841
G73	G70	0.596513822811012
G70	G73	0.596513822811012
G73	G28	-0.595668825293762
G28	G73	-0.595668825293762
G80	G43	0.595384289602257
G43	G80	0.595384289602257
G76	G29	-0.590320011343799
G29	G76	-0.590320011343799
G54	G8	-0.588695915783311
G8	G54	-0.588695915783311
G52	G31	0.5870518624829
G31	G52	0.5870518624829
G14	G12	0.586431320458457
G12	G14	0.586431320458457
G56	G28	-0.58509618483498
G28	G56	-0.58509618483498
G93	G63	0.585051960980729
G63	G93	0.585051960980729
G71	G29	-0.581609074217696
G29	G71	-0.581609074217696
G50	G14	0.579930648386404
G14	G50	0.579930648386404
G98	G18	-0.578821917316694
G18	G98	-0.578821917316694
G80	G9	-0.577916852161926
G9	G80	-0.577916852161926
G88	G79	0.576459626611464
G79	G88	0.576459626611464
G84	G48	-0.576293587191194
G48	G84	-0.576293587191194
G90	G86	0.572172441397832
G86	G90	0.572172441397832
G29	G28	0.571849112512662
G28	G29	0.571849112512662
G54	G5	0.569026663204659
G5	G54	0.569026663204659
G46	G1	-0.568012646351009
G1	G46	-0.568012646351009
G53	G50	-0.567819089738183
G50	G53	-0.567819089738183
G94	G63	0.567324885436958
G63	G94	0.567324885436958
G84	G22	0.566010180822255
G22	G84	0.566010180822255
G68	G25	-0.562622008747662
G25	G68	-0.562622008747662
G74	G10	0.561836224609734
G10	G74	0.561836224609734
G35	G4	0.561567669857158
G4	G35	0.561567669857158
G48	G22	-0.560040217308347
G22	G48	-0.560040217308347
G99	G22	-0.559723462431664
G22	G99	-0.559723462431664
G79	G65	0.5591348540735
G65	G79	0.5591348540735
G54	G28	0.554956709895202
G28	G54	0.554956709895202
G14	G4	-0.554279590165032
G4	G14	-0.554279590165032
G76	G71	0.553024992153979
G71	G76	0.553024992153979
G51	G22	0.550842360703215
G22	G51	0.550842360703215
G56	G35	-0.549399436014999
G35	G56	-0.549399436014999
G84	G63	0.548696135573354
G63	G84	0.548696135573354
G28	G4	0.548447521749782
G4	G28	0.548447521749782
G76	G4	-0.546686671774752
G4	G76	-0.546686671774752
G49	G17	-0.545105508985822
G17	G49	-0.545105508985822
G98	G10	0.541301780540308
G10	G98	0.541301780540308
G65	G26	-0.537949892772956
G26	G65	-0.537949892772956
G96	G94	0.537259375479015
G94	G96	0.537259375479015
G13	G10	0.535337972598673
G10	G13	0.535337972598673
G84	G67	0.534551014843405
G67	G84	0.534551014843405
G46	G8	0.534343226720535
G8	G46	0.534343226720535
G74	G73	0.533829595144778
G73	G74	0.533829595144778
G51	G33	0.533438680974816
G33	G51	0.533438680974816
G97	G54	0.533227111483622
G54	G97	0.533227111483622
