G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.6260911	0.1097179	0.4095844	0.5534605	0.2731065	0.4904381	0.5839684	0.0152871	0.0493998	0.2665850	0.6429957	0.8150410	0.5109538	0.4470094	0.6751734	0.1749730	0.3514631	0.4502217	0.5250581	0.7141329	0.2635045	0.0283939	0.6997473	0.3699568	0.0292957	0.0288833	0.2143945	0.6897220	0.5648765	0.7570417	0.4382033	0.6346434	0.0919993	0.6675205	0.5014142	0.3133838	0.4382378	0.4639255	0.4496929	0.3150725	0.0194355	0.2602644	0.1305356	0.6797217	0.3508072	0.0107251	0.4085757	0.5338175	0.2350659	0.3879959	0.2357008	0.7691471	0.0976183	0.5996171	0.3191968	0.1384965	0.1627500	0.5047682	0.6089145	0.5623105	0.0332907	0.7601257	0.4099501	0.2033153	0.3293660	0.5024999	0.2525433	0.1132423	0.4247594	0.1999491	0.1891019	0.1295895	0.1198192	0.3439293	0.5888437	0.0548330	0.0025042	0.0204376	0.0000000	0.0000000	0.0592097	0.0615554	0.0095419	0.0107653	0.8050599	0.7660602	0.6624653	0.0638229	0.0241795	0.7151689	0.0043424	0.0305286	0.3862095	0.7249443	0.5326880	0.5896934	0.2374877	0.6240859	0.6777924	0.6898052
0.0233124	0.6329661	0.6268348	0.0364317	0.0000000	0.5512769	0.1274070	0.0143123	0.8196323	0.6070991	0.6188730	0.6977831	0.5896083	0.7140637	0.8171470	0.4360428	0.4287124	0.4119478	0.1378097	0.0319966	0.1075009	0.0226722	0.6062120	0.4206095	0.0288564	0.0462939	0.1318947	0.7215042	0.3989740	0.5569310	0.3949635	0.6070611	0.0807226	0.7801802	0.0219466	0.2684107	0.3357459	0.5910349	0.3127111	0.3608008	0.0145265	0.3581407	0.2762895	0.0402817	0.6526266	0.0220570	0.0283235	0.6743746	0.7441748	0.6720192	0.1068352	0.6812834	0.0293711	0.2414616	0.2280892	0.8304831	0.3084107	0.2222819	0.5510067	0.5001967	0.5344599	0.6574915	0.4481135	0.1938253	0.2429010	0.5334146	0.2839298	0.1759882	0.6709670	0.2081534	0.1913454	0.1765885	0.1744494	0.4485023	0.6393426	0.2052717	0.0065057	0.4025922	0.0000000	0.6042644	0.3215437	0.3765020	0.3022540	0.0518671	0.5732196	0.3876754	0.4652563	0.4121222	0.0036739	0.6680735	0.3155658	0.5167233	0.5025940	0.5578832	0.6450840	0.6894781	0.2608896	0.6303053	0.7265557	0.7046656
0.0075684	0.6311770	0.7113266	0.0197138	0.0000000	0.6626832	0.1165234	0.0065082	0.4631855	0.7911701	0.6489825	0.6880899	0.6042396	0.6824135	0.6345063	0.3732556	0.3620017	0.3184490	0.2957074	0.0190591	0.1174336	0.0107798	0.7399262	0.2981644	0.0351802	0.0284250	0.1785910	0.6424585	0.4089625	0.5252490	0.4463655	0.6559090	0.0636926	0.6219553	0.0190333	0.3881263	0.4032491	0.5200035	0.3865116	0.3734733	0.0313704	0.2453170	0.2089151	0.0856133	0.2849306	0.0137159	0.4580237	0.6409336	0.7409227	0.6561236	0.1272068	0.5639727	0.0140072	0.2678931	0.2889536	0.7200368	0.1949839	0.1282195	0.4116597	0.6132565	0.2092643	0.6494005	0.3577168	0.2621943	0.2906716	0.5434276	0.3278806	0.2835383	0.4334318	0.2158890	0.2335680	0.2313443	0.3167958	0.4092972	0.3792937	0.1647327	0.0040864	0.3997058	0.7852057	0.0000000	0.3140883	0.2798328	0.4117101	0.0532886	0.3175262	0.5863251	0.2539603	0.2626972	0.0148203	0.6066014	0.3608221	0.1145178	0.3268302	0.6424316	0.7620408	0.6647656	0.2701539	0.6275884	0.7260941	0.5807459
0.0177858	0.6166150	0.6106000	0.0479318	0.0000000	0.5666832	0.1717777	0.4116081	0.6938216	0.6568469	0.6762839	0.7534359	0.8961296	0.7480636	0.8158874	0.4022471	0.3519880	0.4349591	0.2481784	0.0112731	0.5069526	0.0475656	0.6424542	0.3203589	0.0296234	0.0409666	0.1439941	0.6554483	0.5066266	0.7408583	0.3905959	0.7104601	0.0883863	0.7751255	0.0208971	0.3439338	0.3874535	0.5451558	0.3340281	0.2326677	0.0104308	0.5582162	0.5013113	0.0492626	0.7605580	0.0143576	0.0731741	0.5198100	0.7243050	0.0000000	0.1394542	0.6412755	0.3423421	0.0023315	0.6338074	0.6233381	0.2797337	0.1969757	0.4378703	0.6910957	0.5454251	0.7034975	0.4509135	0.2181235	0.2980797	0.5753502	0.3776498	0.2007376	0.5839546	0.1840516	0.2106836	0.3264596	0.3274187	0.4466977	0.3461057	0.2546648	0.0058419	0.5150798	0.5708108	0.2138532	0.2676410	0.2762992	0.4878234	0.0917430	0.3482420	0.7307963	0.2504845	0.4993422	0.4818615	0.6184250	0.4374534	0.4116890	0.5901795	0.7504246	0.6915698	0.7476034	0.2793360	0.7762054	0.7551757	0.7180850
0.0000000	0.7358864	0.5348994	0.0526447	0.0000000	0.6744335	0.2275849	0.4451792	0.6251546	0.7079972	0.6826032	0.8096749	0.6876610	0.6564648	0.6457118	0.4182628	0.3709881	0.3809743	0.3098319	0.0036493	0.0800435	0.0426413	0.7053920	0.4113799	0.0343069	0.0348963	0.1023535	0.6266495	0.4035527	0.6682688	0.5261105	0.7604464	0.1101090	0.7967386	0.0221626	0.3417394	0.3600253	0.4586705	0.4319878	0.3121278	0.0118551	0.1830099	0.3212354	0.0399651	0.6215817	0.0291495	0.0484822	0.5633348	0.6789580	0.8435843	0.1528942	0.6011682	0.0113004	0.1622695	0.3189157	0.6384047	0.2406968	0.1478246	0.4567543	0.6258147	0.5982188	0.6880123	0.4353915	0.2379861	0.2494943	0.4590911	0.3722484	0.4035463	0.7071699	0.1783771	0.2253453	0.2533286	0.3517163	0.5797096	0.3788838	0.1578387	0.0018797	0.4141749	0.5321817	0.1961448	0.3649827	0.2543249	0.4343345	0.0927151	0.3405788	0.6395164	0.2489778	0.5093310	0.3602034	0.5612262	0.3762284	0.4699676	0.4946906	0.7659287	0.7309017	0.7058636	0.2626094	0.6232050	0.7111849	0.5976171
0.7162250	0.0494939	0.5093493	0.5137245	0.2346183	0.5115079	0.3487558	0.0493402	0.3097428	0.2701896	0.5655812	0.7345464	0.4597136	0.4335759	0.7293549	0.2476554	0.3297744	0.4315911	0.3904428	0.6493986	0.3982263	0.0163096	0.7199631	0.3568637	0.0280331	0.0528169	0.1686165	0.7224716	0.4712248	0.7257767	0.4795197	0.6459096	0.0887766	0.6943188	0.5074112	0.3045311	0.6097088	0.6751024	0.5353886	0.4581829	0.0163648	0.7868382	0.1731900	0.6380663	0.8044353	0.0156018	0.1503547	0.7294942	0.3026331	0.0000000	0.3118018	0.6669331	0.3964964	0.2119180	0.7290742	0.1064625	0.3393268	0.5402759	0.4600115	0.5356545	0.4194237	0.7779815	0.4282717	0.1973514	0.2513012	0.4679054	0.2297326	0.2455651	0.6061045	0.1525222	0.2026986	0.1654766	0.1361269	0.3849965	0.6545218	0.1357128	0.0078628	0.3619620	0.0000000	0.7078756	0.2356903	0.4402282	0.3519222	0.0131681	0.4332247	0.2625219	0.3723915	0.3894549	0.0103702	0.7949343	0.2721881	0.5090907	0.4976275	0.7766000	0.6496464	0.6298343	0.2445140	0.6376481	0.7549105	0.7237023
0.6058606	0.0943274	0.4354707	0.4529497	0.3476453	0.5024532	0.4803994	0.0115224	0.3694809	0.2155396	0.5886598	0.5598013	0.4384375	0.5591475	0.4235529	0.1635412	0.4106887	0.4908901	0.1981998	0.6880503	0.4816822	0.0972157	0.6359552	0.3843208	0.0374608	0.0542430	0.1834462	0.6934873	0.4691482	0.5180230	0.4675854	0.7691959	0.1446993	0.6757576	0.5539768	0.3456938	0.4304641	0.4479012	0.4577046	0.3060956	0.0266267	0.7751305	0.1690762	0.6170543	0.5270880	0.0072814	0.4772968	0.6576516	0.2933278	0.0000000	0.2871888	0.7151354	0.4315093	0.2108099	0.9042928	0.0921882	0.3999714	0.5536406	0.6787305	0.5023189	0.3619807	0.7690158	0.3654951	0.2429283	0.2800246	0.6022278	0.2675340	0.2400096	0.5766887	0.2091299	0.1588648	0.2017544	0.1548041	0.4092084	0.3324671	0.0993459	0.0014876	0.4602211	0.6374416	0.0000000	0.3903039	0.2619803	0.4019862	0.0436664	0.4436054	0.6990325	0.2262367	0.2567436	0.0279051	0.8297515	0.3401536	0.1691479	0.3762779	0.6564786	0.6644943	0.7601258	0.2334003	0.6687516	0.6399140	0.7476439
0.0000000	0.7965927	0.7087954	0.0426542	0.6515127	0.3282968	0.1534398	0.0249631	0.7068636	0.6563296	0.6475593	0.6981227	0.6111580	0.6588874	0.4349841	0.4186272	0.7154064	0.3655626	0.1163392	0.0007493	0.5070853	0.3818955	0.7772496	0.3092750	0.0171599	0.0439042	0.1797232	0.7320096	0.5851056	0.7033982	0.4828620	0.7099408	0.1010511	0.6394837	0.8007992	0.3187220	0.2989582	0.3836062	0.6591420	0.2946710	0.2516932	0.6028496	0.1053362	0.6356692	0.7143733	0.0058595	0.3643709	0.6323770	0.4700023	0.2365104	0.3330885	0.6101846	0.3241766	0.6224080	0.6438540	0.0806377	0.5373879	0.6620660	0.6639208	0.4576424	0.4546008	0.6624695	0.4308427	0.2061527	0.3094548	0.4995682	0.4017600	0.2117887	0.6188263	0.2857781	0.1632403	0.2305003	0.2355774	0.4972410	0.6149924	0.1682166	0.0011660	0.2803337	0.0000000	0.6927026	0.3821623	0.3800925	0.2908523	0.0208201	0.4490859	0.3480130	0.4239345	0.2951776	0.0110185	0.6954801	0.2755304	0.4129370	0.4552908	0.7151557	0.5983723	0.6739800	0.2990039	0.6801046	0.6652318	0.5281787
0.0000000	0.5935350	0.6287850	0.0103986	0.7846138	0.3617413	0.1763129	0.0022035	0.3700574	0.7591623	0.8081687	0.6566019	0.7763738	0.6247641	0.6627904	0.2957652	0.6838569	0.3864201	0.0026280	0.0033749	0.4825198	0.3012672	0.6274971	0.4245670	0.0327911	0.0157365	0.1533765	0.6414913	0.4305777	0.6872503	0.5193238	0.6077941	0.0829781	0.6929864	0.6597993	0.2923279	0.3837786	0.5620031	0.5874968	0.3946162	0.2812268	0.6636639	0.1063044	0.7313360	0.5078713	0.0089523	0.4200654	0.5450559	0.3412214	0.2406428	0.2933019	0.6512622	0.3320135	0.7563223	0.6493770	0.0456839	0.4581917	0.4402769	0.6927609	0.6131860	0.2029593	0.9149116	0.5068251	0.1714856	0.2849837	0.4296917	0.4325959	0.2275996	0.4782561	0.1272057	0.2147978	0.2794581	0.1780169	0.3999214	0.3417891	0.2216093	0.0012100	0.4038554	0.6414383	0.0000000	0.4313987	0.3059698	0.4801238	0.0486834	0.4035578	0.6162562	0.2431404	0.3112750	0.0143642	0.6072013	0.3944871	0.2059353	0.4084084	0.5884033	0.5315609	0.6287264	0.2911201	0.7970690	0.7705316	0.7181651
0.0127271	0.6920963	0.5881030	0.0350116	0.0000000	0.5142175	0.1614961	0.4313237	0.6598464	0.6021880	0.8182889	0.6254292	0.6698474	0.6719890	0.6624850	0.3919151	0.4249305	0.3430456	0.2166091	0.0203598	0.3081195	0.0531839	0.6228852	0.3297288	0.0139709	0.0212894	0.1247865	0.6450703	0.0000000	0.8679278	0.4869789	0.6385869	0.3215050	0.8053849	0.0267688	0.3183596	0.5263417	0.4704355	0.1446645	0.7088740	0.0130530	0.1797125	0.4240098	0.0646971	0.5233297	0.3560277	0.0498843	0.3895823	0.6448755	0.7821896	0.1249071	0.7356966	0.0072436	0.6908004	0.2856196	0.7282003	0.2868522	0.1581708	0.4428198	0.6635674	0.7080368	0.6212161	0.4557754	0.3579720	0.2645752	0.0405959	0.8303402	0.6214673	0.5509095	0.9240132	0.6403125	0.7260094	0.6691130	0.8310153	0.4616548	0.5628481	0.0041122	0.4749869	0.4400422	0.2415990	0.3973449	0.2277662	0.5069960	0.2001059	0.2982735	0.7073126	0.1933163	0.6181859	0.4354333	0.5940071	0.5239904	0.4357049	0.4656928	0.7444261	0.6459951	0.6019317	0.3675931	0.7113903	0.5774736	0.6592825
