OutPredict,Inferelator,GRNBoost,Genie3,GRISLI,GRNVBEM,LEAP,PIDC,PPCOR,SCODE,SCRIBE,Ensemble_LR,Ensemble_NB,Ensemble_SGD,Ensemble_SVM,Ensemble_KNN,Ensemble_RF,Ensemble_AB,Ensemble_XGB,best_train_algo,best_test_algo,best_train_score,best_test_score,set_name,Ensemble_AVG
0.02989679,0.04807317,0.032326372,0.025667372,0.114819304,0.009128177,0.021460353,0.025152345,0.003676471,0.00859887,0.01560383,0.042188839,0.037951727,0.003676471,0.008105503,0.013726533,0.107613628,0.016873159,0.118526148,OutPredict,GRISLI,0.02989679,0.114819304,dream3_100#1,0.031330020663483255
0.112152786,0.079064053,0.056134456,0.065115828,0.027735831,0.032436401,0.089419373,0.087052569,0.011332486,0.021848646,0.046657287,0.05621089,0.100782291,0.007647059,0.018831756,0.014202256,0.173062195,0.094331745,0.099640378,Inferelator,OutPredict,0.079064053,0.112152786,dream3_100#2,0.07621925059847852
0.029959615,0.073984615,0.033795717,0.035395014,0.015224211,0.017686981,0.027055961,0.054640419,0.029321786,0.016365947,0.036318266,0.029389238,0.043021958,0.007794118,0.014109892,0.020708929,0.048434795,0.039652857,0.035258937,Inferelator,Inferelator,0.073984615,0.073984615,dream3_100#3,0.03501847290847694
0.045633804,0.100288635,0.050842658,0.047846326,0.042069146,0.040713908,0.046883176,0.042518954,0.034371374,0.037901464,0.071930951,0.053025356,0.070722007,0.015735294,0.026181199,0.041033356,0.061741077,0.03842128,0.047005404,Inferelator,Inferelator,0.100288635,0.100288635,dream3_100#4,0.059940438567219645
0.072190694,0.151100467,0.094281604,0.081723791,0.070560442,0.069715574,0.083062799,0.092792809,0.064657604,0.060139213,0.071030317,0.096368049,0.094631158,0.081801767,0.052622308,0.074857982,0.098291044,0.091957947,0.093290572,Inferelator,Inferelator,0.151100467,0.151100467,dream3_100#5,0.09058204513101631
0.029105298,0.084743922,0.038043413,0.035903115,0.018142998,0.019920429,0.05568161,0.038468424,0.015575382,0.029714717,0.022433999,0.055012658,0.051198032,0.008970588,0.018126582,0.015108359,0.045565132,0.059897462,0.039875409,Inferelator,Inferelator,0.084743922,0.084743922,dream4_100#1,0.05540516622511924
0.063585675,0.089388896,0.089936787,0.10262789,0.034423616,0.017741894,0.083473172,0.075016095,0.030330902,0.030634157,0.086328048,0.029450537,0.096956932,0.055290556,0.022844912,0.046569593,0.103329198,0.067517396,0.125618725,Inferelator,Genie3,0.089388896,0.10262789,dream4_100#2,0.07972633834288854
0.047207618,0.116804561,0.069320855,0.070296846,0.018959794,0.023882686,0.055919274,0.079423651,0.024600719,0.018486777,0.099599869,0.064723021,0.112565097,0.05355928,0.016908212,0.062785979,0.133057723,0.15632793,0.152730888,Inferelator,Inferelator,0.116804561,0.116804561,dream4_100#3,0.14469985836426524
0.045368039,0.085655634,0.045959317,0.045125262,0.022413909,0.020229677,0.044207636,0.050281904,0.034512458,0.020934459,0.042369557,0.073698192,0.063886649,0.009705882,0.017367084,0.029951429,0.094165733,0.072918084,0.048363543,Inferelator,Inferelator,0.085655634,0.085655634,dream4_100#4,0.07212480225708694
0.070550149,0.120243912,0.068822218,0.075298275,0.023766154,0.014558025,0.084984552,0.065271695,0.020791882,0.014095509,0.072154314,0.090605113,0.091845731,0.007941176,0.01699642,0.019456568,0.106003379,0.049167986,0.057407236,Inferelator,Inferelator,0.120243912,0.120243912,dream4_100#5,0.1975103955378448
