Gene1	Gene2	EdgeWeight
G9	G30	0.17513226070057344
G78	G84	0.16301376167017684
G30	G9	0.1591925922833349
G61	G65	0.15067160539459337
G8	G29	0.14154276003458058
G42	G43	0.1369825070484542
G62	G60	0.13102030071073134
G39	G43	0.12537493808573097
G43	G39	0.1242548023082668
G2	G9	0.12103259655121527
G50	G44	0.11652297806800244
G30	G5	0.1156649416585348
G2	G30	0.11476593657716189
G44	G50	0.11373287294236781
G43	G42	0.11002620967346786
G48	G74	0.10924423647476152
G30	G2	0.10908242770309874
G16	G42	0.10904658251825929
G38	G41	0.10631135982213187
G74	G48	0.10346012601344606
G91	G96	0.10334058271641779
G29	G8	0.10321399449184837
G50	G82	0.10190023139414542
G57	G1	0.10027195967665682
G65	G61	0.09912926043116886
G52	G60	0.09743451493494588
G60	G62	0.09597769978769553
G3	G61	0.09422751764621236
G9	G2	0.0927578648752269
G1	G71	0.09211652211509663
G85	G84	0.09146773549986707
G72	G77	0.09002189436984864
G47	G42	0.08974188278890444
G77	G48	0.08727425455047227
G57	G8	0.08520811432172068
G3	G71	0.08354381773033594
G35	G41	0.08351050979064269
G42	G16	0.08317840807351827
G82	G50	0.08291132836705366
G1	G53	0.08283037749123125
G61	G3	0.08231630166786498
G84	G78	0.08180024615347048
G42	G39	0.08163540764708499
G53	G57	0.07953950170673123
G57	G71	0.07912334585811304
G18	G82	0.07869772777180911
G47	G16	0.07867988675084148
G48	G77	0.07841158992953355
G53	G1	0.07800471165650817
G77	G74	0.07723209134758931
G44	G46	0.07693861790452192
G52	G62	0.07640183000577185
G67	G57	0.07629938868301243
G3	G4	0.07628263190216236
G87	G64	0.07542819714739761
G41	G38	0.07471549074503975
G57	G47	0.0747026342533991
G41	G5	0.07320568353665181
G4	G3	0.07309401911135736
G71	G51	0.0728967816297019
G93	G5	0.07255063862797981
G39	G42	0.07254329303359945
G70	G77	0.07227180967623603
G67	G1	0.07225776019501753
G87	G61	0.07211456296825994
G1	G57	0.0713869527545048
G71	G1	0.07065524661005065
G8	G2	0.07063917451716027
G98	G82	0.07043462825266174
G71	G77	0.07019411128671155
G71	G53	0.07009480676519772
G70	G56	0.06993362065463254
G46	G44	0.06987459679237669
G40	G42	0.06923380834511067
G27	G94	0.06893374461127305
G71	G4	0.06882118424773577
G1	G51	0.0686983429044398
G52	G44	0.06850624626166643
G38	G84	0.06795160641368997
G5	G9	0.06748958865346061
G77	G72	0.06697390828099571
G72	G75	0.06679465434978918
G67	G91	0.06651003183719029
G6	G16	0.06646690061875418
G4	G61	0.0653435075764484
G57	G63	0.06511949541342849
G95	G84	0.06496215179575117
G44	G52	0.06492657369886702
G81	G94	0.06481615316901668
G85	G55	0.06480929207521795
G48	G60	0.06439131805889191
G32	G55	0.06407219990221966
G53	G63	0.06387445461895537
G57	G53	0.06351938127623322
G47	G6	0.06341480950447363
G30	G29	0.06308281545388114
G6	G47	0.06282001423794872
G91	G88	0.06269135530642277
G75	G77	0.06248956117425664
G53	G91	0.06202357907968883
G94	G81	0.061862509226809685
G16	G47	0.06182043184743265
G84	G85	0.06175644904645064
G30	G8	0.06124710347335618
G91	G74	0.06069850654736681
G77	G56	0.0604917020976105
G57	G42	0.06039174805279034
G53	G71	0.06011687113078962
G9	G29	0.06004988473959897
G75	G56	0.059991315636152974
G5	G41	0.05973245751209502
G12	G82	0.05949047590575934
G1	G63	0.05940663420677318
G94	G73	0.05933798319597216
G57	G6	0.05932094934321864
G2	G8	0.05872320331803465
G9	G8	0.05860872623192679
G4	G71	0.05860800297082141
G6	G42	0.058551922238653825
G4	G51	0.058542851238848684
G16	G38	0.05814282466123925
G82	G60	0.05805207765163323
G88	G67	0.05796175298852819
G22	G55	0.05774933473505788
G16	G43	0.057687088853162136
G53	G51	0.05746509816602994
G40	G16	0.05745257544854884
G57	G66	0.05742073756039957
G63	G71	0.05724134063621846
G71	G8	0.05696058966977081
G88	G91	0.05684148329989871
G53	G64	0.056815158155459684
G91	G87	0.056656896036853005
G77	G81	0.05661263945139954
G85	G22	0.05623417043443481
G64	G22	0.05610894558038053
G53	G67	0.055686591435464394
G23	G22	0.05567569280961621
G67	G88	0.05566193181905131
G16	G6	0.05557242152006937
G64	G67	0.055280835556200426
G29	G57	0.05514067852319754
G93	G74	0.05455434343384959
G60	G2	0.05453229626007073
G3	G57	0.05448060537336187
G91	G32	0.05440234940823339
G88	G90	0.05437971308254514
G22	G85	0.054296612317364976
G44	G39	0.05426554060842477
G63	G1	0.0542159764839202
G40	G43	0.054180714316902474
G8	G9	0.054161244645916026
G57	G3	0.05413515226958541
G3	G51	0.05357198958208797
G63	G53	0.05352457793215393
G12	G81	0.05326316303338005
G70	G72	0.05322252643208683
G71	G72	0.053181711975432276
G41	G64	0.053136560950024975
G74	G60	0.052669654224956855
G51	G4	0.052627913822304716
G75	G72	0.05252871864125378
G1	G8	0.052411156879675506
G91	G67	0.05236192454045203
G87	G88	0.05230871330689444
G91	G1	0.05227612473128271
G47	G43	0.05225083340130062
G57	G39	0.05222401925311956
G62	G52	0.052103817273756285
G48	G72	0.051913493953587825
G57	G16	0.05190693672436911
G76	G50	0.05181344989935347
G71	G75	0.05181294894451295
G71	G63	0.05164412694430865
G8	G5	0.05148392789245623
G23	G27	0.05141151536531049
G72	G48	0.05124543799988316
G77	G75	0.05104433720939791
G6	G39	0.05100387767652326
G2	G57	0.050968588828578625
G32	G47	0.0508615820596232
G61	G77	0.05084631822414975
G72	G56	0.05075162817418907
G70	G75	0.05070926764501825
G60	G52	0.05056382200126897
G50	G52	0.05028065307707537
G77	G96	0.05027391299480812
G61	G87	0.05013634866228428
G91	G57	0.0499710928700948
G52	G50	0.04974751450844598
G51	G71	0.049624052249185126
G67	G90	0.049509631304749474
G5	G30	0.04950366450050517
G61	G56	0.049490522930132064
G57	G10	0.049412582396961786
G42	G47	0.04917618570210783
G47	G39	0.0491698161746634
G64	G91	0.04903505620751298
G73	G91	0.04903483545695905
G72	G70	0.04902363216265403
G16	G41	0.048788227490271695
G56	G68	0.04862724057999961
G16	G18	0.04858114492447945
G47	G18	0.04836703926179898
G88	G87	0.04835922564890371
G52	G98	0.048356059959626975
G47	G32	0.04790261728440135
G57	G43	0.04768025817806761
G16	G73	0.04767307228821304
G53	G8	0.047585002690061
G56	G77	0.047298362306364895
G39	G6	0.04725487173510279
G61	G81	0.04725059393259797
G55	G85	0.04690041007698767
G29	G2	0.04685213539103449
G56	G70	0.0468039807964174
G12	G62	0.0466320858125032
G73	G57	0.04654946775118305
G48	G75	0.046485459729407076
G53	G4	0.04645687604165909
G71	G56	0.046423658267780915
G48	G96	0.04641405380099119
G42	G40	0.046301675945804054
G75	G70	0.04619384846209211
G3	G84	0.04615713539674313
G3	G1	0.04604813381429279
G74	G51	0.045927534885506334
G88	G57	0.045859408507521036
G77	G70	0.045832368413327336
G61	G75	0.04572341415396794
G10	G30	0.045666561075671575
G39	G44	0.045593020501323724
G30	G4	0.04544569762169392
G43	G40	0.045399454759549394
G67	G64	0.04503463312281847
G67	G66	0.04500524286571642
G64	G41	0.044929057443804765
G95	G81	0.04491813145995168
G71	G3	0.04488778620847747
G74	G77	0.04458337925543889
G1	G4	0.04450884531734605
G64	G87	0.04446408297275739
G87	G10	0.04445873224840467
G15	G75	0.044414975035463246
G43	G16	0.04434991049034342
G38	G78	0.04427963954089518
G64	G38	0.04414060413565923
G52	G46	0.04411300839208508
G64	G55	0.04407812716440707
G61	G48	0.04407178792430564
G77	G71	0.04402447692248767
G6	G43	0.04374623974794143
G91	G64	0.04368557447192126
G27	G50	0.043565474434610583
G1	G67	0.04352342090670084
G76	G39	0.04344191749352625
G8	G53	0.04338959857422817
G57	G67	0.04321905227073348
G64	G90	0.0430296557663567
G15	G72	0.04295379399883593
G39	G50	0.042952492356416495
G95	G78	0.04295165431739809
G52	G82	0.042945428599007254
G1	G91	0.04293971322839039
G48	G94	0.042755598198202946
G52	G81	0.042664157216543014
G81	G65	0.042577670486337114
G63	G57	0.04254008259612201
G85	G96	0.042352607984537605
G88	G64	0.04231841493298595
G85	G76	0.04229475484984793
G91	G10	0.04228835315620355
G71	G70	0.04215567326115221
G70	G71	0.04213858234794232
G55	G32	0.041995536124361625
G87	G91	0.04198775544675094
G29	G9	0.04197196675025593
G50	G46	0.0418924878977134
G82	G44	0.04179641317422326
G61	G72	0.04166869573279526
G72	G71	0.04163206419583009
G78	G95	0.04160256252277606
G57	G2	0.04140935445391662
G47	G12	0.04120566530730153
G50	G76	0.04109363727569306
G72	G68	0.0410212294792337
G94	G27	0.04096547960222918
G70	G68	0.04095868772826522
G12	G52	0.04077688322225058
G71	G82	0.04046563790604311
G70	G48	0.04043951802349395
G82	G18	0.0403053472683998
G77	G65	0.04029658424726346
G61	G62	0.04027973117310497
G50	G5	0.040152397250677534
G73	G67	0.04010467332472887
G96	G85	0.039966044435619186
G1	G3	0.039822277936371664
G53	G90	0.03979109371828001
G73	G88	0.0395655246641523
G90	G15	0.03953939952571155
G90	G64	0.03950035280567548
G98	G60	0.039469355366813605
G15	G77	0.03936828634524548
G63	G51	0.03935457581178246
G76	G95	0.03930777157044365
G2	G29	0.039302613775305875
G15	G10	0.03930021834330978
G74	G93	0.03912498932697587
G67	G29	0.0390034487442539
G87	G41	0.03899820258423838
G72	G60	0.038973791029432873
G73	G94	0.03890667964856569
G41	G4	0.03890212343836553
G61	G70	0.03886337437293738
G15	G94	0.03881157583295868
G88	G81	0.03873974166917736
G48	G70	0.03867240191423634
G88	G1	0.038585341063737844
G10	G87	0.038582412895696416
G77	G60	0.03855217891094543
G64	G1	0.038518418056152734
G94	G15	0.03839927684470932
G8	G3	0.03837421545577187
G77	G61	0.03837112062807976
G74	G72	0.03835626843206953
G42	G6	0.03835424749169182
G77	G68	0.03828278161174678
G29	G67	0.03826911498373674
G64	G88	0.03824042837429383
G2	G55	0.038171570005068725
G91	G48	0.03814260377563758
G76	G35	0.03804821787572565
G53	G29	0.03800018905181821
G73	G90	0.03793050748705477
G39	G16	0.03785404800319581
G39	G47	0.037804944067895065
G78	G4	0.03772912489003387
G51	G53	0.03759322118521258
G35	G76	0.03753572808918656
G74	G47	0.0373692789312921
G95	G3	0.03729361261702506
G57	G29	0.037269671104429095
G35	G5	0.03705532237167248
G57	G51	0.03700369977920522
G77	G62	0.03698475295116731
G48	G51	0.03697475361083174
G91	G85	0.03693959224454264
G16	G12	0.03675879347631573
G77	G94	0.03673036665430553
G72	G65	0.03671158810541334
G46	G52	0.036704164896803414
G96	G32	0.03656372515300189
G53	G88	0.03655055944718252
G1	G29	0.03650836456545582
G87	G67	0.036432431883616515
G16	G65	0.036317881267732985
G84	G3	0.03630952389330349
G18	G16	0.03622678898077586
G76	G44	0.03620362487557918
