Gene1	Gene2	EdgeWeight
G78	G84	1.9905461322853932
G84	G78	1.9905461322853932
G44	G46	1.98977290817258
G46	G44	1.98977290817258
G42	G43	1.9897561448435208
G43	G42	1.9897561448435208
G39	G43	1.9880479769909116
G43	G39	1.9880479769909116
G50	G82	1.9849086691566409
G82	G50	1.9849086691566409
G84	G85	1.9843079943044928
G85	G84	1.9843079943044928
G44	G50	1.98306625273878
G50	G44	1.98306625273878
G39	G42	1.9815947409237542
G42	G39	1.9815947409237542
G37	G59	1.9735977977072257
G59	G37	1.9735977977072257
G61	G65	1.9714966282520057
G65	G61	1.9714966282520057
G32	G47	1.9686568095941717
G47	G32	1.9686568095941717
G84	G95	1.967619668078966
G95	G84	1.967619668078966
G39	G46	1.9666789129679128
G46	G39	1.9666789129679128
G39	G44	1.9658163481543127
G44	G39	1.9658163481543127
G5	G30	1.9656649740327712
G30	G5	1.9656649740327712
G13	G31	1.9647457449063923
G31	G13	1.9647457449063923
G78	G95	1.960693634729001
G95	G78	1.960693634729001
G52	G60	1.9593778674055324
G60	G52	1.9593778674055324
G35	G41	1.9567231659103084
G41	G35	1.9567231659103084
G55	G85	1.9561544013922243
G85	G55	1.9561544013922243
G48	G74	1.9558202954364796
G74	G48	1.9558202954364796
G9	G30	1.9552672093644852
G30	G9	1.9552672093644852
G40	G42	1.9536914113967607
G42	G40	1.9536914113967607
G52	G62	1.9530471058575287
G62	G52	1.9530471058575287
G56	G68	1.9515620680663173
G68	G56	1.9515620680663173
G32	G85	1.9495024928584213
G85	G32	1.9495024928584213
G32	G79	1.9488158585385915
G79	G32	1.9488158585385915
G48	G93	1.948790317694744
G93	G48	1.948790317694744
G81	G94	1.9480150456537089
G94	G81	1.9480150456537089
G44	G82	1.947439190175397
G82	G44	1.947439190175397
G24	G89	1.9473026640581228
G89	G24	1.9473026640581228
G52	G82	1.9445279364959287
G82	G52	1.9445279364959287
G43	G44	1.94309949255306
G44	G43	1.94309949255306
G17	G21	1.9425097124313715
G21	G17	1.9425097124313715
G43	G46	1.9420408115171413
G46	G43	1.9420408115171413
G49	G89	1.941652990921042
G89	G49	1.941652990921042
G5	G93	1.9412132709836385
G93	G5	1.9412132709836385
G73	G94	1.9408050265471568
G94	G73	1.9408050265471568
G3	G84	1.9407947336036555
G84	G3	1.9407947336036555
G22	G85	1.9405608054111092
G85	G22	1.9405608054111092
G56	G70	1.9404291672744447
G70	G56	1.9404291672744447
G5	G41	1.9399905259865269
G41	G5	1.9399905259865269
G11	G45	1.9389895837158688
G45	G11	1.9389895837158688
G2	G30	1.938725115166136
G30	G2	1.938725115166136
G18	G82	1.9383509192981696
G82	G18	1.9383509192981696
G40	G43	1.9371365897990305
G43	G40	1.9371365897990305
G52	G98	1.936392320897721
G98	G52	1.936392320897721
G23	G27	1.9360115943740863
G27	G23	1.9360115943740863
G76	G85	1.9359537648642384
G85	G76	1.9359537648642384
G27	G94	1.9359434871005308
G94	G27	1.9359434871005308
G39	G50	1.9357816461448596
G50	G39	1.9357816461448596
G70	G72	1.9350593057060208
G72	G70	1.9350593057060208
G8	G29	1.9349713091295782
G29	G8	1.9349713091295782
G56	G75	1.9347685527652576
G75	G56	1.9347685527652576
G44	G52	1.9347602327299305
G52	G44	1.9347602327299305
G19	G69	1.9328818370385208
G69	G19	1.9328818370385208
G48	G81	1.93257440199108
G81	G48	1.93257440199108
G6	G20	1.9325680166078896
G20	G6	1.9325680166078896
G70	G75	1.932499302546272
G75	G70	1.932499302546272
G60	G62	1.9323955534001704
G62	G60	1.9323955534001704
G36	G80	1.93216228900262
G80	G36	1.93216228900262
G35	G76	1.9316425004876936
G76	G35	1.9316425004876936
G46	G50	1.9312670800927187
G50	G46	1.9312670800927187
G82	G98	1.9310582108628065
G98	G82	1.9310582108628065
G47	G79	1.930129113417408
G79	G47	1.930129113417408
G32	G55	1.930071056588819
G55	G32	1.930071056588819
G11	G82	1.9288045089037984
G82	G11	1.9288045089037984
G6	G18	1.9277716601166757
G18	G6	1.9277716601166757
G22	G64	1.927667040342944
G64	G22	1.927667040342944
G1	G53	1.9264474217656216
G53	G1	1.9264474217656216
G46	G52	1.925965547948373
G52	G46	1.925965547948373
G22	G23	1.9245933798424832
G23	G22	1.9245933798424832
G18	G47	1.9245844874003317
G47	G18	1.9245844874003317
G6	G74	1.9239539497872904
G74	G6	1.9239539497872904
G91	G96	1.9231644727281827
G96	G91	1.9231644727281827
G28	G89	1.9225092773296504
