Gene1	Gene2	EdgeWeight
G49	G36	1.0
G65	G6	1.0
G83	G67	1.0
G51	G51	1.0
G54	G45	1.0
G83	G67	1.0
G51	G51	1.0
G54	G79	1.0
G23	G77	1.0
G50	G22	1.0
G49	G36	1.0
G3	G60	1.0
G54	G45	1.0
G54	G79	1.0
G11	G96	1.0
G23	G77	1.0
G50	G22	1.0
G65	G6	1.0
G11	G96	1.0
G3	G60	1.0
G71	G42	0.999999
G83	G35	0.999999
G15	G6	0.999999
G83	G14	0.999999
G71	G42	0.999999
G15	G6	0.999999
G83	G35	0.999999
G30	G83	0.999999
G93	G3	0.999999
G30	G83	0.999999
G83	G14	0.999999
G93	G3	0.999999
G20	G81	0.9999979999999999
G20	G81	0.9999979999999999
G49	G96	0.9999979999999999
G42	G42	0.9999979999999999
G42	G42	0.9999979999999999
G49	G96	0.9999979999999999
G60	G27	0.9999969999999999
G61	G34	0.9999969999999999
G60	G27	0.9999969999999999
G18	G46	0.9999969999999999
G18	G46	0.9999969999999999
G61	G34	0.9999969999999999
G30	G37	0.9999950000000001
G17	G74	0.9999950000000001
G30	G37	0.9999950000000001
G13	G18	0.9999950000000001
G17	G74	0.9999950000000001
G13	G18	0.9999950000000001
G93	G55	0.999994
G96	G38	0.999994
G54	G81	0.999994
G96	G38	0.999994
G93	G55	0.999994
G28	G54	0.999994
G54	G81	0.999994
G28	G54	0.999994
G57	G61	0.999993
G49	G67	0.999993
G57	G61	0.999993
G49	G67	0.999993
G68	G18	0.999992
G14	G54	0.999992
G68	G18	0.999992
G21	G17	0.999992
G14	G54	0.999992
G21	G60	0.999992
G21	G60	0.999992
G21	G17	0.999992
G11	G50	0.999991
G23	G94	0.999991
G23	G94	0.999991
G11	G50	0.999991
G71	G73	0.999986
G71	G73	0.999986
G79	G72	0.999986
G79	G72	0.999986
G58	G71	0.9999809999999999
G60	G93	0.9999809999999999
G58	G71	0.9999809999999999
G60	G93	0.9999809999999999
G16	G32	0.9999790000000001
G16	G32	0.9999790000000001
G65	G47	0.9999790000000001
G65	G47	0.9999790000000001
G15	G67	0.999978
G54	G69	0.999978
G15	G67	0.999978
G54	G69	0.999978
G54	G19	0.999974
G54	G19	0.999974
G38	G71	0.999973
G38	G71	0.999973
G34	G3	0.9999709999999999
G34	G3	0.9999709999999999
G22	G49	0.999969
G22	G49	0.999969
G61	G21	0.9999680000000001
G61	G21	0.9999680000000001
G73	G82	0.999967
G23	G87	0.999967
G23	G87	0.999967
G73	G82	0.999967
G89	G97	0.999966
G89	G97	0.999966
G49	G20	0.999965
