Gene1	Gene2	EdgeWeight
G6	G5	9999
G13	G5	9998
G80	G1	9997
G74	G89	9996
G36	G36	9995
G28	G100	9994
G43	G21	9993
G69	G89	9992
G15	G5	9991
G71	G89	9990
G70	G76	9989
G74	G76	9988
G53	G46	9987
G20	G5	9986
G83	G36	9985
G93	G66	9984
G14	G5	9983
G37	G36	9982
G32	G26	9981
G72	G89	9980
G11	G21	9979
G73	G76	9978
G29	G76	9977
G100	G66	9976
G32	G98	9975
G9	G26	9974
G9	G36	9973
G21	G46	9972
G50	G46	9971
G30	G26	9970
G96	G21	9969
G29	G89	9968
G25	G89	9967
G88	G36	9966
G39	G21	9965
G47	G36	9964
G24	G36	9963
G48	G76	9962
G73	G89	9961
G14	G66	9960
G5	G5	9959
G85	G36	9958
G99	G46	9957
G1	G76	9956
G17	G66	9955
G48	G89	9954
G19	G46	9953
G48	G57	9952
G1	G89	9951
G49	G36	9950
G31	G100	9949
G71	G76	9948
G94	G66	9947
G28	G21	9946
G75	G76	9945
G7	G5	9944
G7	G66	9943
G66	G96	9942
G69	G36	9941
G23	G36	9940
G26	G26	9939
G41	G26	9938
G94	G46	9937
G98	G98	9936
G84	G36	9935
G30	G98	9934
G8	G76	9933
G16	G97	9932
G16	G2	9931
G43	G7	9930
G77	G36	9929
G72	G76	9928
G89	G36	9927
G8	G37	9926
G25	G76	9925
G74	G36	9924
G12	G21	9923
G7	G4	9922
G36	G100	9921
G23	G76	9920
G10	G21	9919
G76	G35	9918
G34	G74	9917
G91	G36	9916
G29	G37	9915
G31	G36	9914
G41	G53	9913
G3	G7	9912
G67	G98	9911
G90	G36	9910
G57	G46	9909
G61	G70	9908
G80	G2	9907
G39	G66	9906
G46	G46	9905
G23	G89	9904
G99	G98	9903
G23	G37	9902
G75	G36	9901
G64	G57	9900
G37	G83	9899
G34	G26	9898
G11	G5	9897
G19	G5	9896
G63	G21	9895
G74	G37	9894
G18	G27	9893
G58	G47	9892
G3	G5	9891
G38	G70	9890
G72	G37	9889
G95	G46	9888
G73	G37	9887
G32	G74	9886
G33	G36	9885
G14	G46	9884
G47	G46	9883
G71	G37	9882
G15	G46	9881
G27	G26	9880
G21	G66	9879
G73	G36	9878
G87	G57	9877
G70	G21	9876
G20	G3	9875
G47	G83	9874
G77	G27	9873
G7	G46	9872
G91	G21	9871
G56	G46	9870
G6	G100	9869
G86	G36	9868
G25	G36	9867
G95	G66	9866
G58	G26	9865
G2	G36	9864
G80	G100	9863
G42	G27	9862
G68	G21	9861
G72	G36	9860
G4	G37	9859
G91	G24	9858
G93	G95	9857
G42	G95	9856
G12	G99	9855
G6	G3	9854
G92	G36	9853
G69	G83	9852
G38	G21	9851
G96	G46	9850
G40	G28	9849
G86	G53	9848
G41	G27	9847
G65	G56	9846
G46	G53	9845
G87	G47	9844
G9	G27	9843
G68	G1	9842
G76	G21	9841
G82	G46	9840
G86	G24	9839
G98	G21	9838
G90	G76	9837
G98	G27	9836
G52	G95	9835
G58	G27	9834
G63	G70	9833
G56	G48	9832
G52	G27	9831
G22	G46	9830
G45	G96	9829
G29	G57	9828
G40	G27	9827
G29	G21	9826
G51	G27	9825
G14	G4	9824
G67	G27	9823
G53	G36	9822
G48	G36	9821
G44	G57	9820
G11	G66	9819
G55	G46	9818
G82	G48	9817
G57	G36	9816
G77	G31	9815
G77	G37	9814
G90	G83	9813
G40	G98	9812
G56	G27	9811
G71	G57	9810
G42	G53	9809
G85	G83	9808
G53	G95	9807
G63	G100	9806
G20	G100	9805
G95	G62	9804
G86	G98	9803
G63	G66	9802
G37	G76	9801
G92	G66	9800
G89	G27	9799
G17	G46	9798
G31	G76	9797
G52	G47	9796
G82	G83	9795
G65	G21	9794
G6	G46	9793
G2	G46	9792
G51	G66	9791
G23	G83	9790
G49	G97	9789
G20	G21	9788
G52	G46	9787
G92	G96	9786
G69	G100	9785
G10	G50	9784
G70	G37	9783
G11	G7	9782
G5	G47	9781
G94	G93	9780
G96	G66	9779
G5	G66	9778
G86	G27	9777
G15	G21	9776
G19	G36	9775
G70	G36	9774
G98	G99	9773
G22	G36	9772
G77	G89	9771
G22	G83	9770
G18	G36	9769
G45	G53	9768
G91	G66	9767
G76	G46	9766
G64	G70	9765
G74	G57	9764
G15	G100	9763
G89	G46	9762
G47	G89	9761
G100	G27	9760
G83	G83	9759
G62	G76	9758
G76	G36	9757
G13	G3	9756
G15	G2	9755
G70	G89	9754
G13	G21	9753
G62	G89	9752
G99	G66	9751
G56	G74	9750
G33	G74	9749
G16	G66	9748
G92	G98	9747
G57	G76	9746
G88	G88	9745
G1	G36	9744
G25	G83	9743
G46	G36	9742
G34	G57	9741
G26	G27	9740
G95	G96	9739
G70	G98	9738
G84	G76	9737
G53	G74	9736
G8	G5	9735
G57	G74	9734
G64	G56	9733
G82	G36	9732
G21	G7	9731
G97	G76	9730
G1	G57	9729
G30	G35	9728
G27	G98	9727
G96	G96	9726
G20	G46	9725
G97	G69	9724
G78	G46	9723
G47	G27	9722
G77	G83	9721
G47	G98	9720
G35	G36	9719
G28	G93	9718
G53	G27	9717
G57	G48	9716
G41	G46	9715
G91	G70	9714
G17	G95	9713
G76	G83	9712
G12	G95	9711
G4	G53	9710
G60	G76	9709
G3	G98	9708
G93	G46	9707
G37	G57	9706
G90	G7	9705
G5	G46	9704
G11	G13	9703
G99	G2	9702
G11	G100	9701
G83	G99	9700
G36	G27	9699
G36	G83	9698
G10	G98	9697
G74	G83	9696
G11	G17	9695
G32	G57	9694
G58	G36	9693
G89	G72	9692
G26	G53	9691
G85	G74	9690
G22	G26	9689
G16	G5	9688
G92	G76	9687
G24	G83	9686
G52	G36	9685
G45	G26	9684
G65	G1	9683
G12	G22	9682
G50	G66	9681
G15	G3	9680
G35	G98	9679
G33	G26	9678
G67	G45	9677
G90	G27	9676
G81	G22	9675
G27	G40	9674
G77	G76	9673
G83	G27	9672
G100	G24	9671
G84	G48	9670
G68	G53	9669
G54	G36	9668
G29	G36	9667
G18	G26	9666
G22	G27	9665
G83	G76	9664
G52	G89	9663
G34	G36	9662
G22	G88	9661
G10	G96	9660
G67	G47	9659
G62	G97	9658
G54	G53	9657
G61	G57	9656
G88	G76	9655
G12	G45	9654
G91	G27	9653
G79	G95	9652
G9	G89	9651
G41	G95	9650
G68	G89	9649
G90	G70	9648
G4	G66	9647
G96	G100	9646
G5	G4	9645
G11	G22	9644
G24	G76	9643
G6	G21	9642
G19	G89	9641
G4	G57	9640
G57	G83	9639
G11	G46	9638
G64	G98	9637
G2	G83	9636
G13	G96	9635
G29	G22	9634
G83	G100	9633
G29	G49	9632
G12	G27	9631
G66	G41	9630
G28	G40	9629
G59	G46	9628
G26	G74	9627
G45	G46	9626
G27	G77	9625
G59	G2	9624
G7	G3	9623
G27	G22	9622
G2	G27	9621
G59	G21	9620
G35	G26	9619
G27	G100	9618
G96	G95	9617
G79	G99	9616
G98	G70	9615
G61	G73	9614
G17	G5	9613
G42	G46	9612
