Gene1	Gene2	EdgeWeight
G20	G15	0.964494656345136
G15	G20	0.964494656345136
G15	G20	0.964494656345136
G20	G15	0.964494656345136
G20	G6	0.9593356923143821
G6	G20	0.9593356923143821
G6	G20	0.9593356923143821
G20	G6	0.9593356923143821
G72	G73	0.9494962871039989
G73	G72	0.9494962871039989
G72	G73	0.9494962871039989
G73	G72	0.9494962871039989
G15	G6	0.9403896760414701
G6	G15	0.9403896760414701
G15	G6	0.9403896760414701
G6	G15	0.9403896760414701
G13	G20	0.9400733208364358
G20	G13	0.9400733208364358
G20	G13	0.9400733208364358
G13	G20	0.9400733208364358
G6	G13	0.9380342406977801
G6	G13	0.9380342406977801
G13	G6	0.9380342406977801
G13	G6	0.9380342406977801
G11	G15	0.926379090061578
G15	G11	0.926379090061578
G11	G15	0.926379090061578
G15	G11	0.926379090061578
G14	G6	0.91222252556135
G6	G14	0.91222252556135
G14	G6	0.91222252556135
G6	G14	0.91222252556135
G77	G89	0.910090043902145
G77	G89	0.910090043902145
G89	G77	0.910090043902145
G89	G77	0.910090043902145
G72	G74	0.909195083119062
G74	G72	0.909195083119062
G74	G72	0.909195083119062
G72	G74	0.909195083119062
G73	G25	0.902195720949501
G25	G73	0.902195720949501
G73	G25	0.902195720949501
G25	G73	0.902195720949501
G14	G20	0.9019936263632691
G14	G20	0.9019936263632691
G20	G14	0.9019936263632691
G20	G14	0.9019936263632691
G15	G13	0.8995398108738771
G13	G15	0.8995398108738771
G13	G15	0.8995398108738771
G15	G13	0.8995398108738771
G25	G72	0.898660106223354
G72	G25	0.898660106223354
G25	G72	0.898660106223354
G72	G25	0.898660106223354
G11	G20	0.8974991472106411
G20	G11	0.8974991472106411
G11	G20	0.8974991472106411
G20	G11	0.8974991472106411
G15	G14	0.891896041703313
G14	G15	0.891896041703313
G15	G14	0.891896041703313
G14	G15	0.891896041703313
G53	G57	0.8816354151284541
G53	G57	0.8816354151284541
G57	G53	0.8816354151284541
G57	G53	0.8816354151284541
G29	G72	0.873995928102758
G72	G29	0.873995928102758
G72	G29	0.873995928102758
G29	G72	0.873995928102758
G73	G74	0.8657887572711329
G73	G74	0.8657887572711329
G74	G73	0.8657887572711329
G74	G73	0.8657887572711329
G72	G71	0.862486746751305
G72	G71	0.862486746751305
G71	G72	0.862486746751305
G71	G72	0.862486746751305
G11	G6	0.8624627421021809
G6	G11	0.8624627421021809
G6	G11	0.8624627421021809
G11	G6	0.8624627421021809
G83	G36	0.8606979206009309
G36	G83	0.8606979206009309
G83	G36	0.8606979206009309
G36	G83	0.8606979206009309
G66	G65	0.8564950064393979
G66	G65	0.8564950064393979
G65	G66	0.8564950064393979
G65	G66	0.8564950064393979
G25	G74	0.849395592214371
G74	G25	0.849395592214371
G74	G25	0.849395592214371
G25	G74	0.849395592214371
G71	G73	0.846945449320565
G71	G73	0.846945449320565
G73	G71	0.846945449320565
G73	G71	0.846945449320565
G7	G20	0.844229091076958
G20	G7	0.844229091076958
G7	G20	0.844229091076958
G20	G7	0.844229091076958
G84	G22	0.844216544062184
G84	G22	0.844216544062184
G22	G84	0.844216544062184
G22	G84	0.844216544062184
G13	G14	0.8437133499574742
G14	G13	0.8437133499574742
G14	G13	0.8437133499574742
G13	G14	0.8437133499574742
G13	G7	0.84332459507073
G7	G13	0.84332459507073
G13	G7	0.84332459507073
G7	G13	0.84332459507073
G11	G14	0.8373545202798299
G14	G11	0.8373545202798299
G11	G14	0.8373545202798299
G14	G11	0.8373545202798299
G29	G73	0.8350867008508991
G73	G29	0.8350867008508991
G29	G73	0.8350867008508991
G73	G29	0.8350867008508991
G7	G6	0.8269726579017141
G6	G7	0.8269726579017141
G7	G6	0.8269726579017141
G6	G7	0.8269726579017141
G29	G71	0.8241486943595259
G29	G71	0.8241486943595259
G71	G29	0.8241486943595259
G71	G29	0.8241486943595259
G7	G15	0.822218830616601
G15	G7	0.822218830616601
G15	G7	0.822218830616601
G7	G15	0.822218830616601
G32	G34	0.822085036777948
G32	G34	0.822085036777948
G34	G32	0.822085036777948
G34	G32	0.822085036777948
G71	G74	0.81692783457425
G74	G71	0.81692783457425
G74	G71	0.81692783457425
G71	G74	0.81692783457425
G37	G74	0.811554261280736
G74	G37	0.811554261280736
G74	G37	0.811554261280736
G37	G74	0.811554261280736
G94	G93	0.8114074562601629
G93	G94	0.8114074562601629
G93	G94	0.8114074562601629
G94	G93	0.8114074562601629
G74	G29	0.810335010297378
G29	G74	0.810335010297378
G29	G74	0.810335010297378
G74	G29	0.810335010297378
G11	G13	0.8103157249141981
G13	G11	0.8103157249141981
G13	G11	0.8103157249141981
G11	G13	0.8103157249141981
G73	G70	0.807391212091612
G73	G70	0.807391212091612
G70	G73	0.807391212091612
G70	G73	0.807391212091612
G19	G6	0.804857725173322
G19	G6	0.804857725173322
G6	G19	0.804857725173322
G6	G19	0.804857725173322
G74	G89	0.8009290023208359
G89	G74	0.8009290023208359
G89	G74	0.8009290023208359
G74	G89	0.8009290023208359
G74	G69	0.7993517608452959
G69	G74	0.7993517608452959
G74	G69	0.7993517608452959
G69	G74	0.7993517608452959
G57	G46	0.794206516758792
G46	G57	0.794206516758792
G57	G46	0.794206516758792
G46	G57	0.794206516758792
G72	G37	0.790325324266333
G72	G37	0.790325324266333
G37	G72	0.790325324266333
G37	G72	0.790325324266333
G74	G77	0.788720565586572
G77	G74	0.788720565586572
G77	G74	0.788720565586572
G74	G77	0.788720565586572
G25	G29	0.788561244026649
G29	G25	0.788561244026649
G25	G29	0.788561244026649
G29	G25	0.788561244026649
G23	G24	0.7869450515354641
