,PseudoTime1,PseudoTime2
TS_0_0,0,0
TS_0_1,25,25
TS_0_2,50,50
TS_0_3,75,75
TS_0_4,100,100
TS_0_5,125,125
TS_0_6,150,150
TS_0_7,175,175
TS_0_8,200,200
TS_0_9,225,225
TS_0_10,250,250
TS_0_11,275,275
TS_0_12,300,300
TS_0_13,325,325
TS_0_14,350,350
TS_0_15,375,375
TS_0_16,400,400
TS_0_17,425,425
TS_0_18,450,450
TS_0_19,475,475
TS_0_20,500,500
TS_0_21,525,525
TS_0_22,550,550
TS_0_23,575,575
TS_0_24,600,600
TS_0_25,625,625
TS_0_26,650,650
TS_0_27,675,675
TS_0_28,700,700
TS_0_29,725,725
TS_0_30,750,750
TS_0_31,775,775
TS_0_32,800,800
TS_0_33,825,825
TS_0_34,850,850
TS_0_35,875,875
TS_0_36,900,900
TS_0_37,925,925
TS_0_38,950,950
TS_0_39,975,975
TS_0_40,1000,1000
TS_1_0,0,0
TS_1_1,25,25
TS_1_2,50,50
TS_1_3,75,75
TS_1_4,100,100
TS_1_5,125,125
TS_1_6,150,150
TS_1_7,175,175
TS_1_8,200,200
TS_1_9,225,225
TS_1_10,250,250
TS_1_11,275,275
TS_1_12,300,300
TS_1_13,325,325
TS_1_14,350,350
TS_1_15,375,375
TS_1_16,400,400
TS_1_17,425,425
TS_1_18,450,450
TS_1_19,475,475
TS_1_20,500,500
TS_1_21,525,525
TS_1_22,550,550
TS_1_23,575,575
TS_1_24,600,600
TS_1_25,625,625
TS_1_26,650,650
TS_1_27,675,675
TS_1_28,700,700
TS_1_29,725,725
TS_1_30,750,750
TS_1_31,775,775
TS_1_32,800,800
TS_1_33,825,825
TS_1_34,850,850
TS_1_35,875,875
TS_1_36,900,900
TS_1_37,925,925
TS_1_38,950,950
TS_1_39,975,975
TS_1_40,1000,1000
TS_2_0,0,0
TS_2_1,25,25
TS_2_2,50,50
TS_2_3,75,75
TS_2_4,100,100
TS_2_5,125,125
TS_2_6,150,150
TS_2_7,175,175
TS_2_8,200,200
TS_2_9,225,225
TS_2_10,250,250
TS_2_11,275,275
TS_2_12,300,300
TS_2_13,325,325
TS_2_14,350,350
TS_2_15,375,375
TS_2_16,400,400
TS_2_17,425,425
TS_2_18,450,450
TS_2_19,475,475
TS_2_20,500,500
TS_2_21,525,525
TS_2_22,550,550
TS_2_23,575,575
TS_2_24,600,600
TS_2_25,625,625
TS_2_26,650,650
TS_2_27,675,675
TS_2_28,700,700
TS_2_29,725,725
TS_2_30,750,750
TS_2_31,775,775
TS_2_32,800,800
TS_2_33,825,825
TS_2_34,850,850
TS_2_35,875,875
TS_2_36,900,900
TS_2_37,925,925
TS_2_38,950,950
TS_2_39,975,975
TS_2_40,1000,1000
TS_3_0,0,0
TS_3_1,25,25
TS_3_2,50,50
TS_3_3,75,75
TS_3_4,100,100
TS_3_5,125,125
TS_3_6,150,150
TS_3_7,175,175
TS_3_8,200,200
TS_3_9,225,225
TS_3_10,250,250
TS_3_11,275,275
TS_3_12,300,300
TS_3_13,325,325
TS_3_14,350,350
TS_3_15,375,375
TS_3_16,400,400
TS_3_17,425,425
TS_3_18,450,450
TS_3_19,475,475
TS_3_20,500,500
TS_3_21,525,525
TS_3_22,550,550
TS_3_23,575,575
TS_3_24,600,600
TS_3_25,625,625
TS_3_26,650,650
TS_3_27,675,675
TS_3_28,700,700
TS_3_29,725,725
TS_3_30,750,750
TS_3_31,775,775
TS_3_32,800,800
TS_3_33,825,825
TS_3_34,850,850
TS_3_35,875,875
TS_3_36,900,900
TS_3_37,925,925
TS_3_38,950,950
TS_3_39,975,975
TS_3_40,1000,1000
TS_4_0,0,0
TS_4_1,25,25
TS_4_2,50,50
TS_4_3,75,75
TS_4_4,100,100
TS_4_5,125,125
TS_4_6,150,150
TS_4_7,175,175
TS_4_8,200,200
TS_4_9,225,225
TS_4_10,250,250
TS_4_11,275,275
TS_4_12,300,300
TS_4_13,325,325
TS_4_14,350,350
TS_4_15,375,375
TS_4_16,400,400
TS_4_17,425,425
TS_4_18,450,450
TS_4_19,475,475
TS_4_20,500,500
TS_4_21,525,525
TS_4_22,550,550
TS_4_23,575,575
TS_4_24,600,600
TS_4_25,625,625
TS_4_26,650,650
TS_4_27,675,675
TS_4_28,700,700
TS_4_29,725,725
TS_4_30,750,750
TS_4_31,775,775
TS_4_32,800,800
TS_4_33,825,825
TS_4_34,850,850
TS_4_35,875,875
TS_4_36,900,900
TS_4_37,925,925
TS_4_38,950,950
TS_4_39,975,975
TS_4_40,1000,1000
TS_5_0,0,0
TS_5_1,25,25
TS_5_2,50,50
TS_5_3,75,75
TS_5_4,100,100
TS_5_5,125,125
TS_5_6,150,150
TS_5_7,175,175
TS_5_8,200,200
TS_5_9,225,225
TS_5_10,250,250
TS_5_11,275,275
TS_5_12,300,300
TS_5_13,325,325
TS_5_14,350,350
TS_5_15,375,375
TS_5_16,400,400
TS_5_17,425,425
TS_5_18,450,450
TS_5_19,475,475
TS_5_20,500,500
TS_5_21,525,525
TS_5_22,550,550
TS_5_23,575,575
TS_5_24,600,600
TS_5_25,625,625
TS_5_26,650,650
TS_5_27,675,675
TS_5_28,700,700
TS_5_29,725,725
TS_5_30,750,750
TS_5_31,775,775
TS_5_32,800,800
TS_5_33,825,825
