Gene1	Gene2	corVal	pValue
G1	G1	1	0
G2	G2	1	0
G3	G3	1	0
G4	G4	1	0
G5	G5	1	0
G6	G6	1	0
G7	G7	1	0
G8	G8	1	0
G9	G9	1	0
G10	G10	1	0
G11	G11	1	0
G12	G12	1	0
G13	G13	1	0
G14	G14	1	0
G15	G15	1	0
G16	G16	1	0
G17	G17	1	0
G18	G18	1	0
G19	G19	1	0
G20	G20	1	0
G21	G21	1	0
G22	G22	1	0
G23	G23	1	0
G24	G24	1	0
G25	G25	1	0
G26	G26	1	0
G27	G27	1	0
G28	G28	1	0
G29	G29	1	0
G30	G30	1	0
G31	G31	1	0
G32	G32	1	0
G33	G33	1	0
G34	G34	1	0
G35	G35	1	0
G36	G36	1	0
G37	G37	1	0
G38	G38	1	0
G39	G39	1	0
G40	G40	1	0
G41	G41	1	0
G42	G42	1	0
G43	G43	1	0
G44	G44	1	0
G45	G45	1	0
G46	G46	1	0
G47	G47	1	0
G48	G48	1	0
G49	G49	1	0
G50	G50	1	0
G51	G51	1	0
G52	G52	1	0
G53	G53	1	0
G54	G54	1	0
G55	G55	1	0
G56	G56	1	0
G57	G57	1	0
G58	G58	1	0
G59	G59	1	0
G60	G60	1	0
G61	G61	1	0
G62	G62	1	0
G63	G63	1	0
G64	G64	1	0
G65	G65	1	0
G66	G66	1	0
G67	G67	1	0
G68	G68	1	0
G69	G69	1	0
G70	G70	1	0
G71	G71	1	0
G72	G72	1	0
G73	G73	1	0
G74	G74	1	0
G75	G75	1	0
G76	G76	1	0
G77	G77	1	0
G78	G78	1	0
G79	G79	1	0
G80	G80	1	0
G81	G81	1	0
G82	G82	1	0
G83	G83	1	0
G84	G84	1	0
G85	G85	1	0
G86	G86	1	0
G87	G87	1	0
G88	G88	1	0
G89	G89	1	0
G90	G90	1	0
G91	G91	1	0
G92	G92	1	0
G93	G93	1	0
G94	G94	1	0
G95	G95	1	0
G96	G96	1	0
G97	G97	1	0
G98	G98	1	0
G99	G99	1	0
G100	G100	1	0
G51	G2	0.456168475538677	1.93383090253387e-17
G2	G51	0.456168475538677	1.93383090253396e-17
G22	G13	0.3317997928914	1.87493717286326e-09
G13	G22	0.3317997928914	1.87493717286327e-09
G85	G87	0.328433702935334	2.78665852241292e-09
G87	G85	0.328433702935333	2.78665852241296e-09
G56	G57	0.283134811761491	3.66612537463985e-07
G57	G56	0.283134811761491	3.66612537463986e-07
G19	G24	0.268765254977945	1.4557975185936e-06
G24	G19	0.268765254977945	1.45579751859362e-06
G75	G18	0.248687705694503	8.78518336398401e-06
G18	G75	0.248687705694503	8.78518336398404e-06
G68	G61	0.233483351407895	3.10946949662354e-05
G61	G68	0.233483351407895	3.10946949662357e-05
G50	G49	0.230886546442293	3.82721563254047e-05
G49	G50	0.230886546442292	3.82721563254063e-05
G12	G10	0.223495537862714	6.82340414857374e-05
G10	G12	0.223495537862714	6.82340414857376e-05
G30	G67	0.22231879315545	7.46831460660066e-05
G67	G30	0.22231879315545	7.46831460660082e-05
G38	G63	0.214589534728288	0.000133568310534035
G63	G38	0.214589534728287	0.00013356831053404
G96	G33	0.210582386198997	0.000179107470685471
G33	G96	0.210582386198997	0.000179107470685472
G17	G64	0.207739348357798	0.000219825765766596
G64	G17	0.207739348357798	0.000219825765766599
G54	G86	0.200821352286212	0.00035779323938572
G86	G54	0.200821352286212	0.000357793239385727
G61	G45	0.19680331165193	0.000471328484727681
G45	G61	0.196803311651929	0.000471328484727714
G29	G27	0.19285220513124	0.000614838172257694
G27	G29	0.19285220513124	0.000614838172257694
G54	G36	0.192829275272652	0.000615778097714227
G36	G54	0.192829275272652	0.00061577809771423
G32	G22	0.192023405766031	0.000649669271204477
G22	G32	0.192023405766031	0.000649669271204481
G7	G34	0.190694778199216	0.000709336349665858
G34	G7	0.190694778199216	0.000709336349665862
G20	G66	0.18775850710449	0.000859600163878232
G66	G20	0.18775850710449	0.000859600163878245
G10	G92	0.187106060311987	0.000896751698159291
G92	G10	0.187106060311987	0.000896751698159301
G62	G80	0.185127644107712	0.0010186511688361
G80	G62	0.185127644107712	0.00101865116883611
G47	G5	0.181052199019549	0.00131921395872799
G5	G47	0.181052199019548	0.00131921395872799
G99	G38	0.180965556234113	0.00132640822260991
G38	G99	0.180965556234113	0.00132640822260992
G82	G2	0.180931232072619	0.00132926823114619
G2	G82	0.180931232072619	0.00132926823114619
G89	G38	0.180583851073673	0.00135853353146834
G38	G89	0.180583851073673	0.00135853353146836
G61	G24	0.179717824202536	0.00143408612997901
G24	G61	0.179717824202536	0.00143408612997901
G80	G10	0.179496369531384	0.00145401514956756
