,TS_0_0,TS_0_1,TS_0_2,TS_0_3,TS_0_4,TS_0_5,TS_0_6,TS_0_7,TS_0_8,TS_0_9,TS_0_10,TS_0_11,TS_0_12,TS_0_13,TS_0_14,TS_0_15,TS_0_16,TS_0_17,TS_0_18,TS_0_19,TS_0_20,TS_1_0,TS_1_1,TS_1_2,TS_1_3,TS_1_4,TS_1_5,TS_1_6,TS_1_7,TS_1_8,TS_1_9,TS_1_10,TS_1_11,TS_1_12,TS_1_13,TS_1_14,TS_1_15,TS_1_16,TS_1_17,TS_1_18,TS_1_19,TS_1_20,TS_2_0,TS_2_1,TS_2_2,TS_2_3,TS_2_4,TS_2_5,TS_2_6,TS_2_7,TS_2_8,TS_2_9,TS_2_10,TS_2_11,TS_2_12,TS_2_13,TS_2_14,TS_2_15,TS_2_16,TS_2_17,TS_2_18,TS_2_19,TS_2_20,TS_3_0,TS_3_1,TS_3_2,TS_3_3,TS_3_4,TS_3_5,TS_3_6,TS_3_7,TS_3_8,TS_3_9,TS_3_10,TS_3_11,TS_3_12,TS_3_13,TS_3_14,TS_3_15,TS_3_16,TS_3_17,TS_3_18,TS_3_19,TS_3_20,TS_4_0,TS_4_1,TS_4_2,TS_4_3,TS_4_4,TS_4_5,TS_4_6,TS_4_7,TS_4_8,TS_4_9,TS_4_10,TS_4_11,TS_4_12,TS_4_13,TS_4_14,TS_4_15,TS_4_16,TS_4_17,TS_4_18,TS_4_19,TS_4_20,TS_5_0,TS_5_1,TS_5_2,TS_5_3,TS_5_4,TS_5_5,TS_5_6,TS_5_7,TS_5_8,TS_5_9,TS_5_10,TS_5_11,TS_5_12,TS_5_13,TS_5_14,TS_5_15,TS_5_16,TS_5_17,TS_5_18,TS_5_19,TS_5_20,TS_6_0,TS_6_1,TS_6_2,TS_6_3,TS_6_4,TS_6_5,TS_6_6,TS_6_7,TS_6_8,TS_6_9,TS_6_10,TS_6_11,TS_6_12,TS_6_13,TS_6_14,TS_6_15,TS_6_16,TS_6_17,TS_6_18,TS_6_19,TS_6_20,TS_7_0,TS_7_1,TS_7_2,TS_7_3,TS_7_4,TS_7_5,TS_7_6,TS_7_7,TS_7_8,TS_7_9,TS_7_10,TS_7_11,TS_7_12,TS_7_13,TS_7_14,TS_7_15,TS_7_16,TS_7_17,TS_7_18,TS_7_19,TS_7_20,TS_8_0,TS_8_1,TS_8_2,TS_8_3,TS_8_4,TS_8_5,TS_8_6,TS_8_7,TS_8_8,TS_8_9,TS_8_10,TS_8_11,TS_8_12,TS_8_13,TS_8_14,TS_8_15,TS_8_16,TS_8_17,TS_8_18,TS_8_19,TS_8_20,TS_9_0,TS_9_1,TS_9_2,TS_9_3,TS_9_4,TS_9_5,TS_9_6,TS_9_7,TS_9_8,TS_9_9,TS_9_10,TS_9_11,TS_9_12,TS_9_13,TS_9_14,TS_9_15,TS_9_16,TS_9_17,TS_9_18,TS_9_19,TS_9_20
G1,0.0348395,0.043679,0.0597112,0.106527,0.0878528,0.0486307,0.0834409,0.0352868,0.0419418,0.070457,0.1264603,0.0407174,0.1064863,0.05458,0.1291369,0.0348686,0.0764703,0.0627843,0.0777714,0.0886224,0.0780288,0.0350134,0.10507,0.0887432,0.0649832,0.0799124,0.1014317,0.099109,0.0935823,0.1078361,0.1155922,0.1035488,0.105749,0.0555296,0.0825567,0.0226534,0.0480107,0.0613039,0.0794987,0.0587819,0.060224,0.0808173,0.035519,0.0336139,0.0324424,0.0651609,0.0501851,0.0411473,0.0519827,0.0474516,0.0643567,0.0258261,0.0294821,0.0098505,0.0381592,0.0428863,0.0272474,0.0701443,0.0451483,0.0250907,0.0510372,0.0840539,0.1493485,0.0582387,0.0365764,0.0280735,0.0258817,0.0384603,0.0607525,0.0143497,0.0143152,0.0143617,0.0396886,0.0483904,0.0916643,0.0565311,0.0872927,0.072894,0.1609854,0.1669781,0.089142,0.0828172,0.0433897,0.0294637,0.0637601,0.0675028,0.0088276,0.0174899,0.0094168,0.0091339,0.0066899,0.0155018,0.0102806,0.0214369,0.0202789,0.0558348,0.0463038,0.0536327,0.0450981,0.0804196,0.0457606,0.077086,0.0575513,0.0397657,0.0477133,0.0351787,0.0289722,0.0401358,0.0808319,0.1699327,0.2793006,0.3144501,0.2613053,0.3483347,0.3730983,0.2846191,0.5567479,0.5116003,0.4592502,0.337949,0.2406549,0.208857,0.1900587,0.2000933,0.1293811,0.1657572,0.0484379,0.0513715,0.0215086,0.037874,0.0770271,0.1108032,0.1704716,0.1299399,0.1537691,0.1773414,0.1665984,0.253196,0.3629366,0.2473889,0.2917884,0.2237324,0.1308805,0.1844376,0.1668917,0.1050657,0.1018702,0.0832522,0.1012286,0.0867195,0.1477667,0.2929026,0.209124,0.3009737,0.4562181,0.4794483,0.5255295,0.4714709,0.2645103,0.2091708,0.1020854,0.0533677,0.0582536,0.1269722,0.0529338,0.0799093,0.0720395,0.0943681,0.0550736,0.0721418,0.0572774,0.0438479,0.0058858,0.0095557,0.0139454,0.0196471,0.0208768,0.0290842,0.0248238,0.0327963,0.045325,0.0551667,0.0651271,0.0610254,0.0616375,0.053757,0.0971267,0.0763735,0.0614079,0.0420486,0.0534633,0.0456306,0.0468924,0.0400077,0.0570182,0.0708241,0.1062333,0.1272606,0.1108524,0.0881097,0.0619369,0.1258712,0.0544614,0.0941017,0.0415224,0.062164,0.0665063,0.0559773,0.0682369,0.0566839
G2,0.0045884,0.0078807,0.0096353,0.0280741,0.0369369,0.0272811,0.0085558,0.0158964,0.0061763,0.0103365,0.0177514,0.0193386,0.0373472,0.0074237,0.0232722,0.0154711,0.0089438,0.0331847,0.0224925,0.017667,0.0077257,0.0055587,0.0310704,0.0235788,0.0178603,0.0549626,0.0276462,0.0193462,0.0121686,0.0127493,0.0082135,0.0047396,0.0363981,0.01674,0.0075023,0.0137006,0.0154528,0.026017,0.0105778,0.0150875,0.0152258,0.0202678,0.0090092,0.0177835,0.0324573,0.0227924,0.0198156,0.0201141,0.0163719,0.0117105,0.0183558,0.0128138,0.0090525,0.00772,0.0281774,0.0212972,0.0084646,0.0096707,0.0077467,0.008631,0.0378653,0.0180018,0.0297447,0.0179318,0.0101691,0.0103144,0.0218596,0.0131164,0.0229998,0.0297068,0.0105128,0.0339237,0.0342818,0.0263567,0.0116844,0.0089199,0.0233262,0.0317498,0.0171974,0.0411905,0.0307627,0.0134554,0.0101417,0.0068789,0.00572,0.0049878,0.0093359,0.0159752,0.0042071,0.0004697,0.0091529,0.0052514,0.010598,0.0041598,0.0121821,0.026562,0.0166823,0.0117444,0.0113846,0.0036536,0.0037744,0.0099865,0.0164181,0.0089193,0.012718,0.0058415,0.0315496,0.0523457,0.2084928,0.434387,0.4795385,0.4768534,0.4461536,0.4810154,0.5189442,0.3875073,0.2401342,0.1047956,0.0456626,0.0406863,0.0110438,0.0473116,0.048059,0.0084904,0.0133418,0.0129464,0.0075578,0.0044128,0.0345171,0.0664162,0.1041657,0.0706763,0.0873698,0.086696,0.0859454,0.144311,0.1684967,0.1568402,0.0737821,0.0542297,0.0306285,0.0454259,0.0213506,0.0119334,0.0114978,0.052661,0.0232038,0.0150887,0.036086,0.0094147,0.026756,0.0304603,0.0353778,0.0222256,0.0305915,0.0082429,0.025136,0.0266919,0.0209231,0.0147794,0.0135252,0.033363,0.0294809,0.0140705,0.0187869,0.0238637,0.0212992,0.032369,0.013771,0.0106394,0.0025184,0.0001444,0.0054804,0.0036668,0.0005213,0.0060336,0.0023803,0.0033057,0.00057,0.0109466,0.0111064,0.0043413,0.0295577,0.0256114,0.0292912,0.0143554,0.0226122,0.04277,0.0221501,0.0055287,0.0254672,0.0043385,0.0043149,0.0037636,0.0125843,0.0112592,0.0215908,0.0321066,0.0263011,0.0339407,0.0207347,0.017984,0.0308379,0.028087,0.0173896,0.0186504,0.0357152,0.023769,0.0164426,0.0085069
G3,0.294688,0.3654268,0.3877862,0.4627314,0.4671682,0.3858449,0.422608,0.3746918,0.27628,0.3692264,0.3299529,0.173918,0.447042,0.2472122,0.5150864,0.4380836,0.2795278,0.3921445,0.6013955,0.5009283,0.6881083,0.361352,0.5896286,0.3709599,0.4336093,0.4794076,0.4656726,0.5658994,0.5669884,0.5952806,0.6201227,0.4630666,0.4723724,0.565968,0.3460794,0.1639165,0.3220719,0.3209393,0.4426494,0.4813807,0.5360159,0.5478154,0.3090551,0.2224901,0.4713533,0.5081689,0.6115934,0.5799093,0.4713152,0.6066472,0.4797009,0.3457116,0.11705,0.0381558,0.09355,0.2466553,0.2269604,0.2356712,0.1592026,0.0835604,0.30949,0.6302732,0.6348747,0.2590041,0.5736227,0.4627409,0.7292737,0.6228067,0.7539648,0.5198562,0.6732872,0.4516499,0.6180562,0.5742267,0.7285164,0.6600872,0.5334915,0.5449254,0.7914821,0.7083339,0.5514289,0.4418374,0.4613238,0.197683,0.29123,0.390498,0.3244674,0.4694729,0.4145459,0.4640646,0.3386229,0.4032045,0.3751926,0.5296529,0.5142473,0.2003667,0.4160684,0.4038748,0.3525534,0.2405353,0.1276907,0.207131,0.1789256,0.571332,0.4468812,0.389701,0.4006405,0.5009657,0.6130828,0.6771403,0.7013239,0.7564248,0.7526581,0.6248279,0.6638222,0.6741685,0.6694088,0.6835936,0.7162537,0.699179,0.6819661,0.6995003,0.6144804,0.6718946,0.6196948,0.5895096,0.3075737,0.1525472,0.1250008,0.2960516,0.5244711,0.6825307,0.6678508,0.8317857,0.6451697,0.6325644,0.6787041,0.6686324,0.7558579,0.6516969,0.7737215,0.6559185,0.727071,0.601033,0.7251899,0.5056562,0.7007652,0.3402207,0.5140065,0.5825231,0.4021463,0.5099278,0.4951056,0.6169216,0.6982932,0.4849928,0.3081673,0.4990808,0.5567195,0.6890337,0.4513283,0.2974491,0.4024668,0.4359979,0.4526724,0.5017317,0.3922667,0.5278716,0.316126,0.2148467,0.0513448,0.0776558,0.0218533,0.0285095,0.0447401,0.0335367,0.0308408,0.0122236,0.0181473,0.1450971,0.0927289,0.0357781,0.2302773,0.4772522,0.6526334,0.3676891,0.5314929,0.5338605,0.5394918,0.2983852,0.5130124,0.241345,0.0939964,0.0862828,0.1122711,0.4770955,0.5399757,0.6076625,0.7279966,0.5826742,0.5922851,0.6982037,0.3616799,0.5593388,0.6403612,0.4027456,0.4081484,0.4148372,0.3270126,0.3690853
G4,0.0769461,0.0992375,0.1202481,0.2086481,0.1396496,0.1310657,0.1751765,0.1113401,0.068324,0.1267392,0.0575745,0.1042831,0.1300631,0.1038505,0.0998664,0.1626513,0.1002667,0.1136849,0.1000484,0.1708458,0.1377739,0.1264429,0.1534181,0.1506464,0.0826957,0.0937522,0.0820196,0.1623679,0.1397196,0.1521543,0.1408111,0.0975421,0.094075,0.1412275,0.0910152,0.0387327,0.1091836,0.1205215,0.1529696,0.2053846,0.1076363,0.1709535,0.0900076,0.0742492,0.12755,0.1605817,0.1691079,0.1564195,0.197327,0.1630038,0.1620113,0.0871293,0.0589847,0.0539294,0.0739679,0.1291933,0.0874942,0.0690041,0.0852638,0.038986,0.1401467,0.129274,0.1420284,0.0929238,0.1956294,0.1361169,0.1204949,0.1329802,0.1504071,0.1642661,0.1670557,0.1642544,0.1195795,0.1291306,0.1859876,0.2285056,0.1672353,0.1144337,0.1976614,0.2251635,0.181483,0.1460671,0.1337587,0.0721595,0.106878,0.0363975,0.0486997,0.049586,0.0195859,0.0073183,0.0162433,0.0339838,0.0353655,0.0203192,0.0512057,0.0513325,0.1234934,0.0926139,0.0895332,0.1360456,0.1279838,0.0750079,0.1243602,0.1202989,0.0975524,0.1154474,0.1508272,0.195565,0.1751043,0.1355646,0.1464778,0.157752,0.1296527,0.2332736,0.1637819,0.2014062,0.1404381,0.1991144,0.2801706,0.1738477,0.1479382,0.1627247,0.1553071,0.1574289,0.1074796,0.1403537,0.0876957,0.057267,0.0625201,0.1092806,0.0860663,0.1545751,0.1907609,0.1541694,0.1421185,0.2384154,0.1691432,0.1662671,0.1259218,0.1669811,0.1842189,0.2235886,0.1640248,0.1735927,0.1154489,0.1574983,0.1602958,0.0669087,0.101927,0.1464869,0.2218371,0.2647664,0.3203542,0.2647517,0.4594812,0.2991529,0.2605219,0.2914536,0.2529685,0.1642444,0.154479,0.0895977,0.0849163,0.1385767,0.1299834,0.0941229,0.0939991,0.1127501,0.0902798,0.0799794,0.0399679,0.0351187,0.0411957,0.0108839,0.0158958,0.0189319,0.0085776,0.0146147,0.0188763,0.0765133,0.0580493,0.0346429,0.0696397,0.0773527,0.1194144,0.104918,0.1492312,0.1916986,0.1613792,0.097336,0.1080918,0.099917,0.1024115,0.0534221,0.040495,0.1126653,0.1575333,0.1279639,0.192613,0.1751051,0.1759559,0.1496989,0.1108932,0.1226933,0.131136,0.1162485,0.0649329,0.1115282,0.0981016,0.1724851
G5,0.6561149,0.7615485,0.7818329,0.7185016,0.5632597,0.7105026,0.5810412,0.7751884,0.8713224,0.6903023,0.7303461,0.7417611,0.65993,0.6783295,0.6740919,0.7242329,0.5871879,0.6976195,0.6149883,0.6874303,0.6419582,0.6262709,0.688361,0.6965615,0.6730187,0.7193713,0.7364838,0.9501062,0.6923741,0.755296,0.7696278,0.6539328,0.5962792,0.7637252,0.7914682,0.8245643,0.736124,0.5764726,0.6604664,0.7128179,0.6420088,0.6373792,0.6278494,0.6375818,0.6700902,0.8174254,0.8227513,0.5861708,0.7002071,0.6854716,0.6342764,0.5846692,0.6572766,0.7601506,0.7388559,0.8157244,0.7093849,0.6544118,0.6610789,0.7023167,0.70434,0.6871678,0.6935931,0.6917948,0.7024338,0.6763839,0.7167491,0.660003,0.6269078,0.6586359,0.6669648,0.7170373,0.5442705,0.6876273,0.6977203,0.6568198,0.6349783,0.7454535,0.6619835,0.7691105,0.6124347,0.6252639,0.5578419,0.7063147,0.7206945,0.7195324,0.678093,0.6697075,0.6462383,0.686932,0.6798361,0.7945526,0.6923421,0.7204712,0.8210314,0.6747698,0.830852,0.6013878,0.6296058,0.7048332,0.6571754,0.6283568,0.6750507,0.7275033,0.7428677,0.7998032,0.7085046,0.6551576,0.6575462,0.7746589,0.6490001,0.786861,0.821176,0.6872466,0.6982433,0.7662201,0.6746714,0.6727619,0.6918079,0.6407467,0.7704357,0.6634786,0.6403485,0.6442544,0.6483945,0.6487509,0.7638434,0.6542336,0.6978805,0.6905607,0.5811166,0.6543101,0.7923674,0.6202077,0.7440037,0.8148596,0.6791827,0.6299638,0.7377919,0.7292251,0.8359842,0.6408175,0.6927884,0.7484515,0.6134258,0.714448,0.7172504,0.7511641,0.1969894,0.1139945,0.1163277,0.1090491,0.1396669,0.1217011,0.0994083,0.1070573,0.1391689,0.1012338,0.4689155,0.7442713,0.734738,0.6693461,0.7266263,0.7682692,0.6610678,0.7434735,0.6420898,0.7272148,0.6869495,0.6911025,0.6102335,0.6322779,0.6820087,0.7168309,0.7416552,0.5959731,0.7701772,0.7003446,0.7318653,0.7523759,0.7985905,0.6635565,0.8240105,0.6842331,0.7125312,0.688892,0.6644729,0.791209,0.5887655,0.628051,0.4749693,0.3857132,0.3466426,0.3248788,0.3543366,0.4102859,0.3395625,0.2570756,0.3365261,0.3268736,0.7370811,0.7023594,0.646659,0.6804246,0.7912289,0.6911188,0.6521199,0.6561416,0.6073027,0.5857748
G6,0.0163983,0.001343,0.0006119,0.0001873,0.0003993,0.0,0.0,0.0003883,0.0048359,0.0004687,0.0070606,0.0070674,0.0095972,0.0029792,0.0106489,0.0055898,0.0142696,0.0037472,0.0054684,0.0095113,0.01328,0.0607624,0.0009714,2.29e-05,0.0002164,0.0001433,7.72e-05,0.0003585,0.0,0.0,3.07e-05,0.0004113,0.0040013,0.0020287,0.0053811,0.0071158,0.0058149,0.0250784,0.0049546,0.0032976,0.0091087,0.0031495,0.0135453,0.0174222,0.0101437,0.007659,0.0128563,0.0115592,0.0065245,0.0117913,0.0033243,0.0090548,0.0097397,0.0061943,0.0166421,0.0053745,0.0064396,0.0063165,0.0065158,0.0102484,0.0102727,0.0104872,0.0077937,0.0098348,0.0011418,0.0001533,0.0001694,0.0,0.0001398,0.0001439,0.0001109,0.0,0.0003186,0.0009477,0.0052271,0.0008851,0.0044139,0.006702,0.0067719,0.0094136,0.004923,0.009064,0.0027305,0.0123878,0.0085672,0.0118878,0.0039541,0.003299,0.013989,0.0117731,0.0104334,0.0080715,0.0104998,0.0045787,0.0226757,0.0022283,0.0089168,0.0067882,0.008357,0.0154558,0.0034525,0.0063352,0.0023272,0.0162863,0.0091674,0.0097306,0.0017832,0.0002266,0.0006684,0.0003718,0.0036521,7.29e-05,0.000223,0.0,0.0006601,0.0001233,0.0132363,0.0180526,0.0224007,0.0088467,0.010592,0.0089513,0.0036607,0.0159736,0.0245697,0.0065913,0.0112344,0.0004562,0.001978,0.0008412,0.0001063,0.0013032,0.0001845,0.0001376,0.0006345,0.0031567,0.0029703,0.00318,0.001652,0.0100234,0.0132647,0.0030942,0.0097508,0.01647,0.0111102,0.0030162,0.0163434,0.0107175,0.0148557,0.0462964,0.228959,0.3379093,0.3510789,0.4040654,0.5466572,0.6841649,0.6329961,0.5580942,0.1268607,0.0268521,0.0146705,0.0158536,0.013272,0.0083865,0.0012049,0.0011827,0.0069265,0.0034984,0.0098714,0.003153,0.009966,0.0064883,0.0176826,0.0201132,0.0071518,0.0011619,0.0188911,0.0053605,0.0103372,0.0132141,0.0043145,0.0141781,0.0037548,0.0237357,0.0093856,0.0168384,0.0200836,0.0186081,0.0089914,0.0259406,0.0233522,0.0331302,0.0185799,0.0428594,0.0555125,0.0197854,0.0295429,0.0472707,0.0207168,0.0155778,0.0024929,0.0175567,0.0067282,0.0012765,0.0088842,0.0033236,0.0028233,0.0112299,0.0237083,0.0072895
G7,0.6709564,0.7690782,0.7636929,0.6959661,0.6184703,0.6955041,0.6419638,0.7077673,0.641531,0.7259338,0.5874478,0.647411,0.6271885,0.63725,0.7427739,0.6848374,0.6967124,0.645988,0.6885083,0.6416267,0.6166119,0.5756715,0.7500422,0.6054426,0.8055485,0.8550025,0.7638035,0.5855554,0.7758785,0.7205936,0.6066039,0.6558871,0.754822,0.7416118,0.6596861,0.569417,0.6402426,0.7852823,0.6410161,0.7587376,0.7907885,0.6376371,0.6670803,0.7247182,0.6575926,0.771192,0.7339367,0.8158919,0.6408622,0.8197977,0.6329468,0.8541615,0.7368158,0.6829591,0.5439947,0.6203297,0.6740264,0.6599204,0.665444,0.8411166,0.7566265,0.7200531,0.6551693,0.706836,0.8206472,0.8561794,0.7244844,0.7311366,0.6447134,0.6883651,0.6945074,0.5291208,0.8281894,0.7539725,0.7423959,0.5814572,0.7140085,0.5962184,0.6783526,0.8576932,0.7214407,0.738573,0.7866741,0.6463611,0.697617,0.6805016,0.6899136,0.6146078,0.6740913,0.6947262,0.540303,0.5654888,0.6855935,0.6776666,0.602886,0.6559307,0.730078,0.6852159,0.6631341,0.5594997,0.6530728,0.7515735,0.634416,0.6501687,0.7224691,0.6196602,0.6998043,0.6397474,0.7290187,0.7314052,0.6169438,0.6532797,0.6196317,0.7257293,0.5573873,0.6465703,0.6823499,0.8828724,0.8556012,0.7538184,0.7267081,0.6101176,0.7032041,0.7592853,0.6091604,0.7535815,0.6470979,0.5493011,0.7318611,0.6624811,0.612087,0.7556806,0.7791945,0.7534954,0.7431744,0.7296869,0.6973786,0.6787036,0.6725278,0.6961294,0.6072655,0.6804669,0.6832565,0.7140846,0.6839371,0.7509086,0.5933746,0.572864,0.6628739,0.7121735,0.6799154,0.7340999,0.6755044,0.679839,0.6069882,0.7612665,0.665759,0.7455048,0.6295176,0.6739938,0.6632681,0.7746295,0.7690921,0.6825469,0.6976962,0.6179724,0.615976,0.6414709,0.627065,0.6838384,0.7666684,0.7385768,0.6012137,0.6491931,0.7884322,0.7231239,0.6802599,0.7032805,0.6533555,0.6748207,0.6563115,0.792357,0.7727768,0.6499248,0.6897685,0.6933325,0.6537365,0.6906889,0.6552596,0.7182394,0.6943397,0.7069754,0.5994369,0.5400793,0.6531702,0.7007746,0.700951,0.6878575,0.6816834,0.7578541,0.664818,0.7300333,0.748519,0.6275379,0.610044,0.6127639,0.7419537,0.708713,0.7013888,0.6075143
G8,0.7667295,0.7963178,0.8107826,0.7175505,0.6529243,0.6443847,0.7049515,0.7880979,0.6842725,0.7260971,0.5612709,0.6884663,0.7794193,0.756092,0.6653823,0.9046229,0.590849,0.698961,0.8322476,0.6659743,0.7599431,0.5137431,0.7044826,0.7450115,0.7911554,0.6383632,0.6266439,0.6835912,0.7545791,0.6027471,0.6126779,0.6871644,0.6417448,0.6917949,0.7520826,0.5962823,0.703304,0.7145355,0.7554875,0.6727128,0.8022812,0.8756093,0.6424414,0.6779027,0.7856976,0.7357715,0.7569851,0.8178182,0.6074576,0.7261581,0.7291828,0.6713699,0.7260823,0.7376738,0.7325418,0.8515079,0.8183647,0.7565698,0.6788845,0.6955749,0.6313299,0.6397631,0.6966662,0.6901438,0.6063869,0.6174038,0.6856704,0.601176,0.6469661,0.7483897,0.8239414,0.662551,0.6783834,0.6508588,0.7349132,0.7288706,0.6403113,0.7690369,0.7567926,0.7574678,0.7057704,0.6173478,0.5646023,0.6578283,0.6831794,0.69972,0.6795048,0.6539315,0.6723648,0.6086022,0.6318533,0.7490126,0.5967356,0.6934313,0.6849462,0.7448968,0.6901891,0.7153694,0.6781405,0.7414794,0.7750149,0.70537,0.6428499,0.5858855,0.6872441,0.6062291,0.7200515,0.6415287,0.7358258,0.7458355,0.671723,0.6726894,0.6592402,0.6878264,0.7686596,0.7454342,0.7403957,0.649512,0.6694841,0.7240651,0.5968873,0.600836,0.6518374,0.5580389,0.733548,0.5847613,0.6515164,0.5068358,0.6403114,0.6488393,0.6624772,0.7491648,0.6687153,0.6799714,0.6335382,0.7226278,0.6856746,0.8027832,0.6272013,0.6190942,0.6185786,0.7607365,0.6823641,0.5948521,0.7447444,0.687816,0.8084837,0.6525286,0.8606344,0.5971416,0.6609888,0.7799177,0.859279,0.6670418,0.5967584,0.7767858,0.6489073,0.667554,0.7253139,0.6753558,0.625103,0.7214728,0.5550856,0.7054781,0.7010937,0.689557,0.7605561,0.4919658,0.761863,0.7876174,0.6772959,0.6826376,0.698038,0.6074744,0.6990865,0.7157269,0.7404022,0.7662205,0.886423,0.6300002,0.7767483,0.6773595,0.583318,0.6701722,0.7104393,0.7956511,0.6101969,0.7728073,0.7737199,0.7283086,0.6419291,0.7003882,0.7157801,0.7730585,0.6816002,0.6381588,0.6075607,0.7250981,0.6896315,0.6126818,0.6675475,0.6344848,0.7272816,0.7114486,0.5759222,0.5092422,0.6911986,0.8219932,0.6076942,0.72398
G9,0.0283513,0.0250326,0.0150736,0.0128653,0.029476,0.0028378,0.0119751,0.0072944,0.0194248,0.026629,0.0089902,0.0087471,0.0288136,0.0504601,0.0368655,0.0218277,0.0196114,0.0404307,0.0211682,0.0115222,0.014264,0.0202249,0.0143855,0.012385,0.0081011,0.0170794,0.0099221,0.0134127,0.0242043,0.0182716,0.0328578,0.0040183,0.0211536,0.0035364,0.0120727,0.0276153,0.008684,0.0265431,0.0248315,0.0075444,0.0069061,0.0179736,0.0253493,0.0194643,0.0186533,0.0244659,0.0182641,0.0078159,0.0169755,0.0124292,0.0284392,0.0082585,0.0445351,0.0112399,0.0119388,0.0249673,0.0176513,0.0131759,0.0073063,0.0082275,0.0370171,0.0292134,0.0154475,0.0160488,0.0131729,0.0197946,0.0451767,0.0126978,0.023911,0.0201195,0.0489553,0.021372,0.0078575,0.0144917,0.0111793,0.0071417,0.0090843,0.0119667,0.0279864,0.025778,0.0081794,0.0247429,0.0182114,0.0204151,0.0185715,0.0274112,0.0230816,0.0251985,0.0453842,0.0252014,0.0227256,0.0244325,0.0105237,0.0216243,0.0256675,0.0162114,0.0565902,0.0256379,0.0319817,0.0145178,0.0278694,0.0162825,0.0129122,0.0249234,0.0223262,0.0179524,0.0116156,0.0036794,0.0139255,0.0033062,0.0056176,0.0257697,0.0147457,0.0304758,0.0104352,0.0118516,0.0156281,0.014044,0.0442727,0.0024373,0.0206716,0.0124509,0.0528867,0.0138414,0.0411248,0.038302,0.0430671,0.0,4.46e-05,0.0012925,0.0030878,0.0006386,0.0017316,0.0036449,0.0012184,4.3e-05,0.0007504,0.0094843,0.0269816,0.0123873,0.0197864,0.012984,0.0108838,0.0054687,0.0165605,0.0189975,0.0054842,0.0214649,0.0017361,0.0003615,0.0149951,0.0498838,0.0290688,0.0253421,0.0691205,0.0719788,0.0696403,0.1409851,0.0517152,0.0469783,0.0114004,0.0292967,0.0410467,0.0280443,0.023739,0.0322149,0.0201584,0.0091001,0.0122958,0.0007972,0.000235,0.000448,0.001521,0.0001183,0.0008114,9.03e-05,2.84e-05,0.0002235,5.03e-05,0.0214928,0.0244642,0.0054336,0.0118951,0.0146958,0.005861,0.0191982,0.0200009,0.0101652,0.0253328,0.0327364,0.0174803,0.0274121,0.0204011,0.0202036,0.0368581,0.0190049,0.0357725,0.021262,0.0091766,0.0293891,0.037374,0.0257946,0.0134425,0.021952,0.0120184,0.0156501,0.0510979,0.0166533,0.0195421,0.0243064
G10,0.7154533,0.68637,0.6259159,0.5495006,0.5365361,0.6397179,0.6979141,0.7748932,0.5913499,0.6514685,0.654209,0.7260529,0.7060181,0.7078437,0.6506489,0.7639105,0.6691204,0.6007211,0.8247601,0.8468828,0.6838861,0.7353808,0.6784898,0.7307419,0.7341785,0.8949601,0.6171818,0.7638311,0.6999873,0.6647277,0.5780432,0.7171755,0.7765019,0.6238897,0.6037625,0.594255,0.6565412,0.6499409,0.6536876,0.6747892,0.7215872,0.5583552,0.7405331,0.7272476,0.7766938,0.7570546,0.7732315,0.5682454,0.6108389,0.6051435,0.6521641,0.6649901,0.5637425,0.6709523,0.6876882,0.6201722,0.7413642,0.5883813,0.6844147,0.7997352,0.6930262,0.940891,0.7015347,0.6174275,0.6572638,0.6092359,0.587285,0.6726692,0.8053291,0.6337748,0.7244109,0.6202921,0.7197096,0.6494791,0.752415,0.629117,0.7002033,0.719729,0.6573671,0.7468221,0.5879482,0.6763011,0.792979,0.6890462,0.7362381,0.6786893,0.6514026,0.5747148,0.6609498,0.6507327,0.6719823,0.6706153,0.5505282,0.640327,0.6251741,0.607189,0.7551506,0.652914,0.6171451,0.6445066,0.7263079,0.6621695,0.737117,0.6410469,0.7688073,0.724938,0.8098,0.6738172,0.7467146,0.6904585,0.6777532,0.6152132,0.7737255,0.7143402,0.5220357,0.7347151,0.6494491,0.8280357,0.7624392,0.7948363,0.7497627,0.7398097,0.7779682,0.7689465,0.687327,0.6591121,0.6972126,0.6076134,0.6496067,0.6930236,0.6007504,0.6034382,0.5531356,0.7441852,0.7648122,0.7511358,0.8590087,0.6765812,0.7724221,0.6873275,0.8125149,0.6859313,0.7436932,0.6392162,0.6406851,0.6555968,0.7595663,0.6269835,0.7039565,0.7117256,0.6426401,0.5181439,0.4427275,0.571737,0.3799113,0.3243503,0.3137752,0.2580184,0.5051229,0.5285047,0.7169276,0.7653337,0.7741142,0.625174,0.8072626,0.5625262,0.6287104,0.7031599,0.6637392,0.7229057,0.624238,0.6780936,0.6630148,0.6083074,0.6603814,0.6728192,0.748785,0.6702306,0.6774423,0.669899,0.5355606,0.6567867,0.6002493,0.5846448,0.816045,0.6090829,0.7027249,0.6872605,0.607348,0.6651499,0.6202568,0.6008545,0.5678229,0.6383464,0.6286343,0.6125479,0.7300591,0.6385822,0.6101372,0.697039,0.705435,0.7256681,0.8059392,0.7262965,0.6762497,0.7427016,0.7623651,0.6971739,0.7061419,0.7183405
