Gene_Name	influence
G1	0
G2	0
G3	0
G4	0
G5	0
G6	0
G7	0
G8	0
G9	0
G10	0
G11	0
G12	0
G13	0
G14	0
G15	0
G16	0
G17	0
G18	0
G19	0
G20	0
G21	0
G22	0
G23	0
G24	0
G25	0
G26	0
G27	0
G28	0
G29	0
G30	0
G31	0
G32	0
G33	0
G34	0
G35	0
G36	0
G37	0
G38	0
G39	0
G40	0
G41	0
G42	0
G43	0
G44	0
G45	0
G46	0
G47	0
G48	0
G49	0
G50	0
G51	0
G52	0
G53	0
G54	0
G55	0
G56	0
G57	0
G58	0
G59	0
G60	0
G61	0
G62	0
G63	0
G64	0
G65	0
G66	0
G67	0
G68	0
G69	0
G70	0
G71	0
G72	0
G73	0
G74	0
G75	0
G76	0
G77	0
G78	0
G79	0
G80	0
G81	0
G82	0
G83	0
G84	0
G85	0
G86	0
G87	0
G88	0
G89	0
G90	0
G91	0
G92	0
G93	0
G94	0
G95	0
G96	0
G97	0
G98	0
G99	0
G100	0
