	G48	G99	G40	G27	G42	G63	G73	G8	G49	G74	G88	G45	G21	G28	G30	G29	G39	G62	G77	G5	G22	G24	G2	G26	G75	G9	G32	G1	G95	G11	G13	G15	G58	G47	G4	G51	G71	G89	G44	G16	G100	G3	G97	G7	G52	G41	G37	G59	G70	G46	G33	G72	G65	G18	G50	G17	G10	G53	G61	G35	G68	G79	G83	G31	G23	G34	G90	Time	G94	G36	G78	G87	G60	G80	G84	G91	G76	G86	G57	G20	G81	G93	G6	G55	G56	G66	G12	G54	G43	G85	G82	G96	G98	G38	G64	G69	G25	G92	G19	G14	G67
G1	0.0060767860655714595	0.009121684615494204	0.007344157842969747	0.018129347721533004	0.012292194806457572	0.01472926519044459	0.010484742655294574	0.008813156521985095	0.006224915344005708	0.009281036201202561	0.006829710794513349	0.007641816146864615	0.014911835442097801	0.008526113941776905	0.007592315835509251	0.018868211653652173	0.016193759584257464	0.009521252576254746	0.006857086454712149	0.012825411040333712	0.007015347420956035	0.007125584483013776	0.008754083988377561	0.005456708521512495	0.006164256454971013	0.01131499700213339	0.010515549952249844	0.01955161151339731	0.01032460197372742	0.015479455307508109	0.008287305148453859	0.013707433043972489	0.005401161142860171	0.006398378872807626	0.0063027819737011955	0.00568839962395629	0.007007300579416127	0.007768351954240277	0.008724291430577286	0.007711462219916514	0.006986460878042411	0.009909728620599644	0.009241474125820947	0.008308132830027288	0.006689235305393803	0.006575013545972222	0.005267125387437078	0.006895114048038907	0.0077595030888318655	0.004778101992378408	0.0068098352331538116	0.005169410159047677	0.008988081741405588	0.009180175528176748	0.007068599074729948	0.006841083818338156	0.00867295061130354	0.006671313063446106	0.010165944817650025	0.006799115000180605	0.011275318838564453	0.011267557584737149	0.010390224226003528	0.0062490781944008625	0.012039828312811317	0.006589461990287117	0.011545763283334088	0.009456031014811173	0.006669911470481954	0.02166108727240558	0.017465480425549247	0.003938149704617988	0.006860249413927878	0.007708738939229737	0.02325033224853509	0.008999187261754865	0.02161197019281481	0.012127878940092464	0.009328779053719267	0.01184624211337319	0.011539444482317503	0.013637015190419084	0.00803388467482978	0.005696451087580472	0.01172669951968657	0.006051009957847521	0.007525823892047779	0.022782782192920053	0.008823868058081403	0.006007430060783756	0.005761506775688938	0.010935768364554992	0.022299311339640367	0.012162379305354241	0.010012842098396594	0.023142595603258927	0.005730547413491809	0.01174545175056284	0.006533825585296078	0.009283414992895218	0.010546415260240078
G2	0.015794301363982473	0.0016100327810185749	0.016293667086637275	0.006073361010241981	0.002050286425469788	0.033883855228244206	0.02414692455831166	0.007277645235084051	0.002881670787325208	0.0028111724411125838	0.007538929686613324	0.005748926558423147	0.019683760507013853	0.02469706562967336	0.013543485409763545	0.0013295901766892783	0.011414566302326368	0.008626510259910233	0.0035184960167854774	0.03182555348929494	0.0041206959730661135	0.002779975639827549	0.11679161880202873	0.004341668607888967	0.01526055675509979	0.0018150537242314104	0.003646194530000942	0.0018019878749505089	0.00545532186645208	0.0013663067922686158	0.010364627736190494	0.0019908268008490717	0.0007382935201025965	0.0023266737067485213	0.0025796140679114994	0.0029172577488621645	0.0037623177206866803	0.005783888445062978	0.0016201267865049082	0.003907228364921231	0.0016634528389905655	0.003184384455036837	0.023783902871979287	0.09612863142976365	0.002326283692509826	0.00690808313688591	0.004611110484111223	0.0028646637494187817	0.001951610138636084	0.029207330392581533	0.04414716084557324	0.002292967509987938	0.0023638670225449828	0.0017682973628825624	0.003861572412357522	0.003786988246873701	0.002747352661522239	0.014067052083991286	0.00572999918939882	0.006786212949727923	0.0021816126864057012	0.0067973280509068855	0.003073745671334486	0.0011219888082832873	0.006562705738573475	0.025371649693687288	0.008327973270094857	0.0038820848856257278	0.014595120661201376	0.0033383233062137868	0.004278531507313636	0.0005737672724894904	0.004147626162932707	0.0019226289920323853	0.04147865585219937	0.0045989066236395565	0.003720861534204203	0.0016373159708158635	0.006633912361422163	0.022156154000943395	0.006916579815680975	0.002403238676949957	0.0014720336899420835	0.005148232852414693	0.0025918123206575563	0.007378169633536647	0.00501065542629259	0.01699916994048744	0.019988020633652858	0.008430003435454173	0.005862988934735291	0.001514063890805155	0.004016108447129905	0.0043185211694220325	0.006290932041212618	0.0025302139137756315	0.00288384674779954	0.0035798909541666524	0.02188402249373317	0.005495117614537231	0.004584524424944206
G3	0.007960777100425288	0.012613035767992194	0.006306173771928317	0.01289728685771454	0.015432681955529659	0.022180002296507916	0.007598564282705431	0.00945538146516814	0.010043779868412619	0.007115005160481602	0.022101770816682118	0.007492181784810477	0.009771220610919822	0.006366240707599097	0.008685728544945384	0.017930958089968554	0.008230484101603104	0.010846543508945629	0.007212230043111954	0.009273829159966952	0.008980519299372016	0.008854028613000641	0.00806592295654694	0.009109132599453111	0.006588962549605753	0.009487936607349912	0.008899043534112952	0.008052781218799612	0.009319061034552593	0.016929661684947354	0.007184411864675029	0.006989991709623088	0.01581091375280443	0.008340438557821057	0.007990091167337983	0.012847376158922248	0.007343989966217364	0.0085813398328164	0.007218841331542047	0.008084336255873062	0.009386809507342091	0.010164676106824628	0.008194309218902775	0.007987602232224326	0.007337672083526356	0.008019964397848694	0.010699450585218881	0.01113783505676388	0.011928211129356391	0.008238134143078186	0.007111073142292717	0.007586894498541404	0.00781645551110775	0.006883650039933144	0.012276357678853095	0.00997645471887457	0.014969010652134976	0.013234183546075909	0.008062976111869936	0.016388736614547844	0.007281999943700389	0.007183184661589553	0.011585347547923307	0.007775007611158237	0.006508369414770498	0.009063622977695128	0.006348431995482742	0.009847594584524942	0.006972719971849967	0.010107563775106219	0.006831335355286616	0.010043765705812474	0.013894475638609724	0.010856599176498567	0.006130877189236374	0.010403735450658091	0.014606404002105583	0.009615454896301312	0.008465237383691548	0.015711960555578667	0.014035960193401233	0.011575145775150673	0.013704270362897729	0.006434305064706666	0.014193950377904973	0.01093994165352646	0.010123333434083576	0.007398799074784756	0.009396687075989613	0.007702603219613715	0.009643243045571282	0.00940269268887886	0.009738827752206766	0.005676561372241491	0.008020635677260326	0.010204290737534785	0.007829658572449353	0.006368133258923627	0.00840266812393371	0.014969521750274746	0.013411969384975759
G4	0.004437719095111525	0.012613630389246388	0.02390207104828575	0.006101291430111365	0.006266766643204203	0.009031098713901972	0.00117706926642856	0.022882236657549637	0.0033751768198135995	0.0030167050517260494	0.001416661015418836	0.04103462423521539	0.002227195014580495	0.0061897313398015545	0.0019550838995888394	0.006939601012359902	0.006768466820964859	0.003518993412156464	0.10083817581342915	0.008048890455340315	0.001060801710844609	0.008265598842622703	0.003520607913669972	0.08580900160359613	0.002989562185161863	0.004356793745286502	0.0033457539272806797	0.0027099521868353734	0.015116538883343257	0.0031153794951354285	0.004434512373476533	0.023650692542029308	0.005272774827571801	0.011443583544803772	0.10333872982526304	0.005967835629246136	0.0033178736302829416	0.002166674932009242	0.03565643526238557	0.002190615511737703	0.01688406697416045	0.0016212710219271375	0.005377103013797623	0.004901564756807309	0.008140302877723264	0.0070231059568400984	0.005191197015641742	0.017494314285258234	0.006324346606366898	0.003338642619438827	0.01179597897221015	0.001927351345697197	0.0011715649544504542	0.0009766729580317618	0.0023311798443025346	0.0022781201353647266	0.03906697789821045	0.012502992376540104	0.001555718419191475	0.0029606176711759256	0.0018083119904925484	0.014278555923347943	0.009637943472299619	0.002759966214934581	0.002001100888567937	0.007476043114103233	0.0033071403462411253	0.004042903556920288	0.0032838947491373597	0.003971287892949185	0.003831848859114839	0.0034070515658135812	0.0063172204830337485	0.004328581620190676	0.002149547105505565	0.0010454871479669131	0.0032543067150621954	0.0021397603747096497	0.012821869158453224	0.0019138252510475908	0.003239618102972367	0.0015118718346173335	0.0027480029242300938	0.004509261737172942	0.002377422156559353	0.0030934834318241257	0.003775109054209344	0.0051666071704191	0.010602905106653855	0.0075439019262603475	0.005063003681743321	0.004852302327063857	0.011541521050443702	0.004285795718840074	0.0020427743553005674	0.0019791523027321433	0.0017932874660938623	0.0323005439426622	0.00661995147005768	0.033563965548582396	0.005278875851715685
G5	0.008300500676030052	0.005355839604607108	0.006236906880535763	0.006285145986173492	0.005974700461662541	0.025047151897812158	0.006937326128737497	0.006426795059704463	0.011335143654580932	0.009993552991569314	0.010198353614863662	0.004839292156642513	0.006202348485182716	0.007735714354910035	0.006459631968241696	0.03278824189795057	0.005260599649306693	0.01022965151115614	0.007577229032013033	0.013272232317584374	0.010324549826449916	0.008578611984833714	0.009312361680818611	0.005805820290165458	0.003443013991110182	0.007074656813008262	0.007286259976786428	0.005078410004730397	0.006842094417048032	0.00535806787800033	0.007110562574321782	0.007709140271475742	0.0082364424968033	0.010447544731695919	0.005320009527406929	0.006341096655969937	0.014763574106709027	0.008152125973246776	0.005475699668181595	0.007103257471893622	0.016035309812018672	0.007265776652475994	0.0068893954224795665	0.0410638604010701	0.015933828549877443	0.010867968715019516	0.017995743790638504	0.009743724561770887	0.006782564843610698	0.026405921532106906	0.0324425964439806	0.009294141811666627	0.00814511333071665	0.005404553169701633	0.008579074521629697	0.00802356306473361	0.0048668759699503055	0.008162687151760788	0.008654140425981918	0.01239833418892945	0.006366761602594271	0.006943415885603409	0.007203071846527323	0.0046140185126586145	0.006247518032820401	0.011672790026212488	0.009832783415707633	0.005103530996180847	0.006072850086805559	0.0061785477130598026	0.009433184457931064	0.009320337337413179	0.006270480080934323	0.007330162376091638	0.013239221730842793	0.011784927059567053	0.004698627459439579	0.008570838989608174	0.008920284179309304	0.028506572608719142	0.014160982301014466	0.0077608894802426685	0.005630272874222679	0.014740538241918677	0.01565838572328398	0.006194840634906747	0.004896311315084718	0.005788932849225436	0.008384256446940951	0.01432101900087468	0.017066375745899247	0.010619100091615768	0.01369593045332221	0.009112364708607684	0.005304794077256867	0.0073402667687	0.009063956586976899	0.014151849802063028	0.00836319610968575	0.010711624765588476	0.007549354594502168
G6	0.0074137934900008725	0.01044417184732006	0.010588498307317463	0.01270408280719842	0.007787439844364499	0.00964210922210111	0.009058518324645317	0.005689703709081075	0.009085990239181354	0.006999977316729911	0.009552675177661847	0.006695700376073749	0.00685409895969502	0.007371236625784965	0.006464450367346787	0.012073919912802352	0.008259332537814685	0.012486662228114896	0.00586469542781782	0.010597113244110935	0.009343467979906503	0.012153019577845078	0.008909972673872198	0.0068160716860575276	0.011080556708390586	0.01158494291418558	0.0126433557475735	0.007923045078091828	0.010004001362408543	0.010289634537827537	0.007815844516823147	0.008953380141269382	0.00806443336092427	0.0123050181160353	0.008511146000995281	0.006301424428271992	0.006535413062562771	0.015811564214958433	0.016443848590952232	0.013299447921874293	0.008517006925447502	0.007403878359501197	0.007798297022764647	0.010043092048602851	0.009674792510805144	0.010525168395861111	0.009746644741846286	0.007254158755968406	0.007872186690605973	0.01506495421225717	0.012656406661704016	0.009710191089195554	0.029140565217268467	0.005846882817643243	0.008228954437462506	0.010588767010287275	0.006289261543653769	0.010456119540348495	0.017521604762507793	0.006720783983973124	0.007236872898653231	0.007719047721025826	0.00744631511629235	0.007484716709153374	0.017896785561832156	0.009210322274574922	0.011924147172062612	0.004971884335005186	0.01542387160595567	0.015806279137141905	0.006285597126838801	0.009396360219461494	0.008593743813372771	0.009840051485504953	0.008328940114956359	0.008368640548408177	0.014103502026174334	0.017149579976105944	0.012852028888962704	0.009879407019311934	0.008327182019578595	0.013372130725440749	0.011666310955803068	0.006320714013119489	0.015758462963546046	0.00941214294042691	0.006425842083666113	0.01846179565964952	0.008166156589952484	0.007366714065685338	0.006438855578063967	0.007765665788402316	0.006195121643604875	0.008413467502293949	0.006737193792487782	0.014810338460321155	0.005957126466261999	0.0066694687435710906	0.00892109667328785	0.00855494587700408	0.012857698393344124
G7	0.005728746402877439	0.004427384795548487	0.007672251548561243	0.0073981691957272075	0.002671316016984119	0.037523462113721394	0.018394090748531888	0.005907358927777262	0.0028057541076323164	0.002917906264235676	0.0037686123974971656	0.00495539114070608	0.006158418457430445	0.01065462722717061	0.03899539899603936	0.02612263934017781	0.003606722069328156	0.011297278534594814	0.002874705441368088	0.0160080488038965	0.0023578381181762636	0.004366939684843737	0.03975039037005596	0.004298248985829737	0.004378072471117286	0.003159674191152846	0.003438364430898401	0.0026248628477608545	0.0034316099370459334	0.0022969057460170503	0.005225285009582952	0.004344842380057324	0.00244469340644169	0.008465215809871241	0.006305110227424758	0.01856372839548893	0.0025703488613376345	0.0030855123071618497	0.00376062567387072	0.003965231501266907	0.003744847540217877	0.002381070873631588	0.029359624783781926	0.1245250686949281	0.0069750747648770345	0.007520637854374351	0.010749039045429617	0.0037811810992085613	0.012159667518360773	0.07327058355659122	0.08095458808099182	0.005844873237727863	0.003398529898653257	0.002544798362483412	0.0035643748043303084	0.0036312587347433175	0.0038063171360995848	0.009148102421851632	0.0032912703969864587	0.003075171701922261	0.0028135148102327668	0.003784365216999172	0.0034951327106010075	0.012627193444806185	0.006461380456414113	0.03128568351408113	0.009766808623742976	0.002762590982776608	0.005975784296505957	0.002965106820491442	0.0036283937179407513	0.0022550914317798544	0.003212475064862374	0.002981766178257751	0.012693076030233806	0.006697256320766299	0.01386113183978452	0.004355956479584463	0.00414648923952333	0.004116754486466188	0.00945715907893174	0.003926041977368637	0.003801871277671971	0.005683074133566875	0.003861411726488181	0.003007076055145092	0.0019012242918416589	0.007979822644778969	0.009147446739717669	0.009672477862515745	0.002626823205471017	0.00272237995226525	0.003404435664542555	0.004005813930929486	0.011953377159321587	0.0023363567145853	0.0034578854431009435	0.01135750658788815	0.011112639239202455	0.004123411242518319	0.0021279500138986942
G8	0.004809402076214034	0.0067161409052430695	0.016287758057154465	0.011030464856835037	0.006359527645650568	0.013999176765170181	0.005914088660046244	0.010277902843371807	0.004599068102237522	0.006296447922449315	0.007294658890088947	0.010418113949548176	0.00623168419694748	0.008067263484034075	0.0051426185690996145	0.019145403319188913	0.009245600640722449	0.006028732179845565	0.028617511639777545	0.009796236271450457	0.0036587374993703914	0.010630904335973804	0.006338479273412481	0.024945105894729248	0.008228079282996336	0.00645947727405589	0.0038471201158205236	0.004593120724224194	0.007470156370078729	0.005974144126635519	0.007932862196106736	0.0072853341570236155	0.004422904914508751	0.02428680339268353	0.019977615984075332	0.014682300643988481	0.008079360232406858	0.004689074771330715	0.013029622612495908	0.0049871359484695114	0.01233345858901295	0.0037508487902495986	0.004003730540905531	0.021221942845514163	0.006589043937515336	0.003820849767811655	0.00807239363117008	0.015459153681983804	0.005738590731112018	0.024839611037943108	0.07764065350151005	0.008631070265126675	0.0037459034836205083	0.006804051349877908	0.00553715525368335	0.008970190560622402	0.01228004167731626	0.013302394576038138	0.003909719320795604	0.0039944176026931975	0.005949397663639742	0.00778360905652349	0.00622487394933412	0.019097419337953947	0.007266392589438163	0.01855741269886531	0.016033384680850984	0.00353267628145373	0.0044362006671064946	0.011024239815845922	0.005055279115182886	0.009389088190606057	0.00602799586567551	0.006991599003165036	0.003954548068307868	0.005871032449243257	0.009953200700829074	0.009595841366159465	0.010331625881727381	0.011800714958459918	0.011256122045507603	0.006501124471058114	0.004887195304882877	0.007172908517321227	0.006887384854584056	0.004559451460694893	0.004270964655508361	0.005997983398867172	0.010090380250958172	0.018470279301373366	0.0065093316255511935	0.005006163603909843	0.005441029907868828	0.010464767999210804	0.01223513853977665	0.004559582192764366	0.008041738569746456	0.011760601439184882	0.007739959914011136	0.025252230840198318	0.005577766896688904
G9	0.0272769161555541	0.00937119491323633	0.004596679049033155	0.017715378216290843	0.005334872119956863	0.009430309241262754	0.008946606275468894	0.006537521328110786	0.010295675370535108	0.006612258779766332	0.023001852045607743	0.012201196259479134	0.008042352638345136	0.009060641029972226	0.005465483468890078	0.006517505323959795	0.007224918496185051	0.008033790047013581	0.0071581061208377305	0.011093883359573514	0.01796195357007595	0.012250639900438544	0.010043454908650724	0.0065952764221608555	0.00433000876649548	0.04110237737041805	0.016623738265008525	0.00691819383783221	0.005550907011164992	0.00748702657680623	0.004950223822090157	0.008421123606743429	0.005471492844802161	0.009945871347640939	0.015791324475776893	0.012381701291541624	0.006353460385886946	0.008064744266504508	0.013477890729373785	0.004760230461248229	0.020822184940826653	0.00640682078575054	0.012630432702176373	0.005847107295144711	0.007755455517054695	0.018177144906148322	0.018131028595907442	0.008619074289091734	0.005293350955270216	0.010386380917545462	0.008139350514991985	0.007730571042174935	0.015594054162545293	0.006198497281018203	0.0127095794637334	0.005420585036766356	0.008609402372995414	0.009297435935528666	0.0053102325440140125	0.010270908190095468	0.007082560329592795	0.008279752000778583	0.011787076349637236	0.007211218079299298	0.007565031073782778	0.00571308677762646	0.011617287143889992	0.011202453772330142	0.007926446035822677	0.0129203855855285	0.0051696012568055024	0.008208217170801266	0.011188476374113217	0.006970782687525547	0.0056492426566615555	0.008116996007858918	0.009747183050915147	0.0075699303920712235	0.007066936064842268	0.020165002452906935	0.016247748789131322	0.015054142662879862	0.004453237954936405	0.01001541075444988	0.008478725428790407	0.0088599841648302	0.0050004116582841335	0.009746269477137323	0.006104001226304976	0.00664854686133081	0.005517777270758009	0.006652576762099513	0.012416183150589842	0.0050668986093922236	0.010943067553489718	0.005576585758317335	0.017033836683428994	0.005484034219798305	0.006204414792214035	0.014033260734369644	0.013556842676157721
G10	0.0052855273931333895	0.008594897148328139	0.016224956342645248	0.011088632019855613	0.007419019457634042	0.010056759384752936	0.007618517108678936	0.00818717872968995	0.007804648062135948	0.010917307750721741	0.005708925046560588	0.014297139015416196	0.009470971252391214	0.004258651335241211	0.006952753470209142	0.005258260077924906	0.007509173171815066	0.012944371141442746	0.024990195327588425	0.015458506301305895	0.009956761862892034	0.0078386670779721	0.01789534313364026	0.022408688724793766	0.010177731161045245	0.00839592275146541	0.005514062916806941	0.004428469892194897	0.005216234108692756	0.005198351511900347	0.01817409699847987	0.02295293672277353	0.00846264549604283	0.012454593159290865	0.02582280517753209	0.012890091009205597	0.008060963492203031	0.01834386858581845	0.011429696227784676	0.010609902618949984	0.0037695766314380275	0.0053454598258346345	0.019926073469720248	0.0062891227049565405	0.017268531237499146	0.011145720611509804	0.021577958813696754	0.016071662504816658	0.009218853313930388	0.006722968338926967	0.010743925995842757	0.006081852243700744	0.007112542305899588	0.007509514105452089	0.006342945500156177	0.004552602545197995	0.021356308087001178	0.012177489658318864	0.008348539237605347	0.00621907158082186	0.005964516426153273	0.005157121726267601	0.009234780182884084	0.00972295683551816	0.005268764084848389	0.008292178978318007	0.013263817100392906	0.005438368620490905	0.005703268025891394	0.0077759290586018786	0.006013034446222248	0.006043135492164819	0.013625698683144168	0.012331922617520542	0.004976395678766988	0.005994035401905519	0.005548148972203674	0.00540199376784925	0.008613689472867591	0.00682195766420306	0.004609044523548227	0.008510623029419843	0.0068569804789643495	0.006168795326381902	0.010353060035537962	0.005591653593681919	0.005055838629485464	0.006946176362125831	0.011718821223018743	0.01702916557416722	0.007728927781522795	0.008305119038042255	0.013834638124916672	0.006478594564057916	0.007117608970177877	0.008076949670304052	0.009871717442489785	0.008711003506561425	0.007641819791328534	0.00898024690887861	0.02516256130989236
