	TS_0_0	TS_0_1	TS_0_2	TS_0_3	TS_0_4	TS_0_5	TS_0_6	TS_0_7	TS_0_8	TS_0_9	TS_0_10	TS_0_11	TS_0_12	TS_0_13	TS_0_14	TS_0_15	TS_0_16	TS_0_17	TS_0_18	TS_0_19	TS_0_20	TS_1_0	TS_1_1	TS_1_2	TS_1_3	TS_1_4	TS_1_5	TS_1_6	TS_1_7	TS_1_8	TS_1_9	TS_1_10	TS_1_11	TS_1_12	TS_1_13	TS_1_14	TS_1_15	TS_1_16	TS_1_17	TS_1_18	TS_1_19	TS_1_20	TS_2_0	TS_2_1	TS_2_2	TS_2_3	TS_2_4	TS_2_5	TS_2_6	TS_2_7	TS_2_8	TS_2_9	TS_2_10	TS_2_11	TS_2_12	TS_2_13	TS_2_14	TS_2_15	TS_2_16	TS_2_17	TS_2_18	TS_2_19	TS_2_20	TS_3_0	TS_3_1	TS_3_2	TS_3_3	TS_3_4	TS_3_5	TS_3_6	TS_3_7	TS_3_8	TS_3_9	TS_3_10	TS_3_11	TS_3_12	TS_3_13	TS_3_14	TS_3_15	TS_3_16	TS_3_17	TS_3_18	TS_3_19	TS_3_20	TS_4_0	TS_4_1	TS_4_2	TS_4_3	TS_4_4	TS_4_5	TS_4_6	TS_4_7	TS_4_8	TS_4_9	TS_4_10	TS_4_11	TS_4_12	TS_4_13	TS_4_14	TS_4_15	TS_4_16	TS_4_17	TS_4_18	TS_4_19	TS_4_20	TS_5_0	TS_5_1	TS_5_2	TS_5_3	TS_5_4	TS_5_5	TS_5_6	TS_5_7	TS_5_8	TS_5_9	TS_5_10	TS_5_11	TS_5_12	TS_5_13	TS_5_14	TS_5_15	TS_5_16	TS_5_17	TS_5_18	TS_5_19	TS_5_20	TS_6_0	TS_6_1	TS_6_2	TS_6_3	TS_6_4	TS_6_5	TS_6_6	TS_6_7	TS_6_8	TS_6_9	TS_6_10	TS_6_11	TS_6_12	TS_6_13	TS_6_14	TS_6_15	TS_6_16	TS_6_17	TS_6_18	TS_6_19	TS_6_20	TS_7_0	TS_7_1	TS_7_2	TS_7_3	TS_7_4	TS_7_5	TS_7_6	TS_7_7	TS_7_8	TS_7_9	TS_7_10	TS_7_11	TS_7_12	TS_7_13	TS_7_14	TS_7_15	TS_7_16	TS_7_17	TS_7_18	TS_7_19	TS_7_20	TS_8_0	TS_8_1	TS_8_2	TS_8_3	TS_8_4	TS_8_5	TS_8_6	TS_8_7	TS_8_8	TS_8_9	TS_8_10	TS_8_11	TS_8_12	TS_8_13	TS_8_14	TS_8_15	TS_8_16	TS_8_17	TS_8_18	TS_8_19	TS_8_20	TS_9_0	TS_9_1	TS_9_2	TS_9_3	TS_9_4	TS_9_5	TS_9_6	TS_9_7	TS_9_8	TS_9_9	TS_9_10	TS_9_11	TS_9_12	TS_9_13	TS_9_14	TS_9_15	TS_9_16	TS_9_17	TS_9_18	TS_9_19	TS_9_20
G1	0.1623224	0.1561478	0.0391861	0.018076	0.0621435	0.0024575	0.0044505	0.0012044	0.0025239	0.0076282	0.0954339	0.1334781	0.1833252	0.1609795	0.2288254	0.1814844	0.1431726	0.1872734	0.1538691	0.1811176	0.1833769	0.1948214	0.2766591	0.249882	0.2342603	0.1373818	0.1132748	0.1135321	0.114888	0.1233981	0.0913065	0.066325	0.0186251	0.0098728	0.0003859	0.0031526	0.040642	0.0874278	0.1511791	0.1883984	0.1653473	0.1621768	0.1556034	0.0918427	0.0455029	0.0048818	0.0057664	0.0138623	0.0205481	0.0159003	0.0138773	0.0164909	0.0226878	0.0227169	0.1094027	0.2249885	0.1853664	0.1663984	0.1509069	0.1420496	0.188723	0.1706775	0.1747691	0.173697	0.1352481	0.2101555	0.1695892	0.1183858	0.1416964	0.2297279	0.1220894	0.2028254	0.2633361	0.2162691	0.1891293	0.107921	0.1383031	0.169449	0.0868594	0.0258167	0.0528473	0.1374812	0.1599568	0.1127245	0.1831378	0.1422858	0.023649	0.0092282	0.0049258	0.0038317	0.0023259	0.001212	0.0012496	0.0045715	0.002568	0.0021213	0.0145149	0.0306178	0.0450558	0.0624414	0.0832803	0.101574	0.1600142	0.1231182	0.1712535	0.1468447	0.2280213	0.1886345	0.2109796	0.2775634	0.227801	0.2673488	0.2508834	0.2390441	0.2459868	0.3235055	0.2128055	0.1618831	0.2125846	0.1533472	0.1190206	0.2218355	0.17593	0.12263	0.0582631	0.095344	0.1606115	0.1930087	0.0890295	0.035505	0.0180335	0.0050368	0.0025947	0.000744	0.0013959	0.0009813	0.0016323	0.0014371	0.0004877	0.0042682	0.003073	0.0043986	0.0033946	0.0368123	0.0414012	0.0610189	0.1197423	0.1718213	0.1172221	0.0851372	0.0390475	0.0307833	0.0092517	0.0039692	0.0079792	0.039142	0.0045185	0.0117244	0.0120425	0.0904009	0.1389462	0.1105367	0.1936275	0.1807158	0.1506448	0.1855197	0.1534051	0.2255674	0.1444375	0.1686385	0.1503646	0.1508959	0.1270945	0.1234822	0.1918464	0.1468534	0.2507924	0.1611456	0.1308432	0.2975128	0.1290392	0.1615529	0.1267803	0.1847455	0.2156068	0.1440207	0.1717121	0.2243244	0.2152658	0.1670355	0.3875757	0.3802416	0.4170696	0.4652311	0.4068648	0.3489447	0.3944926	0.4332047	0.352124	0.5005769	0.238626	0.1451452	0.1988236	0.1992715	0.19106	0.1967956	0.1539533	0.1662453	0.1639105	0.1658811
G2	0.6123963	0.6484764	0.6979775	0.6862408	0.6453865	0.7407393	0.6659934	0.5996853	0.6959858	0.650756	0.6332166	0.6166244	0.6214552	0.5650079	0.5569827	0.7581078	0.6004732	0.5757224	0.6309581	0.6602448	0.6345216	0.7201493	0.7011978	0.6767376	0.6078571	0.6785216	0.7501378	0.6495199	0.6884913	0.5650253	0.6654852	0.6753596	0.8050167	0.6356234	0.6685636	0.6196327	0.5981893	0.7477034	0.7375435	0.6730084	0.6163169	0.6058342	0.6374826	0.3944496	0.3795738	0.3621398	0.3401903	0.4848939	0.3795722	0.3631888	0.3277499	0.3220982	0.4136054	0.5942608	0.645986	0.678177	0.6150119	0.7280022	0.7178135	0.5878386	0.6232717	0.6324693	0.64555	0.67665	0.5595621	0.5044275	0.5091681	0.5823907	0.6914873	0.6584226	0.4492908	0.4632749	0.4852269	0.5430037	0.6012165	0.7233999	0.7073688	0.820678	0.6972236	0.715978	0.7134786	0.73065	0.6410068	0.6014723	0.7131839	0.6565596	0.7853085	0.5808415	0.6515794	0.6863732	0.551518	0.5364742	0.5126942	0.5479346	0.6175375	0.6182677	0.5472917	0.6331465	0.87673	0.6657619	0.7003149	0.6819422	0.632487	0.6461375	0.5456746	0.6594184	0.5624139	0.6265141	0.4366519	0.4263141	0.5049966	0.4610385	0.5703118	0.5874204	0.6236843	0.4932357	0.6844727	0.7448021	0.6491336	0.639429	0.5947069	0.5955088	0.5251571	0.7221963	0.6654082	0.5928833	0.5979448	0.5986286	0.6515652	0.7796693	0.6317296	0.7259906	0.6516629	0.61772	0.5717711	0.6625462	0.6895077	0.5696444	0.7057959	0.8026653	0.6733871	0.7692136	0.6306905	0.8291763	0.6671458	0.6015492	0.6319229	0.657586	0.4503165	0.3410341	0.3756289	0.4004633	0.4280735	0.4608339	0.3880137	0.3697163	0.3978648	0.3883656	0.6958281	0.6587945	0.6789178	0.706306	0.6289444	0.9202382	0.7275209	0.7434423	0.6446057	0.7273995	0.7185334	0.455017	0.4732707	0.5040296	0.4296447	0.4541981	0.3944172	0.4536543	0.3476416	0.4618534	0.7175354	0.5467715	0.6966986	0.6729752	0.6347145	0.6072824	0.5980836	0.6589816	0.6765701	0.6957917	0.6537173	0.5806667	0.6790218	0.5718654	0.4469668	0.5302605	0.5306873	0.6245444	0.5831044	0.6385816	0.6027795	0.632951	0.7006523	0.7449595	0.5921512	0.731341	0.7060002	0.6839265	0.5926673	0.6176738	0.5848302	0.7028493
G3	0.6293608	0.624361	0.6145608	0.7945886	0.6098714	0.7154062	0.6527863	0.6315483	0.6419978	0.7810689	0.6234659	0.7173798	0.5641294	0.6630229	0.7553553	0.6798021	0.6697418	0.6326448	0.6154086	0.5903693	0.7180746	0.7776155	0.6114165	0.6183994	0.5054157	0.5376533	0.6787615	0.5966441	0.7455682	0.578581	0.7575529	0.7206392	0.6294524	0.6672176	0.6892986	0.5253139	0.6699589	0.6866673	0.6841585	0.6081875	0.6876141	0.5820813	0.7575005	0.5637148	0.6451802	0.7775667	0.6912585	0.7089942	0.5886709	0.6415369	0.7103101	0.6859814	0.6748188	0.65774	0.6321409	0.6911617	0.6217288	0.5911363	0.6147991	0.7729636	0.6796569	0.6929555	0.7580821	0.7923318	0.5915543	0.4995405	0.7983481	0.8854661	0.6423659	0.7165379	0.6325323	0.7112234	0.7098143	0.5489552	0.6747326	0.690151	0.6617266	0.6277803	0.7132256	0.6519393	0.5864566	0.5900141	0.7552213	0.6325176	0.7538482	0.2255077	0.2777622	0.1809572	0.1517803	0.1028031	0.1416681	0.1223313	0.1634614	0.1508775	0.1284669	0.6583238	0.6597589	0.6476107	0.6672354	0.5739465	0.6726342	0.6599377	0.846254	0.6086289	0.7327498	0.5800296	0.649471	0.6751978	0.6506638	0.6833008	0.6467392	0.606443	0.5818323	0.671647	0.6700224	0.7159407	0.5409068	0.6175434	0.6247127	0.6718701	0.6488763	0.6866084	0.7106942	0.6717767	0.7313528	0.5490875	0.7137321	0.6392977	0.6763277	0.6929657	0.6567291	0.6373163	0.7184165	0.65293	0.6570298	0.5752751	0.7041953	0.6620736	0.6134002	0.6933584	0.7823114	0.6040799	0.6307216	0.7014363	0.6290066	0.5997736	0.6504795	0.7410385	0.6322504	0.5725898	0.5341493	0.6488499	0.6767655	0.5157171	0.577936	0.6492714	0.5549161	0.4761504	0.6432161	0.6609278	0.5630279	0.748428	0.6973557	0.6539959	0.7561968	0.6789748	0.5747588	0.5804735	0.7101552	0.5104549	0.5501238	0.3664111	0.4140615	0.3472725	0.3523497	0.4697151	0.438082	0.4128801	0.4012385	0.6502381	0.6221678	0.596683	0.7601959	0.7487236	0.7539898	0.6998318	0.7878759	0.8052331	0.7528223	0.710301	0.7141884	0.5582057	0.7133386	0.6900697	0.5616235	0.6784984	0.7447852	0.5563278	0.6606775	0.6298887	0.5717531	0.6647888	0.6213388	0.7037384	0.7764397	0.6675636	0.6929859	0.6962595	0.6133249	0.6761687
G4	0.1177044	0.1286508	0.1075366	0.0824699	0.0734933	0.056228	0.07856	0.0298634	0.0168704	0.0170279	0.0238368	0.0634431	0.0594934	0.0999635	0.0736555	0.1093509	0.1123963	0.0888742	0.091498	0.054868	0.0785684	0.0697395	0.0892009	0.1372013	0.0733725	0.0598865	0.0496413	0.0775597	0.040564	0.0865516	0.0801889	0.0746701	0.043959	0.0558733	0.090536	0.0599046	0.0604561	0.0649547	0.0588581	0.0337002	0.0629932	0.1257843	0.0952463	0.0149811	0.0488702	0.0041434	0.0019342	0.005534	0.0056716	0.0078114	0.0018279	0.0036394	0.0038157	0.0405456	0.034753	0.0648107	0.0579494	0.0602227	0.0993491	0.0656195	0.0474194	0.0618583	0.0694317	0.0622336	0.0607789	0.0325675	0.0571267	0.0846272	0.0564701	0.0758406	0.0784481	0.0516694	0.0512417	0.0728879	0.1199484	0.0932198	0.0956305	0.0978967	0.070926	0.124498	0.067558	0.0735441	0.0718367	0.0881187	0.100559	0.0637228	0.1074307	0.0760185	0.0831156	0.0641706	0.063158	0.0708898	0.1114388	0.1341113	0.1174354	0.1038405	0.0733304	0.0592322	0.0595317	0.0617106	0.0846462	0.0759713	0.085714	0.0624	0.1366791	0.0943267	0.0562749	0.0237882	0.0498901	0.0428478	0.0521995	0.0389019	0.0386729	0.0248637	0.0955886	0.0449283	0.0690416	0.0787282	0.1066265	0.0802048	0.0712128	0.0947703	0.1192169	0.179188	0.1147008	0.0941743	0.0675193	0.0665957	0.0598049	0.059053	0.0343789	0.0080049	0.0115981	0.0248088	0.0030113	0.0016686	0.0027392	0.0076484	0.0043242	0.0443654	0.0167343	0.008209	0.0042788	0.034442	0.0629102	0.05568	0.0977927	0.0944161	0.0613438	0.0267732	0.0216121	0.0600388	0.0454267	0.0315016	0.0478899	0.0310556	0.0274555	0.01085	0.0431998	0.0764593	0.1169152	0.0869195	0.0760732	0.0663407	0.0575591	0.0776481	0.0992058	0.0923753	0.1890232	0.0755359	0.0608432	0.0646718	0.01219	0.0190924	0.0110473	0.0313872	0.0082759	0.0106678	0.0076718	0.0360453	0.1177514	0.074659	0.0749779	0.1335053	0.0807137	0.077619	0.054181	0.0843618	0.0929002	0.0701635	0.1158572	0.0518749	0.0599304	0.046681	0.0943012	0.0698266	0.0597495	0.0611679	0.0560298	0.0677681	0.0728003	0.0743195	0.091206	0.0670473	0.087962	0.1281399	0.0830679	0.0462961	0.0872915	0.0681324
G5	0.3502565	0.3106304	0.3091534	0.1800533	0.2147868	0.2987044	0.44431	0.5656966	0.59294	0.5696962	0.6068733	0.6341609	0.6665086	0.6803321	0.5146035	0.3961689	0.4118866	0.2465055	0.3491669	0.3281619	0.3516288	0.4046531	0.453411	0.4428135	0.340781	0.3634798	0.4568714	0.5037646	0.4902411	0.4910287	0.4607483	0.7578993	0.550287	0.581318	0.3493293	0.5132207	0.3877463	0.4006129	0.3941126	0.3221342	0.3392509	0.3964037	0.4852031	0.3374858	0.294447	0.3186239	0.2704963	0.3756965	0.4466577	0.4161572	0.4077752	0.3931973	0.3395576	0.2993254	0.3055066	0.2450956	0.3436981	0.2536848	0.3262829	0.3197333	0.2924473	0.3394572	0.2526996	0.3865807	0.4957684	0.4563226	0.5150734	0.5364353	0.4762375	0.5301914	0.5018886	0.516483	0.5390695	0.5433776	0.234377	0.3037985	0.187151	0.2090387	0.2931366	0.267127	0.302349	0.3544306	0.2598995	0.2714407	0.3266036	0.3240913	0.2398125	0.2140642	0.157987	0.1949427	0.1373922	0.1039598	0.1322154	0.0820267	0.1364175	0.2040945	0.2382199	0.3302143	0.435475	0.4369657	0.3363843	0.4717746	0.4512092	0.3436337	0.260654	0.420441	0.5440559	0.4771312	0.5269099	0.6396526	0.7104648	0.6470016	0.631593	0.6432402	0.7384607	0.7363305	0.6449156	0.5987164	0.6122974	0.5677534	0.5919532	0.4653622	0.3055166	0.2615711	0.2742657	0.2193456	0.450165	0.3463012	0.3385155	0.3533402	0.3133287	0.2518232	0.2910578	0.2452191	0.3527194	0.235214	0.2662462	0.2876647	0.3535115	0.3532801	0.4941579	0.353081	0.4126278	0.3315687	0.2442246	0.291094	0.3268693	0.483043	0.4791949	0.4886268	0.5027061	0.4179064	0.447037	0.4291683	0.360744	0.4661681	0.5614699	0.4496426	0.2153716	0.3697454	0.3962128	0.3690372	0.4113693	0.3918308	0.3758509	0.3742636	0.3479015	0.3905293	0.4131049	0.386957	0.3940424	0.4154629	0.5264501	0.6579979	0.6908207	0.6916162	0.7287977	0.6365692	0.6332553	0.743552	0.6686814	0.6637223	0.4475223	0.4380562	0.4213822	0.2871597	0.2267751	0.3070938	0.3460061	0.335154	0.3456816	0.4221594	0.4052068	0.4117053	0.4064633	0.3303289	0.3433528	0.3391461	0.3413689	0.3040589	0.3841569	0.3592048	0.3123947	0.2477988	0.2650884	0.3120597	0.3736008	0.418179	0.3264622	0.4622615
G6	0.091668	0.0276249	0.0565723	0.0633955	0.0270492	0.0720313	0.1953435	0.1403992	0.264209	0.4135254	0.2970525	0.5666186	0.4698824	0.3502348	0.2394036	0.2592736	0.142291	0.2851217	0.2371436	0.2266475	0.3286238	0.0826988	0.2211503	0.1231967	0.1075535	0.158968	0.125167	0.1018371	0.0596553	0.0769038	0.0814607	0.1614201	0.1436766	0.0918228	0.175202	0.1876772	0.3364563	0.3627802	0.2817254	0.1831478	0.227257	0.3882529	0.0850055	0.3099816	0.5909478	0.571264	0.6117419	0.7166996	0.5846935	0.6711805	0.7797458	0.7081906	0.648275	0.6197501	0.6970091	0.5079355	0.4462644	0.3253829	0.2343572	0.1661651	0.1584141	0.1375724	0.3689847	0.1252039	0.212505	0.2051375	0.2434051	0.2757545	0.2679974	0.1584332	0.236768	0.4296808	0.5710521	0.379629	0.3470618	0.3565662	0.181001	0.1138204	0.1224157	0.0631208	0.144715	0.1897754	0.2288652	0.201275	0.0981254	0.0984814	0.1344469	0.0957998	0.0542603	0.1225564	0.1192044	0.1208488	0.2847989	0.2600912	0.0889971	0.0813446	0.0968251	0.166093	0.298505	0.2683966	0.1942948	0.1884917	0.1555171	0.1251086	0.1346009	0.1158157	0.1815712	0.4462491	0.404057	0.5041189	0.5070996	0.4928654	0.4574229	0.4975488	0.4438704	0.4236191	0.3140804	0.2856822	0.1446471	0.2083659	0.2349483	0.1162274	0.1825947	0.0834278	0.19782	0.1645033	0.0829313	0.1262409	0.2534552	0.1089217	0.2884547	0.4079075	0.448493	0.5517817	0.4614966	0.5813451	0.5504336	0.724591	0.7149495	0.6481208	0.6982964	0.6916434	0.7349271	0.5422444	0.6627113	0.6470536	0.33149	0.0988428	0.1256426	0.3289119	0.3818165	0.5891721	0.5401331	0.5846229	0.7632504	0.5992012	0.7564715	0.691715	0.6296716	0.5759678	0.3486349	0.2238065	0.1394993	0.0829757	0.1563412	0.189198	0.1715822	0.135213	0.1374481	0.0759771	0.1433703	0.1619847	0.3451945	0.4864203	0.460995	0.4565263	0.48361	0.5484559	0.4605151	0.503432	0.5474581	0.4021294	0.2418813	0.1243151	0.2552509	0.1352532	0.1668396	0.1141782	0.0968565	0.073728	0.2104926	0.1790155	0.1802493	0.1827796	0.2549636	0.2846613	0.2601781	0.3995163	0.4701307	0.2899717	0.4490745	0.34632	0.1257798	0.1691944	0.1310763	0.1704723	0.1009006	0.1208502	0.1777552	0.2961406
G7	0.4021281	0.1847256	0.1020996	0.0871449	0.0392135	0.1000566	0.0553113	0.0634726	0.0531225	0.1216882	0.0825228	0.6447135	0.6316118	0.5436323	0.4836596	0.6083624	0.4549992	0.5726045	0.52325	0.4935282	0.5670303	0.4242106	0.4379275	0.5277062	0.488595	0.5297457	0.5971443	0.3811084	0.3823016	0.316939	0.3424318	0.4814399	0.5240187	0.4034576	0.5242139	0.5719151	0.5481619	0.5333237	0.5655407	0.6544917	0.6910121	0.5733343	0.6462107	0.5176953	0.5735093	0.7028515	0.5971931	0.7457609	0.7764099	0.506643	0.6209476	0.6634641	0.7819337	0.5929227	0.7216865	0.684582	0.6428026	0.6075029	0.5494714	0.4707505	0.5424781	0.4883774	0.5428539	0.4833152	0.3631484	0.2945868	0.3754951	0.344258	0.3452421	0.3898777	0.4383444	0.3481241	0.3960638	0.2783435	0.5060605	0.4436772	0.3780767	0.4327148	0.573129	0.4697254	0.5127683	0.5294462	0.5022662	0.5650416	0.3742283	0.4664213	0.3304171	0.2744943	0.3476051	0.4268009	0.3030492	0.3037184	0.4766936	0.3138094	0.243641	0.4680776	0.5055702	0.4792824	0.4956797	0.4315	0.6823219	0.5631171	0.6195169	0.4485111	0.5998026	0.4549818	0.5415739	0.5774374	0.6101876	0.6122314	0.6230953	0.6238067	0.6253092	0.675078	0.6003856	0.5179178	0.610423	0.5083864	0.5364476	0.4417944	0.4434954	0.5329566	0.4456687	0.3971435	0.5444184	0.4628244	0.4368656	0.5524904	0.5840146	0.4209205	0.5617517	0.5909373	0.5915813	0.675743	0.6534444	0.71643	0.6793181	0.652138	0.687453	0.708803	0.686432	0.5565059	0.6954435	0.7678745	0.7341257	0.5944651	0.5696825	0.4701692	0.3927897	0.4330752	0.4086062	0.4399564	0.4412071	0.474197	0.4832805	0.5004727	0.5211153	0.4116353	0.6110722	0.5174978	0.6583581	0.5458423	0.5932972	0.4527167	0.4276564	0.5583311	0.4357747	0.5622517	0.3681499	0.1412171	0.040279	0.0144057	0.0179287	0.0153025	0.0154185	0.025633	0.0166448	0.0248533	0.0525867	0.5249596	0.6886743	0.4399767	0.540534	0.5166302	0.4436444	0.5206272	0.5705991	0.3941596	0.591084	0.3987401	0.6537932	0.4366168	0.6003614	0.4470505	0.658032	0.4756026	0.4010091	0.4984573	0.5239834	0.6179094	0.6420408	0.6631241	0.5201746	0.5549752	0.5199491	0.5511543	0.376546	0.4486084	0.5693311	0.461069
G8	0.4244317	0.6652688	0.5384173	0.5821497	0.6186094	0.5088628	0.5729988	0.5106745	0.4197893	0.5861993	0.3666064	0.3679939	0.6028836	0.483848	0.6166266	0.5303186	0.3335994	0.2203565	0.422821	0.5330981	0.5473404	0.4290509	0.1959268	0.2524241	0.1992726	0.3173849	0.2565624	0.3158352	0.2073423	0.3026734	0.2548492	0.2063267	0.4277783	0.5945863	0.725915	0.6261337	0.5079537	0.4677437	0.4381661	0.5674974	0.4115828	0.3477492	0.3538468	0.4639265	0.4605215	0.382417	0.4312413	0.5243331	0.3822691	0.4203247	0.5051251	0.3599328	0.3916913	0.3810174	0.5189516	0.5457612	0.4624544	0.4132392	0.3017833	0.4266449	0.4219514	0.6594546	0.5774276	0.3862719	0.5835891	0.7281303	0.6487804	0.5634312	0.6711361	0.6021013	0.7003864	0.6806474	0.5278764	0.687508	0.5120509	0.6190141	0.4815217	0.291845	0.4019813	0.605194	0.5414475	0.5935479	0.7545808	0.629729	0.4253276	0.5579077	0.5582372	0.5015729	0.3800927	0.3160169	0.3116179	0.444489	0.4686368	0.6076289	0.4607528	0.6013732	0.6358904	0.4532533	0.5754374	0.6692427	0.5837793	0.6455529	0.7053565	0.545361	0.5407763	0.3908444	0.5240503	0.6368638	0.5719601	0.5202488	0.5546717	0.5297743	0.5844236	0.6002351	0.3782583	0.343213	0.5643169	0.6598617	0.4394846	0.5253492	0.5760148	0.6318621	0.5876358	0.5890305	0.5617999	0.3636446	0.3433326	0.1885191	0.1839545	0.1458268	0.1573403	0.2516863	0.2663147	0.3518859	0.3233196	0.2467567	0.2696981	0.4684135	0.6175876	0.581774	0.6288653	0.4280133	0.5641783	0.5466134	0.6235674	0.6148007	0.4840381	0.3750076	0.5337241	0.4955299	0.6062574	0.6528098	0.6212559	0.5948453	0.67513	0.5688396	0.6059352	0.6620446	0.5823222	0.6073473	0.5838098	0.5155328	0.6679433	0.6202232	0.5584665	0.5790466	0.5399642	0.4305097	0.4305998	0.2146432	0.0731241	0.0916514	0.0744345	0.0466774	0.0525661	0.0996666	0.0879566	0.0625397	0.0617503	0.3528298	0.4689871	0.5489516	0.5210859	0.5201483	0.663997	0.3779477	0.3943411	0.4897902	0.2797025	0.3784375	0.2236601	0.1565603	0.1709277	0.2330669	0.1518773	0.2686887	0.1478207	0.1608688	0.169226	0.1498348	0.4182977	0.5687316	0.5228313	0.4203602	0.467141	0.328674	0.4610778	0.3796012	0.2101501	0.2885885
G9	0.7556038	0.5847116	0.6928782	0.7445389	0.6491304	0.6204327	0.6707577	0.6301686	0.6182206	0.8303489	0.6287918	0.6876756	0.5593138	0.6582546	0.6372515	0.5964243	0.5914667	0.7431864	0.6891755	0.6878456	0.7222113	0.6898594	0.4820843	0.5352113	0.4076901	0.4874949	0.4091488	0.361371	0.4767758	0.4265929	0.5114553	0.5421646	0.6092814	0.6853329	0.6063375	0.6635965	0.5640179	0.7430487	0.6527905	0.6427497	0.5627121	0.5791227	0.6769951	0.7233598	0.7250038	0.7842399	0.6495058	0.6842764	0.6498105	0.684015	0.7157832	0.6151593	0.6398103	0.58656	0.5671868	0.7191894	0.6483483	0.5908645	0.6495558	0.755563	0.6502044	0.7020814	0.5869037	0.7375722	0.4803903	0.301394	0.3445782	0.3603658	0.4053202	0.3600055	0.3588201	0.3190861	0.2669143	0.3070232	0.5180868	0.6669571	0.5882968	0.6191806	0.610026	0.7098384	0.6131816	0.6842565	0.5869284	0.6599437	0.6671456	0.5951069	0.773782	0.6781125	0.6041627	0.8756649	0.6914993	0.8304532	0.7098623	0.6770661	0.639971	0.737978	0.6349474	0.6233225	0.6132361	0.5788485	0.6573573	0.6511686	0.7399712	0.6645726	0.6757241	0.6681269	0.6343386	0.7832849	0.7933809	0.6433537	0.6890051	0.697155	0.5887986	0.7072645	0.638402	0.7220594	0.7211055	0.6723385	0.6720042	0.7279372	0.5344634	0.7609184	0.6418428	0.5876247	0.602163	0.6433542	0.6868534	0.5278164	0.6361464	0.5686876	0.4786696	0.5014715	0.5818015	0.5268026	0.4008859	0.4422038	0.579928	0.6396221	0.6127817	0.6929479	0.6651541	0.7431504	0.7295554	0.7898578	0.6226313	0.7216021	0.7927996	0.6497282	0.4217006	0.2936822	0.2485204	0.2058398	0.2101287	0.1675831	0.2201992	0.2466072	0.2260419	0.1704453	0.4669186	0.5389353	0.631337	0.5353941	0.6781805	0.670384	0.7296627	0.7207846	0.6608486	0.5201139	0.6228837	0.6638501	0.6246689	0.5225459	0.6955026	0.5693647	0.6201578	0.6955034	0.6751878	0.6490515	0.8294292	0.705179	0.8411319	0.6975693	0.69623	0.7805945	0.7802766	0.7385923	0.687304	0.6520475	0.5386415	0.6921666	0.6886271	0.6863148	0.7069825	0.6443944	0.777183	0.8569869	0.6706966	0.6818595	0.6045511	0.6615507	0.6683378	0.5959106	0.5969585	0.7428331	0.626537	0.691094	0.692335	0.7198219	0.598256	0.5410094
G10	0.3668118	0.4334119	0.4884537	0.4618799	0.4488575	0.4609866	0.4819468	0.4519063	0.531577	0.5185879	0.6537349	0.524367	0.493512	0.4383645	0.443581	0.5152843	0.4655672	0.5174182	0.5248208	0.4658632	0.5227157	0.4549409	0.4731929	0.5515997	0.4633428	0.4466249	0.349669	0.4526139	0.4643615	0.3881445	0.4298051	0.4991832	0.494048	0.5364968	0.4597918	0.4992898	0.6162077	0.5918825	0.5497046	0.5033822	0.5440003	0.523777	0.4480841	0.475893	0.5377592	0.5372696	0.503448	0.6297524	0.5825955	0.6285152	0.5771709	0.6623073	0.6004649	0.6403696	0.5380545	0.6441764	0.5252066	0.5096376	0.4741385	0.437355	0.553052	0.4923625	0.5568249	0.4312109	0.3512002	0.3005061	0.3327081	0.3374928	0.2886008	0.3006889	0.2780626	0.3844487	0.3495935	0.2966357	0.4695814	0.3929918	0.4031037	0.445259	0.4485004	0.4545362	0.4245584	0.4958079	0.4529982	0.4444472	0.4486466	0.518134	0.5353015	0.4047256	0.4861035	0.42907	0.4736566	0.4666991	0.5381082	0.4590692	0.3894705	0.4585486	0.4343271	0.4511611	0.5137249	0.5763557	0.5766788	0.4852887	0.5388079	0.4897694	0.4138003	0.483058	0.4987107	0.462956	0.4855336	0.5977473	0.5280229	0.4136677	0.5200507	0.480547	0.5285878	0.4901963	0.5477049	0.4849041	0.4308935	0.4329728	0.5265538	0.5060258	0.482629	0.4093349	0.5685581	0.4025633	0.3829437	0.3216239	0.3289062	0.2666903	0.3994954	0.3750453	0.3805545	0.3642075	0.4825404	0.3935358	0.431577	0.4828114	0.5053562	0.597345	0.6793878	0.5551892	0.5843908	0.6978249	0.5379342	0.568536	0.5392645	0.4204491	0.4951503	0.4921924	0.6075412	0.5298717	0.5604676	0.500506	0.5973685	0.5994719	0.5774134	0.5663293	0.5624407	0.511412	0.4699023	0.5388287	0.5482332	0.4897004	0.5187812	0.5186559	0.492772	0.4768035	0.5188533	0.3262081	0.2160085	0.2494721	0.2702079	0.3524581	0.3814689	0.3267621	0.3051742	0.2595179	0.3548352	0.5059146	0.5670783	0.565021	0.5298505	0.4607444	0.4932887	0.4515624	0.459434	0.5337006	0.4742924	0.3850865	0.468357	0.5016502	0.457151	0.5500207	0.5617519	0.411542	0.5411082	0.4721733	0.546284	0.501044	0.6034138	0.5139635	0.463912	0.4629231	0.445776	0.3844251	0.367736	0.4306111	0.4886403	0.5124861
