,TS_0_0,TS_0_1,TS_0_2,TS_0_3,TS_0_4,TS_0_5,TS_0_6,TS_0_7,TS_0_8,TS_0_9,TS_0_10,TS_0_11,TS_0_12,TS_0_13,TS_0_14,TS_0_15,TS_0_16,TS_0_17,TS_0_18,TS_0_19,TS_0_20,TS_1_0,TS_1_1,TS_1_2,TS_1_3,TS_1_4,TS_1_5,TS_1_6,TS_1_7,TS_1_8,TS_1_9,TS_1_10,TS_1_11,TS_1_12,TS_1_13,TS_1_14,TS_1_15,TS_1_16,TS_1_17,TS_1_18,TS_1_19,TS_1_20,TS_2_0,TS_2_1,TS_2_2,TS_2_3,TS_2_4,TS_2_5,TS_2_6,TS_2_7,TS_2_8,TS_2_9,TS_2_10,TS_2_11,TS_2_12,TS_2_13,TS_2_14,TS_2_15,TS_2_16,TS_2_17,TS_2_18,TS_2_19,TS_2_20,TS_3_0,TS_3_1,TS_3_2,TS_3_3,TS_3_4,TS_3_5,TS_3_6,TS_3_7,TS_3_8,TS_3_9,TS_3_10,TS_3_11,TS_3_12,TS_3_13,TS_3_14,TS_3_15,TS_3_16,TS_3_17,TS_3_18,TS_3_19,TS_3_20,TS_4_0,TS_4_1,TS_4_2,TS_4_3,TS_4_4,TS_4_5,TS_4_6,TS_4_7,TS_4_8,TS_4_9,TS_4_10,TS_4_11,TS_4_12,TS_4_13,TS_4_14,TS_4_15,TS_4_16,TS_4_17,TS_4_18,TS_4_19,TS_4_20,TS_5_0,TS_5_1,TS_5_2,TS_5_3,TS_5_4,TS_5_5,TS_5_6,TS_5_7,TS_5_8,TS_5_9,TS_5_10,TS_5_11,TS_5_12,TS_5_13,TS_5_14,TS_5_15,TS_5_16,TS_5_17,TS_5_18,TS_5_19,TS_5_20,TS_6_0,TS_6_1,TS_6_2,TS_6_3,TS_6_4,TS_6_5,TS_6_6,TS_6_7,TS_6_8,TS_6_9,TS_6_10,TS_6_11,TS_6_12,TS_6_13,TS_6_14,TS_6_15,TS_6_16,TS_6_17,TS_6_18,TS_6_19,TS_6_20,TS_7_0,TS_7_1,TS_7_2,TS_7_3,TS_7_4,TS_7_5,TS_7_6,TS_7_7,TS_7_8,TS_7_9,TS_7_10,TS_7_11,TS_7_12,TS_7_13,TS_7_14,TS_7_15,TS_7_16,TS_7_17,TS_7_18,TS_7_19,TS_7_20,TS_8_0,TS_8_1,TS_8_2,TS_8_3,TS_8_4,TS_8_5,TS_8_6,TS_8_7,TS_8_8,TS_8_9,TS_8_10,TS_8_11,TS_8_12,TS_8_13,TS_8_14,TS_8_15,TS_8_16,TS_8_17,TS_8_18,TS_8_19,TS_8_20,TS_9_0,TS_9_1,TS_9_2,TS_9_3,TS_9_4,TS_9_5,TS_9_6,TS_9_7,TS_9_8,TS_9_9,TS_9_10,TS_9_11,TS_9_12,TS_9_13,TS_9_14,TS_9_15,TS_9_16,TS_9_17,TS_9_18,TS_9_19,TS_9_20
malK,0.6709519,0.6362078,0.6808452,0.6461426,0.698338,0.6898354,0.5866802,0.6064086,0.6076722,0.5809532,0.6017496,0.6970616,0.5438997,0.5888349,0.5957238,0.6419406,0.5729899,0.5894686,0.6317655,0.6271294,0.6085261,0.6523516,0.7434118,0.5151008,0.6202428,0.631701,0.636165,0.6918643,0.6740966,0.6443397,0.6203883,0.5977627,0.5804583,0.7806653,0.5623366,0.6401028,0.5471109,0.5416772,0.6874927,0.5301375,0.5717924,0.6204144,0.6057609,0.5960503,0.5307319,0.686974,0.5329387,0.6307001,0.6736074,0.6034458,0.7605625,0.5907362,0.5590486,0.708999,0.6045281,0.6322232,0.6003278,0.4938306,0.5276532,0.6330224,0.761054,0.5337944,0.7236658,0.6254086,0.5069537,0.4905487,0.3550719,0.2623536,0.1227303,0.0620351,0.0304999,0.0161708,0.0110865,0.0066027,0.0325375,0.2706601,0.4059172,0.4893811,0.5895078,0.6982954,0.5304227,0.5910548,0.7544571,0.6856414,0.5262008,0.6531144,0.7150276,0.6640912,0.7478224,0.8657321,0.7711108,0.8051024,0.7027658,0.62009,0.7188555,0.5604845,0.6508111,0.614927,0.6029956,0.6142466,0.6612565,0.6226821,0.5221867,0.5439313,0.5529366,0.6470156,0.6869758,0.5571912,0.6419143,0.6691646,0.6977588,0.5883179,0.5921352,0.6188804,0.655454,0.4846338,0.514553,0.6393939,0.6536278,0.6079297,0.7159412,0.6715207,0.5659749,0.547974,0.6582292,0.5959945,0.5495789,0.6687426,0.6203729,0.6599916,0.6280429,0.6892868,0.8387525,0.6937176,0.6344568,0.7553238,0.7021959,0.60384,0.6568554,0.7283332,0.5954629,0.7103634,0.7193897,0.5929359,0.70775,0.6099499,0.5685675,0.6494234,0.6444569,0.769142,0.8858805,0.7829422,0.5706155,0.6081339,0.8170165,0.6727664,0.7604811,0.6916546,0.613272,0.630176,0.674182,0.5721262,0.6283536,0.5376306,0.5863813,0.69888,0.5314332,0.6934936,0.6027468,0.8445615,0.6807619,0.762289,0.7333428,0.6291009,0.6867257,0.7449805,0.8128543,0.803757,0.8494016,0.6239743,0.6331892,0.5687709,0.5643868,0.6113769,0.6488578,0.6049534,0.5901867,0.5992776,0.6305931,0.6151309,0.7417737,0.589404,0.691756,0.7029633,0.7840698,0.594591,0.7924766,0.6749524,0.6636909,0.6525805,0.6851718,0.6057648,0.6000672,0.6221748,0.4905027,0.5288025,0.5220532,0.5504849,0.5311783,0.5157872
malT,0.613186,0.5320797,0.4617855,0.5009736,0.4698237,0.6144933,0.4823338,0.5253284,0.4844184,0.5287291,0.4240468,0.4891792,0.482246,0.5187233,0.4619981,0.5481756,0.4751347,0.4689621,0.511684,0.4647349,0.4493662,0.4653485,0.5574238,0.6858204,0.6461123,0.6018124,0.6827604,0.7096436,0.6983109,0.6591406,0.6290702,0.6011567,0.5079533,0.5854449,0.5127342,0.5793559,0.5300612,0.4667247,0.5353043,0.5109441,0.3923195,0.4083665,0.5012572,0.3576279,0.6113004,0.4699209,0.5273411,0.5997569,0.5296355,0.4310864,0.5252522,0.4832625,0.4657411,0.4768455,0.4838893,0.5116293,0.4622664,0.5011886,0.4803877,0.5063891,0.4332104,0.5818508,0.6651791,0.4780057,0.4667077,0.3499986,0.2831322,0.1274196,0.0306255,0.0122451,0.0192274,0.0123015,0.0116443,0.0166642,0.0439736,0.2798486,0.4212117,0.6344438,0.509487,0.5237304,0.5821294,0.6769769,0.5144079,0.4366139,0.5516215,0.5451352,0.5637736,0.3657192,0.6249932,0.5289102,0.6239695,0.494074,0.5441816,0.5681601,0.4516102,0.5056414,0.4665533,0.5681583,0.5319277,0.5412556,0.5784428,0.5002254,0.4273614,0.4293148,0.4960192,0.5567066,0.4024032,0.4226211,0.372472,0.287243,0.3610069,0.2767118,0.3139194,0.2403655,0.3195205,0.3077637,0.2916362,0.2874877,0.4345088,0.4920134,0.3973135,0.512012,0.497125,0.4106501,0.5678041,0.3836834,0.4602225,0.4951107,0.5063247,0.4956951,0.4158451,0.4907326,0.5062929,0.4452094,0.5264112,0.5336694,0.5021629,0.4967931,0.5087587,0.5007101,0.586314,0.5495058,0.5504586,0.5467817,0.671716,0.5044441,0.47675,0.572897,0.4733164,0.541245,0.5016289,0.6086843,0.5658386,0.5422484,0.4510826,0.5391475,0.4744844,0.4741341,0.4080038,0.4528203,0.4387484,0.321715,0.4337313,0.4440514,0.5595063,0.4792443,0.5488498,0.4996955,0.4655546,0.6227562,0.581552,0.6519527,0.6163769,0.6601365,0.6959364,0.6467808,0.6188377,0.6501443,0.6811164,0.5634243,0.5221107,0.4799376,0.47077,0.6271261,0.5087046,0.5952588,0.6696142,0.5904782,0.3906696,0.4892205,0.4691337,0.536153,0.494182,0.5268904,0.4325313,0.5155701,0.5853458,0.5231593,0.4572451,0.5509956,0.5235687,0.5268845,0.313853,0.3555525,0.4369091,0.4679363,0.3879008,0.4707409,0.5534682,0.584956
malZ,0.3150575,0.3420796,0.2265127,0.3055052,0.279214,0.3204783,0.2828016,0.3395161,0.288695,0.2856329,0.3183222,0.3780367,0.2727801,0.3193489,0.3390026,0.3254814,0.362514,0.3096716,0.3259955,0.3360433,0.3284109,0.2462345,0.3392524,0.2831671,0.3893382,0.3138762,0.3542965,0.4140612,0.464818,0.4173283,0.5790005,0.4627728,0.3713993,0.4057343,0.3211774,0.2589078,0.3346465,0.3108014,0.2869364,0.3161584,0.2503443,0.2713722,0.2506012,0.3393426,0.2726114,0.26382,0.3541905,0.3280933,0.3986168,0.4323111,0.2508771,0.4191345,0.350741,0.3914378,0.2519187,0.3097659,0.249566,0.261871,0.4336856,0.4082189,0.2772988,0.3246316,0.4098683,0.29583,0.1984847,0.3115921,0.2830176,0.2167334,0.1161939,0.0683141,0.0306214,0.0331483,0.023163,0.0342109,0.0251382,0.0501014,0.0478627,0.1214849,0.270423,0.3033042,0.4467216,0.3736488,0.3513307,0.3625942,0.3253084,0.5609299,0.553036,0.7033972,0.6227687,0.654656,0.6442229,0.6268278,0.5362443,0.5963702,0.6702645,0.3997012,0.321201,0.4390271,0.2901675,0.3357533,0.3276457,0.4330929,0.3601671,0.3545775,0.2231584,0.299308,0.2748435,0.2767071,0.2964214,0.2263814,0.2211903,0.1403619,0.2210084,0.1596604,0.1076357,0.126757,0.140711,0.1360942,0.205477,0.2003646,0.2511288,0.2617767,0.2984651,0.2807256,0.2392572,0.331457,0.2422862,0.3316627,0.4176387,0.4161446,0.4418965,0.3713176,0.3831578,0.5042549,0.4621446,0.4266127,0.3984404,0.3537856,0.365967,0.3227808,0.2791499,0.3083603,0.2725928,0.3686125,0.3370935,0.3391389,0.3338523,0.3024801,0.6351434,0.5798082,0.6056862,0.6335963,0.5848258,0.5763068,0.6160803,0.5489879,0.4749974,0.7316106,0.4478183,0.3166602,0.2910751,0.2755789,0.2217944,0.2385164,0.2259968,0.3217962,0.2862649,0.3375704,0.3447615,0.2998663,0.289489,0.3120192,0.4356214,0.3636325,0.4407257,0.3999992,0.4103213,0.4084334,0.432411,0.3987045,0.4349242,0.4742247,0.3649384,0.3271667,0.3504186,0.2927848,0.3298686,0.2267586,0.3011768,0.3192952,0.2351345,0.2835294,0.3956263,0.2484734,0.286288,0.3375681,0.2687267,0.3062541,0.2795713,0.368003,0.2714863,0.3022113,0.3107346,0.2871429,0.271519,0.2447832,0.3234595,0.227877,0.2821066,0.2517112
malP,0.6499083,0.8203253,0.6218469,0.6717124,0.8937588,0.7983732,0.6388729,0.6185353,0.6583215,0.6325587,0.7035541,0.7239239,0.7655811,0.6572393,0.7238604,0.7605064,0.7456628,0.7836283,0.7131451,0.6653111,0.7196002,0.5951654,0.6652102,0.5832872,0.6442243,0.589383,0.7094619,0.802596,0.6884016,0.6392387,0.6535521,0.5889412,0.6403093,0.6876781,0.6320959,0.5877634,0.7474314,0.6855064,0.6217631,0.6706965,0.6804173,0.7480526,0.5758773,0.7182223,0.8528438,0.8200157,0.6264775,0.7660381,0.6589139,0.6806382,0.6366931,0.6809956,0.6453832,0.6036156,0.6396133,0.6713884,0.7140033,0.6220602,0.5888224,0.6808671,0.684803,0.6281144,0.8228734,0.677827,0.7316897,0.6830068,0.804307,0.6970322,0.7506045,0.687255,0.5438704,0.3399798,0.2368805,0.1928704,0.1811233,0.4437559,0.5899276,0.710297,0.6231499,0.7029616,0.6975065,0.6844885,0.6646843,0.6907524,0.7436741,0.6429752,0.7192214,0.7583163,0.7600507,0.7714328,0.6186257,0.5430784,0.6567249,0.587024,0.5942324,0.672852,0.7843864,0.6554984,0.4982398,0.6274519,0.7062395,0.7609617,0.7224494,0.6261971,0.5569947,0.7272787,0.6395652,0.762886,0.5943837,0.6676847,0.7637035,0.6703849,0.8490006,0.7110214,0.7615284,0.6312297,0.6521979,0.6568029,0.4584829,0.7452946,0.6122246,0.6845305,0.6134786,0.7574447,0.7681851,0.6645346,0.6655313,0.6480152,0.6112654,0.591343,0.7424839,0.6245392,0.7925013,0.8214613,0.7344244,0.812373,0.761529,0.6575687,0.7217052,0.7268654,0.7614451,0.7827133,0.5691473,0.5563977,0.6276346,0.7006292,0.7226956,0.7420421,0.8250357,0.7459536,0.6498731,0.7680086,0.4894828,0.6849915,0.9229349,0.7367862,0.6482496,0.731783,0.7503889,0.6610363,0.7502476,0.8066128,0.6862378,0.671888,0.6631493,0.6118664,0.5789087,0.7412057,0.7468736,0.7507419,0.7608799,0.8515722,0.7012484,0.6441212,0.7716709,0.595459,0.6642642,0.6826203,0.5958911,0.6837198,0.7343143,0.72181,0.753354,0.7965886,0.6822546,0.6959976,0.6007969,0.7619237,0.654006,0.6669569,0.7141499,0.8020439,0.6509565,0.8288547,0.6881374,0.7448557,0.6854347,0.6900329,0.6547873,0.644472,0.6664552,0.7790818,0.734221,0.6441509,0.6146465,0.7093226,0.7275636,0.9504252,0.6483735,0.7322404
lamB,0.4451869,0.4710421,0.3511617,0.4828778,0.3588027,0.3792693,0.4021149,0.3964701,0.3861356,0.3981088,0.4274975,0.4468576,0.3724043,0.4585715,0.4497735,0.4062821,0.5050715,0.4512882,0.4726704,0.6046831,0.3848506,0.4376132,0.4719941,0.5002837,0.487554,0.437559,0.5645713,0.4454474,0.5778775,0.4686947,0.345278,0.4815464,0.5785057,0.4563168,0.4795289,0.515305,0.4565105,0.4205735,0.46293,0.536103,0.3834593,0.4037449,0.4059162,0.4085475,0.3790919,0.4906173,0.4665701,0.4414844,0.405124,0.3603074,0.4108901,0.4186063,0.5143566,0.371706,0.3955003,0.4691711,0.4178969,0.4388181,0.4732648,0.4171444,0.5002784,0.5099458,0.5204436,0.3672587,0.4228102,0.3264642,0.3131433,0.218869,0.1757831,0.1315431,0.0603253,0.0901946,0.0642089,0.080535,0.0291551,0.0936112,0.1849677,0.3320832,0.4616356,0.4451466,0.4297857,0.4294604,0.3841689,0.3685167,0.4445915,0.5425652,0.4796713,0.3926731,0.3997309,0.3725504,0.4383551,0.5916781,0.531877,0.5817332,0.5041255,0.387615,0.4433704,0.4203831,0.3822968,0.459228,0.442706,0.4003919,0.4819607,0.4378378,0.4363247,0.3793487,0.5357354,0.6640608,0.5433295,0.5363674,0.8131103,0.5221381,0.606137,0.5690467,0.6436935,0.6743929,0.509018,0.416163,0.4681179,0.4203038,0.3947494,0.4652111,0.5009036,0.4875878,0.3537857,0.4133055,0.4990409,0.424196,0.462778,0.4759796,0.4119856,0.330135,0.4064627,0.4236599,0.4250589,0.4574193,0.4240032,0.4547007,0.5328654,0.4634201,0.4345245,0.4533743,0.4485539,0.4170502,0.337044,0.5160446,0.6206876,0.4585183,0.4096496,0.4584523,0.5219895,0.4290364,0.4885272,0.4982109,0.5386542,0.4022536,0.4775587,0.5050135,0.3871444,0.3568977,0.4280782,0.4145198,0.5339157,0.4437219,0.3993188,0.5853191,0.3940524,0.4856981,0.4332149,0.4323671,0.5501209,0.5602003,0.5142774,0.5580015,0.5171534,0.4834775,0.5238933,0.6288354,0.4263124,0.3457073,0.4379172,0.4282051,0.4346585,0.4528322,0.5385001,0.4769874,0.5479708,0.5334548,0.4896287,0.4488409,0.3989502,0.4284053,0.4672992,0.433079,0.4757903,0.4889907,0.5078324,0.4705351,0.4680419,0.4207577,0.5471688,0.4317652,0.4667566,0.3912573,0.4831654,0.3945649,0.4713074,0.4656291,0.4148579,0.4841365
malQ,0.391543,0.5561771,0.627189,0.5805262,0.5286337,0.4840959,0.5387946,0.6120429,0.6047324,0.6438803,0.6848107,0.4972547,0.4567798,0.4166799,0.4173049,0.3723417,0.4723463,0.3671786,0.3982844,0.3211081,0.420297,0.3607415,0.32837,0.5514649,0.4346871,0.5407255,0.4271053,0.4527811,0.4497141,0.4885867,0.4979,0.4801163,0.4793257,0.3557427,0.3639719,0.3719149,0.3564627,0.4117383,0.4008593,0.4009601,0.3856352,0.3727904,0.3678983,0.571056,0.5262666,0.4854365,0.5853557,0.5100913,0.4420969,0.5102492,0.489231,0.4810476,0.4797516,0.4451461,0.4146563,0.3135874,0.3565625,0.3470226,0.3448686,0.3660284,0.3746798,0.3472794,0.3672344,0.3733541,0.4124442,0.4427929,0.3542143,0.3182191,0.2876541,0.2788568,0.1988439,0.2536337,0.1545204,0.1929265,0.044137,0.0428067,0.1270386,0.2897855,0.3170044,0.4036415,0.4418969,0.4491989,0.4129257,0.4887694,0.3340667,0.2891153,0.375208,0.3693052,0.4116852,0.3886408,0.4138887,0.3994843,0.3071283,0.3556601,0.3491289,0.4035749,0.3890503,0.359854,0.3545236,0.4846288,0.3899601,0.3867821,0.3723009,0.3722378,0.3253185,0.3435602,0.2962722,0.2959692,0.3963295,0.3114092,0.2865143,0.2998665,0.2435534,0.1850961,0.285789,0.2857803,0.3012853,0.2500519,0.2514856,0.2774037,0.274089,0.3718494,0.3737117,0.3644624,0.403094,0.4499231,0.3343156,0.3443035,0.3996003,0.5311086,0.3025096,0.4571536,0.4296867,0.4343964,0.3670049,0.349528,0.3434852,0.3618389,0.301756,0.3460834,0.3459224,0.3541629,0.3827857,0.4365026,0.3622423,0.4351523,0.4190978,0.4207726,0.3506433,0.3516548,0.3772297,0.3310494,0.3225229,0.4696439,0.3177555,0.296033,0.398748,0.4922655,0.3666818,0.3823973,0.3029625,0.3511994,0.3530382,0.2904481,0.3307267,0.5551946,0.3348508,0.3720495,0.4603815,0.3487617,0.429609,0.4379492,0.3984187,0.3546817,0.4203021,0.4241203,0.4945375,0.6071146,0.5084461,0.4531845,0.5133602,0.5065002,0.3665978,0.4150157,0.3360693,0.364342,0.35409,0.4067932,0.3787887,0.3846186,0.3838167,0.3640052,0.3960881,0.3157974,0.3412735,0.3750615,0.3933471,0.4465716,0.4281665,0.3935114,0.4002001,0.3682387,0.377413,0.4114689,0.3917668,0.353164,0.5054735,0.3260822,0.3343052,0.3067726
malM,0.2729485,0.4140102,0.5092617,0.5509301,0.5290545,0.5467794,0.4539293,0.4740916,0.5125193,0.4422813,0.508212,0.3415764,0.3337649,0.351787,0.2501968,0.3166283,0.3503497,0.3058978,0.2586675,0.3503282,0.2240435,0.2305744,0.2730428,0.3196819,0.3183785,0.3230251,0.4207893,0.4075352,0.3796907,0.4534741,0.514958,0.3995179,0.346706,0.3192106,0.3392365,0.2828441,0.2464065,0.2915855,0.2544184,0.1919604,0.3149973,0.2478961,0.3238068,0.2231049,0.1901816,0.2191782,0.2967482,0.2927944,0.3391715,0.2641815,0.3015243,0.2417017,0.2756326,0.2357642,0.2564754,0.2141583,0.2325469,0.2012943,0.2892743,0.315305,0.3244824,0.285432,0.2282599,0.2108602,0.3939613,0.5213075,0.4642804,0.5223719,0.50608,0.3964313,0.387292,0.4702559,0.3792734,0.5703129,0.1560476,0.0942899,0.0387226,0.1182671,0.2375955,0.2401976,0.2559579,0.3284206,0.3457896,0.3528503,0.2817943,0.217861,0.3346015,0.2715597,0.2015504,0.2112148,0.3043622,0.3029552,0.2555083,0.3300124,0.4294849,0.3291572,0.3234885,0.2672818,0.3569211,0.2523542,0.3277064,0.2974788,0.2952933,0.2671223,0.3141014,0.2245324,0.2698865,0.1879588,0.2557086,0.1456749,0.1806226,0.136052,0.1075386,0.0368316,0.0295129,0.0421686,0.0899094,0.0489418,0.0987216,0.1586293,0.1666988,0.298907,0.1846942,0.2731521,0.2518939,0.2374415,0.2568858,0.1709585,0.214583,0.2277142,0.1768382,0.1618907,0.2326338,0.3247533,0.3176074,0.3141641,0.3940145,0.2404309,0.2798141,0.2657345,0.2544529,0.2906533,0.2815305,0.2817769,0.2559444,0.2555531,0.3468049,0.2904254,0.4603482,0.7295578,0.6100878,0.6008526,0.5700617,0.4821448,0.6809998,0.5932971,0.6041267,0.5281437,0.3525652,0.3697586,0.2794398,0.1884855,0.1951669,0.1273601,0.2534614,0.2944813,0.2420181,0.2795194,0.2727297,0.3074876,0.2653969,0.3046579,0.3783108,0.3499639,0.452993,0.3277378,0.41013,0.3883441,0.3464035,0.3203945,0.3559565,0.3476071,0.3419259,0.3111066,0.3425816,0.3111704,0.2940737,0.2682999,0.3209581,0.2814835,0.2565829,0.2084608,0.2168948,0.1883946,0.2542371,0.1829121,0.287333,0.2332725,0.3067155,0.2631437,0.4288748,0.3014258,0.3007608,0.2760437,0.2373785,0.2458937,0.2741396,0.2721983,0.260139,0.3094724
malF,0.6247615,0.6572762,0.7891089,0.7588404,0.70589,0.7334108,0.6842724,0.5860888,0.6921075,0.6136566,0.6746373,0.7733669,0.778268,0.6390924,0.6922547,0.7404951,0.7097741,0.6568981,0.6056755,0.7090106,0.7513417,0.7289976,0.6496743,0.7177154,0.7180155,0.635113,0.7403443,0.7275016,0.7012907,0.7736744,0.6096354,0.6872954,0.6517887,0.6851521,0.7365707,0.8607059,0.7473256,0.7291495,0.7079077,0.7441584,0.6136905,0.6745911,0.6244137,0.6781946,0.6811052,0.6676155,0.7128786,0.617337,0.6648386,0.6769918,0.8178957,0.676947,0.6970439,0.718404,0.7435268,0.7700719,0.704375,0.6537707,0.6300144,0.5487484,0.6156733,0.6037522,0.7907823,0.600359,0.5963828,0.6666411,0.6135361,0.557665,0.4988746,0.4587389,0.3118628,0.2055599,0.1577862,0.0888487,0.1815768,0.2537036,0.5303905,0.5516106,0.6051164,0.6823837,0.5659474,0.6633168,0.5448615,0.6582895,0.6258083,0.7020616,0.595955,0.6738881,0.7005247,0.6317891,0.7053784,0.5791481,0.703542,0.7419245,0.6619657,0.7312313,0.65841,0.5633979,0.6282881,0.6532547,0.606991,0.6293952,0.8013334,0.6430618,0.7759214,0.6301579,0.6320898,0.7151531,0.6263268,0.6730289,0.7364168,0.6756609,0.6854596,0.6578967,0.6879518,0.5863008,0.6956019,0.6426736,0.6734159,0.6063376,0.6883302,0.7010683,0.6421636,0.8331482,0.5913275,0.6195647,0.6672215,0.6514552,0.6538076,0.8214621,0.8632636,0.7313109,0.777994,0.6398586,0.6995746,0.7598898,0.631634,0.6420953,0.5826101,0.7850425,0.6365027,0.591502,0.7924017,0.7778077,0.5582026,0.6510808,0.5630031,0.6718734,0.6048342,0.6347604,0.7765368,0.687427,0.7201791,0.5961997,0.7548714,0.7096019,0.6451129,0.7375954,0.6330763,0.641471,0.7067605,0.708248,0.6688648,0.718952,0.8690688,0.6641849,0.6375893,0.7273332,0.6974691,0.8520234,0.733268,0.7126767,0.6893256,0.7545046,0.6562023,0.6528574,0.6697302,0.692524,0.7623715,0.6153443,0.6603791,0.6533853,0.5756295,0.665984,0.7485398,0.6803156,0.6956015,0.620732,0.5979401,0.5961008,0.660092,0.6088893,0.6739594,0.7001866,0.5514979,0.6187381,0.7463208,0.7292138,0.7084027,0.6827084,0.7719198,0.663093,0.6896624,0.7764828,0.6271359,0.8139998,0.8117806,0.7965791,0.6920622,0.6452677
malG,0.5331402,0.6664855,0.573928,0.6447365,0.5188662,0.6013056,0.6706465,0.6663346,0.5941595,0.5497932,0.6528138,0.7206634,0.6117113,0.6394075,0.7288338,0.5116656,0.5655413,0.7682086,0.6363884,0.6689872,0.726795,0.5673754,0.779216,0.8206396,0.7195177,0.6184155,0.5690295,0.6208311,0.6109082,0.6989223,0.4785181,0.6051323,0.6036539,0.6302546,0.664625,0.6305193,0.6309712,0.6706616,0.5807759,0.5775338,0.6792145,0.5026638,0.6099376,0.6996322,0.7751696,0.5930101,0.604816,0.677159,0.6568831,0.6236345,0.8641398,0.7174759,0.6567753,0.6628477,0.7121855,0.6069644,0.6819105,0.6480401,0.6021865,0.6446853,0.6318287,0.5343746,0.5494154,0.7501368,0.5327155,0.5047452,0.4353201,0.4226237,0.3982542,0.5298679,0.3091437,0.3333791,0.3263323,0.2287769,0.2823069,0.4316769,0.4981611,0.5220905,0.4556032,0.5745814,0.5703206,0.6862938,0.6798226,0.6489729,0.6389557,0.7867453,0.8102455,0.7574417,0.7241088,0.6666234,0.7727127,0.8194348,0.6812596,0.695668,0.6885443,0.755724,0.6719586,0.5704713,0.5516274,0.6728489,0.6372037,0.5941653,0.529304,0.6816509,0.5724806,0.6043513,0.5927959,0.5530138,0.6593556,0.5989597,0.7081283,0.6213919,0.7821739,0.6036171,0.578678,0.6346694,0.6337964,0.5777507,0.5580108,0.5809261,0.5698,0.644179,0.605678,0.7314002,0.6154777,0.4105485,0.5769758,0.6326005,0.6282256,0.6233655,0.7068019,0.7302354,0.6201888,0.7406159,0.5831873,0.6564583,0.762389,0.5744778,0.5853771,0.6204694,0.5359385,0.5821388,0.6339975,0.4475866,0.6252701,0.509232,0.6419886,0.5740648,0.6192195,0.5783479,0.6685217,0.7891245,0.6777111,0.6614097,0.7538419,0.7327167,0.6623962,0.6959717,0.6237706,0.6807548,0.6388172,0.5561416,0.6664542,0.5541431,0.5554673,0.6811626,0.4628835,0.5993593,0.5816627,0.5877277,0.5762297,0.5293594,0.555241,0.5400984,0.5089855,0.5620757,0.5382439,0.6667663,0.5185952,0.6031741,0.6470205,0.6839578,0.6310836,0.6799906,0.5407727,0.6135583,0.656507,0.6860584,0.7178238,0.7014814,0.6549714,0.6423212,0.6745406,0.5889096,0.7532606,0.6579454,0.5627911,0.7063973,0.6279161,0.6360622,0.5786777,0.5292809,0.6497637,0.4967552,0.7020745,0.7021751,0.5589151,0.6709351,0.6459792,0.5507602
malE,0.363185,0.3563289,0.3822272,0.3842897,0.4010391,0.424805,0.38561,0.4691071,0.4747795,0.4734667,0.4409943,0.5024922,0.410608,0.4503593,0.5331308,0.4893536,0.4853254,0.3792212,0.4939293,0.5485855,0.4638375,0.3786459,0.4584622,0.5407035,0.5442123,0.4167844,0.532855,0.4965106,0.3964071,0.5397803,0.5198262,0.5379122,0.5151354,0.4659952,0.3532376,0.4930929,0.3973147,0.4061043,0.5281178,0.4548928,0.3313581,0.3569777,0.4344764,0.303203,0.4059052,0.3590038,0.5326654,0.4866827,0.4565162,0.4891292,0.4373902,0.4814549,0.4905381,0.3432185,0.492017,0.3902336,0.4218125,0.3377597,0.4525294,0.4801429,0.4121344,0.4395184,0.4580176,0.3899166,0.3634205,0.2588591,0.1995434,0.1114624,0.0287104,0.0325092,0.0252563,0.0175532,0.0027754,0.0026261,0.0058359,0.0423638,0.2132556,0.3567401,0.4222753,0.4917294,0.4059015,0.4217615,0.4824911,0.4494402,0.4620266,0.6561065,0.715327,0.7071971,0.6005867,0.5824189,0.7532527,0.7664479,0.7216523,0.69574,0.6772939,0.5261942,0.5202676,0.5046418,0.3541457,0.400236,0.382571,0.4297294,0.402998,0.4685284,0.4770856,0.4872911,0.4211947,0.4709268,0.371308,0.4734935,0.417301,0.3282504,0.3461205,0.3846746,0.3662555,0.440872,0.4413359,0.3201219,0.4167771,0.3854463,0.5014675,0.4343369,0.4738545,0.3199197,0.3488656,0.3975895,0.4600509,0.4173863,0.42677,0.5012155,0.4249111,0.4880407,0.4365294,0.446952,0.4042775,0.4392987,0.4450199,0.57642,0.4218551,0.4383394,0.4837512,0.3981669,0.380981,0.3817032,0.5335447,0.4402042,0.4200633,0.3635075,0.4112839,0.4646397,0.4728799,0.4454502,0.5237921,0.4593551,0.5320761,0.5502255,0.4851919,0.3340451,0.3606143,0.47495,0.5442755,0.4227119,0.417914,0.4252464,0.4422757,0.3504092,0.3959608,0.3956977,0.4768494,0.4979313,0.4614807,0.3962727,0.3761857,0.4387831,0.6377728,0.504792,0.4260386,0.3691967,0.2987126,0.4528307,0.401299,0.5038337,0.471918,0.5016995,0.424803,0.4509541,0.4178702,0.4553248,0.377116,0.4088615,0.5803896,0.5905264,0.5900196,0.6436242,0.7164376,0.6798888,0.7767142,0.6981831,0.5820496,0.7655638,0.4805573,0.5019595,0.4604142,0.4515252,0.4381542,0.3924279,0.4253933,0.4821188,0.3662812,0.3833097
