Gene1	Gene2	EdgeWeight
galS	galR	0.14889162053093496
galR	galK	0.1362644871168579
galS	galK	0.1342499453945197
galR	galS	0.13207700406737638
galK	galS	0.12231947024399759
galK	galR	0.12195955992411744
fbaA	tyrP	0.11989127527383749
glk	eno	0.11478833064165231
chbB	galE	0.11045926297488017
nanK	nanR	0.1096790539898169
mtlA	mtlD	0.10806620803396014
nanT	nanK	0.10738319559766998
nanK	nanT	0.1047009458318991
pfkA	eno	0.1044068780786737
nanR	nanK	0.10283201517261736
galR	galT	0.10267012784926273
galS	galT	0.10203880699414941
nirC	yahA	0.10123207260346348
nanA	chbB	0.09987010921954077
galE	chbB	0.09940438712097412
nanT	nanR	0.09509425854495658
chbA	crr	0.09489836751696899
eno	glk	0.0945297182686618
fruK	fruR	0.09358058225355985
pfkA	glk	0.09351594094888754
fruB	nirC	0.09248660526214333
fruB	yahA	0.09219152182947093
yhcH	nanE	0.09179307145501099
ptsH	nagB	0.0910675998647232
eno	pfkA	0.08877126663585909
aceB	nagE	0.08841856020502847
yahA	pck	0.08764779781522757
manY	tyrR	0.08565567662177223
fruK	epd	0.08526606499341231
malM	galM	0.08518704070679396
fruB	pck	0.08498667809103425
tyrR	manY	0.08469913143808833
glk	pfkA	0.08469271583565142
yahA	nirC	0.08429836867980602
yahA	fruB	0.08421072522534413
epd	ptsG	0.08390101772902588
fruB	epd	0.08345831343128521
nanR	nanT	0.08332986113750751
pck	fruB	0.08324599983766542
pykF	yahA	0.08318070980132296
galM	malM	0.08298797952790227
pykF	nirC	0.08258225750079963
pck	nirD	0.08218289750927477
nirC	fruK	0.08135034541449038
nirB	chbB	0.08124655122470317
pck	fruK	0.08081754256743591
galK	mglB	0.08077142707398655
nirC	pck	0.07964880232193032
mtr	tyrR	0.07946184399600893
crr	chbA	0.07915637537466726
pykF	nirD	0.07904419922794544
mtlD	mtlA	0.0784616151237108
chbB	nanA	0.07819136689780008
malQ	nagB	0.078107385132079
nagA	glmS	0.07805909951685029
glk	aroF	0.07783651252935224
yahA	fruK	0.07702976112460873
