Gene1	Gene2	EdgeWeight
pgm	lamB	9999
pgm	malQ	9998
pgm	malP	9997
pgm	malM	9996
pgm	malZ	9995
pgm	malF	9994
pgm	malT	9993
fruR	fruR	9992
fruK	fruR	9991
epd	fruR	9990
pgm	malG	9989
yahA	fruR	9988
pgk	fruR	9987
ppsA	fruR	9986
crr	fruR	9985
fruB	fruR	9984
aceA	fruR	9983
nirC	fruR	9982
nagE	aceB	9981
acnA	fruR	9980
edd	fruR	9979
galT	iclR	9978
pykF	fruR	9977
fruK	galR	9976
ptsI	fbaA	9975
ilvB	nanM	9974
crr	galR	9973
galR	aceB	9972
galK	iclR	9971
epd	galR	9970
pck	icd	9969
nirD	fruR	9968
ptsI	fruR	9967
galM	galR	9966
fruR	galR	9965
chbR	malP	9964
cysG	acnA	9963
fruB	acnA	9962
chbF	nanM	9961
hupA	nanM	9960
malM	aceB	9959
epd	aceB	9958
mglC	galR	9957
nanM	nanM	9956
nirC	acnA	9955
manZ	nanM	9954
manZ	crp	9953
eno	galT	9952
mpl	nanM	9951
galS	aceB	9950
chbF	galR	9949
nirC	icd	9948
mglB	aceB	9947
yahA	acnA	9946
nagD	aceB	9945
glmU	nanM	9944
glmU	crp	9943
mglC	aceB	9942
chbB	fruR	9941
manX	aceB	9940
galE	galR	9939
cysG	fruR	9938
aceB	fruR	9937
malZ	aceB	9936
ppsA	aceB	9935
nirC	aceB	9934
ppsA	galR	9933
ppsA	glk	9932
mtlR	nanM	9931
pck	fruR	9930
pykF	acnA	9929
glgS	crp	9928
nanC	nanK	9927
galK	aceB	9926
nirD	acnA	9925
fbaA	aceB	9924
glgS	nanM	9923
mglB	fbaA	9922
glgS	malP	9921
nagD	nanK	9920
galM	fruR	9919
malM	galR	9918
pfkA	galT	9917
chbR	malK	9916
aroF	aceB	9915
yahA	aceB	9914
ptsH	fruR	9913
glk	galT	9912
crp	nanM	9911
edd	icd	9910
aceA	galR	9909
nirD	aceB	9908
glk	fruR	9907
galT	nanE	9906
pfkA	glk	9905
fruB	icd	9904
galP	aceB	9903
yahA	icd	9902
tyrP	fbaA	9901
galR	iclR	9900
yahA	glk	9899
nirD	icd	9898
yhcH	crp	9897
fruR	acnA	9896
fruB	glk	9895
pfkA	fruR	9894
nanE	galR	9893
yhcH	nanM	9892
aceB	aceB	9891
icd	aceB	9890
eno	fruR	9889
pgm	malK	9888
dgsA	iclR	9887
ilvN	malP	9886
malZ	galT	9885
malQ	fruR	9884
chbA	nanM	9883
galS	galR	9882
seqA	malP	9881
nirB	aceB	9880
edd	acnA	9879
mglB	iclR	9878
mtr	aceB	9877
nagE	galR	9876
edd	glk	9875
galP	galR	9874
aceA	aceB	9873
glmU	malP	9872
galS	iclR	9871
fruB	aceB	9870
fbaA	galT	9869
glmU	malM	9868
aceB	galR	9867
chbB	galR	9866
nirC	glk	9865
malQ	aceB	9864
aceA	glk	9863
acnB	fruR	9862
pck	acnA	9861
seqA	crp	9860
chbB	galS	9859
galR	mglB	9858
nanK	aceB	9857
galK	nanE	9856
nagB	malM	9855
galS	nanE	9854
glgC	crp	9853
aceB	nirD	9852
chbF	crp	9851
galS	mglB	9850
nagE	fimB	9849
yhcH	galR	9848
galM	galS	9847
galR	nanE	9846
iclR	aceB	9845
pgk	acnA	9844
fbaA	galR	9843
malM	nirD	9842
aceK	iclR	9841
cyaR	malP	9840
icd	fruR	9839
glmS	galR	9838
pck	aceB	9837
fruK	glk	9836
fruR	glk	9835
gapA	aceB	9834
acnA	icd	9833
iclR	galT	9832
galT	fbaA	9831
fimB	galE	9830
aroF	galR	9829
malT	malM	9828
malK	nanM	9827
malE	aroP	9826
mtlR	crp	9825
chbR	malT	9824
aceK	glpE	9823
glgP	aceB	9822
chbB	glk	9821
acnB	acnA	9820
acnB	galT	9819
mglC	nirD	9818
pykF	galT	9817
pykF	glk	9816
yhcH	tyrP	9815
cysG	fbaA	9814
mpl	crp	9813
mtlD	chbA	9812
pck	nanE	9811
nanK	fbaA	9810
crp	galR	9809
aroP	malP	9808
aceB	glk	9807
nagC	mglC	9806
ptsH	acnA	9805
pykF	icd	9804
mtlA	galR	9803
nanA	fbaA	9802
aceB	nanK	9801
epd	glk	9800
malK	pgk	9799
nanC	galR	9798
hupB	galR	9797
galM	nirD	9796
ppsA	fimB	9795
mglB	malP	9794
galT	aceB	9793
malS	nanE	9792
epd	icd	9791
malQ	galT	9790
tyrP	chbG	9789
crp	malP	9788
malF	malP	9787
chbC	fbaA	9786
nagC	malQ	9785
nirB	nanE	9784
galE	galS	9783
nagC	crp	9782
mglC	fruR	9781
nagD	galR	9780
aroP	fruR	9779
nanK	galR	9778
galS	pck	9777
aceK	pgk	9776
nagA	malP	9775
nirD	fbaA	9774
ilvB	malP	9773
dgsA	crp	9772
aceA	icd	9771
fruK	icd	9770
tyrP	chbF	9769
malP	chbG	9768
aroF	nirD	9767
aceK	fbaA	9766
galK	malS	9765
galE	glk	9764
malQ	nirD	9763
nanT	eno	9762
fimB	nagD	9761
nanA	fruR	9760
cysG	malP	9759
nanR	aceB	9758
malT	crp	9757
galR	galR	9756
malE	fruR	9755
galM	glk	9754
nagB	malP	9753
lamB	malF	9752
ilvN	pgk	9751
manY	nanK	9750
nanR	galT	9749
glmS	aceB	9748
glgC	galR	9747
nanM	malP	9746
galM	malT	9745
iclR	galR	9744
aroP	acnA	9743
crr	nirD	9742
malP	crp	9741
galK	mglB	9740
glgC	nanM	9739
cyaR	nanC	9738
fruK	acnA	9737
manY	aceB	9736
manZ	malP	9735
nagA	aroP	9734
eno	aceB	9733
malP	nagB	9732
crr	glk	9731
manZ	seqA	9730
crp	seqA	9729
ilvB	malF	9728
malE	aceB	9727
nagD	nirD	9726
iclR	nirD	9725
malF	malM	9724
nagA	nanM	9723
chbG	fruR	9722
epd	acnA	9721
yhcH	malP	9720
eno	glk	9719
nirC	fbaA	9718
aceA	iclR	9717
nanE	nanM	9716
pfkA	icd	9715
eno	nanK	9714
mglB	nanE	9713
ptsG	galS	9712
crr	aceB	9711
chbR	nagB	9710
glmS	galE	9709
fruR	aroP	9708
mtr	galS	9707
malG	nagB	9706
ptsH	icd	9705
fbaA	nirD	9704
nanC	glgS	9703
edd	aceB	9702
iclR	malP	9701
cysG	glk	9700
mglA	galR	9699
ilvB	fbaA	9698
nagC	fruR	9697
malZ	malT	9696
malZ	eno	9695
pgk	glk	9694
malF	nanM	9693
hupB	nanK	9692
malP	iclR	9691
ptsH	epd	9690
malF	nagB	9689
manY	galT	9688
nanR	nanK	9687
glgP	galT	9686
pykF	galE	9685
aceK	chbG	9684
gapA	icd	9683
cyaR	crp	9682
lamB	malM	9681
fruK	aceB	9680
ptsI	malM	9679
nirD	glk	9678
malG	mglC	9677
ptsH	aceB	9676
nagB	nirD	9675
nanR	mglB	9674
galT	glgP	9673
ilvB	nagB	9672
edd	glgS	9671
mglA	nanK	9670
nanE	nirD	9669
acnA	galR	9668
hupA	crp	9667
galT	malP	9666
eno	pgk	9665
hupB	malF	9664
nanE	aceB	9663
malM	nanM	9662
glgS	aceB	9661
malE	malM	9660
malK	malM	9659
acnA	fbaA	9658
nanR	fbaA	9657
mtlR	fruR	9656
nagD	eno	9655
gapA	mglC	9654
glgC	aroP	9653
fruB	fbaA	9652
seqA	nagB	9651
seqA	nanM	9650
nanM	seqA	9649
glgS	nagB	9648
hupB	pgk	9647
malE	nanM	9646
fbaA	nanK	9645
glgS	seqA	9644
nagA	aceB	9643
cysG	icd	9642
chbF	seqA	9641
malT	seqA	9640
malT	nanM	9639
nanT	galR	9638
glgP	nanK	9637
galR	fbaA	9636
mtr	galT	9635
icd	icd	9634
mpl	nagB	9633
nagC	galR	9632
galP	nanK	9631
dgsA	nanM	9630
glmU	glmS	9629
mtlA	malT	9628
seqA	chbF	9627
fimB	malM	9626
mtlR	tyrP	9625
galP	galT	9624
nanC	galT	9623
malT	chbF	9622
malG	pfkA	9621
pgm	malE	9620
galS	fimB	9619
nanE	tyrP	9618
dgsA	aceB	9617
ptsI	icd	9616
mtlR	aroP	9615
malM	malT	9614
nagA	crp	9613
manZ	tyrP	9612
tyrP	crp	9611
epd	ppsA	9610
nanR	iclR	9609
glmU	pgk	9608
seqA	aroP	9607
cyaR	aceB	9606
nirB	galR	9605
pck	glk	9604
ilvB	seqA	9603
acnB	aroP	9602
ynfK	glgC	9601
nanT	galS	9600
mpl	malP	9599
tyrP	iclR	9598
glgC	tyrP	9597
aceK	fruR	9596
glgC	galP	9595
nagE	nirD	9594
hupA	malP	9593
ilvB	crp	9592
fimB	acnA	9591
galS	fbaA	9590
cyaR	aroP	9589
malK	crp	9588
nirB	galE	9587
glmU	mtlD	9586
galK	pck	9585
