TF	target	importance
galS	galK	88.70545705282974
galR	galS	75.22633645915552
galK	galR	73.64514457089933
galR	galK	65.78823320376884
lamB	seqA	63.213744972434256
galK	galS	63.09912332740861
pfkA	glk	60.174555498082185
pfkA	eno	55.762097559929494
fruB	nirC	54.71542078905603
nirC	fruB	52.68123552682529
glmU	glmS	51.221004572640595
galS	galR	51.136786998348605
malQ	nagB	50.87076797982475
galR	galT	50.21690074967633
yahA	nirC	50.05994092218887
seqA	glmU	50.053999443725694
nanR	nanK	50.00732953530874
edd	nirD	49.75816022840417
epd	ptsG	48.61570021928467
aceB	nagE	48.583586055063165
nanT	nanK	47.72019453448101
yahA	fruB	47.21944063486321
fbaA	tyrP	45.63788694881096
nanT	nanR	44.61137474690092
fruK	yahA	44.10069584537322
nanK	nanT	43.48797886418974
fruB	yahA	41.85648216743564
nirB	chbB	41.226088339781114
nirC	nirD	40.025089449716155
nanK	nanR	39.469945493135626
galT	galS	39.36499761809094
glk	eno	39.20063793147478
pgk	ptsI	38.10716438598053
fruR	epd	38.00681855269435
fruB	pck	38.000741378625996
nirC	fruK	37.6085614251228
galS	galT	37.4885601106387
yhcH	nanE	37.154353681019465
eno	pfkA	37.003811713543016
edd	fruB	36.98758646235217
chbB	galE	36.88164238290473
pck	yahA	36.37780173898054
ptsH	nagB	35.911141626439274
pfkA	mtlA	35.30807451945573
fruB	fruK	35.25569551594656
mtlA	mtlD	35.12793353950325
chbB	nanA	34.96725550421435
galE	chbB	34.822045852152854
pck	fruK	34.21349789810759
aceA	aceK	33.86979539376669
nanR	nanT	33.825617582489336
fruK	mtlA	33.73058726472085
fruK	epd	33.671328286186494
pykF	fruB	33.58493145453579
malF	glmU	33.42342137430689
mtlD	mtlA	33.08792850269111
yahA	pfkA	32.90008310740477
nagA	glmS	32.77449636185781
pck	fruB	32.58012687286802
pykF	tyrR	32.520750027414095
mtr	manY	32.46888689565408
pykF	pck	32.36103371347389
gapA	nagA	32.243109635051745
galM	malM	32.10845911566074
nirC	pfkA	31.743306022627046
nirD	nirC	31.563473054251347
aceB	fbaA	31.507734104553546
tyrR	manY	31.42179299111117
nirD	cysG	30.95467746319603
pck	pfkA	30.932561130643993
glgC	glmU	30.894325256068665
galE	ptsG	30.676742217291036
mglC	fbaA	30.610398601388866
glgC	nagA	30.541829319518445
pck	nirD	30.43402563602104
galK	mglB	30.401371735231454
pfkA	aceK	30.377885469305802
pck	nirC	30.350888332944812
nagD	fbaA	30.348119557395197
fruK	aceA	30.102576915648996
crr	chbA	29.95610427032326
malZ	galR	29.572377067816358
nanA	chbB	29.568010690789695
fruK	fruR	29.474521491537065
galT	galR	29.211904186889218
yahA	fruK	29.072639496965923
iclR	aceK	28.80846294003153
epd	galM	28.68655915528352
pgk	chbB	28.59793566361332
eno	glk	28.592200508660024
manY	tyrR	28.58226998024652
chbC	tyrP	28.5304873790169
nirC	pykF	28.472392416431642
ilvN	glgC	28.456151583203493
dgsA	glgC	28.38237567809062
tyrR	tyrP	28.345233980460275
glmS	nagE	28.208167338808863
acnB	yahA	28.18629909041341
nanR	glgP	27.996261347582344
tyrR	mtr	27.990242965846377
nagA	nagE	27.6349562023835
pykF	yahA	27.531939732011043
chbC	mtr	27.503795278928536
fruK	gapA	27.3118686545401
glmU	nagB	27.241779494111878
galR	malZ	27.150672194285278
glk	galT	27.113455779389533
ptsH	glmS	26.9569645741256
malF	seqA	26.887489009838106
cysG	aroP	26.533165710638382
pfkA	iclR	26.48012441545114
chbF	acnB	26.014252414599497
yahA	eno	25.98397062295456
seqA	tyrP	25.972390535295144
edd	cysG	25.963713672718274
ptsH	yahA	25.908978059569154
nanR	galP	25.86510582188058
nirD	fruB	25.660532887549355
fruK	nirD	25.5736362340738
chbC	galT	25.492719254321493
chbB	ptsG	25.4520437955008
nagC	ilvN	25.41486669444328
aceK	yahA	25.405762746250744
glmS	glmU	25.371958395797037
fruA	mglC	25.25199932061589
crp	nanM	25.160542853386996
pykF	pfkA	25.12055241670181
nagC	glgC	25.055529608447888
iclR	mtlD	25.037133865409395
glgP	nanK	24.97957991081539
yahA	pykF	24.95937826328322
chbA	crr	24.879653680255295
nagC	nagA	24.85837201196618
nanE	yhcH	24.714343541301467
nanM	nanE	24.66296455970983
manY	nanR	24.640319498773827
aceB	mglC	24.54988738888056
fruB	nirD	24.411876006618595
nirC	epd	24.385703720433398
malZ	seqA	24.34802113713804
mtr	tyrR	24.27245540223619
malE	nagA	24.18262453966614
pck	pykF	24.118226871564737
aceK	fruK	24.042385448854937
galT	galK	24.01055445523435
glk	pfkA	24.006275404921258
malM	galM	23.936444764920907
mglB	galR	23.901478477027194
nirC	pck	23.864208061482188
aroF	galP	23.84524819894832
yahA	epd	23.834266475634337
fruK	fruB	23.81080636739396
aceK	pck	23.661698930055135
mtlR	aceK	23.605458194244132
pgk	mglA	23.46571082428272
malK	nagA	23.465395068480763
glk	aroF	23.32658527032067
pykF	manY	23.276913471938304
fruB	epd	23.187072178201568
manY	mtr	23.17535518695397
tyrR	chbC	23.166159845766774
manZ	nanC	23.16062455286742
ptsI	pgk	23.144132231426806
chbC	manY	23.135807628264438
galK	galT	23.12979383327011
pck	icd	23.094329991650632
iclR	galM	22.972702088405676
mpl	seqA	22.960845288251875
malZ	glmU	22.913740307746203
glmS	nagA	22.843853605631704
nirC	yahA	22.793952569005626
manY	nanK	22.69360381350255
nagE	aceB	22.576217392174776
yhcH	fbaA	22.570852460515265
yahA	edd	22.544460893319727
fruB	fruR	22.489097314630307
mglB	galS	22.460928258961555
pgk	nagD	22.308111458161218
nirC	fruR	22.214072743665973
mtlD	aroF	22.213635372475697
pck	acnA	22.19755131434916
pykF	epd	22.194913324126162
aceK	eno	22.136809360417466
crr	galM	22.01445154094805
glk	chbC	22.00632083033298
malZ	tyrP	21.98090393798618
fruB	edd	21.946157138078043
fruK	pck	21.828037247357095
mglA	nanC	21.58807225635025
galP	nagE	21.570279467650714
edd	epd	21.567158449772766
chbC	tyrR	21.55848388061293
galS	mglB	21.543357634690626
aceK	iclR	21.538292921721013
glmS	chbA	21.50572053483385
nanE	mglC	21.48606854978267
pykF	nirC	21.460741182901657
pck	fruR	21.418384989800543
fruB	cysG	21.18068983594065
glmS	manZ	21.15856672457579
hupA	seqA	21.151298277641857
glgC	manZ	21.14170860949123
ptsH	pykF	21.029294086064734
nirC	nanE	21.028574231356185
galS	malZ	21.0056625992834
fbaA	aceB	20.946635419180534
crr	malM	20.945539687644747
fruB	pykF	20.919639690004978
eno	nanE	20.82178797001648
glgC	nagC	20.77902249794873
malE	galP	20.778700001781438
yahA	nirD	20.758331965656367
pykF	edd	20.750353817778752
lamB	malE	20.72290637811409
aceK	nirC	20.718229818511443
glk	galS	20.64170479646203
pck	edd	20.541397122341913
fruR	nanA	20.5163146765116
dgsA	malK	20.491101984386255
malQ	malM	20.33792366952379
lamB	tyrP	20.307058458199705
aceA	yahA	20.29692401943093
yahA	pck	20.288604971398346
ptsH	glmU	20.25346507422873
nagC	mtlR	20.21900156722029
lamB	glmS	20.212728542304934
nirD	epd	20.209890759457032
tyrP	chbC	20.153266875355868
manZ	galP	20.139635849526144
ptsG	galP	20.108575513221975
icd	nirD	20.107030382803227
pgk	nanC	20.103980066383144
mtlR	iclR	20.001072393189062
mglB	galT	19.979490305718947
cysG	eno	19.88080607943283
malZ	iclR	19.855173420952262
ilvN	malE	19.853471129223944
ilvB	seqA	19.802179116823734
nagC	glgS	19.798247610972396
gapA	malF	19.797114679512962
pykF	nirD	19.785528301904566
chbA	malM	19.609325504650172
nagE	glmS	19.587345134585085
fruB	ppsA	19.548025135962227
