Parent	Type	Child	Weight	Probability	Score
malK	+	malK	0.050499	0.641741	0.119999
malT	+	malK	0.045964	0.561077	0.095494
malZ	-	malK	-0.015025	0.387965	-0.021584
malP	+	malK	0.017836	0.403090	0.026622
lamB	-	malK	-0.022393	0.449951	-0.037310
malQ	+	malK	0.133829	0.972342	0.481843
malM	-	malK	-0.034093	0.434125	-0.054804
malF	+	malK	0.014422	0.407282	0.021750
malG	+	malK	0.095274	0.941674	0.332209
malE	+	malK	0.040077	0.529826	0.078625
malS	+	malK	0.090010	0.922123	0.307338
dgsA	+	malK	0.029252	0.473253	0.051260
ynfK	-	malK	-0.003792	0.413850	-0.005810
ptsI	+	malK	0.007739	0.422033	0.012095
crr	+	malK	0.029740	0.455245	0.050133
fruR	-	malK	-0.059909	0.679910	-0.150826
ptsH	+	malK	0.035837	0.511007	0.067810
manY	+	malK	0.020742	0.400410	0.030753
manX	-	malK	-0.029779	0.504239	-0.055600
manZ	+	malK	0.007733	0.418931	0.011995
nagC	-	malK	-0.004780	0.386031	-0.006833
pfkA	+	malK	0.054258	0.569672	0.114453
glk	-	malK	-0.092223	0.739769	-0.252623
yahA	+	malK	0.001254	0.387322	0.001799
fruB	+	malK	0.011592	0.419741	0.018016
pck	+	malK	0.071899	0.773358	0.205892
fruK	-	malK	-0.013407	0.408119	-0.020261
pykF	+	malK	0.074987	0.754915	0.209614
ppsA	+	malK	0.012800	0.393171	0.018634
glmU	+	malK	0.007111	0.391619	0.010312
fruA	+	malK	0.025601	0.442130	0.041913
eno	-	malK	-0.008017	0.362862	-0.010772
glmS	-	malK	-0.004943	0.383976	-0.007027
nagE	+	malK	0.028471	0.385008	0.040589
aroP	+	malK	0.041812	0.497520	0.077028
gapA	+	malK	0.020964	0.455376	0.035349
icd	+	malK	0.029920	0.470238	0.052098
epd	-	malK	-0.002101	0.363559	-0.002829
nagB	-	malK	-0.018464	0.452715	-0.030951
nagD	-	malK	-0.010837	0.394021	-0.015812
pgk	+	malK	0.011511	0.361072	0.015391
edd	+	malK	0.019959	0.463241	0.034236
fbaA	-	malK	-0.061853	0.622731	-0.142626
chbB	+	malK	0.018404	0.397293	0.027074
chbR	+	malK	0.023983	0.497569	0.044188
crp	-	malK	-0.090352	0.921211	-0.308199
chbF	-	malK	-0.011915	0.375459	-0.016565
chbA	+	malK	0.013032	0.383641	0.018512
chbG	-	malK	-0.024190	0.465268	-0.041675
chbC	-	malK	-0.018052	0.412825	-0.027595
nanM	+	malK	0.044466	0.546858	0.090041
nanC	+	malK	0.147038	0.998370	0.543571
nagA	-	malK	-0.008305	0.443814	-0.013647
mtlD	+	malK	0.150730	0.998862	0.557496
mtlR	+	malK	0.032137	0.479146	0.057017
mtlA	-	malK	-0.010042	0.438980	-0.016323
acnA	+	malK	0.140206	0.998320	0.518290
galP	-	malK	-0.035676	0.449870	-0.059429
acnB	-	malK	-0.096962	0.894739	-0.321244
ptsG	+	malK	0.023561	0.439865	0.038376
aceK	-	malK	-0.022753	0.423319	-0.035665
aceB	-	malK	-0.026719	0.336587	-0.033301
iclR	+	malK	0.030471	0.364799	0.041160
aceA	+	malK	0.000723	0.382167	0.001022
nanR	+	malK	0.054633	0.616134	0.124642
nanK	+	malK	0.066988	0.622768	0.154474
yhcH	+	malK	0.010216	0.384187	0.014533
nanT	+	malK	0.044628	0.548989	0.090721
nanA	+	malK	0.048945	0.523884	0.094948
nanE	+	malK	0.000427	0.297686	0.000471
fimB	+	malK	0.085217	0.889764	0.280761
nirB	-	malK	-0.052201	0.542685	-0.104897
nirD	+	malK	0.000564	0.384408	0.000802
nirC	-	malK	-0.012540	0.443331	-0.020585
cysG	+	malK	0.006685	0.451961	0.011188
galS	+	malK	0.016228	0.333229	0.020024
mglB	+	malK	0.093599	0.930969	0.322658
galR	+	malK	0.017484	0.277615	0.017973
galT	+	malK	0.104628	0.851822	0.330013
mglC	-	malK	-0.011905	0.332356	-0.014652
galM	+	malK	0.045642	0.501534	0.084761
galK	-	malK	-0.031396	0.472316	-0.054910
hupB	+	malK	0.104282	0.936953	0.361796
galE	+	malK	0.095745	0.928763	0.329272
hupA	+	malK	0.049128	0.656191	0.119370
mglA	+	malK	0.089061	0.927544	0.305886
seqA	-	malK	-0.010307	0.423208	-0.016152
pgm	+	malK	0.004935	0.500337	0.009143
tyrP	-	malK	-0.019205	0.370927	-0.026378
mtr	+	malK	0.086621	0.882361	0.283014
tyrR	+	malK	0.108631	0.976740	0.392887
aroF	-	malK	-0.037546	0.496854	-0.069076
mpl	+	malK	0.005890	0.412450	0.008995
glgC	-	malK	-0.069195	0.756528	-0.193836
cyaR	+	malK	0.121237	0.983287	0.441420
glgS	-	malK	-0.176483	0.999741	-0.653320
ilvN	-	malK	-0.083026	0.845390	-0.259901
glgP	+	malK	0.033947	0.477312	0.059998
glpE	+	malK	0.033764	0.528191	0.066036
ilvB	+	malK	0.009404	0.391380	0.013628
malK	+	malT	0.018581	0.419975	0.028896
malT	+	malT	0.043169	0.561509	0.089757
malZ	+	malT	0.020003	0.404229	0.029940
malP	-	malT	-0.019036	0.411731	-0.029021
lamB	+	malT	0.016132	0.430850	0.025736
malQ	+	malT	0.067639	0.740232	0.185396
malM	-	malT	-0.005828	0.354232	-0.007644
malF	-	malT	-0.005160	0.384212	-0.007341
malG	+	malT	0.084688	0.929647	0.291524
malE	-	malT	-0.002030	0.390831	-0.002938
malS	+	malT	0.006159	0.398844	0.009096
dgsA	+	malT	0.058157	0.696676	0.150026
ynfK	-	malT	-0.011545	0.422944	-0.018081
ptsI	+	malT	0.008980	0.421835	0.014027
crr	+	malT	0.062328	0.739130	0.170585
fruR	-	malT	-0.039897	0.508275	-0.075088
ptsH	+	malT	0.022970	0.463356	0.039410
manY	+	malT	0.102433	0.983925	0.373198
manX	-	malT	-0.022633	0.494373	-0.041431
manZ	-	malT	-0.010754	0.417405	-0.016621
nagC	+	malT	0.024392	0.441824	0.039906
pfkA	+	malT	0.023884	0.421493	0.037276
glk	-	malT	-0.085788	0.741255	-0.235466
yahA	+	malT	0.008291	0.390178	0.011978
fruB	+	malT	0.007242	0.415226	0.011134
pck	-	malT	-0.000511	0.371171	-0.000702
fruK	-	malT	-0.001910	0.392048	-0.002773
pykF	+	malT	0.075721	0.801223	0.224649
ppsA	+	malT	0.035858	0.538239	0.071465
glmU	+	malT	0.003326	0.386491	0.004760
fruA	-	malT	-0.000043	0.386004	-0.000061
eno	-	malT	-0.007559	0.360387	-0.010087
glmS	+	malT	0.001621	0.380988	0.002287
nagE	+	malT	0.069434	0.746327	0.191883
aroP	+	malT	0.013006	0.366111	0.017632
gapA	+	malT	0.053572	0.586001	0.116245
icd	+	malT	0.043906	0.608294	0.098894
epd	-	malT	-0.005851	0.362000	-0.007842
nagB	-	malT	-0.029151	0.471668	-0.050913
nagD	+	malT	0.001628	0.382302	0.002305
pgk	+	malT	0.013049	0.361379	0.017461
edd	+	malT	0.025736	0.478774	0.045626
fbaA	-	malT	-0.056933	0.609256	-0.128439
