Gene1	Gene2	EdgeWeight
acnA	malG	1.0
acnA	malG	1.0
acnA	ilvB	0.999999
acnA	ilvN	0.999999
fruR	mtlD	0.999999
acnA	ilvB	0.999999
chbG	chbG	0.999999
acnA	malT	0.999999
acnA	malT	0.999999
chbG	chbG	0.999999
fruR	mtlD	0.999999
acnA	ilvN	0.999999
fimB	malS	0.999998
fimB	malS	0.999998
mtlD	chbA	0.999997
mtlD	chbA	0.999997
chbA	mglC	0.999995
glgS	nagA	0.999995
chbA	mglC	0.999995
glgS	nagA	0.999995
mtlD	icd	0.999994
mtlD	icd	0.999994
acnA	chbF	0.999992
mtlD	crr	0.999992
acnA	chbF	0.999992
mtlD	crr	0.999992
fruR	glmS	0.99999
acnA	cyaR	0.99999
mtlD	chbF	0.99999
acnA	mpl	0.99999
acnA	mpl	0.99999
fruR	glmS	0.99999
mtlD	chbF	0.99999
acnA	cyaR	0.99999
nanE	aceB	0.999986
nanE	aceB	0.999986
chbA	fbaA	0.99998
manY	galM	0.99998
manY	galM	0.99998
chbA	fbaA	0.99998
manY	crr	0.999978
manY	glpE	0.999978
manY	glpE	0.999978
manY	crr	0.999978
manY	nagD	0.999965
manY	nagD	0.999965
mglB	mglB	0.999964
mglB	mglB	0.999964
icd	glpE	0.999955
icd	glpE	0.999955
chbG	mglB	0.999933
chbG	mglB	0.999933
fimB	malG	0.999928
fimB	malG	0.999928
acnB	aceB	0.999922
acnB	aceB	0.999922
glgS	nanE	0.999913
glgS	nanE	0.999913
glgS	yhcH	0.999908
glgS	yhcH	0.999908
ppsA	pgk	0.999904
ppsA	pgk	0.999904
malS	hupA	0.999901
malS	hupA	0.999901
iclR	pgk	0.999899
iclR	pgk	0.999899
acnA	malF	0.99989
acnA	malF	0.99989
chbA	galP	0.999884
chbA	galP	0.999884
chbF	fruR	0.999875
chbF	fruR	0.999875
mtlD	glgS	0.999864
mtlD	glgS	0.999864
acnA	yhcH	0.999852
acnA	yhcH	0.999852
malP	fimB	0.999847
aceB	glk	0.999847
malP	fimB	0.999847
aceB	glk	0.999847
fruR	nagB	0.999816
fruR	nagB	0.999816
malG	mglA	0.999809
malG	mglA	0.999809
aceB	fbaA	0.999801
aceB	fbaA	0.999801
fimB	lamB	0.999789
fimB	lamB	0.999789
chbF	pck	0.999785
chbF	pck	0.999785
icd	malP	0.99978
icd	malP	0.99978
fruR	seqA	0.999763
fruR	seqA	0.999763
nanE	iclR	0.999756
nanE	iclR	0.999756
glgS	malK	0.999741
glgS	malK	0.999741
glgS	malF	0.999739
glgS	malF	0.999739
mtlD	nagC	0.999735
mtlD	nagC	0.999735
yhcH	galM	0.999726
yhcH	galM	0.999726
nanC	nanK	0.999702
nanC	nanK	0.999702
acnA	nagC	0.999688
acnA	nagC	0.999688
nanR	tyrR	0.999664
nanR	tyrR	0.999664
acnA	malE	0.999633
acnA	malE	0.999633
fimB	hupA	0.999621
fimB	hupA	0.999621
fbaA	chbB	0.999606
fbaA	chbB	0.999606
fimB	glgP	0.999601
fimB	glgP	0.999601
chbA	nagD	0.999594
chbA	nagD	0.999594
aceB	eno	0.999503
aceB	eno	0.999503
mtlD	ilvB	0.999468
mtlD	ilvB	0.999468
fimB	ppsA	0.999427
fimB	ppsA	0.999427
malK	mglB	0.999411
malK	mglB	0.999411
fruR	nanC	0.999399
fruR	nanC	0.999399
cyaR	malT	0.999396
cyaR	malT	0.999396
chbG	hupB	0.999379
chbG	hupB	0.999379
fimB	dgsA	0.999373
fimB	dgsA	0.999373
mtlD	acnA	0.999345
mtlD	acnA	0.999345
nanR	fbaA	0.999324
nanR	fbaA	0.999324
ppsA	manY	0.99932
ppsA	manY	0.99932
malQ	glgS	0.999287
malQ	glgS	0.999287
fruR	nanR	0.999254
fruR	nanR	0.999254
fimB	pck	0.999177
fimB	pck	0.999177
cyaR	galK	0.999172
cyaR	galK	0.999172
iclR	epd	0.999125
iclR	epd	0.999125
cyaR	galR	0.999109
cyaR	galR	0.999109
glgS	mtr	0.999106
glgS	mtr	0.999106
yhcH	galE	0.999074
yhcH	galE	0.999074
mtlD	crp	0.999068
mtlD	crp	0.999068
ppsA	mtr	0.999057
ppsA	mtr	0.999057
mglB	chbF	0.998988
mglB	chbF	0.998988
glgS	glmU	0.99898
glgS	glmU	0.99898
