Gene1	Gene2	Score
nirC	yahA	0.949191705134491
yahA	nirC	0.949191705134491
fruB	yahA	0.948877972687372
yahA	fruB	0.948877972687372
nirC	fruB	0.930477247234638
fruB	nirC	0.930477247234638
fruK	yahA	0.913702775031303
yahA	fruK	0.913702775031303
nirC	pck	-0.898095400810406
pck	nirC	-0.898095400810406
nirC	nirD	0.896282573086002
nirD	nirC	0.896282573086002
edd	fruB	0.895368196436541
fruB	edd	0.895368196436541
edd	yahA	0.890509213127816
yahA	edd	0.890509213127816
fruK	fruB	0.883399507917001
fruB	fruK	0.883399507917001
nirC	fruK	0.880187604977139
fruK	nirC	0.880187604977139
eno	glk	0.878149505290109
glk	eno	0.878149505290109
pck	yahA	-0.865308047258951
yahA	pck	-0.865308047258951
galR	galS	-0.856410490439415
galS	galR	-0.856410490439415
nirC	epd	0.855971715592021
epd	nirC	0.855971715592021
epd	fruB	0.855943557836278
fruB	epd	0.855943557836278
epd	yahA	0.855492465975286
yahA	epd	0.855492465975286
nirC	edd	0.854608023488996
edd	nirC	0.854608023488996
epd	fruR	-0.852112544681785
fruR	epd	-0.852112544681785
nirD	yahA	0.84648574535452
yahA	nirD	0.84648574535452
fruK	fruR	-0.84572866132367
fruR	fruK	-0.84572866132367
nirD	pck	-0.84213024669151
pck	nirD	-0.84213024669151
nagA	glmU	0.841809854869744
glmU	nagA	0.841809854869744
eno	pfkA	0.841636464879868
pfkA	eno	0.841636464879868
epd	fruK	0.841430567905833
fruK	epd	0.841430567905833
yahA	fruR	-0.838888432392583
fruR	yahA	-0.838888432392583
nirD	fruK	0.83863159944393
fruK	nirD	0.83863159944393
seqA	glmU	0.838205495387917
glmU	seqA	0.838205495387917
yahA	pfkA	0.83695816437957
pfkA	yahA	0.83695816437957
glmS	glmU	0.836381761626462
glmU	glmS	0.836381761626462
galE	chbB	-0.835086278234764
chbB	galE	-0.835086278234764
pykF	yahA	0.834210919325154
yahA	pykF	0.834210919325154
nagA	malK	-0.833150932560906
malK	nagA	-0.833150932560906
pykF	pck	-0.832358507869068
pck	pykF	-0.832358507869068
fruK	pck	-0.831477675713128
pck	fruK	-0.831477675713128
nirD	fruB	0.830915522222264
fruB	nirD	0.830915522222264
pck	fruB	-0.829893819265217
fruB	pck	-0.829893819265217
galK	galS	0.828805666450969
galS	galK	0.828805666450969
nirC	pykF	0.825314861290647
pykF	nirC	0.825314861290647
edd	fruK	0.824283183807772
fruK	edd	0.824283183807772
fruB	fruR	-0.821307665841087
fruR	fruB	-0.821307665841087
nanT	nanK	0.821130470372463
nanK	nanT	0.821130470372463
cysG	yahA	0.820653457288604
yahA	cysG	0.820653457288604
nanK	nanR	-0.819719079239247
nanR	nanK	-0.819719079239247
fruK	pfkA	0.818327796075492
pfkA	fruK	0.818327796075492
galK	galR	-0.817138278676728
galR	galK	-0.817138278676728
pykF	fruK	0.814185442581839
fruK	pykF	0.814185442581839
nirC	fruR	-0.812285485932124
fruR	nirC	-0.812285485932124
pykF	fruB	0.811666105843922
fruB	pykF	0.811666105843922
glmU	malK	-0.807615535269923
malK	glmU	-0.807615535269923
nanA	chbB	0.806334317280206
chbB	nanA	0.806334317280206
cysG	fruB	0.805335261787349
fruB	cysG	0.805335261787349
epd	pck	-0.800292447225517
pck	epd	-0.800292447225517
nirD	pykF	0.794848540209133
pykF	nirD	0.794848540209133
nagA	glmS	0.794303901482031
glmS	nagA	0.794303901482031
nirD	icd	-0.79414428462282
icd	nirD	-0.79414428462282
glgS	glmU	-0.791745725393039
glmU	glgS	-0.791745725393039
nagA	malE	-0.791106316386081
malE	nagA	-0.791106316386081
ppsA	fruB	-0.790873778901612
fruB	ppsA	-0.790873778901612
seqA	nagA	0.787912309803596
nagA	seqA	0.787912309803596
pykF	pfkA	0.785680894170065
pfkA	pykF	0.785680894170065
nirC	pfkA	0.785043483461994
pfkA	nirC	0.785043483461994
edd	epd	0.778182249268765
epd	edd	0.778182249268765
glk	pfkA	0.777714313332308
pfkA	glk	0.777714313332308
seqA	malF	-0.775562299328723
malF	seqA	-0.775562299328723
glgC	glmU	-0.775283721279428
glmU	glgC	-0.775283721279428
pck	fruR	0.774567984545686
fruR	pck	0.774567984545686
edd	pfkA	0.772718079047373
pfkA	edd	0.772718079047373
pck	pfkA	-0.772622545206869
pfkA	pck	-0.772622545206869
nirD	epd	0.772205093963855
epd	nirD	0.772205093963855
fruB	pfkA	0.7699976328832
pfkA	fruB	0.7699976328832
pykF	fruR	-0.768830706860995
fruR	pykF	-0.768830706860995
glmU	malF	-0.765499358818513
malF	glmU	-0.765499358818513
edd	pck	-0.764617116584986
pck	edd	-0.764617116584986
cysG	nirC	0.76421408912156
nirC	cysG	0.76421408912156
glgS	seqA	-0.764181905371372
seqA	glgS	-0.764181905371372
edd	fruR	-0.764007674776313
fruR	edd	-0.764007674776313
cysG	nirD	0.763588617538929
nirD	cysG	0.763588617538929
cysG	edd	0.759477737947779
edd	cysG	0.759477737947779
nirC	ppsA	-0.757357065300079
ppsA	nirC	-0.757357065300079
edd	pykF	0.754806159754134
pykF	edd	0.754806159754134
glgS	nagA	-0.754050023732592
nagA	glgS	-0.754050023732592
glgS	malK	0.753666925450345
malK	glgS	0.753666925450345
seqA	malK	-0.748614142328323
malK	seqA	-0.748614142328323
ilvN	glmS	-0.748177439307102
glmS	ilvN	-0.748177439307102
ppsA	yahA	-0.746684401970675
yahA	ppsA	-0.746684401970675
glmU	lamB	-0.746616272770703
lamB	glmU	-0.746616272770703
glgC	nagC	0.746550944327814
nagC	glgC	0.746550944327814
nanT	nanR	-0.746221015689495
nanR	nanT	-0.746221015689495
nirD	pfkA	0.746088855672464
pfkA	nirD	0.746088855672464
ilvN	glmU	-0.745788802402993
glmU	ilvN	-0.745788802402993
epd	pykF	0.744745240715681
pykF	epd	0.744745240715681
