	malT	nanT	malK	chbA	glgC	aroF	ptsG	pgm	mglA	galP	galK	galT	aceA	aceK	yhcH	crp	nanE	nagA	gapA	nanR	nanM	mtlA	nagB	ynfK	glmU	chbF	malP	ptsH	mtr	chbB	cysG	mpl	edd	acnB	pgk	yahA	fbaA	nagC	cyaR	chbG	hupB	fruK	aroP	crr	dgsA	mtlD	glgS	nirD	galS	manY	manZ	fimB	lamB	icd	glk	mglC	iclR	ppsA	pykF	fruR	manX	malF	hupA	malS	ptsI	chbC	tyrR	glpE	eno	seqA	nagE	epd	malE	nagD	mtlR	nanC	galR	nanK	ilvB	nirB	glgP	pck	nanA	mglB	glmS	galM	malQ	galE	malG	fruB	chbR	acnA	malM	fruA	tyrP	aceB	pfkA	malZ	nirC	ilvN
malK	0.020832586651651712	0.003518821735625311	0.03672328189470182	0.004630460384600827	0.022220812819327165	0.002876511110386401	0.015871055312705794	0.0018115576882209068	0.004678639657171342	0.005713207095878798	0.02887904366825241	0.002052322102443319	0.007577830222556346	0.0044406033990992775	0.01718247096506397	0.025735679523443435	0.008152799555854733	0.03942530115899764	0.028227414786295358	0.004231687476451227	0.005707721415064327	0.0039016321330845745	0.0041809983749045865	0.003262015001569362	0.00433876934832695	0.02809968792671475	0.0022785893504798575	0.023957492067771813	0.006408104148809761	0.002932195209784706	0.002293103536064211	0.04613451865432421	0.002470225266636291	0.002153222669810868	0.003820492689552248	0.002480013698949595	0.0034168229547069003	0.04303360768231228	0.021666665749684236	0.004463622845255918	0.003909662041728116	0.0017352665585692725	0.0031846138797128384	0.006841365928344605	0.016913770421419318	0.002672737117189788	0.02555514043625718	0.0017027646635686317	0.005010098198977494	0.002890249217687623	0.00550361473929215	0.003288047353571521	0.020505860196212235	0.0029431763682830243	0.0018138015256715194	0.0031715689676671786	0.009592275242003194	0.00366223804432148	0.00539954046570528	0.0025774151861344126	0.005427985417443539	0.0029351843599739907	0.004689449650204997	0.0021865021336740444	0.0023458919022331737	0.002319391179297593	0.003125353574213261	0.0036787824221437664	0.001852910807169229	0.00273796361900688	0.01575633132992045	0.0023289221901199534	0.026734908729154756	0.007146334849033411	0.03405079159369547	0.00399473151052529	0.00413011796681655	0.014900646138779719	0.026092063206562908	0.0031475435934970714	0.021323936263989325	0.0037447111804226195	0.036073985923460325	0.0026175415141106856	0.019301447380287443	0.0033659021700538933	0.00229494795511187	0.002513858040348502	0.016701061113960504	0.0018756191127704068	0.0036134658425314666	0.005741016708511815	0.004185375339760217	0.0019690049546867744	0.002104250756336866	0.003089075247927321	0.006192872078600113	0.010007113131150576	0.0022941680359054428	0.050754046591755794
malT	0.05497930190138595	0.008065669430582324	0.021193049092523748	0.005210087247495985	0.016449478185697707	0.0022432721313402773	0.019693083659478174	0.002404462547087227	0.0026615098417154073	0.004275422340242852	0.03683588361232278	0.006369876452807041	0.00416013042024616	0.0022630744305137435	0.011849926018863992	0.0316993558429434	0.010742360986447251	0.021973069603912536	0.020342580859732947	0.009402097968332652	0.006737912807936891	0.006658917457411774	0.003635031700509832	0.0024166557042746796	0.003736536308577536	0.04608079330617565	0.0022676277175300826	0.0134279348235508	0.003726682586090622	0.004180718715821441	0.00731856993320361	0.03826172607920653	0.01514885905299986	0.024126241180871314	0.008307371129771812	0.0031648191734272783	0.003389890973869519	0.02471776770420091	0.017565640545492478	0.002836030215843863	0.00638105705837048	0.007091393303343627	0.003333965136428261	0.002989094731774838	0.018652016891446098	0.004832937311577936	0.02568706217294097	0.0035252487244493355	0.017574680450491736	0.0025982622974828557	0.0075812415281383844	0.004581343586541328	0.01586343584725978	0.0021301154267835344	0.0033009498923599924	0.0024460821681405844	0.005213121581982412	0.0023994670313081724	0.0070241475526797185	0.003961956403560142	0.007588373692342513	0.0031566908473069	0.0051384391839508214	0.0025357529383376286	0.003103055760924463	0.002781967718113075	0.003193132577261647	0.0028242393266951606	0.002579096289981886	0.0033701201391257755	0.006888273638003157	0.0027347910664168337	0.017866818585371876	0.0039501494767348565	0.03316955642428184	0.003591863006932601	0.013412188552806787	0.020212653311229723	0.019733868347966775	0.002981011752863848	0.01543754212986812	0.0023039579506984403	0.020051425454751606	0.003078879358726327	0.00785682256564677	0.003745888434882378	0.0076205940867989635	0.003750441170650572	0.016118294873084398	0.00329941157163637	0.00553102511788442	0.0032037370127509564	0.0045739947988201884	0.0023533966776496293	0.004401132094410777	0.00460114535074743	0.00522644722792575	0.012004188821618713	0.006230849872910594	0.03011178400439064
malZ	0.03292238010907863	0.005298357240534896	0.02151594011220145	0.0022526116494589353	0.0065841287898897646	0.012594817109877207	0.005900124248537914	0.002746620474077359	0.025066128695989797	0.011610386645418195	0.019418641911351744	0.008003583220025104	0.019481911458060983	0.010566817841920572	0.003064678816733155	0.0033123315054967768	0.0032796986282405756	0.008724227218050402	0.013351737932318397	0.00844623129517436	0.0032523321332530554	0.016410208529412308	0.007556324993038573	0.0026707553265266993	0.00825204133950886	0.015498159146638893	0.0032442046266664237	0.00932212713783512	0.003424622143338242	0.004258935175381078	0.0028329187615779385	0.004311419157869207	0.007554444840491464	0.030449878886231758	0.02285925766910594	0.004524837669625577	0.009478056903122867	0.008328216280174541	0.0098651539830209	0.0027326235396838506	0.006649919091077964	0.004479035737438657	0.002097859302278445	0.005234816061515362	0.013848584669100626	0.02026862805167889	0.005103203277563096	0.0031742624219273908	0.0396251977280392	0.004285760174731267	0.019402517934838735	0.0034141000123135683	0.014708182936272728	0.0021779266873290506	0.004942468185958523	0.0037533659567733535	0.043266907381839956	0.0027551785532217814	0.004763239126763306	0.002353995112275705	0.0023793810737900295	0.009209344729033802	0.002978741614893758	0.002200004304865196	0.009595220037105527	0.006567099729437771	0.004351916057535817	0.0029428927647344536	0.0038994247370191105	0.006979122696123339	0.025758129572799583	0.002817901623961895	0.013713363524926941	0.007926641019090968	0.00601747424643165	0.019350806761264914	0.03812438541898313	0.007723635111976201	0.005400793832172992	0.0021859446122665517	0.006476129940250479	0.0028926085903909727	0.0052960635191902404	0.0031905600739452872	0.007706267014023069	0.021350970458292776	0.025066043091744754	0.004431422988002656	0.0067229555842488195	0.0034416483485988705	0.00869419061870662	0.0021071488304915784	0.019968246266003405	0.004808448546115472	0.003234154641803093	0.006666404515533506	0.011879462697651819	0.06186045361828712	0.004172055690028107	0.002639519950400636
malP	0.009249853797883106	0.005807718163905882	0.025905891565403495	0.00710724424632346	0.01851625936995155	0.005520566268487067	0.010356426738397076	0.0052537758197886315	0.0038280196204113145	0.00407051587493406	0.010430748006875332	0.008369108979998287	0.006013200429111989	0.009615395549802482	0.013221144584150189	0.01010072109700345	0.005290916530963038	0.03159445174160754	0.013076547394811804	0.005168540426334663	0.018340472911615693	0.005844459323223899	0.00583611616493824	0.007240790167453526	0.005312920081508436	0.01978690501902811	0.02012848721601575	0.00849974207203232	0.005029018781966094	0.0066581160071034285	0.005427177911068405	0.014567371545280372	0.0037804590274891025	0.005937396342007694	0.005198433140849308	0.004830579507191799	0.004196833018587003	0.007199438117723986	0.021151589142920174	0.007576060819623818	0.031188672455682118	0.0032548714003676543	0.006162166324838228	0.008092738603183382	0.004929122260220548	0.007108372597154404	0.013146481163370121	0.004353644167051824	0.005189921224081489	0.005053117379696648	0.0059358954889450295	0.007583318829448539	0.022909705548423823	0.005760057681941308	0.005444717039793235	0.005337875079701021	0.00769103428916449	0.003950311107675324	0.004377384821283574	0.004439630433456411	0.011041331307046764	0.02453261425101714	0.028585091464204754	0.011881702881490633	0.006170450837121149	0.005964090226449891	0.005414411025942239	0.007890963682674482	0.006328519756653329	0.018435117710940113	0.004620569222636915	0.008336252671809978	0.030740814571926185	0.005450871990415288	0.008687663638467243	0.00416427700814549	0.0044646846308556	0.007640867905960359	0.022720147598926103	0.008028790450314538	0.005924143495947366	0.0075565971400099645	0.010937451294323546	0.011347048290150479	0.009469347451705764	0.0067192182223337815	0.012886935589918212	0.006941375367296899	0.031244692610829666	0.007115869135675506	0.005007605820408103	0.004232447693602781	0.005202188561469845	0.005847936370096267	0.030795485967581304	0.004931082260343604	0.004255098254403531	0.03285817230118909	0.0038410305433737345	0.008838590377091756
lamB	0.03293123480784116	0.014161273983701558	0.044635593979572855	0.018886388784947767	0.02168027278657044	0.004376418018532794	0.007449366063017027	0.0026611443409730925	0.0024672830647561547	0.009349779874205903	0.03656774957127173	0.002873859779438987	0.004687666098773296	0.004657971011810629	0.012716707844113788	0.026493995553196724	0.004713967769918158	0.01875832583345206	0.03042070184578112	0.007538069603550049	0.020039536742604915	0.00938217199581879	0.004285470178006223	0.003051379451121563	0.006940187529841595	0.019686965568259492	0.0024180545314192326	0.015508134305265887	0.0035164200553684083	0.002619732527389959	0.005604280916449304	0.02714132354901132	0.01131963710447929	0.009707736019839213	0.003982823144143962	0.0034743199174070765	0.002359507873219664	0.05104423177349003	0.022927149928851955	0.0024453789042048896	0.006208764817329494	0.010179199068798134	0.00416799034469794	0.0038540312676898425	0.030200745674837874	0.003679321879517976	0.02280811761145472	0.003852152964550769	0.002793344367992183	0.002274199079440816	0.004012324226320746	0.0062773594127360065	0.023320073057176163	0.002394390336763925	0.0029454890591139623	0.0036436031575186917	0.0034163429918851896	0.003113201000951649	0.004640943414490201	0.0031195848845218866	0.006747168985828183	0.008265355662461006	0.005090503816979431	0.002323087933011921	0.002327281786402724	0.0029903994040929183	0.002912735397852322	0.002802938098223262	0.0028682325719873495	0.006577778630594943	0.008145022323454121	0.0032457085582381943	0.031760401146162597	0.003637016562846586	0.021494740829864856	0.002361645651174611	0.003817149911065192	0.015702963571654464	0.016016207232446088	0.0038560446939919406	0.013250818741654626	0.00891441156355018	0.018534658346237975	0.004542130588744471	0.02925552050263587	0.002818974683410336	0.005412888881802152	0.002561887644936718	0.018261169607137747	0.0021134789175223856	0.005079925277727209	0.004179074310760143	0.004962035094439599	0.002901676613966981	0.00423208735288302	0.0030960204173270845	0.0022240501473173527	0.004512078394643227	0.004059928885787566	0.023761410009776333
malQ	0.04401267097157218	0.004642701638570825	0.019644068231941682	0.011369395287509618	0.008895722375082044	0.0048541605799092506	0.004840897595853001	0.0033079881292423026	0.004387571316757258	0.00428633246344262	0.014001601011587421	0.003916326157247471	0.008928289457422084	0.00720912101631692	0.010248843511082063	0.010606244144889618	0.011455160131141737	0.009626213338629364	0.00899141240003882	0.004399716478627871	0.006069321296873556	0.006415544276117532	0.006129521212466644	0.005315668115651678	0.01936886153111722	0.013216936922143074	0.009655448781797115	0.011436136353567642	0.0039038667276966948	0.007340740563093602	0.00640690332428487	0.007663805306911674	0.010088764411383669	0.02444409834000147	0.003916429787575626	0.007286568752094192	0.004032030783094429	0.016915909766741538	0.010445902031946416	0.0032285396654650354	0.008628616578626586	0.012609053317563535	0.0033049732009388278	0.026996705232892278	0.014045512618450755	0.005348637347235627	0.006950848376444558	0.011321161745128974	0.009140625509344094	0.0023739166619113077	0.006442255874277968	0.0044379467806209905	0.013935558929840199	0.008578212872356166	0.0058287597330674715	0.005106606826996796	0.0039531395401167695	0.003912457239138135	0.0046726712858809845	0.007138932351832461	0.007323222930270538	0.018161088010420528	0.005915234891989969	0.003365852511485179	0.007563145070824842	0.004710167224139051	0.003000473279600535	0.003320367831105174	0.0074660680385810205	0.022481892903506332	0.012918334982296357	0.006029974785621443	0.016980137951907785	0.008453825269298778	0.007129105780657372	0.006622858850595982	0.004171401650433588	0.0065819477308002115	0.010327875785495023	0.006421930528540689	0.004493594867716402	0.007653638242619127	0.007332826328841979	0.0038831881220862618	0.03799266500718609	0.0064770472181041394	0.053647907532058926	0.003771653582977732	0.007080515418501034	0.005369498412740671	0.007284212428900735	0.007058811385993178	0.01690391419226977	0.012619082252836407	0.01549540780836004	0.012757605727273249	0.007754406523390787	0.05097501243952678	0.009856812897316011	0.0050152673941780265
malM	0.029973363442813747	0.010882892009145204	0.005983717711481062	0.03547775239170947	0.004834008971953361	0.006316500961727679	0.0072467344578230185	0.00577260150094888	0.003996348075206723	0.00915718019128296	0.003248534017742411	0.006230187389924545	0.012180998888347276	0.010898363206904882	0.004605951846517808	0.009411443307166365	0.0052793316357128	0.0038163568498109533	0.007397326246128488	0.010127919228184713	0.005073831798737302	0.030061818073767566	0.01951145522072446	0.0035593036757109696	0.0077634315395300356	0.006571858066598721	0.0036732581003260972	0.004765215806269815	0.003690845082657081	0.006325612156896724	0.005922234192943486	0.005241679768216812	0.019696204267848537	0.02340376750720651	0.0036866927954093197	0.004015342005446484	0.0029713046332683055	0.0073755299742904006	0.004048812413795114	0.004124983201965143	0.004258180055085887	0.00660945492592221	0.003507789706267669	0.028422979159512408	0.0076610508749878625	0.03475615701344664	0.002939025069115165	0.003184976682311508	0.008515997738302868	0.008088629449122791	0.004524139442629171	0.004699569822639029	0.006867372297486029	0.003174344113740767	0.005206895142859089	0.003369220993251045	0.03698488934541799	0.0030260544346524297	0.0038189180512788233	0.002742629292774742	0.003058698366311661	0.004579114573921662	0.003828286825269791	0.002890827564332703	0.007530360398359014	0.005996020422108067	0.002151491290438008	0.0028074899096450275	0.0023556468068206427	0.006025639315677679	0.012158029343088128	0.003984636299661172	0.005293795835907592	0.0043633741451995466	0.01433218036444911	0.004638267501911517	0.006811045324242551	0.010803868231346615	0.005609158835313803	0.005056168975288066	0.010352636810037981	0.003959569814490425	0.005544637041286473	0.004237856199561166	0.01318884430110911	0.05728327226701976	0.015528177988800441	0.0047702202996756345	0.003281948168025581	0.005608549785100495	0.023527424083553603	0.002962477660330246	0.09272889235112546	0.008847014045023574	0.006450582762618318	0.005682670613204654	0.018680332538275696	0.03557932491161931	0.010675440948700755	0.010157060858203488
malF	0.020008932325227213	0.0065574618968462055	0.04219290056624702	0.007378489033662533	0.014913333778910182	0.003609206651189736	0.014616542687310122	0.0031459803291181187	0.003953435296135237	0.009992189906142802	0.02350670310293398	0.00426817815238834	0.0029887239846071584	0.004529871862449347	0.021798155346037625	0.019122458447278595	0.005090536353167943	0.03166612329009396	0.01800966224933414	0.003209477503477442	0.01655220955645431	0.0032176774361718776	0.005700636542164609	0.006292757322494505	0.0070914153050528885	0.018354410562677205	0.005208518186142518	0.013670733827698628	0.005122703778580238	0.003537618840694529	0.003113523519390361	0.024807409727977705	0.0028875517660042326	0.003355452168042233	0.004167006856383756	0.002794603458018717	0.003865361506161849	0.04063546015128747	0.02519034188237637	0.005748092137889388	0.04442199653487527	0.005983350256927673	0.0024009785460364897	0.005436354199162528	0.009283562546545927	0.0037972766115081783	0.023270691653741186	0.003822118442994053	0.00336105741162838	0.0036787083094505825	0.004711037148042658	0.004656553484392097	0.02074577534171595	0.0033809052530377505	0.004004249926052573	0.004256962212702463	0.004637253470195696	0.0031738736810764277	0.0035570993960179686	0.005549500258106833	0.005738514423932601	0.018155309369746873	0.020414376698580247	0.002810527634537258	0.0025530157248279508	0.002586225283185467	0.004863366111135601	0.005380107255657524	0.002681137442446097	0.017830332319778004	0.011924511269343135	0.0058252666128065555	0.027685913055200365	0.004939960862072361	0.01468627671430787	0.0034739631465048595	0.0023633612772234274	0.019143476780287966	0.033653427381791515	0.004018003786888514	0.005901796823001171	0.005119940806857383	0.01663852416698347	0.002864809592340251	0.029518151391804453	0.005833586781554759	0.006454614432250567	0.005051584544600521	0.01646770823484155	0.003936682636905501	0.004001248257768323	0.004165893515889977	0.0033639312125274606	0.003951757933810778	0.010786580808193991	0.003182782395928492	0.004223017031164376	0.017276341607336435	0.0025349219603908735	0.011997900737163612
malG	0.009179950405366406	0.006737501525719683	0.03538167702606915	0.009934068626760361	0.01640668191390911	0.011438153220635197	0.006462778596497183	0.0029960248977769117	0.009576170657203844	0.012070594986486867	0.013989498683180826	0.00501886200457875	0.009403532859336679	0.005134692868600845	0.01032825479966521	0.03330153543965413	0.004917493263268621	0.013314277933515417	0.01697430877755049	0.007884140718709727	0.016196319530723258	0.007487070489832544	0.006276743621804077	0.010309634113432352	0.012089567193109971	0.01586902539722558	0.004399325003732265	0.024681221376419975	0.006404271968143178	0.004637985898329821	0.00541077404462399	0.0295853655340166	0.003427632496424348	0.005179858744273217	0.007941458544724448	0.0037867979693695986	0.006558398194971942	0.03792152427242683	0.012442080095279416	0.005742876487782002	0.006437952469698223	0.0028741651695633973	0.005423300864671781	0.007514452525705533	0.015440299011109628	0.006993453430775572	0.01915308703330978	0.009409101290396281	0.008321541889531825	0.0052413054324151505	0.014161147651698815	0.0036143514968178143	0.019697630655679924	0.006533038941000249	0.00741719869518835	0.00757113929096861	0.00786392554403621	0.005678402515023095	0.00788607695824598	0.004795427965946625	0.006633872980234789	0.0074781826290028	0.008574369604480988	0.005040661404697579	0.0033513434909746894	0.005196124903998883	0.004987537187448221	0.004032618016854675	0.0071780149413448145	0.005775348612291013	0.014645667702957187	0.006118366949004325	0.02509516888056426	0.003945433548902677	0.01690755435956872	0.00810276864424355	0.004080190922808362	0.0066897336043860505	0.016791509428438666	0.005631069592255707	0.010423779329921579	0.007278622039509245	0.022815822084251366	0.009780688010283933	0.02554707975448312	0.00833599919492255	0.004670549697672435	0.005499105356628994	0.01413736611313027	0.0044818711907725324	0.004116368757859064	0.007859483803648521	0.0045774561530329055	0.005730093706743469	0.006216003290037789	0.0055445092811315985	0.0035449298585076747	0.01503398586320201	0.0056396798408332866	0.023685940256055932
malE	0.013107165231094217	0.0027580307361161223	0.0341429206569923	0.004040619500272907	0.022895000587939945	0.0035634702597087593	0.012755548953040468	0.0018001751496862224	0.011842546423666007	0.02334204067450877	0.02381038404166406	0.005443151110813915	0.0055457993274774155	0.0047550289539897315	0.007564830755759687	0.018404183675567048	0.005589450772604094	0.040519574047360604	0.022043328678693404	0.00390546538537128	0.011137229063442142	0.002357200595099735	0.003432710985828023	0.003302293853406667	0.008134618238609061	0.01688956457120563	0.0023178565345803996	0.01394510510136919	0.0028805550652253042	0.007936459350731211	0.005927389923454745	0.03066244811853705	0.0037261041599861286	0.008865755888556055	0.013749912001501404	0.005824379172903775	0.005075908663654358	0.04119287202060759	0.016172099376293818	0.004934335078066371	0.005549474706830864	0.0032924333194360835	0.009542846128148399	0.0027994678126099927	0.022256503419118424	0.0033948085792417466	0.013421086800567434	0.0026952924250254577	0.016922739400580828	0.0024627866190183186	0.017795621236572808	0.008016280157486165	0.023627707818312076	0.001951015799121457	0.0053599948130906945	0.00276280535711172	0.004265403819211893	0.002274173756343562	0.004865943555594963	0.009475031651347405	0.004257206747921071	0.005361284740434615	0.00426396598862065	0.002320574360964058	0.004759068232012484	0.004033704164434589	0.0034388690446997554	0.004329234642191424	0.0026812743226280484	0.0046161157579992975	0.009699646040920525	0.0029296142341639526	0.04988323197235561	0.00280919378801177	0.022781019251428926	0.017029804539018804	0.0036612697290840206	0.007248416825567738	0.014413512138534203	0.012269046332604328	0.016375390855248986	0.0031207247331659638	0.03423689586690612	0.002025964770813144	0.01681332758958027	0.00245078409607826	0.0025785761220575455	0.014376731397032471	0.015978330770098727	0.005447224021038371	0.0029787086631097603	0.002372587622277837	0.0031655223620792403	0.002231057167556429	0.001860009157427144	0.00509808951495208	0.003725259795234734	0.00863306766677202	0.004007734848038485	0.03071303026678051
