Gene1	Gene2	EdgeWeight
galS	galR	1.986055728908209
galR	galS	1.986055728908209
nanK	nanT	1.9859349064485647
nanT	nanK	1.9859349064485647
seqA	tyrP	1.98548301191344
tyrP	seqA	1.98548301191344
nanR	nanK	1.984329640770826
nanK	nanR	1.984329640770826
galR	galK	1.982718688058359
galK	galR	1.982718688058359
galS	galK	1.9799495438421908
galK	galS	1.9799495438421908
mtr	tyrR	1.9753512724579343
tyrR	mtr	1.9753512724579343
crr	chbA	1.974002911248136
chbA	crr	1.974002911248136
mtlD	mtlA	1.9737063216068091
mtlA	mtlD	1.9737063216068091
mglB	galT	1.971545728747163
galT	mglB	1.971545728747163
chbB	galE	1.9697000187391085
galE	chbB	1.9697000187391085
chbB	mtlD	1.968845448782369
mtlD	chbB	1.968845448782369
nagD	fbaA	1.9682637997991812
fbaA	nagD	1.9682637997991812
nanR	nanT	1.9658962410509384
nanT	nanR	1.9658962410509384
glmS	chbA	1.9654399344225464
chbA	glmS	1.9654399344225464
mglB	galR	1.9647803082067608
galR	mglB	1.9647803082067608
malZ	galR	1.964680571403011
galR	malZ	1.964680571403011
malM	chbA	1.9625420448385704
chbA	malM	1.9625420448385704
galT	galK	1.96022630219005
galK	galT	1.96022630219005
glmS	nagA	1.958709442064773
nagA	glmS	1.958709442064773
malM	galM	1.9579522029855
galM	malM	1.9579522029855
galP	nanR	1.956108428839161
nanR	galP	1.956108428839161
malZ	malQ	1.9548632227765972
malQ	malZ	1.9548632227765972
chbB	mtlA	1.952998165289062
mtlA	chbB	1.952998165289062
chbC	tyrR	1.952307806751422
tyrR	chbC	1.952307806751422
galS	mglB	1.9514536360093588
mglB	galS	1.9514536360093588
fruA	nanC	1.9511559952511768
nanC	fruA	1.9511559952511768
chbC	mtr	1.9507596181606268
mtr	chbC	1.9507596181606268
ynfK	mglC	1.949369113316885
mglC	ynfK	1.949369113316885
manY	tyrR	1.945512750436738
tyrR	manY	1.945512750436738
malQ	malM	1.9450488064682208
malM	malQ	1.9450488064682208
nagE	nanR	1.9416256412464092
nanR	nagE	1.9416256412464092
mtlD	aroF	1.9397354088809016
aroF	mtlD	1.9397354088809016
nanC	mglA	1.9395961524444745
mglA	nanC	1.9395961524444745
malZ	malM	1.939144227839704
malM	malZ	1.939144227839704
galS	galT	1.9377693705273729
galT	galS	1.9377693705273729
malE	nagA	1.9347474838245076
nagA	malE	1.9347474838245076
manY	mtr	1.934122240442224
mtr	manY	1.934122240442224
nagE	chbC	1.9331185630097416
chbC	nagE	1.9331185630097416
nagD	iclR	1.9325131482251208
iclR	nagD	1.9325131482251208
galR	galT	1.9321652695853715
galT	galR	1.9321652695853715
nanC	mglC	1.9318044442295736
mglC	nanC	1.9318044442295736
manY	nanK	1.9283911168427208
nanK	manY	1.9283911168427208
manX	icd	1.926770747092424
icd	manX	1.926770747092424
mglB	galK	1.9260749398470531
galK	mglB	1.9260749398470531
epd	galM	1.9249274779898675
galM	epd	1.9249274779898675
nagD	pgk	1.9244713087613672
pgk	nagD	1.9244713087613672
galP	ptsG	1.9236109192559576
ptsG	galP	1.9236109192559576
manY	nanR	1.9216963244644545
nanR	manY	1.9216963244644545
fbaA	mglC	1.9208450397605417
mglC	fbaA	1.9208450397605417
nagE	aceB	1.9196887042371895
aceB	nagE	1.9196887042371895
malZ	nanR	1.9178874256905227
nanR	malZ	1.9178874256905227
glmU	glmS	1.9143974692750485
glmS	glmU	1.9143974692750485
manY	nanT	1.914286145220564
nanT	manY	1.914286145220564
ynfK	yhcH	1.9141086064323751
yhcH	ynfK	1.9141086064323751
nirD	cysG	1.9139897036161448
cysG	nirD	1.9139897036161448
acnA	cysG	1.913564217065376
cysG	acnA	1.913564217065376
mtlD	fimB	1.9128813441914836
fimB	mtlD	1.9128813441914836
mtlD	nanR	1.911645637157657
nanR	mtlD	1.911645637157657
galS	mglA	1.910201735137931
mglA	galS	1.910201735137931
manY	glgP	1.909307921125467
glgP	manY	1.909307921125467
manY	chbR	1.909161974191551
chbR	manY	1.909161974191551
fruA	mglC	1.9090197902228048
mglC	fruA	1.9090197902228048
galP	aroF	1.9086146891609777
aroF	galP	1.9086146891609777
gapA	mtlA	1.9085238168526837
mtlA	gapA	1.9085238168526837
nanK	glgP	1.907959804409476
glgP	nanK	1.907959804409476
nanC	galS	1.9074104877752052
galS	nanC	1.9074104877752052
nanR	aroF	1.906161335042721
aroF	nanR	1.906161335042721
aceK	aceA	1.905632376087488
aceA	aceK	1.905632376087488
fbaA	iclR	1.904702216704906
iclR	fbaA	1.904702216704906
aroP	mglC	1.904101652261819
mglC	aroP	1.904101652261819
acnA	nirD	1.903488893976752
nirD	acnA	1.903488893976752
nagE	fbaA	1.9030843918400868
fbaA	nagE	1.9030843918400868
galM	pgm	1.9026830286647571
pgm	galM	1.9026830286647571
nagC	glgC	1.9011311585443744
glgC	nagC	1.9011311585443744
fruK	nirC	1.9010838914867407
nirC	fruK	1.9010838914867407
malT	chbF	1.9009867306067407
chbF	malT	1.9009867306067407
malZ	iclR	1.899139532851569
iclR	malZ	1.899139532851569
yahA	fruB	1.899136844606088
fruB	yahA	1.899136844606088
yahA	nirC	1.8970431312672915
nirC	yahA	1.8970431312672915
iclR	mglC	1.8966730251774035
mglC	iclR	1.8966730251774035
fruR	yahA	1.8954876105209
yahA	fruR	1.8954876105209
manY	chbC	1.8953631177919927
chbC	manY	1.8953631177919927
epd	ptsG	1.8951008622452052
ptsG	epd	1.8951008622452052
fruA	galS	1.893986722270924
galS	fruA	1.893986722270924
mtlA	aroF	1.8939470341024744
aroF	mtlA	1.8939470341024744
nagD	aceB	1.8935994338898876
aceB	nagD	1.8935994338898876
malE	manZ	1.8930578604761603
manZ	malE	1.8930578604761603
chbR	nanT	1.8928140939340252
nanT	chbR	1.8928140939340252
fruR	epd	1.891142008024593
epd	fruR	1.891142008024593
nagD	mglA	1.8907068351174077
mglA	nagD	1.8907068351174077
fruR	fruB	1.890330814447916
fruB	fruR	1.890330814447916
yahA	pykF	1.8897572635232032
pykF	yahA	1.8897572635232032
malE	aroP	1.8880472541978528
aroP	malE	1.8880472541978528
fruB	pck	1.8879196844166528
pck	fruB	1.8879196844166528
ptsI	chbR	1.8868131556011611
chbR	ptsI	1.8868131556011611
pgk	mglA	1.8863393127762973
mglA	pgk	1.8863393127762973
malZ	galS	1.8853813586382209
galS	malZ	1.8853813586382209
malQ	seqA	1.884712940257499
seqA	malQ	1.884712940257499
chbC	galT	1.8846685894929565
galT	chbC	1.8846685894929565
malZ	aroF	1.8845858799017403
aroF	malZ	1.8845858799017403
malP	malQ	1.8834619658642304
malQ	malP	1.8834619658642304
nanM	nanE	1.8834585105923671
nanE	nanM	1.8834585105923671
tyrP	tyrR	1.882678232389188
tyrR	tyrP	1.882678232389188
manZ	pgk	1.8822726319798144
pgk	manZ	1.8822726319798144
chbB	aroF	1.8821844615401209
aroF	chbB	1.8821844615401209
pfkA	fruK	1.881929563626925
fruK	pfkA	1.881929563626925
malM	iclR	1.881876400834152
iclR	malM	1.881876400834152
pfkA	yahA	1.8811603454146664
yahA	pfkA	1.8811603454146664
fruB	nirC	1.8806066357122015
nirC	fruB	1.8806066357122015
yahA	epd	1.8805390744618165
epd	yahA	1.8805390744618165
ptsG	galE	1.879691897473893
galE	ptsG	1.879691897473893
galR	galE	1.8784744025057056
galE	galR	1.8784744025057056
pck	nirC	1.8777970194444331
nirC	pck	1.8777970194444331
malM	nagB	1.8776270278537557
nagB	malM	1.8776270278537557
malG	aroF	1.8775477133580811
aroF	malG	1.8775477133580811
dgsA	chbR	1.8762096004082889
chbR	dgsA	1.8762096004082889
fruK	mtlA	1.876174843710896
mtlA	fruK	1.876174843710896
eno	nanE	1.8760832184253329
nanE	eno	1.8760832184253329
crr	glmS	1.8755651404083515
glmS	crr	1.8755651404083515
fruB	acnB	1.875031775029919
acnB	fruB	1.875031775029919
fruA	fbaA	1.8746888991592936
fbaA	fruA	1.8746888991592936
manZ	nanT	1.8739867506803367
nanT	manZ	1.8739867506803367
fbaA	tyrR	1.8733603943797588
tyrR	fbaA	1.8733603943797588
pfkA	nirD	1.8731144086963472
nirD	pfkA	1.8731144086963472
nagE	nanK	1.8724705312909689
nanK	nagE	1.8724705312909689
fruB	fruK	1.8723954288071267
fruK	fruB	1.8723954288071267
crp	chbA	1.8716019450639203
chbA	crp	1.8716019450639203
fruR	fruK	1.8715750597139893
fruK	fruR	1.8715750597139893
yhcH	nanE	1.8713541674234404
nanE	yhcH	1.8713541674234404
gapA	nanM	1.8707201338448216
nanM	gapA	1.8707201338448216
yahA	nirD	1.8704643125455345
nirD	yahA	1.8704643125455345
nagD	nanC	1.8704042816272544
nanC	nagD	1.8704042816272544
nirB	galE	1.8698923754068255
galE	nirB	1.8698923754068255
mtlD	galE	1.8697509813884257
galE	mtlD	1.8697509813884257
fruB	epd	1.869454050432604
epd	fruB	1.869454050432604
yahA	pck	1.8692563459077247
pck	yahA	1.8692563459077247
malM	crr	1.869137298675826
crr	malM	1.869137298675826
malE	glgP	1.868300696359152
glgP	malE	1.868300696359152
lamB	dgsA	1.8682464993468555
dgsA	lamB	1.8682464993468555
nirC	cysG	1.8679977902835097
cysG	nirC	1.8679977902835097
pfkA	nirC	1.866930200791088
nirC	pfkA	1.866930200791088
galT	glpE	1.8666229197177704
glpE	galT	1.8666229197177704
yahA	fruK	1.8656667697311355
fruK	yahA	1.8656667697311355
yhcH	mglC	1.8651320756042025
mglC	yhcH	1.8651320756042025
mglC	mglA	1.8650421583177843
mglA	mglC	1.8650421583177843
fruB	nirD	1.864894425810584
nirD	fruB	1.864894425810584
chbB	nanA	1.86455085887282
nanA	chbB	1.86455085887282
nanE	tyrR	1.8642526979417136
tyrR	nanE	1.8642526979417136
nagD	galS	1.8639610260226496
galS	nagD	1.8639610260226496
malQ	malS	1.8639477753414555
malS	malQ	1.8639477753414555
ptsI	ppsA	1.863900697002626
ppsA	ptsI	1.863900697002626
fbaA	aceB	1.8636513254777665
aceB	fbaA	1.8636513254777665
nagD	nagA	1.8632620489355447
nagA	nagD	1.8632620489355447
nagE	nanC	1.863177893641898
nanC	nagE	1.863177893641898
nagE	tyrR	1.862877887173456
tyrR	nagE	1.862877887173456
pck	icd	1.862441845143981
icd	pck	1.862441845143981
pfkA	pykF	1.861293450075428
pykF	pfkA	1.861293450075428
fruR	nirC	1.8612872211842524
nirC	fruR	1.8612872211842524
icd	acnA	1.8609088919235384
acnA	icd	1.8609088919235384
dgsA	glgC	1.860858898538712
glgC	dgsA	1.860858898538712
nagE	galM	1.860814805154879
galM	nagE	1.860814805154879
acnB	nirC	1.8597758686494288
nirC	acnB	1.8597758686494288
glk	galT	1.859552088326724
galT	glk	1.859552088326724
glk	aroF	1.85893710755329
aroF	glk	1.85893710755329
fruB	ppsA	1.8587540143647607
ppsA	fruB	1.8587540143647607
mtlA	fimB	1.858047784431947
fimB	mtlA	1.858047784431947
mtlD	galP	1.8579405091133645
galP	mtlD	1.8579405091133645
edd	acnB	1.8574302641543792
acnB	edd	1.8574302641543792
ppsA	acnA	1.8570001140075243
acnA	ppsA	1.8570001140075243
malM	chbR	1.856576006716663
chbR	malM	1.856576006716663
nirD	nirC	1.8563547934538
nirC	nirD	1.8563547934538
edd	nirC	1.8562988395538147
nirC	edd	1.8562988395538147
fruR	pck	1.8551277987752095
pck	fruR	1.8551277987752095
glgC	ilvN	1.8543239645909049
ilvN	glgC	1.8543239645909049
chbB	galM	1.853985704731216
galM	chbB	1.853985704731216
cyaR	glgS	1.853106236834812
glgS	cyaR	1.853106236834812
crr	galM	1.852333794772242
