Gene1	Gene2	corVal	pValue
malK	malK	1	0
malT	malT	1	0
malZ	malZ	1	0
malP	malP	1	0
lamB	lamB	1	0
malQ	malQ	1	0
malM	malM	1	0
malF	malF	1	0
malG	malG	1	0
malE	malE	1	0
malS	malS	1	0
dgsA	dgsA	1	0
ynfK	ynfK	1	0
ptsI	ptsI	1	0
crr	crr	1	0
fruR	fruR	1	0
ptsH	ptsH	1	0
manY	manY	1	0
manX	manX	1	0
manZ	manZ	1	0
nagC	nagC	1	0
pfkA	pfkA	1	0
glk	glk	1	0
yahA	yahA	1	0
fruB	fruB	1	0
pck	pck	1	0
fruK	fruK	1	0
pykF	pykF	1	0
ppsA	ppsA	1	0
glmU	glmU	1	0
fruA	fruA	1	0
eno	eno	1	0
glmS	glmS	1	0
nagE	nagE	1	0
aroP	aroP	1	0
gapA	gapA	1	0
icd	icd	1	0
epd	epd	1	0
nagB	nagB	1	0
nagD	nagD	1	0
pgk	pgk	1	0
edd	edd	1	0
fbaA	fbaA	1	0
chbB	chbB	1	0
chbR	chbR	1	0
crp	crp	1	0
chbF	chbF	1	0
chbA	chbA	1	0
chbG	chbG	1	0
chbC	chbC	1	0
nanM	nanM	1	0
nanC	nanC	1	0
nagA	nagA	1	0
mtlD	mtlD	1	0
mtlR	mtlR	1	0
mtlA	mtlA	1	0
acnA	acnA	1	0
galP	galP	1	0
acnB	acnB	1	0
ptsG	ptsG	1	0
aceK	aceK	1	0
aceB	aceB	1	0
iclR	iclR	1	0
aceA	aceA	1	0
nanR	nanR	1	0
nanK	nanK	1	0
yhcH	yhcH	1	0
nanT	nanT	1	0
nanA	nanA	1	0
nanE	nanE	1	0
fimB	fimB	1	0
nirB	nirB	1	0
nirD	nirD	1	0
nirC	nirC	1	0
cysG	cysG	1	0
galS	galS	1	0
mglB	mglB	1	0
galR	galR	1	0
galT	galT	1	0
mglC	mglC	1	0
galM	galM	1	0
galK	galK	1	0
hupB	hupB	1	0
galE	galE	1	0
hupA	hupA	1	0
mglA	mglA	1	0
seqA	seqA	1	0
pgm	pgm	1	0
tyrP	tyrP	1	0
mtr	mtr	1	0
tyrR	tyrR	1	0
aroF	aroF	1	0
mpl	mpl	1	0
glgC	glgC	1	0
cyaR	cyaR	1	0
glgS	glgS	1	0
ilvN	ilvN	1	0
