Gene1	Gene2	EdgeWeight
malK	malK	1.0
nanR	nanR	1.0
cysG	cysG	1.0
nirC	nirC	1.0
nirD	nirD	1.0
nirB	nirB	1.0
fimB	fimB	1.0
nanE	nanE	1.0
nanA	nanA	1.0
nanT	nanT	1.0
yhcH	yhcH	1.0
nanK	nanK	1.0
aceA	aceA	1.0
nanC	nanC	1.0
iclR	iclR	1.0
aceB	aceB	1.0
aceK	aceK	1.0
ptsG	ptsG	1.0
acnB	acnB	1.0
galP	galP	1.0
acnA	acnA	1.0
mtlA	mtlA	1.0
mtlR	mtlR	1.0
mtlD	mtlD	1.0
galS	galS	1.0
mglB	mglB	1.0
galR	galR	1.0
galT	galT	1.0
ilvB	ilvB	1.0
glpE	glpE	1.0
glgP	glgP	1.0
ilvN	ilvN	1.0
glgS	glgS	1.0
cyaR	cyaR	1.0
glgC	glgC	1.0
mpl	mpl	1.0
aroF	aroF	1.0
tyrR	tyrR	1.0
mtr	mtr	1.0
tyrP	tyrP	1.0
pgm	pgm	1.0
seqA	seqA	1.0
mglA	mglA	1.0
hupA	hupA	1.0
galE	galE	1.0
hupB	hupB	1.0
galK	galK	1.0
galM	galM	1.0
mglC	mglC	1.0
nagA	nagA	1.0
nanM	nanM	1.0
malT	malT	1.0
ptsI	ptsI	1.0
yahA	yahA	1.0
glk	glk	1.0
pfkA	pfkA	1.0
nagC	nagC	1.0
manZ	manZ	1.0
manX	manX	1.0
manY	manY	1.0
ptsH	ptsH	1.0
fruR	fruR	1.0
crr	crr	1.0
ynfK	ynfK	1.0
chbC	chbC	1.0
dgsA	dgsA	1.0
malS	malS	1.0
malE	malE	1.0
malG	malG	1.0
malF	malF	1.0
malM	malM	1.0
malQ	malQ	1.0
lamB	lamB	1.0
malP	malP	1.0
malZ	malZ	1.0
fruB	fruB	1.0
pck	pck	1.0
fruK	fruK	1.0
pykF	pykF	1.0
chbG	chbG	1.0
chbA	chbA	1.0
chbF	chbF	1.0
crp	crp	1.0
chbR	chbR	1.0
chbB	chbB	1.0
fbaA	fbaA	1.0
edd	edd	1.0
pgk	pgk	1.0
nagD	nagD	1.0
nagB	nagB	1.0
epd	epd	1.0
icd	icd	1.0
gapA	gapA	1.0
aroP	aroP	1.0
nagE	nagE	1.0
glmS	glmS	1.0
eno	eno	1.0
fruA	fruA	1.0
glmU	glmU	1.0
ppsA	ppsA	1.0
crr	nirB	-0.408676969265889
nirB	crr	-0.408676969265889
galS	galR	-0.394861809415306
galR	galS	-0.394861809415305
nirD	galE	-0.367947605939658
galE	nirD	-0.367947605939658
ptsI	pgk	0.365135248936172
pgk	ptsI	0.365135248936171
nagA	glmS	0.356469377798817
glmS	nagA	0.356469377798817
mtlA	nanC	-0.355871145852072
nanC	mtlA	-0.355871145852072
nagD	mpl	0.3341951112381
mpl	nagD	0.3341951112381
mpl	malE	0.333063368981852
malE	mpl	0.333063368981852
chbF	aceB	-0.331338089800469
aceB	chbF	-0.331338089800468
nanE	malE	0.327030718018437
malE	nanE	0.327030718018436
chbC	tyrP	0.32272260896383
tyrP	chbC	0.32272260896383
galP	nagD	0.322182894945874
nagD	galP	0.322182894945874
galT	galM	0.321380355849772
galM	galT	0.321380355849772
galP	lamB	-0.313020354301894
lamB	galP	-0.313020354301894
galP	ptsI	-0.312144840297386
ptsI	galP	-0.312144840297386
acnB	manY	0.311754066751566
manY	acnB	0.311754066751565
galS	mglC	-0.302352542723423
mglC	galS	-0.302352542723422
malQ	malM	0.298543216805001
malM	malQ	0.298543216805001
crr	cysG	-0.295870065061375
cysG	crr	-0.295870065061375
manZ	nirC	0.294712627137368
nirC	manZ	0.294712627137368
aceK	nagC	-0.293630583201514
nagC	aceK	-0.293630583201514
nirD	glgC	-0.293281613693544
glgC	nirD	-0.293281613693544
nagE	edd	-0.293219751199855
edd	nagE	-0.293219751199854
lamB	nagD	0.292937553774734
nagD	lamB	0.292937553774733
galP	galK	-0.290339334189274
galK	galP	-0.290339334189273
acnB	chbC	0.287965736409173
chbC	acnB	0.287965736409173
malE	aceB	0.283447178287247
aceB	malE	0.283447178287247
galE	glmU	-0.28333723213595
glmU	galE	-0.28333723213595
nirB	nirD	0.282755508350792
nirD	nirB	0.282755508350792
nanE	ynfK	0.281321473889392
ynfK	nanE	0.281321473889391
ptsI	cysG	0.280477682570578
cysG	ptsI	0.280477682570578
malE	pgm	-0.280006109100492
pgm	malE	-0.280006109100491
yahA	crr	-0.279627662717379
crr	yahA	-0.279627662717379
nirC	lamB	-0.278410061339224
lamB	nirC	-0.278410061339224
icd	nirB	-0.278279458150855
nirB	icd	-0.278279458150855
nanE	mpl	-0.277607917543405
mpl	nanE	-0.277607917543405
icd	cysG	-0.271806183404943
cysG	icd	-0.271806183404943
aceA	edd	-0.270525915835452
edd	aceA	-0.270525915835451
manZ	nagA	0.270327070917718
nagA	manZ	0.270327070917717
fruK	aceB	-0.270275642804815
aceB	fruK	-0.270275642804815
acnB	galR	0.269164633003788
galR	acnB	0.269164633003788
malZ	crr	-0.268877504066817
crr	malZ	-0.268877504066817
mglB	ilvN	0.268757059377363
ilvN	mglB	0.268757059377362
manZ	glk	0.267265314721377
glk	manZ	0.267265314721377
nanC	tyrP	0.266597604871193
tyrP	nanC	0.266597604871192
nirB	nagE	-0.266361889557446
nagE	nirB	-0.266361889557446
aroP	fruR	-0.266309751613347
fruR	aroP	-0.266309751613347
glmU	nirD	-0.265484288003471
nirD	glmU	-0.265484288003471
galP	ptsG	-0.264381801928452
ptsG	galP	-0.264381801928452
nagA	nagD	0.263264007501396
nagD	nagA	0.263264007501396
mpl	nirD	-0.262657958078277
