Gene1	Gene2	EdgeWeight
chbG	galR	1.7287892851645
mtlD	galR	1.68663926466927
nanM	galR	1.67935196096153
malP	aceB	1.63345619597685
malF	galR	1.60480516253351
glpE	aceB	1.58253990794813
mglA	galR	1.57079164204953
tyrR	galR	1.56199386460356
glpE	galR	1.56148243310726
malF	aceB	1.53105147946309
malP	fbaA	1.52991998072295
chbG	galS	1.52239931143055
mglA	aceB	1.51167924090868
hupA	aceB	1.50553437044897
crp	galR	1.50445657822093
malK	aceB	1.49972588980395
acnA	aceB	1.49829573615558
malP	galR	1.49812341198734
chbG	aceB	1.49351317922262
manY	aceB	1.48839388967862
glpE	fbaA	1.48706519719848
galE	galR	1.48454560945715
yhcH	aceB	1.48155093579377
glgS	aceB	1.48125020564906
malG	aceB	1.481161067832
malS	aceB	1.47278104079516
nanM	galS	1.4660821309224
mglB	aceB	1.45615137901279
malF	galS	1.45234752321618
ilvB	galR	1.44466810656409
malF	fbaA	1.44121560131618
malP	epd	1.44029465537898
ppsA	aceB	1.44006698183399
glpE	galS	1.43901606599739
ilvB	aceB	1.43876231416895
chbF	aceB	1.43599361753242
acnB	galR	1.4334340832213
icd	aceB	1.43302712438703
chbF	galR	1.43151638937224
mglA	galS	1.42698728971117
mglA	fbaA	1.42420370259718
glpE	epd	1.4188303753912
tyrR	aceB	1.4144851239044
chbG	fbaA	1.41141592025494
hupA	fbaA	1.41084333922372
malP	galS	1.41056356758303
mtlD	galS	1.41037407851483
crp	aceB	1.40932620816162
malK	fbaA	1.40212791676433
fimB	aceB	1.40125731417008
acnA	fbaA	1.40099385651492
malG	galR	1.3998677368313
tyrR	galS	1.39577177217621
manY	fbaA	1.39575228626533
nanM	aceB	1.39445872360292
malF	epd	1.39076870153794
chbG	epd	1.38945829958594
malG	fbaA	1.38868322244676
glgS	fbaA	1.38734914504476
yhcH	fbaA	1.3844363356482
chbG	yahA	1.3775948211909
hupA	galR	1.37631588881632
malS	fbaA	1.37630005828294
mglA	epd	1.37245261065706
mpl	aceB	1.36088524230735
hupB	galR	1.35859316447325
crp	galS	1.35824965808584
ilvB	fbaA	1.35355891636495
fruR	galR	1.35316179886709
chbF	fbaA	1.35170667236387
mglB	fbaA	1.34920659554863
cyaR	aceB	1.34320814406965
icd	fbaA	1.34273264708974
ppsA	fbaA	1.34009335556556
nanR	galR	1.33899343066808
tyrR	fbaA	1.33654113881926
chbA	galR	1.33514775228308
crp	fbaA	1.3309151146462
nanC	aceB	1.33008247272715
nanC	galR	1.32850895367263
hupA	epd	1.32768100566285
nanM	yahA	1.32682198961425
ilvB	galS	1.32529956184404
chbG	nirD	1.3244199355734
mglC	aceB	1.32322222452938
nanM	fbaA	1.32225362327107
malP	iclR	1.31813853632582
chbF	galS	1.31730074128693
malG	epd	1.3142944602313
nanM	epd	1.31311541942102
malF	yahA	1.31264643702014
glgS	galR	1.31152234696361
malK	epd	1.30837662199271
malK	galR	1.3071535430169
fimB	fbaA	1.3071021299472
malG	galS	1.30583113662158
manY	galR	1.30578772338378
manY	epd	1.30500571603115
tyrR	epd	1.30370371337555
glpE	yahA	1.2994918256325
glgS	epd	1.29858958642389
hupA	galS	1.29819536424237
cyaR	galR	1.29779400720903
acnA	epd	1.29646428464948
ilvB	epd	1.29587370417645
malP	galP	1.29393265561884
chbF	epd	1.29266474625911
crp	epd	1.28975970725706
mglA	yahA	1.289264000831
glpE	iclR	1.28491234556877
nanM	nirD	1.28208778917402
malS	epd	1.28124545162942
icd	galR	1.28030825180366
mtlD	yahA	1.27902663770594
glpE	galP	1.2766308418067
mpl	fbaA	1.27574212801272
malP	yahA	1.27281996542932
yhcH	epd	1.27197764320565
malS	galR	1.26582674068754
galE	galS	1.26278081526378
tyrR	yahA	1.2618571388507
cyaR	fbaA	1.26088260361213
chbG	galP	1.26050302899245
icd	epd	1.25886018984121
mtlD	nirD	1.25864362019975
malF	galP	1.25594510810337
nanC	fbaA	1.25130204347811
manY	galS	1.25112042466403
malK	galS	1.25064311947888
glgS	galS	1.25052466761362
malF	iclR	1.24894739981624
malF	nirD	1.24733771502272
mpl	galR	1.24508056450893
mglC	fbaA	1.24228778799807
acnA	galR	1.23692969550526
