Gene1	Gene2	EdgeWeight
chbG	galR	3.77543679718902
glpE	galR	3.69972025144194
malF	galR	3.67270076192344
nanM	galR	3.66052473452991
malP	galR	3.65253040238299
mglA	galR	3.64594676133675
tyrR	galR	3.5554031850715
crp	galR	3.50433593364216
chbF	galR	3.43324786142935
ilvB	galR	3.41333277549355
hupA	galR	3.38714750105316
mtlD	galR	3.38536131994284
manY	galR	3.36425241321358
malG	galR	3.35152196045407
glgS	galR	3.30582611513484
acnA	galR	3.2859956156708
malK	galR	3.26071525396994
icd	galR	3.23320513238921
yhcH	galR	3.19386348375807
malS	galR	3.18220008272042
nanC	galR	3.14484592430285
galE	galR	3.13560360645986
fruR	galR	3.12151087257332
cyaR	galR	3.09669906906383
nanR	galR	3.08688448711167
mpl	galR	3.07048628389879
chbA	galR	3.06864862829276
mglC	galR	3.04054321867765
fimB	galR	2.93677537323802
iclR	galR	2.92550099517207
ppsA	galR	2.91328424263221
nanE	galR	2.88687656810504
hupB	galR	2.87947711454999
acnB	galR	2.76541267770645
mtr	galR	2.75616170077614
mglB	galR	2.7468647182488
ilvN	galR	2.65513633736454
glgC	galR	2.57745853150819
nagD	galR	2.55696063807849
chbG	galS	2.55353496688395
glgP	galR	2.50818729434224
glpE	galS	2.50244521097302
malT	galR	2.50197554761041
chbG	nirD	2.49777660148493
aceB	galR	2.49575958000814
malF	galS	2.48863237580123
malE	galR	2.48783403968641
malP	galS	2.48616319118576
crr	galR	2.48283081655711
mglA	galS	2.45164632311516
nanM	galS	2.44900296702382
glpE	nirD	2.44858959079057
malF	nirD	2.43131474474879
lamB	galR	2.42221025017478
malP	nirD	2.42114589183521
nanM	nirD	2.41574641535802
mglA	nirD	2.40974485375007
mtlR	galR	2.40869004222323
tyrR	galS	2.38162486064263
fruA	galR	2.34817809843568
tyrR	nirD	2.34742641362827
nagC	galR	2.34584613294057
crp	galS	2.33709958141968
galP	galR	2.3168516645505
crp	nirD	2.31173201592088
chbF	galS	2.30255358737312
ilvB	galS	2.29983757712732
hupA	galS	2.29595107986104
chbG	yahA	2.2944580866242
ynfK	galR	2.29146051923052
malG	galS	2.27871618168111
chbF	nirD	2.26784832548024
mtlD	galS	2.26562611200264
ilvB	nirD	2.25699675348031
dgsA	galR	2.2532858188186
manY	galS	2.25151719355364
glpE	yahA	2.24838273680353
hupA	nirD	2.24316100635009
malF	yahA	2.23581697665609
glgS	galS	2.23492364885047
mtlD	nirD	2.23347240989449
malP	yahA	2.23296568381252
malK	galS	2.22354151316358
manY	nirD	2.22197295862196
malG	nirD	2.22101759732112
acnA	galS	2.21932907673946
nanT	galR	2.21598326640274
mglA	yahA	2.20350628290458
nanM	yahA	2.20176201797109
pykF	galR	2.19646457712974
glgS	nirD	2.18819412920659
icd	galS	2.18593205680556
chbG	mglB	2.17685032745706
acnA	nirD	2.1745558272325
malS	galS	2.17121130504129
malQ	galR	2.1641960244552
malK	nirD	2.16265480062765
nanM	mglB	2.15075721016353
yhcH	galS	2.14633090816173
tyrR	yahA	2.14094809134384
icd	nirD	2.13988546972298
glpE	mglB	2.13417066371403
pgk	galR	2.13083014931899
mglA	mglB	2.12462946887205
nanC	galS	2.11575517837558
yhcH	nirD	2.11169127396941
malF	mglB	2.11140650797687
malS	nirD	2.11091970692774
crp	yahA	2.10138504474571
cyaR	galS	2.09907179823925
tyrR	mglB	2.08511886872409
malP	mglB	2.0839209533301
galE	galS	2.08011471112207
nanC	nirD	2.07890931709405
mpl	galS	2.07637790668393
crp	mglB	2.07101664489603
fbaA	galR	2.06983413163966
chbF	yahA	2.06961315037697
ilvB	yahA	2.06672374788275
galE	nirD	2.0649006473443
hupA	yahA	2.06255112692535
chbA	galS	2.05268672733792
fruR	nirD	2.0515529224471
cyaR	nirD	2.05060749002117
fruR	galS	2.04980072309555
malG	yahA	2.0468616998917
mtlD	yahA	2.03707136064796
aroP	galR	2.03556438610837
mpl	nirD	2.03243775939444
nanR	galS	2.0295459346147
nanR	nirD	2.02923760913854
chbA	nirD	2.02552164509246
manY	yahA	2.02390988710985
chbF	mglB	2.00999671105695
pck	galR	2.0079941150725
glgS	yahA	2.00796547660357
mglC	galS	2.00779774923539
fimB	galS	2.00480966196589
mglC	nirD	2.00221891475527
malK	yahA	1.9969203138538
acnA	yahA	1.99379700422248
galM	galR	1.99043081686201
mtlD	mglB	1.98684937018015
ilvB	mglB	1.98226280307159
manY	mglB	1.97765500661707
malZ	galR	1.97447257612732
hupB	galS	1.96508533469643
ppsA	galS	1.96427261251511
icd	yahA	1.96381463741973
malS	yahA	1.94987924959966
