Gene1	Gene2	EdgeWeight
iclR	pykF	0.28917447161789
iclR	pykF	0.28917447161789
acnB	pykF	0.288569851191363
acnB	pykF	0.288569851191363
aceB	ptsH	0.287622655138408
aceB	ptsH	0.287622655138408
epd	pfkA	0.269317593180763
epd	pfkA	0.269317593180763
malZ	ptsH	0.259358766672619
malZ	ptsH	0.259358766672619
nagE	edd	0.257170941703962
nagE	edd	0.257170941703962
nagE	nirD	0.250697875655099
nagE	nirD	0.250697875655099
nagE	pykF	0.250665917588517
nagE	pykF	0.250665917588517
nanM	pykF	0.250246761220468
nanM	pykF	0.250246761220468
nanR	nirD	0.248890261461508
nanR	nirD	0.248890261461508
iclR	manZ	0.246823535019093
iclR	manZ	0.246823535019093
fruR	pfkA	0.241707610540134
fruR	pfkA	0.241707610540134
fbaA	aceK	0.241459445728766
fbaA	aceK	0.241459445728766
galS	ptsH	0.24140714288239
galS	ptsH	0.24140714288239
malZ	edd	0.240218181004242
malZ	edd	0.240218181004242
galE	mglC	0.235503121702042
galE	mglC	0.235503121702042
fbaA	mtlR	0.235007982773854
fbaA	mtlR	0.235007982773854
malZ	fruK	0.233658638735911
malZ	fruK	0.233658638735911
pgk	ptsH	0.230097622723962
pgk	ptsH	0.230097622723962
nanE	pykF	0.230050097701128
nanE	pykF	0.230050097701128
fruK	malT	0.229976775892789
fruK	malT	0.229976775892789
galR	galS	0.229782650013289
galR	galS	0.229782650013289
nanR	ptsH	0.225301875061121
nanR	ptsH	0.225301875061121
nagD	ptsH	0.224514646231887
nagD	ptsH	0.224514646231887
manZ	ptsH	0.224306271171512
manZ	ptsH	0.224306271171512
fruK	malM	0.223710896100838
fruK	malM	0.223710896100838
manZ	cysG	0.223353352133736
manZ	cysG	0.223353352133736
galP	nirD	0.221418910190482
galP	nirD	0.221418910190482
fruR	aceK	0.22114735693714
fruR	aceK	0.22114735693714
pgk	cysG	0.220167170610547
pgk	cysG	0.220167170610547
pgk	eno	0.21944230801736
pgk	eno	0.21944230801736
iclR	acnA	0.218653967362722
iclR	acnA	0.218653967362722
fruK	mtlD	0.217776400940228
fruK	mtlD	0.217776400940228
aceB	acnB	0.217081906767423
aceB	acnB	0.217081906767423
malE	cysG	0.216674654256434
malE	cysG	0.216674654256434
galR	galK	0.214040915880886
galR	galK	0.214040915880886
nagE	fruK	0.213518210331574
nagE	fruK	0.213518210331574
nagE	nirC	0.21343690166873
nagE	nirC	0.21343690166873
aceB	galT	0.210958818534602
aceB	galT	0.210958818534602
galP	fruK	0.210926802644493
galP	fruK	0.210926802644493
malZ	nirD	0.210889700117783
malZ	nirD	0.210889700117783
aroF	edd	0.210062314877559
aroF	edd	0.210062314877559
iclR	ptsI	0.209475739099905
iclR	ptsI	0.209475739099905
fbaA	malZ	0.20916317123088
fbaA	malZ	0.20916317123088
fruR	nirD	0.208540401810022
fruR	nirD	0.208540401810022
fbaA	hupB	0.208128895075699
