SourceGENES,TargetGENES,Interaction,Edges
chbF,dgsA,1,activation
galT,crp,0.287772818572676,activation
mtlR,nanC,0.281244469755835,activation
galT,chbR,0.244833633589681,repression
galT,nanC,0.24094669267426,activation
chbF,manY,0.219188684637992,activation
galT,mglA,0.211902133717866,activation
mtlR,glgC,0.208726664351799,activation
mtlR,gapA,0.198654252260665,repression
ilvB,nanC,0.198045094729235,repression
galT,pck,0.18928355372999,activation
galT,nanT,0.188266784250939,activation
ilvB,glmU,0.188193215789685,repression
galT,ynfK,0.178351263013065,repression
galT,malG,0.178105681893413,repression
aceK,nanC,0.17767149338869,activation
ilvB,crp,0.176330392801837,activation
mtlR,crp,0.17089622751707,repression
ppsA,nanC,0.167437085892782,repression
chbF,mpl,0.165741836795929,repression
chbF,mglA,0.165247241271978,repression
galT,fruR,0.165037515003172,repression
galT,malT,0.164582840612847,activation
ilvB,tyrR,0.161970687108842,activation
pykF,nanC,0.159810461104642,repression
galT,chbC,0.159584469443864,repression
galT,fruA,0.15344153010047,activation
galT,ilvB,0.151070539650838,activation
aceK,gapA,0.150901827725342,activation
galT,tyrR,0.14936388676403,activation
galT,glgC,0.148410544934052,activation
pykF,crp,0.143720568612297,repression
ilvB,glgC,0.141667323361421,activation
mtlR,ilvN,0.140998176354482,activation
galT,malE,0.138406957669359,repression
aceK,glgC,0.13526352959693,repression
galT,chbA,0.135085119196136,repression
ilvB,ynfK,0.132328453497082,activation
galT,epd,0.132242994290963,activation
chbF,malQ,0.13094696292964,activation
chbF,malF,0.130659656818914,activation
mtlR,glmU,0.12922799626879,repression
ppsA,glgC,0.124794635096995,activation
ppsA,gapA,0.123838479691031,activation
galT,lamB,0.121183727547044,activation
galT,nanR,0.12082720912018,activation
pykF,glmU,0.119879501097676,repression
crr,nanC,0.119145829870339,activation
crr,glmU,0.118119712412094,activation
mtlR,ynfK,0.116841077503092,repression
galT,galM,0.114510292159314,activation
galT,nanK,0.114399816650992,activation
galT,fruK,0.11367056618361,activation
galT,mtlR,0.113135802103824,repression
aceK,ilvN,0.112103348651773,repression
pykF,glgC,0.111980058070304,repression
chbF,galR,0.111873252932082,repression
pykF,tyrR,0.109058599771485,repression
ilvB,chbR,0.107757673869801,repression
chbF,edd,0.104722748370992,activation
galT,nagD,0.10426016216468,repression
mtlR,chbB,0.104051440524725,repression
mtlR,malG,0.103687789095884,activation
chbF,nagA,0.103616929452417,repression
ilvB,gapA,0.103009024219622,repression
ilvB,malG,0.101825254164086,repression
pykF,ynfK,0.101710807637547,repression
galT,chbG,0.101398277395078,repression
crr,crp,0.099762782086988,repression
galT,glk,0.0994470336320573,repression
chbF,nirB,0.0991898352874915,repression
chbF,ilvN,0.0981301444354845,repression
mtlR,nagC,0.0980424432275013,repression
crr,tyrR,0.0968092489563672,activation
chbF,tyrP,0.0963944677969723,activation
galT,pykF,0.0960897312763434,activation
chbF,malK,0.0958554049609182,activation
galT,mtlD,0.0950596415571395,repression
chbF,aceA,0.0948468797537066,activation
galT,glmU,0.0940047078184029,activation
chbF,glmS,0.0935928032295865,repression
pykF,chbR,0.0932488408580843,repression
chbF,glgS,0.0929952658637783,repression
chbF,malS,0.0927025965970409,repression
chbF,nanE,0.0917584349785583,repression
ppsA,ilvN,0.09173091029665,repression
galT,manX,0.0915830222643312,activation
mtlR,nagB,0.0902735317881418,repression
ppsA,crp,0.0892514493182876,activation
galT,ptsH,0.089152507591786,activation
chbF,manZ,0.0884330029389166,repression
galT,yahA,0.0882135445769881,repression
galT,tyrP,0.0881535265470782,activation
galT,acnB,0.0880983370322431,activation
galT,nirC,0.0879086014952137,repression
galT,nirB,0.0871459945733194,repression
galT,galE,0.0869464213380184,repression
crr,glgC,0.0868504976647444,activation
galT,mtr,0.0862345170945382,activation
galT,pfkA,0.0854195603495889,activation
galT,galS,0.0853648631123945,activation
pykF,malG,0.085054243552341,activation
chbF,pck,0.0840540633429791,repression
chbF,yhcH,0.0839953972519429,activation
chbF,chbB,0.0836486229411743,repression
galT,chbB,0.0835603524582333,activation
mtlR,galE,0.0830165686749219,repression
mtlR,fruR,0.0822757544069363,repression
aceK,chbB,0.0820233530995724,activation
galT,ilvN,0.0819963611437935,activation
mtlR,nanM,0.0814123185733458,repression
mtlR,tyrR,0.0812176248162607,repression
galT,aroP,0.0810666830727948,repression
icd,dgsA,0.0800708034683596,activation
mtlR,malT,0.0797096120507628,activation
mtlR,lamB,0.0796045924846742,activation
yhcH,nanC,0.078807734181328,repression
chbF,nirD,0.0783457273188662,repression
aceK,nagB,0.0774426552816468,repression
crr,ynfK,0.0768604643263673,repression
chbF,mtr,0.0764543041681758,repression
ilvB,malT,0.0758910673340266,activation
mtlR,galM,0.0756856434759971,activation
mtlR,chbA,0.0753805135732669,repression
mtlR,nanR,0.0752746905453024,activation
galT,malM,0.0747427072475289,repression
chbF,galS,0.0745424721484989,repression
chbF,malZ,0.073718256596234,repression
ilvB,fruR,0.073571052344926,repression
mtlR,seqA,0.0732873385151995,repression
ilvB,lamB,0.0729822074941231,repression
ilvB,chbC,0.072879807806519,activation
pykF,gapA,0.0726204451623108,repression
chbF,yahA,0.072553921588458,activation
aceK,malQ,0.0724741669334296,activation
galT,nagE,0.0720446716974081,activation
chbF,mglB,0.0712154397597237,repression
crr,gapA,0.0704972772482925,repression
ilvB,ilvN,0.0700358816071586,activation
mtlR,malQ,0.0697697870121183,activation
chbF,mglC,0.0697119171721385,activation
galT,glgS,0.0695521146367082,repression
yhcH,glmU,0.0691870434588777,repression
chbF,mtlD,0.0690770382187018,repression
galT,nanM,0.0689616945212089,repression
mtlR,chbR,0.0689007291268628,activation
chbF,hupA,0.0684621702976701,repression
ppsA,chbB,0.0680042409166796,repression
pykF,malT,0.0678430819833079,activation
chbF,iclR,0.0676350951326004,activation
ilvB,nanT,0.0676077248952193,activation
ilvB,nagC,0.0674563587743379,activation
chbF,glpE,0.0671542207180895,repression
pykF,fruR,0.0669796076508764,repression
mtlR,fimB,0.0665566117595982,activation
chbF,fruB,0.0665148082917887,repression
aceK,crp,0.0659428611077622,repression
chbF,pgk,0.0654252686751634,repression
galT,galT,0.0653490733494943,activation
galT,malQ,0.064985466039489,repression
pykF,nanT,0.0639442981397129,repression
chbF,nagB,0.0638915570245057,activation
mtlR,pgm,0.0631577055393582,activation
galT,crr,0.0630514836012767,repression
yhcH,crp,0.0630444524747344,repression
pykF,chbC,0.0629187903666018,repression
mtlR,tyrP,0.0622507679015075,activation
ilvB,chbA,0.0619492502133782,activation
chbF,mtlA,0.0617942170865271,repression
aceK,nagC,0.0614144594847289,repression
chbF,nanC,0.0611707918270043,activation
chbF,pgm,0.0608638437309639,activation
pykF,lamB,0.0606599457285562,repression
pfkA,cyaR,0.0605127993357061,repression
pykF,ilvN,0.0604055715782722,activation
ppsA,nagB,0.0600352068698336,repression
mtlR,yahA,0.05987697227369,activation
ilvB,nanR,0.0596069822650797,activation
aceK,galE,0.0595322072741307,repression
galT,malS,0.0594881641902621,activation
chbF,galK,0.0592545591338955,activation
galT,eno,0.0590720808927028,activation
yhcH,glgC,0.0574741540600128,repression
mtlR,nagD,0.0574401638865625,repression
aceK,nanM,0.0572742181007391,repression
ilvB,galM,0.0572031519957793,activation
crr,malG,0.0569847812465158,repression
ppsA,nagC,0.0567297210533787,repression
aceK,mpl,0.0567150478074762,activation
ppsA,ynfK,0.0565990113742448,activation
pykF,chbA,0.0565483085806837,activation
galT,edd,0.0564878916029591,activation
ilvB,ilvB,0.056059003133616,activation
crr,chbR,0.0559475577631341,repression
chbF,galE,0.0558860255050223,activation
ppsA,malG,0.055867086706366,activation
yhcH,tyrR,0.0558253767981189,repression
galT,fimB,0.0557338907526419,activation
mtlR,epd,0.0557281429023221,activation
acnA,nanC,0.0555406853366897,repression
galT,cysG,0.0554812315619238,repression
galT,pgm,0.0553765970390682,activation
ilvB,fruK,0.0549677709525805,activation
aceK,tyrP,0.0548404966435003,repression
nirD,mpl,0.0541595629765893,repression
chbF,acnB,0.0538163086169007,repression
galT,seqA,0.0537453291784472,repression
chbF,acnA,0.0536191837788991,repression
mtlR,hupB,0.0536073729247288,repression
acnA,glmU,0.0535826955872595,activation
pykF,nanR,0.0535151971727391,repression
ilvB,chbB,0.0534597436801074,repression
mtlR,malM,0.0528634787015638,repression
galT,malK,0.0528000818372104,activation
mtlR,chbC,0.0527558695069897,repression
ilvB,fruA,0.052661920505573,repression
ppsA,galE,0.0525056221768517,activation
ppsA,malQ,0.0524173628819277,repression
nagE,cyaR,0.0522731733162691,repression
galT,dgsA,0.0518796980344451,repression
icd,mglA,0.0518229188227137,activation
ilvB,nagD,0.051672037998072,repression
chbF,ptsI,0.0516439370573001,activation
aceK,pgm,0.0515948178477185,activation
pykF,galM,0.0515284680545164,repression
mtlR,nanT,0.0514408788217019,activation
galT,malZ,0.051186546280908,repression
ilvB,epd,0.0511744474035299,activation
galT,ppsA,0.0507355242542792,activation
ppsA,nanM,0.0506715371859011,activation
ilvB,galE,0.0505048462628102,activation
chbF,nirC,0.0503275763961742,activation
ilvB,nanM,0.0502673301788248,activation
pykF,ilvB,0.0501168282332794,repression
seqA,cyaR,0.0493278827828815,repression
mtlR,fruK,0.0490626739197491,activation
nirD,gapA,0.0488447178163961,repression
pykF,epd,0.0487416990149045,activation
aceK,seqA,0.0486028456672904,activation
ilvB,seqA,0.0484691651097963,repression
pykF,chbB,0.0484596035103414,repression
pykF,fruA,0.0483956242552727,repression
manX,cyaR,0.0482120539644683,activation
mtlR,malZ,0.0481596770536092,repression
chbF,nanA,0.0477569065445242,activation
ilvB,chbG,0.0477340055219933,repression
yhcH,gapA,0.0475246955689912,activation
yhcH,ynfK,0.04751679928872,activation
pykF,fruK,0.0475070766467047,repression
ppsA,fruR,0.0474942117164903,repression
pykF,nagC,0.0472709566875644,activation
galT,hupB,0.0472413634705677,repression
chbF,aroP,0.0471459618050265,activation
aceK,yahA,0.0471454532070045,activation
malS,cyaR,0.0468536780088574,activation
mtlR,glgS,0.0467291998745009,activation
aceK,fimB,0.0467143260668694,repression
chbF,aroF,0.0466472543974102,activation
chbF,malE,0.0462835388174117,activation
aceK,galM,0.046125519885375,activation
galT,aceA,0.0460161232227572,activation
nirC,cyaR,0.0459973179092347,activation
galT,nanE,0.0459523933799859,activation
aceK,glgS,0.0458529416577104,activation
ppsA,galM,0.0456403632111723,repression
pykF,pck,0.0456215245523901,repression
ppsA,glmU,0.0456044047622737,activation
pykF,nagD,0.045488957022574,repression
pykF,galE,0.0453043972203702,activation
aceK,malZ,0.0448240052168095,repression
ppsA,nanR,0.0447947339128726,repression
aceK,iclR,0.0447860416054533,repression
ppsA,malT,0.044670596358649,activation
ppsA,chbA,0.0446703463681563,activation
mtlR,glk,0.0445871726193797,repression
mtlR,manX,0.0445696923401729,activation
mtlR,mtr,0.0445281995679173,activation
mtlR,pfkA,0.0444705943638379,activation
mtlR,ptsG,0.0444545469245517,repression
aceK,malG,0.0443898281036946,activation
ppsA,seqA,0.0442810686053732,repression
aceK,malK,0.0441520550053582,repression
glk,cyaR,0.0440984766502058,repression
crr,nagC,0.0440207644795836,activation
ppsA,lamB,0.0439434238949892,activation
aceK,nanR,0.0438467622081912,repression
ppsA,tyrP,0.0438152895792422,activation
acnA,crp,0.0437830392335734,repression
crr,ilvN,0.0433061647951353,activation
galT,ptsG,0.043222109778604,repression
ilvB,glk,0.0429357036698982,activation
mtr,cyaR,0.0428900777887277,activation
aceK,glmS,0.0427666846657877,activation
pykF,nanM,0.0426210111941153,repression
mtlR,iclR,0.0426206350062488,repression
crr,cyaR,0.0425449476708686,repression
aceK,chbA,0.0424963252193812,repression
chbF,gapA,0.0423350535599736,repression
acnA,tyrR,0.0423225976625367,repression
galT,nagA,0.0423001127714201,activation
ppsA,pgm,0.0420759315452159,repression
aceK,fruR,0.0419918963385571,activation
ppsA,fimB,0.0413659800620225,activation
crr,lamB,0.0413534005150587,activation
pykF,malE,0.0412955716874616,activation
ilvB,fimB,0.0411841319901192,repression
chbF,crr,0.0410922170244101,activation
icd,chbR,0.0410162870823871,activation
acnA,glgC,0.0409537037088082,repression
crr,malT,0.0405810430469006,repression
chbF,fbaA,0.0405713572253917,activation
chbF,glgC,0.0403569294275234,repression
chbF,nanM,0.0403432662726241,repression
chbF,galM,0.0403236284870432,repression
nirD,nanC,0.0402659646774045,activation
chbF,ptsG,0.0400966714899876,activation
ppsA,yahA,0.0400941031223759,repression
icd,pykF,0.0397526184516825,repression
pykF,chbG,0.0397482072548142,activation
ilvB,manX,0.0397240837854875,activation
mtlR,malK,0.0397106488044654,repression
ilvB,hupB,0.039477282090656,activation
chbF,chbA,0.0393731814676546,activation
mtlR,eno,0.0393442236210602,activation
ilvB,malM,0.0392069907059013,repression
pykF,glk,0.0391486885992528,activation
crr,fruR,0.0391468504193486,repression
chbA,cyaR,0.0390905827131357,activation
nagE,glmU,0.0390475333930262,activation
pykF,seqA,0.0388997578395295,activation
pfkA,glmU,0.0385810918230052,repression
ilvB,malE,0.0385154589877071,activation
aceK,nanE,0.0384499287813887,activation
acnB,cyaR,0.038435335022128,activation
crr,chbC,0.0383488740402718,repression
