Gene1	Gene2	EdgeWeight
dgsA	chbF	1.0
dgsA	chbF	1.0
crp	galT	0.287772818572676
crp	galT	0.287772818572676
nanC	mtlR	0.281244469755835
nanC	mtlR	0.281244469755835
chbR	galT	0.244833633589681
chbR	galT	0.244833633589681
nanC	galT	0.24094669267426
nanC	galT	0.24094669267426
manY	chbF	0.219188684637992
manY	chbF	0.219188684637992
mglA	galT	0.211902133717866
mglA	galT	0.211902133717866
glgC	mtlR	0.208726664351799
glgC	mtlR	0.208726664351799
gapA	mtlR	0.198654252260665
gapA	mtlR	0.198654252260665
nanC	ilvB	0.198045094729235
nanC	ilvB	0.198045094729235
pck	galT	0.18928355372999
pck	galT	0.18928355372999
nanT	galT	0.188266784250939
nanT	galT	0.188266784250939
glmU	ilvB	0.188193215789685
glmU	ilvB	0.188193215789685
ynfK	galT	0.178351263013065
ynfK	galT	0.178351263013065
malG	galT	0.178105681893413
malG	galT	0.178105681893413
nanC	aceK	0.17767149338869
nanC	aceK	0.17767149338869
crp	ilvB	0.176330392801837
crp	ilvB	0.176330392801837
crp	mtlR	0.17089622751707
crp	mtlR	0.17089622751707
nanC	ppsA	0.167437085892782
nanC	ppsA	0.167437085892782
mpl	chbF	0.165741836795929
mpl	chbF	0.165741836795929
mglA	chbF	0.165247241271978
mglA	chbF	0.165247241271978
fruR	galT	0.165037515003172
fruR	galT	0.165037515003172
malT	galT	0.164582840612847
malT	galT	0.164582840612847
tyrR	ilvB	0.161970687108842
tyrR	ilvB	0.161970687108842
nanC	pykF	0.159810461104642
nanC	pykF	0.159810461104642
chbC	galT	0.159584469443864
chbC	galT	0.159584469443864
fruA	galT	0.15344153010047
fruA	galT	0.15344153010047
ilvB	galT	0.151070539650838
ilvB	galT	0.151070539650838
gapA	aceK	0.150901827725342
gapA	aceK	0.150901827725342
tyrR	galT	0.14936388676403
tyrR	galT	0.14936388676403
glgC	galT	0.148410544934052
glgC	galT	0.148410544934052
crp	pykF	0.143720568612297
crp	pykF	0.143720568612297
glgC	ilvB	0.141667323361421
glgC	ilvB	0.141667323361421
ilvN	mtlR	0.140998176354482
ilvN	mtlR	0.140998176354482
malE	galT	0.138406957669359
malE	galT	0.138406957669359
glgC	aceK	0.13526352959693
glgC	aceK	0.13526352959693
chbA	galT	0.135085119196136
chbA	galT	0.135085119196136
ynfK	ilvB	0.132328453497082
ynfK	ilvB	0.132328453497082
epd	galT	0.132242994290963
epd	galT	0.132242994290963
malQ	chbF	0.13094696292964
malQ	chbF	0.13094696292964
malF	chbF	0.130659656818914
malF	chbF	0.130659656818914
glmU	mtlR	0.12922799626879
glmU	mtlR	0.12922799626879
glgC	ppsA	0.124794635096995
glgC	ppsA	0.124794635096995
gapA	ppsA	0.123838479691031
gapA	ppsA	0.123838479691031
lamB	galT	0.121183727547044
lamB	galT	0.121183727547044
nanR	galT	0.12082720912018
nanR	galT	0.12082720912018
glmU	pykF	0.119879501097676
glmU	pykF	0.119879501097676
nanC	crr	0.119145829870339
nanC	crr	0.119145829870339
glmU	crr	0.118119712412094
