isTs	is1stLast	prevCol	del.t	condName
TRUE	f	NA	NA	TS_0_0
TRUE	m	TS_0_0	50	TS_0_1
TRUE	m	TS_0_1	50	TS_0_2
TRUE	m	TS_0_2	50	TS_0_3
TRUE	m	TS_0_3	50	TS_0_4
TRUE	m	TS_0_4	50	TS_0_5
TRUE	m	TS_0_5	50	TS_0_6
TRUE	m	TS_0_6	50	TS_0_7
TRUE	m	TS_0_7	50	TS_0_8
TRUE	m	TS_0_8	50	TS_0_9
TRUE	m	TS_0_9	50	TS_0_10
TRUE	m	TS_0_10	50	TS_0_11
TRUE	m	TS_0_11	50	TS_0_12
TRUE	m	TS_0_12	50	TS_0_13
TRUE	m	TS_0_13	50	TS_0_14
TRUE	m	TS_0_14	50	TS_0_15
TRUE	m	TS_0_15	50	TS_0_16
TRUE	m	TS_0_16	50	TS_0_17
TRUE	m	TS_0_17	50	TS_0_18
TRUE	m	TS_0_18	50	TS_0_19
TRUE	l	TS_0_19	50	TS_0_20
TRUE	f	NA	NA	TS_1_0
TRUE	m	TS_1_0	50	TS_1_1
TRUE	m	TS_1_1	50	TS_1_2
TRUE	m	TS_1_2	50	TS_1_3
TRUE	m	TS_1_3	50	TS_1_4
TRUE	m	TS_1_4	50	TS_1_5
TRUE	m	TS_1_5	50	TS_1_6
TRUE	m	TS_1_6	50	TS_1_7
TRUE	m	TS_1_7	50	TS_1_8
TRUE	m	TS_1_8	50	TS_1_9
TRUE	m	TS_1_9	50	TS_1_10
TRUE	m	TS_1_10	50	TS_1_11
TRUE	m	TS_1_11	50	TS_1_12
TRUE	m	TS_1_12	50	TS_1_13
TRUE	m	TS_1_13	50	TS_1_14
TRUE	m	TS_1_14	50	TS_1_15
TRUE	m	TS_1_15	50	TS_1_16
TRUE	m	TS_1_16	50	TS_1_17
TRUE	m	TS_1_17	50	TS_1_18
TRUE	m	TS_1_18	50	TS_1_19
TRUE	l	TS_1_19	50	TS_1_20
TRUE	f	NA	NA	TS_2_0
TRUE	m	TS_2_0	50	TS_2_1
TRUE	m	TS_2_1	50	TS_2_2
TRUE	m	TS_2_2	50	TS_2_3
TRUE	m	TS_2_3	50	TS_2_4
