,10dt_mean,10dt_std,20dt_mean,20dt_std,25dt_mean,25dt_std,50dt_mean,50dt_std,100dt_mean,100dt_std
OutPredict,0.5879544309554049,0.18386237502284733,0.4986831327484067,0.12451968272087682,0.5443202027309307,0.18653637974867934,0.7543697129001397,0.26610464307720844,0.7249858191779052,0.2615452544949353
Inferelator,0.9526899400253181,0.08669045002734624,0.9368951546433966,0.12740307529953934,0.9575967390660498,0.09758465655512516,0.9746900614348813,0.055364239660064485,0.8734240228755807,0.20537763849236962
GRNBoost,0.7240418131075401,0.2308700638608098,0.6436382452094411,0.2043225613787529,0.5788334524695533,0.12667611529269962,0.5567703468016683,0.15581243212470097,0.5753156727269473,0.21483118822325728
Genie3,0.6918642204685085,0.2020289335053895,0.6445211601980796,0.2266053013851932,0.5789409989454495,0.16015152857119386,0.582814664327703,0.14756874721809024,0.6395081032411859,0.2092608353950234
GRNVBEM,0.27730241978146825,0.11366278299018173,0.3126218469413453,0.26702018685056067,0.25551674222151755,0.10489964557112878,0.2288435059958533,0.15990696912664215,0.28623378125142546,0.2240003515056426
LEAP,0.6947788374545818,0.2450781044124526,0.6021759417022698,0.23128842373656577,0.5798642376430851,0.15469215377976464,0.5407639996289971,0.15424451967100694,0.5705014353990591,0.20994830675313264
PPCOR,0.31906920639963854,0.0784896100113995,0.3573139375377518,0.1267475867895529,0.26102658808696544,0.1291331973901827,0.3234896978675981,0.15996557717094848,0.1747683635458689,0.1336820833994607
SCODE,0.24558616477068487,0.10391684437757245,0.29927346966643464,0.17740672543231334,0.25398578594524307,0.097525966719785,0.24924490946079847,0.16170082287390455,0.330058382708395,0.24840077008665712
SCRIBE,0.553079752453462,0.21889350863812687,0.5679913302212183,0.20363223492526203,0.547213963028695,0.20273132225667423,0.3202082053916444,0.14204590176109047,0.2928538980137905,0.1991662893777422
Ensemble_LR,1.1349950210971167,0.4752895670335133,1.1210082390600726,0.4308439160717052,0.9475172461199367,0.35189740560672234,1.310372839288347,0.5386364813019706,1.2444293364906485,0.45960480759664935
Ensemble_NB,1.329173063160663,0.5824633561228704,1.0915341139439705,0.2574851662114431,1.1940690505876224,0.4994727290774267,1.1405660877814983,0.4825664440670306,1.1255028227095,0.3474678828302325
Ensemble_SGD,0.7078251301283154,0.2252154878967764,0.6252540817860803,0.18903269451408086,0.5426793367653502,0.08499667963958563,0.5525884877954133,0.1525104500963642,0.5693669406061577,0.20995108909599958
Ensemble_SVM,0.47045308655471485,0.20284644252228787,0.5110479910011132,0.19054346222858304,0.4271963084425689,0.119673313222774,0.8584247808531886,0.6007419330267204,0.46621405707846086,0.24603237378789455
Ensemble_KNN,0.5762022179052289,0.22886028051834326,0.6793103281648215,0.542725276650826,0.7134186411262368,0.4737022336387769,0.5963292518270074,0.45929616605017415,0.6487973427054831,0.3059277758420067
Ensemble_RF,1.0973681306687335,0.5125804126787583,0.9675251514969083,0.42391509337626615,1.036858668265371,0.3682492632270367,1.7327316976047822,1.0998661313938187,1.0830396905903854,0.33977770627820925
Ensemble_AB,1.0702520306458294,0.43296946689582244,1.107630316763919,0.653572948959969,0.8169140789661039,0.2662311170666483,1.2961901388581867,0.697060984799603,1.0256742268840302,0.4871523357619674
Ensemble_XGB,0.6020996305303199,0.25015499566626387,0.5764231611049537,0.2345191422022541,0.7833349563662242,0.6264849094736973,1.3072385259686334,0.8612237513291817,0.6671666444670078,0.2645893179314475
best_train_score,0.877926371629,0.23338174051013139,0.8817192740852503,0.19732674137196624,0.9197869163732474,0.14232284640920131,1.0,0.0,0.8437933600291085,0.2245902209246853
best_test_score,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Ensemble_AVG,0.890563029411217,0.40580459801400737,0.8250665787433693,0.46600203134855356,0.7498847993023294,0.28672646588684825,0.6729477647349461,0.1725491399850416,0.6861936921054913,0.2913632185154126
