	HSF1	JUND	ZNF143	TFAP2A	PAX6	TEAD4	EOMES	TCF12	GATA6	GATA4	RNF2	BCOR	LEF1	SMAD3	RYBP	KLF4	FOXA1	POU5F1	SP1	REST	EGR1	HDAC2	JUN	NR2F1	NRF1	E2F6	TP63	CREB1	TCF4	FOSL1	PRDM1	SIN3A	SOX2	SOX17	OTX2	ATF3	HEY1	ZNF274	ZNF207	MAX	TRIM28	BRCA1	CHD2	BACH1	CTNNB1	TAL1	TBP	PDX1	TAF2	YY1	TP53	SNAI2	FOXA2	HNF1B	HNF4A	SUZ12	KDM5A	NUP98	MXI1	AR	RBBP5	GABPA	SP4	UBTF	NIPBL	PCGF1	SMAD2	MAFK	TAF1	HAND2	KDM5B	SMC1A	SAP30	GATA3	EP300	ZFP42	RXRA	BRD1	SMARCA4	TET1	STAT3	HDAC6	CHD7	KLF5	USF1	NR5A2	BRD2	TAF7	USF2	CTBP2	FOXH1	PHF8	NANOG	FOXP1	KDM2B	SMAD1	SMAD4	CTCF	SMC3	THAP11	ATF2	SIX5	RAD21	FOXM1	CHD1	MYC	MLLT3	GTF2F1	TFAP2C	SP2	HAND1	RFX5	PAX7	BCL11A	GATA2	KDM4A	CEBPB	SRF	DNMT3B	SIRT6	EZH2	SOX9	BRD4
ABCA1	0.004560655471633921	0.010974976702134504	0.005733992999400066	0.0054113025990963366	0.0011190579571059478	0.005633469798903298	0.008958906870885557	0.00781937333607648	0.005647648139956618	0.005943709934502871	0.00849658893830271	0.006915732880285384	0.013135522516022301	0.005387211985430435	0.012581611010945796	0.002550995061782149	0.00012197269003512597	0.028563816160833408	0.009523640407932372	0.008801517167498602	0.005545512848931347	0.008173803227673188	0.004681194026563529	0.0003948896980708197	0.004939510272604497	0.0052504928332954845	9.39895156639025e-05	0.007122894067247126	0.008867844345883386	0.0012820329651814346	0.02355599258007392	0.008342186178715435	0.005408428553110773	0.006648338872124094	0.011671402176519838	0.0030310824502227875	0.0024784408189666026	0.003781306473451834	0.0076727444825624574	0.005537597436091544	0.0334010868024716	0.015550744994058261	0.007121191653670319	0.006628523617705905	0.011579207794429594	0.0039038972064929637	0.008126662019659493	0.00019958839981923103	0.006548026247147625	0.01662050529431743	0.007629988302359051	0.005920574458304495	0.0012632207234906467	0.0004517562532696788	0.000279111890610441	0.008504084697425673	0.007922375365586739	0.009819980648833018	0.004571174313577465	0.003502338748065276	0.008497459266367196	0.006504418936496896	0.008946517909840124	0.025117530145609548	0.008187812939250045	0.004869948911737798	0.01500099046257876	0.0005151491369372877	0.006438372555149209	0.004696966881216763	0.009161111258595037	0.007224086991702336	0.003796535521770304	0.028102886286557386	0.006903486781573811	0.036558250407530545	0.004747554178398244	0.004652666266023088	0.006884364654753719	0.01134108486170546	0.008109820719795458	0.005361878380243626	0.007099873916682662	0.0038327384659327065	0.0024092149628182186	0.006351476050705748	0.009814225981142235	0.006822661129194356	0.006440549877078754	0.007519508187102987	0.024847891196013643	0.006888226657333638	0.009923773927762053	0.005745096855881789	0.007177597823635653	0.00556655065326146	0.0073305487451304965	0.007549686448046177	0.010076586749632127	0.006669875133681216	0.006511426659718414	0.0042426460554732225	0.007225704449330488	0.012448155339545406	0.008448401855573504	0.00993423256471716	0.01628798419974166	0.009297773217781316	0.0046122360862687365	0.003966752973517233	0.0192852483448507	0.006938291455748121	2.7131843664745054e-05	0.015528593866407613	0.010416882757064344	0.005986480655959119	0.00408070673619613	0.016067398975924595	0.009715236536730197	0.0021684662389713396	0.009101819367612729	0.003108555385278523	0.009009472336043288
ABI1	0.012643496347959485	0.009596740044542702	0.009470938653788888	0.008182393570338972	0.0018046729312527767	0.006038577516688652	0.00833691299143441	0.01592561790529612	0.010257556282107411	0.00935957508132819	0.015819176024462474	0.009448060251392821	0.006925716141285217	0.006949863434856528	0.00865103509486219	0.0026687926727821942	0.0003014375293142408	0.012161990555242919	0.00874711602760755	0.012271006125159726	0.007365053153622254	0.011821191422388853	0.005546625117408544	0.0007599728237354222	0.006353983850450146	0.00561502365593379	0.0013324976102374777	0.01658009891182126	0.009965144711431603	0.0010311098757649836	0.006809187556380187	0.011180337423043205	0.0025922192599738634	0.0042785933652576364	0.010905809875831484	0.0035744504019526615	0.0035637218590379295	0.0043420020507073534	0.00925254439749015	0.009630803442032692	0.01316167605042882	0.009936471514938587	0.01886137024454206	0.010493593543991698	0.010407146236917754	0.004884449644737235	0.008436346180761195	5.4928007227920275e-05	0.008170710802900901	0.01030136358547595	0.012853848232023617	0.003585886152480414	0.0014899704596628908	0.0008913516512610518	0.00033955536334376833	0.009776057470203176	0.022999459696678673	0.00937388323792694	0.0065957112804283765	0.005019908957476737	0.018213775513875513	0.009407505767906745	0.00977916645335238	0.007545525835848136	0.010675834876011526	0.005149767505171596	0.015520093125833733	0.0013626245591733313	0.013875102812081642	0.0012328756870270084	0.013484936514043724	0.011400562733033259	0.0048177740121528425	0.00695846130995165	0.011133053662206072	0.010727004159103787	0.005573764503680521	0.005567387710931667	0.01042056475514929	0.011082834174166114	0.01377946808561571	0.00724065933029764	0.01238976973401666	0.004533149798460373	0.002520443083728263	0.004915876914678327	0.008843256591062193	0.010693761023253628	0.005559979438815371	0.010314097654417834	0.005891431749112681	0.006179506776964099	0.007266731633363126	0.009357806047606712	0.008802924966615392	0.005273996539423343	0.008387661064842632	0.009817671690484312	0.011455385684922407	0.0071899870459841775	0.016943920024141076	0.005830057680360097	0.011686351475284096	0.012552685842466355	0.010689747528447945	0.01081101840014268	0.007099837269217739	0.008534840602806258	0.005915239044857722	0.0058444719308257094	0.004801283973931878	0.005733005907356346	0.0004460532943995149	0.008659546275194845	0.004107279516512507	0.008500937463911876	0.004462597374142903	0.010495420984459	0.008107165020974605	0.003353998603490187	0.011037223997896814	0.0033083094617545866	0.011042093543446917
ABLIM1	0.005933082078309233	0.01877375209002552	0.005259015753054044	0.004272882039031619	0.0015363855535664645	0.004961133966909675	0.007961062944714409	0.00874774931302484	0.007742353865800876	0.008298523350115565	0.008159827684585197	0.0068496712923591715	0.004263438149681815	0.005100202029200964	0.009231707012344763	0.0033525371928718535	0.00020222488809787444	0.027406842084312988	0.008908326488004773	0.010579293819449935	0.00612083522019733	0.008641078427826616	0.00410355346361968	0.0008393792240636662	0.005752639815377965	0.005274786481782411	0.00017283115931569798	0.010265449159803923	0.01091567658122371	0.0017351686662003601	0.02063656342322533	0.009243016988600245	0.0067814112610185585	0.010464312139857393	0.012066442825442131	0.002315946883901036	0.00280253747459286	0.004257461337622598	0.01095660977806102	0.013233222033578698	0.022512653942738648	0.01536082406186529	0.008221364898165466	0.006038565041881011	0.010540915789034743	0.004767452834438773	0.007217599004356203	1.3112434250552766e-05	0.007131305283804059	0.013659483778847393	0.008571240972687093	0.005582122075785461	0.0010747091383159044	0.0005844808756192521	0.000511488741164631	0.009905724436014125	0.009210272964493402	0.014258856824347991	0.006098781071085652	0.005822580016511209	0.009750756055597967	0.006788716962560586	0.010556560431972204	0.026541741429006945	0.008862311481207395	0.004326645514389195	0.012537227357975297	0.00036916580026265087	0.007206187232298897	0.002955169176068806	0.008438885469544478	0.0087256952747752	0.004594692477627328	0.0075676127272376855	0.008772680824130387	0.034332412956778934	0.006299803175168575	0.005551264398524496	0.009963120253664713	0.009665365833219808	0.008804850755948614	0.006345134675467787	0.008430037866278061	0.0023790950050482343	0.00330384249554856	0.005505750027976434	0.011364279470462287	0.010856837442788803	0.004733263993625254	0.009279863376282572	0.008311788962676946	0.006200640176395225	0.01305631220518308	0.00454961401621023	0.008469078456935475	0.0055655907387504484	0.007765285972438651	0.00950823237371717	0.012005416611893801	0.007697961951986915	0.007541938265793273	0.003428308739031877	0.010073683847457928	0.015767094771400057	0.007865976462664686	0.010540308080989406	0.011863618425065515	0.008409130010825404	0.004212719659622466	0.005990799184360997	0.013194301733066086	0.004403900031244807	0.0001863475030522178	0.024789723815768678	0.004267495759619051	0.006450473435549377	0.0026455644999796315	0.005947121745249605	0.015604664468637116	0.0021382281364374766	0.014761435741354051	0.0022615105174151593	0.008514295631609334
ACAT1	0.007733943528117731	0.009196793361237493	0.006541484496832157	0.004439785728911661	0.0014163796984557712	0.008536940441839433	0.007768286817055443	0.011633073199454051	0.009423069445219288	0.00780213388723926	0.01073822995554497	0.007200040213266476	0.006094372590926326	0.00727954045625322	0.015483395186665267	0.0030968573269434317	0.00025725351817056465	0.012788190344213283	0.012059896151840612	0.011036565721720949	0.006651507277531425	0.01061025630124189	0.004497597946682769	0.00041994057982141977	0.005374842058432966	0.007169285024212785	0.0004997923378868922	0.01065978828017654	0.010579172802923	0.0020544750249499905	0.005933556059078916	0.014540555243101992	0.004956601222713604	0.004442136344420328	0.007924430812570446	0.003533797823414738	0.0034977983133173338	0.005010344898298349	0.013430648223411239	0.008248395656863337	0.012748216424697301	0.009399398327310298	0.010960569774459993	0.008566607083936261	0.011736337349266856	0.00745820853933209	0.013859345107153817	8.689095052300619e-05	0.009030543386973608	0.008941405107643506	0.010624815226818088	0.0033866405392906263	0.002726812449670932	0.0005305042481928071	0.00048484398053905945	0.014215428362111236	0.014628788074369691	0.009762683673705308	0.00924794264137689	0.004302122695648766	0.01792924587806131	0.00843492887157756	0.01300119704405304	0.008173807082393195	0.010139041377155574	0.007583120146347589	0.010797359293174326	0.0017681485005798573	0.008691365177870076	0.0018499095133343612	0.013163423830235957	0.013345662244446981	0.004327535916566496	0.005953203988279709	0.01147112008260276	0.012973539443728973	0.011354407949015424	0.005707690306906169	0.012142442413918023	0.009944177168669249	0.009611113208952702	0.009262262028718271	0.012063745097820454	0.0032927256786702	0.004328866296112706	0.00621710415043404	0.011784094600376284	0.00997798291894643	0.006750285923055749	0.012419953581979186	0.010649960683028016	0.008671809399444041	0.009697602365006351	0.008000438094280124	0.008623561830778899	0.007882808863749119	0.012531840853147383	0.010564311946494858	0.012894770667041417	0.007489430318971113	0.009759750380142474	0.004708458567427145	0.01009066154298371	0.012207798697097637	0.014028913624508586	0.011405287642501732	0.010024708515315764	0.010489574131363545	0.006476986624616545	0.005904511766347344	0.004225052854967176	0.006789334860702594	0.0004345259072271032	0.008297701899696376	0.0065254057251517665	0.007265000847449679	0.0029877794446312514	0.008324685045765178	0.010073313234751495	0.0017670951449095323	0.009024065420174322	0.003959315572532169	0.010504819569835483
ACOX3	0.0038101385568932618	0.018671207271259028	0.003381973637706079	0.011919827031498163	0.0007894194555156917	0.007781822526476007	0.019068472103834732	0.004889685491173311	0.04093689178413003	0.04130705662722403	0.00552461887902393	0.004473574181954644	0.0042456738503783105	0.004376414095405126	0.0045262508942826045	0.0012992320179505224	0.00014127943767406568	0.09025214413124774	0.005408051474916668	0.0048226005301261424	0.0029234143965690684	0.006086241101530506	0.0018943270058837422	0.0002371090221195479	0.0028923588713574335	0.004434139648053183	0.00019199449042901878	0.005750995084708992	0.006874793018094701	0.0010304423506451094	0.031332877532394145	0.004940821162601586	0.031177985053541423	0.01779809800378984	0.030320229262878994	0.001982351466581533	0.001626731251765973	0.0014237397311830486	0.005776477295655592	0.006231188390390153	0.02634109552265587	0.007006958150830953	0.009864422742086668	0.003590318957193931	0.0056672617215774625	0.004836495423067586	0.004342415585618464	1.4576320445886955e-05	0.005219143953808672	0.00712568366860317	0.008004406392293401	0.006728632757464727	0.0005755294037200486	0.0006981569930551527	0.00011756543964640318	0.004314711873108819	0.005039092177020706	0.0059988445282456206	0.003415809446164917	0.0038287608927686572	0.006955093323517403	0.00443321949364174	0.0044950654151313385	0.015131628976309007	0.005665054059689324	0.0027535010523797063	0.030612617524203415	0.00028967021474911775	0.006277071660832917	0.0019915346241623703	0.006076832451798543	0.0048124922397858195	0.003157759336792735	0.010630122664925567	0.0057702572286224395	0.014740313758803112	0.00339449206788776	0.004016331639771084	0.004868528026690814	0.006318421397391064	0.005430971751730619	0.006742117802125972	0.0052326928128907935	0.0024971206534815374	0.0015370209423354532	0.005753415237053278	0.004069251807452776	0.004958366480583059	0.0030114583983646974	0.006479321898951382	0.011096589139872113	0.004529344507055987	0.06019250394950403	0.003183499398825312	0.00514840225667893	0.004233541988826016	0.005712383929028444	0.005449279976011811	0.006129457826126334	0.004270013510705825	0.005048039747164338	0.003092436852689727	0.005647300518519648	0.006101303259673555	0.005552721950166062	0.00592723974048448	0.02631577166075954	0.003996945386806539	0.0031454758169104746	0.004000383118643733	0.015521752291710178	0.002960772502463566	5.014303971244937e-05	0.005222719811669489	0.004903529585235316	0.0040472422052378314	0.0031528848569286924	0.008839726844599686	0.016335528353716045	0.0008759827609616743	0.009748868163970711	0.0013341421266665544	0.004849797912399037
ACTC1	0.004311200563621772	0.019233134594428096	0.0070025419502709576	0.0051299633016798326	0.0019391897078869492	0.005330099912361495	0.030701592931237785	0.008031427728101065	0.013346653254640193	0.010497707174317156	0.00760933868109819	0.0065170534232977815	0.005910159417648853	0.007649087446070406	0.006806013165603484	0.0030579642504843	8.001346370315429e-05	0.024981680245379074	0.008041693855694915	0.009280532675797492	0.005630896349568104	0.009373688874259425	0.0026506496220343816	0.0002577515306097437	0.0056550141252907984	0.005819838980559022	0.00014703556102785926	0.009109971882677063	0.008438255482330332	0.001505149207224377	0.020163211776914186	0.007293435518247532	0.014808867967510582	0.006386586518220352	0.010404820616680353	0.001616498745385959	0.0028190478787219206	0.003796513481420521	0.007651378209540946	0.007021706833430062	0.014334728463291271	0.011965159664950488	0.007484911163424019	0.006137813442474359	0.015531404026703959	0.0034579429520840803	0.008713468259254363	8.327371222905953e-06	0.008900017480207559	0.008866539251060929	0.011190359962629504	0.004859472385136647	0.0014006108158056123	0.0008992851100030338	0.00019143142212157008	0.008141572489207783	0.008106120623810562	0.011700557637327741	0.012258131964091843	0.0028333024614612848	0.012188021844009394	0.005232932777199672	0.009621877228637823	0.012982363190358464	0.009958740610937517	0.004462651116895301	0.01184345153627914	0.0008657707457167518	0.007378467558394917	0.002271796106086924	0.013562842987257854	0.008049649700642638	0.0038202041180872936	0.01496867220008846	0.009142779499345	0.030388660564085075	0.006803413684184902	0.008092305150660294	0.010140647659711484	0.0117563279142608	0.008237166929910179	0.0047550593871254964	0.00914150868296118	0.0034264465561787555	0.002382901450517857	0.004741906840811463	0.010233494615058764	0.00740921677411649	0.004635371230591343	0.007217423254806887	0.010832615500847844	0.009411835513376309	0.015195404761332102	0.005868690041338751	0.006118600384779541	0.007044944199603255	0.006906899047565171	0.008581012712852219	0.0133031582923891	0.006173030826031285	0.0073446952721496345	0.004112320871319933	0.007200988759357098	0.011185088311151553	0.00840944287101892	0.015084364403136246	0.016775529407541966	0.00673060654272094	0.004320488325046373	0.004166471009245892	0.01362045084261536	0.005973230700941297	9.043002058954327e-05	0.016162823015814776	0.006375437543175882	0.006815092835014633	0.0027608341303869566	0.00814985499613128	0.023945825014635807	0.002723472453287339	0.007748180291798016	0.0035284409453336324	0.008639144391307066
ACTR6	0.003938032185041325	0.02741577326794679	0.024744216531020907	0.0029398575063501976	0.0010542926756748512	0.0032838992349567783	0.005021868720274693	0.008545417756378028	0.003923929938605732	0.004613262748591419	0.007978091779141485	0.004739811362523916	0.0035156614585055428	0.003346336044760048	0.029862108944663467	0.0013902236036616037	0.00012369385175405677	0.005426248614902952	0.023821771728530332	0.02959079106779182	0.0051971643872307585	0.006515042542885296	0.0033649080981328345	0.0010270901547338304	0.015672790899414722	0.017476551033841197	0.00024298996748916928	0.03579609465613415	0.005944591936582335	0.0011238298537659993	0.004885222402339732	0.026558336211730104	0.0016883277675292044	0.0025462825393716025	0.03214103123555108	0.0020190899260141854	0.004298725988029142	0.002705926242964787	0.006766194901951231	0.020655387481427614	0.009919671142560023	0.006779910959819085	0.006372590020682171	0.006792055870478802	0.00798360350573247	0.00444477683269484	0.0077990731989214775	2.3931263957498096e-05	0.00620067730892279	0.02881464861047526	0.0059462630167034635	0.002282244563962026	0.0011202636508119725	0.0007208847271557327	0.0003986800317781016	0.006678831561911243	0.005452280781158686	0.005407215670527612	0.01508213084811063	0.002495348406111215	0.02594298099081568	0.018728140348135927	0.00597640611323664	0.00470381289160157	0.024274216349688613	0.013420498154533769	0.007769944342710562	0.00025180274826658853	0.006132794617297355	0.0010122189104917096	0.009633713943883557	0.005352012300546489	0.007818229426785213	0.003917145907655982	0.006175910725484105	0.00913049834847793	0.004839867089566751	0.0036103585561961583	0.005892017643412122	0.005392813333025835	0.008262826471490193	0.004861468825269575	0.007568636555389424	0.002365162395875189	0.0016516649451392932	0.004437384310672484	0.00663117301862276	0.03523265017755189	0.0030559082419175216	0.005961361961477894	0.0036774678593119964	0.004207565876285719	0.005637813455645182	0.004362781343857317	0.019301201543431318	0.016645185099163098	0.006502808384441702	0.024876107381215356	0.005282694503330286	0.004223814784583917	0.013376809901412812	0.003430170420013791	0.007725930277324657	0.006603953997707035	0.004524952742162499	0.006387355871561345	0.0044110451535797415	0.00555710846272859	0.004842386879000216	0.0030336641413662574	0.0039499465150131105	0.0044737091536684185	0.00011986603470290531	0.005681369214566133	0.002698470308040815	0.021593850100725474	0.002451864963196045	0.004663559836961315	0.007780043940164161	0.0031342044815461014	0.007771363980043101	0.001988821582301408	0.006462542945059301
ADAM9	0.005050191477568275	0.008927042528178651	0.009493363273601653	0.004763805141528891	0.0013232186020987404	0.00513780581544648	0.010222097205163934	0.011254179571483041	0.00957298644875292	0.007755835433227587	0.011209492602806233	0.013724578267290817	0.005704082051044848	0.007388453576042765	0.010891883094782414	0.0030891743424670396	0.00023463056715914598	0.012708514518031733	0.01116597291769013	0.01058465844166838	0.008540883265984508	0.012412505654725558	0.004266835539267603	0.0004459447840952711	0.010401606744230818	0.00602631966823066	0.00020535143277960127	0.010773651234030865	0.01018936127289655	0.0024696233422298063	0.0068665102730226775	0.015229709998107833	0.004261689328366862	0.0036394879886529805	0.009406835898809031	0.0026938530634351672	0.0032311665207411014	0.006258025118350779	0.01048014502498821	0.010730598529342794	0.013061308986537793	0.01488394856254447	0.01484690646184254	0.00938783451429846	0.016821155843694934	0.006128711596747666	0.011142165860727096	0.00012564243044439524	0.009483602886773123	0.009856424790688946	0.011353987734556195	0.00419077904135093	0.001276218816258807	0.0009581508402629331	0.000893849559178342	0.010815432026565526	0.011057173614849083	0.01110067176436799	0.012996111884178322	0.0052135509977356866	0.0119702703009667	0.007915036616926613	0.010932480532601072	0.008617193084945594	0.008477672822337495	0.004826520053744657	0.014270629561349153	0.00043421716384589766	0.013067653068408963	0.002167356292341292	0.012479570727329017	0.010486369134472295	0.004965561533744914	0.007923424351270117	0.013122384513954111	0.010693660381175755	0.005567114887258024	0.006525812216727899	0.011020463193643956	0.011912980662092064	0.010171213315997981	0.007684714663970798	0.011246718420832285	0.003670201948610951	0.003887612828068433	0.008145995987537931	0.01407813115326602	0.009568256424255635	0.006340312745112912	0.011368293473850525	0.0071980890317980255	0.007729357423800634	0.010102690169442572	0.006401892729671598	0.011146521751049248	0.006436684315568366	0.009835078395192343	0.009432440536385905	0.0130578814034848	0.008733547997879803	0.011164271332813558	0.007718236135702474	0.009462905193192253	0.010333193932921574	0.010665110688671877	0.008040738381215039	0.007933355569874153	0.01012587491181668	0.00740666092409248	0.006278001099094761	0.006606923327750823	0.005967252251602532	0.0001041506607942874	0.008988984926461038	0.004807586755479043	0.007650507713702091	0.004021420349582205	0.009395158140630508	0.009109352483790864	0.002074830302929607	0.008615098528818687	0.00500245059632794	0.010590231205897506
ADAMTS3	0.005253824108273991	0.008446235902780052	0.007770655722763275	0.004792327228549227	0.0013893634772179713	0.004966637131725727	0.012584976328613842	0.007977352021350512	0.022383497866139846	0.023867120899999	0.008378592260175509	0.007081459996001918	0.021223171129131253	0.0055979213639248725	0.00865345056725152	0.0038669528388904097	0.00017812854702733424	0.013580587269141676	0.009136371040826728	0.008598653527424805	0.005926393157615886	0.009658617229949363	0.0025862782006263988	0.0013152450058969837	0.01274189856526486	0.009601471904019726	0.0004067878695704298	0.011112465461058417	0.01969538579637467	0.0010507884208839566	0.009893667642062906	0.011331821624643131	0.008219234584126668	0.003917017298135542	0.01745035223770319	0.003045252139266916	0.0023342976788175967	0.003724765145205533	0.009256925664857609	0.007396026580616156	0.010544047842377481	0.012484205764435355	0.0075945290383261765	0.009010862716755845	0.011558228421876903	0.0045913164303829045	0.005616137204352264	0.0	0.008809108666968813	0.0111788514814858	0.009156588376600935	0.015641566119268147	0.0015500574254092613	0.00022267590906651307	0.0004958373368643775	0.007279400955690313	0.007883418142863434	0.00826730296192891	0.006375743304995449	0.0034993421555499014	0.007783007364364486	0.00642539349972796	0.00828777062753472	0.007219591214283821	0.008577698947919843	0.008797013678655458	0.011124637756973643	0.0005795180492778212	0.012613560022487546	0.0019378837939879577	0.009071106568911927	0.007490935917106945	0.005954335882785355	0.01872433144839067	0.008965732590202617	0.016564241838164215	0.004690013575947604	0.006370930913387687	0.00926502706076154	0.010566054689466009	0.007289370487321207	0.005485264452121114	0.01000922801257873	0.0031996184630918843	0.001997521854665218	0.005741083729621148	0.0205282935453296	0.0068180803368479235	0.004131490633279787	0.011291716749892123	0.0063128091307352655	0.006265131398519907	0.01512914689540117	0.005790864593201663	0.0067348144449496045	0.005704518203934165	0.0081807473524846	0.009558506307807567	0.01363418199082085	0.007116597676646686	0.008779078065173534	0.004352327738447112	0.009143791077831732	0.009719044565642097	0.009187786712582087	0.011954865711900195	0.009019341417556398	0.010561431405562281	0.005629756711769046	0.00417965775025196	0.03055327047164245	0.006247272217107861	0.0004207221274705411	0.010768604954166585	0.009661962627546738	0.007734958162106844	0.0022193726869911695	0.00785552231729988	0.011091578456318855	0.0018970426729800682	0.008329527843473053	0.003339310496283603	0.0072748104212037555
AGL	0.004154622293248081	0.025246182935204586	0.005662383606263184	0.02565273505554208	0.0008740051572106297	0.005760805034163973	0.009687416080462783	0.005878861054374567	0.031517261894905266	0.024046516895496646	0.005331126273524138	0.0056482010707166975	0.004972919480382992	0.005891397301542922	0.006219400825781184	0.0018586651114861064	0.00011620429171621501	0.07295087440845598	0.00670403310321464	0.005800205532638975	0.0044284568645725645	0.00731122793381179	0.0026676043777503094	0.0004134120954165592	0.005835598580346552	0.005849829899072415	3.4325071062648564e-05	0.006851142971112092	0.007508194577000624	0.0007143755097388093	0.025298814538533592	0.007697986668731762	0.027630421174098432	0.012972885226335525	0.023286611208731704	0.0017948359537014547	0.002175974296720092	0.0019011840050715137	0.007705913736202709	0.00561902505752292	0.013050743825675367	0.005365969195818976	0.007434513826099463	0.005465370264250625	0.008478683069622768	0.004358021257438558	0.007252971986921486	4.3288512121064803e-07	0.007022537644453683	0.007176988589770504	0.009902820185698526	0.0034969307678782177	0.001015313092849426	0.0009370332895932404	8.996798580213829e-05	0.005890885442086348	0.005379708208599159	0.006736970441231363	0.004210823093542291	0.00412383488754202	0.013166236223973999	0.005946191618566894	0.007201404619922606	0.019536617679890376	0.008020047886162722	0.0035704704416627164	0.026507564055527934	0.001716634806876696	0.006195744710893181	0.0020184143623546316	0.006962483308607383	0.006108893358036957	0.0025246908437129424	0.012363530959697033	0.007538817615919423	0.016274709494993815	0.0031214194515425367	0.004622013115185425	0.010278734641491975	0.008519235757140278	0.007284658891222832	0.004226734420599212	0.007899459310596536	0.0016490722770625024	0.0021744267302384497	0.004473589537447273	0.00742246748093863	0.006244003737223671	0.00576930600968616	0.007495919761577973	0.008434617993002233	0.004427105084000639	0.04863317318916774	0.004008874612854223	0.006213891038461054	0.005128455320080319	0.006256969941138147	0.006149783561557752	0.00815155719338067	0.005225598140905404	0.007068800851093524	0.0022011401636632	0.007141889885169115	0.006045601075438663	0.0070034184101874985	0.008852029954814213	0.02217670159965923	0.005542330429914201	0.003042142620129755	0.0035485780249625864	0.00835019883203077	0.005006597156719949	2.2403849868986104e-05	0.011524106152759919	0.005085812291367542	0.0051704345985850286	0.003244398298068311	0.012834758033319179	0.008834926172000298	0.0015688465716498321	0.006929343534108514	0.002707252784405207	0.007572612434922565
