	SIN3A	RAD21	GATA6	ATF3	SP1	MXI1	TEAD4	USF2	PAX7	KLF4	HSF1	KDM5B	SNAI2	CTBP2	KDM5A	BRD1	HEY1	SIX5	SMAD2	USF1	TP53	TET1	PHF8	GTF2F1	BCOR	SMAD3	CREB1	E2F6	SOX17	HDAC2	SOX9	GATA3	ZNF143	NANOG	POU5F1	RBBP5	REST	BRD4	NRF1	ATF2	RYBP	SIRT6	TFAP2C	BRCA1	FOXH1	TAF2	RNF2	JUND	RFX5	MAFK	THAP11	JUN	GATA4	CHD2	HAND2	KLF5	TBP	HNF4A	NUP98	BACH1	SMC3	TP63	SAP30	FOXP1	AR	FOXA2	MYC	CHD7	NR2F1	TRIM28	SOX2	TCF12	PRDM1	HAND1	NR5A2	FOXA1	LEF1	SP4	MLLT3	OTX2	DNMT3B	GATA2	BCL11A	ZNF274	SMARCA4	GABPA	TAF1	FOXM1	CTNNB1	NIPBL	FOSL1	PCGF1	TAL1	EP300	EOMES	KDM4A	YY1	SMAD4	SMC1A	TCF4	ZNF207	SRF	HNF1B	STAT3	KDM2B	PDX1	TAF7	BRD2	RXRA	CEBPB	UBTF	CHD1	SMAD1	MAX	CTCF	EGR1	SUZ12	TFAP2A	ZFP42	PAX6	HDAC6	EZH2	SP2
ABCA1	0.00823233102267657	0.00890976196263314	0.007511003899487521	0.0030336398936090013	0.008423147653982473	0.0053252300424204025	0.007356136068063324	0.006160999487417543	3.4300369817019544e-05	0.002227917633849976	0.0059208470500348035	0.007791685621415842	0.00560393021145347	0.007810915316843591	0.006346696685312109	0.005048031743846942	0.0023614343922066286	0.004960788272496485	0.01574931826877231	0.0023472854043205147	0.008367641909829774	0.011215265720462143	0.007087877084043536	0.0075469377064878345	0.007263411194499505	0.004390732027102132	0.008203312931881668	0.005051274016181089	0.004777583498790123	0.007499963435372999	0.0037961250547492395	0.026430632786867147	0.005119565983286545	0.012348029710994673	0.03373984965562566	0.008018858416249091	0.008746762234989523	0.008784146373294622	0.004345517824179327	0.0075355149166558884	0.012442967665071433	0.001826561120765274	0.0042482453514215085	0.012667835979639112	0.023239183319369763	0.00675728154490755	0.007395532333580508	0.011414244431971877	0.0068813762161716386	0.0005574379453777186	0.004708168016731225	0.0058445411094468006	0.006574609056738595	0.007437547949722682	0.0030007631224094437	0.003464505495621868	0.007816060712036088	0.00024472058565494167	0.00872161901886561	0.007015018752585545	0.009525372236781359	9.821573164695912e-05	0.004223736662899979	0.004591701552761036	0.0031389506478357522	0.0011634098027436853	0.010053477710278914	0.00768172141781975	0.0002798230862899419	0.03176701451757392	0.0053169676367480784	0.006709771288862178	0.025009149270695724	0.02020480263377143	0.006624083278451068	0.00010922813727968182	0.013691841472547301	0.009629318016014507	0.015925525252320945	0.01313957436651476	0.009206659286882399	0.00735851969956731	0.015190936046975077	0.0042153962330237485	0.008755605942310786	0.006639098142207616	0.0061007103672624605	0.010546217053423148	0.011843498245817326	0.008491471835310457	0.0019429489137253939	0.004892474883059589	0.0031597127769342976	0.005977684285015189	0.010132794724457233	0.00667097178021011	0.012586538137797766	0.00807862385974237	0.007215866503750251	0.008653964546290378	0.008333460683848075	0.018664749403436837	0.0005494753191770327	0.007090074526273019	0.00681674082311674	0.00013473286048385267	0.006954553822605216	0.010217337060881682	0.005389837025999851	0.004028270438858668	0.023339244934487247	0.007318832369109147	0.006671778457808204	0.006391945729099667	0.008780845343650964	0.005370953379231716	0.007568495327706305	0.0047913157302951	0.04115116369479138	0.0007369845324431338	0.0054982871987395866	0.0088126294347485	0.005162290709316931
ABI1	0.011382511685166385	0.012821576097919658	0.008940576518999115	0.004387268179208009	0.008330237912561139	0.0066620341791426	0.0065220413624089415	0.00553672603371852	0.00021810464491949893	0.0029462970714670537	0.013553395629724602	0.012866228394051384	0.003971109751930995	0.011695532700859846	0.021674769341217322	0.005942766638853251	0.003558607114510149	0.006226697009281148	0.016748074111277326	0.0025914655247760206	0.01267882393899036	0.0117457026453704	0.006803207260442847	0.008446590371810007	0.009031872761243266	0.006537064648732618	0.0159592019856546	0.00574511551471034	0.004102915526807944	0.010469895575631126	0.003338311808124504	0.0073089936949033525	0.009063708772154507	0.0077950513479091675	0.012940221757440815	0.01753993670238346	0.012675242611643132	0.010961636297907496	0.005739465273416028	0.01851499981535869	0.009876878621029527	0.004721504172747278	0.006833308283142513	0.008853883640662617	0.006052514327292055	0.008278314624282229	0.01379884046543121	0.01000060433508178	0.0062218855507717545	0.0013369454480255008	0.006502430100515128	0.005717823486737065	0.010322791239188313	0.01903944202985562	0.0012583157873649264	0.004145850842590628	0.0077480821900882384	0.0005706955157868252	0.010385219064653554	0.010419983053181522	0.011476113079715333	0.001281934844451156	0.004573286655780593	0.008302894824604832	0.003942772595760409	0.0016247165994857816	0.011584633484458479	0.011086256735142129	0.0011760427791967837	0.01314852264803236	0.0027360173554540966	0.01531857929747799	0.006723426786935932	0.004715131999225644	0.0055518543590982105	0.00023957797746174882	0.006939379076387448	0.008765101243542907	0.00740869205677702	0.010755186096345895	0.008633819251865873	0.004092406830146808	0.008103642359007669	0.004548398543417898	0.009652697723989634	0.009406538761894607	0.0146387913300577	0.011813301736816275	0.009336410805614067	0.009889202387390647	0.0011569793628175777	0.00409245401901411	0.004445969948987202	0.0092545142945843	0.008688128543864703	0.008986626754032135	0.010195082332329254	0.009795603141876693	0.010591972976885418	0.009758400483205264	0.011161976131117557	0.011363108944015404	0.001004034730204985	0.014416125554057236	0.008715814414883099	6.239642502956296e-06	0.010023360614846854	0.009336920598870311	0.005101979731084935	0.004351497960275493	0.007546003466865283	0.010295735346005102	0.006101482215186399	0.008178507448394256	0.009511692241065389	0.007966769210675047	0.011299349451335063	0.007211671480229048	0.010637433703827155	0.0019055036201817439	0.006922481713920168	0.010900069105023976	0.005551889601243923
ABLIM1	0.009188258944306634	0.010536845187298142	0.00876471854905644	0.002418144214565063	0.009052739884471667	0.005605891297351419	0.004463086620680919	0.004529915551689085	0.00015018250519916335	0.0031154307253347504	0.004705161500256755	0.009973914314909377	0.005306815540360691	0.009406678723984712	0.009429882714264832	0.005503453769657674	0.0026919254786620397	0.003922083076839869	0.013272499181706443	0.002796812179489893	0.009755998330466044	0.010155953939398764	0.0063336625335239415	0.007924190074164396	0.006483304546055135	0.005621957550683687	0.008467880640077995	0.0053863099696413435	0.007978933701507639	0.009794988710320947	0.0023759692446921137	0.009199565894229227	0.005018699538801437	0.014792959269301586	0.029481026514926567	0.008595817070443199	0.010629427419104144	0.008865177284855702	0.006183468993055235	0.008424302724640368	0.00970731407422551	0.0018935554967816036	0.003751665755004533	0.015665051406261735	0.008465742898926652	0.007197680119185008	0.00783435115131648	0.015965292335900997	0.006076013193376146	0.00046420940260354034	0.008637331631542922	0.004261474989940583	0.00798820179179882	0.007205519609519326	0.003131432820552264	0.002928404542880088	0.007913018706961055	0.00048466103678307767	0.015641802470782527	0.00705067581562223	0.012235630894938659	0.00011611720255428567	0.004237636392946986	0.005722558411165234	0.00542741854571882	0.0015539011523183256	0.009333295400922422	0.00883011360262156	0.0012920664096858889	0.02189284210742513	0.005276445657450826	0.007854850153691929	0.022312478155045053	0.01708443189760656	0.005135259342768249	0.0001306584406531511	0.005215721862268616	0.010295710362555624	0.01145027707557361	0.010866717736841044	0.013442334930945302	0.004208303007188541	0.02344475798278436	0.004168760667052137	0.008354242789348576	0.005934456016218564	0.006756583360361509	0.013196529881055059	0.0108806535017361	0.008032898368271878	0.001554132334735658	0.004598464744188606	0.005248719354988837	0.007307043203323367	0.010283560727090142	0.006033877063648495	0.010932272911301924	0.008401226272996259	0.009140853378071205	0.011713393832306268	0.011534549199638177	0.0066691467673527195	0.00045975613115757836	0.009626730061674563	0.008769108601533425	1.3872408175224072e-05	0.01035809434670551	0.010395139857815606	0.006089968183367785	0.0028840041913024673	0.021115970616435272	0.00856895416158674	0.005242881408803535	0.013933975854706236	0.009443479884046223	0.005741641013954698	0.010620311185629205	0.0037510962180469995	0.03767476307612053	0.0015400891747668244	0.005803692058474686	0.014990979172601952	0.006307168133799262
ACAT1	0.014865169125270805	0.011407401779754446	0.009146200619277442	0.003225000317254178	0.011502050750632946	0.010739262958157645	0.009153876113947348	0.007146487076855293	0.00022729618569063118	0.0037794255211152893	0.007223407046714413	0.011875429564256372	0.0038501483325599985	0.011014418670757488	0.013149235048834623	0.005972593943503544	0.0046538190103125425	0.004602291554721618	0.01038931112971045	0.0040691669097998135	0.010927255549411636	0.009780755072865912	0.009675279463380159	0.010256765723395709	0.00817219539452016	0.007925754328500912	0.009888040498380827	0.00636379207797131	0.004174792835224723	0.009357261014702275	0.0039122803154304575	0.005990395563750755	0.0060837393983904885	0.009042272310171667	0.014588291614863982	0.018335819461256272	0.009458031347406267	0.011030213991799123	0.005515719224450727	0.009646639782867825	0.013706256018936193	0.002092438153113581	0.005847326816442973	0.009521117420084739	0.010140167982929537	0.008217793518588099	0.011088640181963559	0.010144381895088607	0.006945012722335111	0.0016642001135649097	0.007343157240035779	0.005154162653841114	0.007377551676724873	0.01198924569087547	0.0017798770193429097	0.0034266103934630695	0.01375924531845913	0.000603555340520923	0.008858018440400553	0.00899758440241609	0.01130921246801093	0.0007942974770014364	0.004737247159163666	0.008358751136744688	0.004019698744839217	0.002820273372648584	0.011492258502895458	0.012053926816100442	0.0003688569493186325	0.013224625100526025	0.004318722402933411	0.012532319542517087	0.0064556315884181596	0.004220730583484328	0.006475895524587085	0.00019435061144584457	0.00555600136994383	0.014033577595451341	0.009370774002137264	0.008433102344134726	0.009287205245946034	0.005949196233120444	0.008836998315311336	0.005978805163884754	0.010757164759321751	0.007040210681252589	0.010341749066415632	0.012424308070206913	0.011299229381354645	0.010102259163161747	0.0013225874360795985	0.006854472932076912	0.007269081698320533	0.010455007531321862	0.0076404213370474	0.0071463325207807024	0.009743846416647656	0.013716064402045805	0.013929263781350815	0.01127937902288829	0.015976730611361064	0.008340318817263008	0.0005825372256049637	0.010171677486372219	0.007605869217620086	0.00011070142478729473	0.010882173648868088	0.010878452646608812	0.009651155911874296	0.0037917825310146715	0.008049054574092548	0.014637908933740425	0.006754171900226493	0.0082803199308795	0.011001899131694706	0.006032477215505125	0.015068322371882494	0.004773670675957919	0.012824076456644117	0.0017999765303082383	0.00826644900823485	0.00919005943114238	0.006412748240483707
ACOX3	0.005682626851004789	0.006336453552756457	0.04815924722192773	0.0019230936248267553	0.005630045327333058	0.0032163388435615513	0.008147125716334436	0.0026570978028544858	5.789448315827683e-05	0.0016720545978948624	0.003515080420049863	0.006131498247564987	0.006485474219551198	0.0067154672528189924	0.0073245690364729865	0.004000281002623155	0.001493250082162206	0.002565861016753195	0.038993966866535314	0.001699685790530623	0.0086783904801267	0.006854584890420199	0.005151492343619605	0.0041894407403296596	0.003437720121605374	0.004491325980597929	0.005440474018876614	0.004105942592231385	0.013215596858034678	0.006643625075314886	0.0013519980957770036	0.012861722809635896	0.0031941785648275187	0.06169551191217837	0.08564130194911226	0.007560791730423639	0.005224746763727897	0.005926500964307448	0.002671114473661346	0.0053148882876146416	0.004070459739462347	0.0008407126022274534	0.0025300769374969182	0.006606691182261418	0.009481073853580376	0.004551459266864346	0.005486773894084937	0.014331979878862132	0.003548971183205043	0.00032435243570493456	0.003849139760469268	0.0017263865271735773	0.03512690285703797	0.010607094382743935	0.0017895185674341014	0.0021759187052373045	0.003791232952151855	6.0794978553604474e-05	0.005252892920309346	0.0035675683458245015	0.00624779388632435	0.00017004483659079753	0.0032045557007806436	0.00321568178258221	0.004004641038858966	0.0007336535544670886	0.004412771188261983	0.005104135619549874	0.0004283920554929787	0.028839747550274318	0.027003974555429286	0.005307302211380908	0.03666786588064188	0.0164128133517169	0.004656730895905459	9.650421797805875e-05	0.0038188775901095793	0.004765792151455972	0.02048810751102149	0.031592157171335074	0.01980577612151098	0.0038589937810810573	0.005468641668166145	0.0019204056283253328	0.005181234122626629	0.0037100181614402655	0.00566754241835941	0.0053299936486610995	0.005737210130631747	0.005885525448414449	0.0009516163112858266	0.002719787350188035	0.004684545899252106	0.005308901271463091	0.02101308805872291	0.004184078742875205	0.007346550404032378	0.005526688204552336	0.004437311765981213	0.008573941068151552	0.005641044466390766	0.007610642946394836	0.000784799593823596	0.005426261555302492	0.005519029049371108	1.4227845094120888e-05	0.005061300048544645	0.004499849511350603	0.0033987262456737057	0.0030488343215759155	0.015769613715311954	0.005209021188463311	0.004475531513442867	0.006372829118417627	0.005429826243641109	0.002874900709066833	0.004944964007497833	0.008969747964977962	0.014547856898158818	0.0009508780643375233	0.0068536606427280645	0.008460863030490597	0.00387373678424081
ACTC1	0.00823437446027084	0.00802214955773615	0.01090845994914866	0.002139705082237933	0.007808890829736572	0.011766818010690072	0.006146814966910831	0.005077688128736012	0.00014493235551633636	0.0032455206510233346	0.0034655141375956743	0.013803115225060818	0.005587160845272154	0.007560886423334551	0.008220674720641337	0.006555600511579165	0.0026785271190746624	0.0036874357257376945	0.011481667690027246	0.0025231298953926067	0.01403536853677386	0.010519694125232099	0.0085248331768234	0.00809321399489903	0.0060196083225512766	0.007089737646821653	0.00773575198470148	0.005871491928564259	0.006252274159369462	0.009734201527899056	0.0037061250665174315	0.01490422514912684	0.007302403602918627	0.015188744435564104	0.02271238615077682	0.011334554907460234	0.007881107274245232	0.009988750750419642	0.005681758545454213	0.0068175788588072765	0.006154603250752516	0.002972676057202278	0.004609229468705231	0.011084577655893072	0.009542778918067927	0.00853380024835169	0.007949210322059534	0.01936242582691532	0.005773156663549945	0.0007282792893536302	0.0058116912175105746	0.0027550892746287165	0.009028218542383643	0.008149018323480067	0.002400317288546408	0.0028915636868953754	0.008931690742858043	0.00025125000201735976	0.01223374006125825	0.006524787506908287	0.013331073192591806	0.00017930241650790485	0.003848348166874184	0.00529296650529509	0.003018036565721364	0.0014767807374114232	0.015568516591135756	0.009560978899751332	0.0002667961140953633	0.014429169066049512	0.012844178511854754	0.007473614768285154	0.022305901481238597	0.013000842093894856	0.0058157996369889685	3.366514627494011e-05	0.0060480098982654594	0.009423104606176525	0.015587087969957059	0.011652996803313257	0.024946970852067093	0.006573705194030731	0.016129958223439312	0.004471224979826809	0.010004658778421056	0.005775948860887063	0.008947117513040129	0.01125843421738226	0.015020580908392703	0.01066290199745647	0.002042815150814644	0.005816200555423936	0.004253328058394193	0.0099117693852189	0.031739125409323714	0.007507630860156636	0.008489531692206917	0.006652133505462309	0.007471816506686652	0.009680352493882145	0.008127223693779002	0.006393463025003027	0.001584238045878435	0.007884453057885406	0.007233844284609348	1.2760732686747417e-05	0.007026447024271371	0.009204712453638008	0.006404281413720183	0.0028576290556347585	0.012046315622230505	0.008010732563338849	0.006742009411706046	0.006303864392614115	0.007545793470334703	0.005462586468055895	0.007788020644144623	0.004474840723259879	0.03255847723496922	0.0019065684262206217	0.004722904109288697	0.008767074269288817	0.004287404785258616
ACTR6	0.025483646443482624	0.027798022149394336	0.003622778157025307	0.001677578046657028	0.0052389600693960705	0.0032986652089157325	0.010004972020230181	0.0034865125374704546	0.00025108316136312434	0.002196306056973542	0.003202709707792761	0.009519839661598223	0.0028790160837808185	0.006460853781255323	0.006818396156362324	0.003965952758153842	0.00437299683917398	0.0032425622083485164	0.009023127756190047	0.0019032179428136499	0.006586129559632718	0.006609739669978104	0.005335230842391739	0.005042458715061986	0.005037911561369901	0.0031961162911009243	0.00845435828210312	0.004510764327378105	0.0032152174476865773	0.005640280037758068	0.002050394053879787	0.0039038677182953872	0.005578965575526286	0.005202569433184156	0.0058464006906570375	0.027596960866565688	0.027253798056667514	0.005426328535842598	0.013847150720408933	0.053397928758145495	0.025300328601034962	0.0035843516852022946	0.004400341964314518	0.0054088877511261815	0.00417000871612456	0.005881039226523336	0.007692475785585381	0.0059078999266736045	0.0051096223139896505	0.0003504322618337066	0.003748906350064976	0.0037764193774939346	0.004507732305276538	0.005657789524313795	0.0011433110040515062	0.001626525049215365	0.024526591008209076	0.000617596432926911	0.005265298123894545	0.004844952785616931	0.005348251975697477	0.000395537876246577	0.00804167963016527	0.01565192858584707	0.002429194722352757	0.0017715924250828457	0.006033746479528801	0.007234694130662323	0.0010082505326194657	0.01062632941127821	0.002214410810074356	0.0063451628865718365	0.005532352225858629	0.0027940740299243335	0.003663246252693296	0.00012469773781562663	0.003695150287418066	0.004884121022442529	0.0037590872857648787	0.007545387860428403	0.0065387894043823554	0.0035996803711939125	0.0063362924342862306	0.00278801690300422	0.005419202294127911	0.0186549182507226	0.026383537022831968	0.00640891348473778	0.006745239782783434	0.022914920757547756	0.0011579970879628055	0.0042061697846317095	0.003210624463223422	0.029845076455490782	0.021054025573879108	0.021961223392528824	0.027837519012015408	0.0060228759427062295	0.006835992668823147	0.006860233830084798	0.008043529261716417	0.0049807753097337185	0.0004800466681216952	0.007674644872752721	0.018923372330927394	1.5867290467402432e-05	0.03215179713333273	0.007070175375037575	0.0048369422219425254	0.002934744594554584	0.0042993561089893695	0.006491325942917544	0.01543915994689598	0.01997583500314566	0.02346581611726176	0.005989265934667696	0.006270361994401844	0.009483242797828306	0.00873083597621883	0.0010252602771180053	0.00471379746673288	0.007718172204272328	0.003705252002042267
ADAM9	0.01359311347838397	0.009939158410300377	0.010008871169329072	0.002460521460136651	0.010761762601376164	0.01191648129372603	0.005544219787986914	0.007240320894941369	0.00011849814376015401	0.0033982748168877763	0.005853126615232185	0.011684121185164008	0.003338807808662569	0.011057694134146366	0.009752334182932325	0.0059367827403762835	0.003158745924604232	0.007670125827303231	0.015705336347132323	0.004117016650149215	0.011777187610206533	0.011430022677636825	0.008061158448746676	0.009551100385592629	0.012003695525694314	0.006208094141300159	0.010490757810956689	0.006719152441012303	0.004027919936795344	0.012491204521769796	0.004518539010953386	0.007536369501950046	0.009609813217026418	0.00964678873865019	0.013112392123867911	0.011988191008186856	0.01018644333050795	0.011873710255383255	0.010801151354976354	0.011014669036810934	0.012264370014193735	0.00193715674996765	0.00597051060281249	0.012785126902398873	0.006586279748046112	0.009802233424249818	0.011217614655792008	0.009365570590515761	0.006351941556300417	0.0003102959804434475	0.008627845918548654	0.004277318092457951	0.007729115639881306	0.015059169066675492	0.002148379663358606	0.003544110968526895	0.011745210539460493	0.0005414399397517875	0.01098104771888638	0.009725573698368182	0.011942216641490347	0.0001769820468030572	0.004802277237911671	0.006597900706072252	0.005131875524591654	0.0011943013272453908	0.009157919203545263	0.010641318356480453	0.00026289336919626714	0.012183178676208108	0.00346093313311562	0.01012786739422235	0.0072027857751417595	0.0063697035717187695	0.008336014843241049	0.00027170132577262427	0.00556520087610135	0.011884962233363274	0.008141902232583594	0.009009393881840133	0.009632507710070591	0.004963723628332405	0.00960626823697312	0.005897750798173558	0.01177014420948295	0.008256213109093044	0.013590661222086135	0.011062194132846185	0.016114355606613978	0.010654008764330498	0.0037771733142901195	0.00492243932991797	0.006136002221314163	0.01279482712496759	0.010326812434611558	0.007515822706657812	0.008802358538339723	0.010251547813926301	0.009970352465429011	0.011020240523018004	0.010127549725095863	0.010496387984554607	0.0007492470010972622	0.009630774432946536	0.01114210820751455	8.041693747031263e-05	0.011247477834933454	0.014010235912298316	0.0062842439548458666	0.004519787595169017	0.008015213771637053	0.012111362616868728	0.007303541323784533	0.010011354061390023	0.01118510810695919	0.00776200437235993	0.009739430883047882	0.004952278141401119	0.011015469038874178	0.000982877548903818	0.006107534528974262	0.009573457789137322	0.006151419962424448
ADAMTS3	0.009548184957569119	0.00980204369656689	0.017657238791988026	0.003184192632120123	0.008260929838095867	0.007035112333074113	0.004505473185542094	0.004961039061492265	0.00013440253598630533	0.005618562875066771	0.0045640462999423015	0.008639896033127231	0.016206098179229467	0.010332129424478914	0.007801902975367057	0.006701979228937457	0.0022105964631643367	0.004205214583695512	0.011050269654280178	0.0021530474949547607	0.01048568931181779	0.009970508870313598	0.0059270437112545	0.00923411038956514	0.007753542412665135	0.006455289685727229	0.010422004519086701	0.009187450204708375	0.0037948957862448444	0.01049800611302914	0.0027037093539933024	0.017920789047617104	0.007378698183819097	0.014418340853367333	0.012356872529969294	0.008164360316506749	0.00879422058960762	0.007798543493615984	0.011128720361792641	0.010601604798923126	0.008880974059632047	0.0022990450449142095	0.004462474053834603	0.013858077841440539	0.006096841689671492	0.009611388923207188	0.008548762710203184	0.010746945694118708	0.006555434759794098	0.0006132964871663803	0.007613256915763211	0.002470764738777203	0.01985938846229514	0.007332538657526969	0.0015634525870325791	0.0035324928044241075	0.005639856872300875	0.0008047567512266149	0.00844079795554206	0.006806761000789896	0.010921508533979954	0.0002879778209688224	0.004475062417848031	0.005815484507876874	0.0029473086574078704	0.0017878960377420336	0.009669974544322498	0.009298111458918993	0.0012449433934951467	0.010177169210786262	0.009321354909646319	0.008178731899958321	0.009859900742302537	0.03964916357327672	0.005240969803755075	0.00012727937771601282	0.019773541447031428	0.007624598419099431	0.008422359252763476	0.016967482086587677	0.012457164292943985	0.00906421281639735	0.010851499996391593	0.0037512325383605907	0.00870396083995797	0.0059904358518367996	0.012895940096797842	0.00926496370307707	0.010508942306387208	0.010416442242713075	0.0008994899798620013	0.007808756246591832	0.004587692609664707	0.010055771044995622	0.015498075719319769	0.008410968081507899	0.011067994168895184	0.009085650442287986	0.007724491357306532	0.020918767700588765	0.009682530052268773	0.00809630248273189	0.00021066699179352963	0.00794526785231208	0.006674953625546844	6.57678877430617e-08	0.007450577144488985	0.02044604390772396	0.0046398320210468995	0.003019348185779836	0.008672457967696185	0.008646489139645483	0.005961425771205395	0.007308794644954022	0.010145417227255975	0.005698442411552416	0.008538261349650963	0.003829622491108925	0.016575888730465088	0.0016113850876974649	0.005561123798446741	0.00817430831139678	0.004053456118012278
AGL	0.005896603142124908	0.007034745154301917	0.03823668089276267	0.0016606364169957318	0.006597884748026195	0.005252316818776594	0.006340657157261529	0.006450641458696994	1.893045491231651e-05	0.0024165164429704985	0.0035943628863444373	0.007550927199645858	0.003184435890379554	0.006942368732284352	0.006240723010830615	0.005184969314941634	0.0021707257817263088	0.0024592831750231917	0.02954809356508627	0.001967244973091142	0.009724354256982143	0.00941676151951752	0.003611318162622263	0.005811972951219049	0.00554194042767646	0.005240468837259472	0.006603594912490595	0.005927299369492833	0.009627811747670226	0.00649081784298779	0.002397280332884921	0.013393526586001379	0.004257788072528064	0.0510666556619737	0.07205979431209031	0.011509514929482155	0.006841960628137185	0.006889932714338738	0.006365781186343545	0.007390817491395695	0.005935053566974729	0.0011696435923254334	0.002538850320947911	0.005671777505375836	0.009001176484853093	0.006507898225024317	0.00588110207918052	0.025772962022191225	0.00489333806089557	0.0017473675797545483	0.005315683067460665	0.0027328856212901946	0.020118030119097522	0.008981462632915735	0.0015972605994293172	0.0020910786454225103	0.007171810165583563	8.282165925367193e-05	0.007242936873729968	0.005629652117759632	0.0076766937385557244	0.00011343037394610741	0.0029179950587335	0.0032124441228488457	0.004402400836121879	0.001064494213715738	0.008439956264115225	0.008217921357791185	0.00020651238960645398	0.015376101252677174	0.02664400064602254	0.004754843092427436	0.029008838697182807	0.006062806693582506	0.00390652238204125	0.00024542442594351944	0.005738947685070838	0.006788708727582505	0.017209996408349134	0.024231243372411723	0.009007874415018638	0.004713587384101402	0.01072590643993179	0.0021321724833435096	0.00979060908338952	0.005412935383458843	0.005990937025871448	0.006499156376205765	0.008567340440248783	0.007376812106315407	0.0007045152107761389	0.004210849296294011	0.004005630820556211	0.006717797049592323	0.012546066563720457	0.005104962384418572	0.007517279617045587	0.005934497037849651	0.006644725370898784	0.007209293152869111	0.00930760452185661	0.01282122074543791	0.0008199775528019741	0.00797421002242923	0.0061820932330372055	3.6869312703716925e-07	0.006631635196419533	0.007440808447292107	0.0038630326540263094	0.003577988079986047	0.01979698368131962	0.00679145988220444	0.004900381689711444	0.0057102809993582635	0.006508275994944441	0.0049350153556014555	0.005545315413956658	0.01973853525418153	0.01615364468561967	0.0010554870016931373	0.0037459597668506608	0.006069213422446891	0.004397348226323022
