	NR2F1	TFAP2A	CHD2	RBBP5	TCF4	BCOR	RXRA	FOSL1	MYC	GTF2F1	NUP98	ATF3	KDM4A	SIN3A	MXI1	CEBPB	KLF5	KDM5B	RYBP	EOMES	LEF1	SNAI2	HSF1	TAF7	EGR1	SP1	TEAD4	TP63	NANOG	FOXH1	SMC3	HAND2	EP300	CTNNB1	SUZ12	PRDM1	SOX9	PAX6	FOXM1	HAND1	JUN	CHD1	SMARCA4	CHD7	MLLT3	ZNF274	HNF1B	BRD2	JUND	GATA6	SMAD3	TET1	TRIM28	BRD1	GATA3	KLF4	TAF1	PHF8	ZFP42	PCGF1	CTBP2	KDM5A	CREB1	HNF4A	SRF	FOXA1	FOXA2	AR	KDM2B	SIX5	HDAC2	MAFK	SP4	PAX7	NR5A2	BACH1	TP53	USF2	SMAD1	CTCF	E2F6	SP2	ZNF143	BRD4	GATA2	HEY1	SIRT6	SMAD2	USF1	DNMT3B	RAD21	TCF12	TBP	FOXP1	POU5F1	SMC1A	NRF1	THAP11	RFX5	REST	EZH2	MAX	STAT3	TAL1	PDX1	NIPBL	ZNF207	SOX2	SAP30	SOX17	UBTF	TFAP2C	BCL11A	TAF2	GATA4	HDAC6	OTX2	BRCA1	SMAD4	GABPA	RNF2	YY1	ATF2
ABCA1	0.00022493884853148777	0.006184167193559325	0.006129232170574651	0.008423768075280723	0.009011693367754212	0.007324166615408836	0.005269859899114779	0.0014373311022697912	0.00954624543509218	0.007428931647739451	0.009057260881267636	0.0031103695067333714	0.006006155661457861	0.008089401591942783	0.004615966647076934	0.003723816798864741	0.004627886976276584	0.00855710069000043	0.011701576427544689	0.010321495382570897	0.015483893860732616	0.005800026802728629	0.005448326814368112	0.006584218531393874	0.006025402500094251	0.00921312925130168	0.007888993359655493	0.00016197800320719765	0.012537117227095374	0.020947031540450207	0.011285850222580536	0.0036971689530996017	0.0066660680329147974	0.012239918439501613	0.008079502116650785	0.02292321058547762	0.0030599075348504002	0.0008654534950130039	0.011544066911583155	0.020284362528614666	0.004914269211359934	0.007682271593232555	0.007473545522143314	0.0070816052510138654	0.014772114440427492	0.004142833102843955	0.0003483719354786826	0.010481127943126828	0.011714396435721884	0.007461577218657727	0.004844451712124324	0.009543427715615085	0.029615008437387676	0.00536233561126407	0.02541387612326461	0.0025143763868926226	0.005998396901127597	0.00669626889262442	0.0443185152453552	0.005007936287784503	0.007201027542433042	0.007202553464591574	0.0076185970090408076	0.0005888465217880755	0.017591160568270325	7.10494793764527e-05	0.001640103841939513	0.0035712623304181967	0.007555302668545017	0.004605483358402644	0.006471432169015784	0.0006903781356611114	0.009517507960750045	6.907468793120267e-05	0.0061278600767866774	0.007209140082429174	0.007986680989269709	0.005353457386726142	0.006765393238044833	0.00830621200849381	0.005642289003199728	0.004812960022075916	0.005647020315858742	0.008628571275543371	0.008625144321532866	0.0020213661891338086	0.0016294566320046373	0.013937196335294916	0.001986927774045303	0.010711131029731917	0.00856492267215926	0.007165975718780578	0.007353859119158081	0.005634049427031958	0.033788311165877404	0.007470342128985091	0.004358497162172862	0.004992035131090457	0.007462977292844616	0.007990968342899517	0.008634088322084428	0.00643362663400219	0.008180413897551333	0.00393517816762433	0.0002133301296620754	0.007782930698502174	0.008669251012694995	0.004444379511763019	0.0038290593899581414	0.005929464240581006	0.022970722297593383	0.00399596872263256	0.015385932488318684	0.007095344474954618	0.006570982955428912	0.006381425479227396	0.010728329982638762	0.013228612172059898	0.007522468577808183	0.006268089908006929	0.008160389097809308	0.014897579632603271	0.007262210029337941
ABI1	0.0009133342626437652	0.009050627757066367	0.017650929774878803	0.0185420895225829	0.011444696609478692	0.010225520888524645	0.005731460887127258	0.0012820558668199305	0.011417825303643872	0.008269961777775246	0.010894579059009923	0.003047796133570776	0.009087545660526379	0.011362445149007298	0.006475699880620435	0.004136793687324672	0.004653906458981677	0.013107175575173314	0.00909857515912626	0.008702013521030767	0.007280050300002817	0.003762012800566871	0.013725573766900825	0.01085671826793406	0.0070032634520424165	0.008687612081468465	0.006313048721306407	0.0013866587659495922	0.008717182542745236	0.006395946184160695	0.011735656551529989	0.0017067534440482195	0.008786574588132288	0.008692212808633996	0.009893036565983048	0.007498038312084173	0.0035001837181996205	0.002183051969806829	0.01140458844982496	0.004945882530715159	0.005133619637130542	0.010612748453076496	0.009949576606122425	0.01198228812962022	0.006919668803211526	0.0038338072057549286	0.0010984288204703156	0.008177056977942954	0.009531986439221788	0.010255912300505076	0.006610538712836904	0.012475232429430364	0.014867901912791753	0.006220745053426216	0.007365566256205723	0.0029195976868883837	0.012549337782182248	0.005650886903631918	0.010393796111341566	0.004509914481587135	0.011036123926678017	0.021450702799725115	0.015718488566563518	0.00047927268762236664	0.009824666077623506	6.479373428306382e-05	0.001425948829925617	0.004596738913872435	0.007950587249890733	0.005704021815557866	0.011324058699093704	0.001910836329326284	0.010870688046930524	0.0001360567354055843	0.005452537127687199	0.011589650146898403	0.013503061637617012	0.00516911435984679	0.0061902835260457395	0.010731920595044218	0.00636074790666447	0.005567761105447123	0.009746581137741	0.011374140746162761	0.004084915819362283	0.0037943218989175947	0.0038329938798683295	0.01749900342809186	0.0027920771769480005	0.008737148926601612	0.010876320016703564	0.012952770432747243	0.008545135717018565	0.009464518922561343	0.012936355933871227	0.010347709653236541	0.0055504488045069866	0.006761431095569074	0.006026894076156257	0.012357848781463752	0.010173095754679114	0.008695893273206086	0.01379453078801399	0.00533741593834546	5.2625121227837195e-06	0.010632529121132247	0.011281727760006495	0.0031583653946689093	0.0046153853589334945	0.0051284431453670785	0.006271589206514249	0.005131632282685179	0.008010174910164971	0.008978370289478899	0.009145879428596444	0.006775296765863731	0.010268327725979718	0.009067619919366774	0.008909762708300545	0.00909571050754295	0.01526252573123434	0.010230640967884836	0.014663453784307228
ABLIM1	0.0008719565416746797	0.004510403731606226	0.007222118207253216	0.00855037685820552	0.012172029288955463	0.0067623907517799205	0.006775915143265149	0.0014890284902623783	0.010498925105906652	0.008342947590723042	0.01459664758307684	0.0029978540543583658	0.006764078734359878	0.00774875438135604	0.00603356160836933	0.002922917814289073	0.0026222717496466146	0.009426145854419582	0.009000176436265262	0.010220767264894536	0.005604027533431331	0.006597693850012721	0.0053097663845842365	0.009574656119315999	0.005599615759256901	0.008421113024028863	0.005350805981283906	0.00033258678955424236	0.014336823586571103	0.0077249911607159836	0.01276667032841461	0.003844067879244297	0.007652544411142461	0.011933020018340495	0.01012123743766441	0.018675172437504543	0.002760651626870683	0.0020413207313699205	0.013226371074014705	0.014869897310930268	0.0041548615753354105	0.008540588865034221	0.00968883906043979	0.009002159003409855	0.01077721693811673	0.004923740464919199	0.0004981731445625161	0.011628853747748365	0.018072504000097005	0.007049878924813745	0.005400632417216662	0.009778797609743832	0.02035698194198182	0.004962671469227333	0.007138763302750712	0.002444300596485793	0.006799874056902623	0.0061957820569478505	0.039402100222582184	0.005150935522038256	0.009711628202888073	0.009481525629183422	0.00828332409184083	0.00046324801009288067	0.005770530435684362	0.00010503710349445246	0.0012093160854327756	0.004427213786436452	0.009081005155326762	0.004063927430980305	0.008384423958849795	0.0002362611416121769	0.008942975815191037	0.00015178303019153846	0.004965989731385764	0.007155699679412393	0.00836099377485973	0.003951808913500993	0.005648834680998832	0.008838178015476431	0.005977928067800646	0.007331474388793978	0.005127389310339889	0.008946775760245216	0.0034737510881595805	0.0020269822930846873	0.0020390629648606245	0.014293010922618062	0.0024380133274740866	0.014213287323538389	0.010711909066367981	0.008607293225237183	0.008052413320936362	0.0049215752794825	0.02993574264330445	0.008861918880614284	0.006715987286724994	0.008360189742194804	0.005198131168061224	0.011768548034208383	0.014328110469045053	0.011778925519348268	0.00839827372078651	0.004944790758811987	1.6614058150257257e-05	0.007883955836367602	0.010619742875757548	0.006724884049144097	0.0042030214033831	0.00981109112863623	0.02529036818097068	0.003662813231742191	0.02203128527584032	0.0068173271221280305	0.00829588935025114	0.006626462425998751	0.012919910362881912	0.015025958286837674	0.007612078005993412	0.006046536502228311	0.00727797621327888	0.014956927223143368	0.00825201367711517
ACAT1	0.0005577697531581834	0.004313075894441981	0.012988201232668408	0.019000308986454554	0.009751209607626982	0.008776411031535453	0.009472864565211346	0.0015329538582505694	0.011088325233936647	0.009734867988510957	0.010013875418144044	0.003227004863890157	0.007276069333425758	0.015274584554715849	0.00967722129808173	0.0033156505124268543	0.003530351978855293	0.012470485355557132	0.01415601337332701	0.008124766809415216	0.0068569541022691916	0.0031032154008854805	0.008107103884855024	0.010008296569253823	0.006493521068683136	0.010912355383923105	0.009663720363552857	0.0005198639308535721	0.00889590914466664	0.01094276552548211	0.01119309119659565	0.0019769280039038375	0.011203901504667936	0.011917232786987812	0.013680177758121612	0.0070106842360820555	0.0038086605584062502	0.0018127686143505097	0.012401362140609056	0.004922527375401076	0.004052800872939345	0.014096260094921273	0.012063551382220646	0.012205788460875151	0.009270911881042884	0.00505973030333485	0.0006244350769815342	0.012078392632915056	0.009422251193861324	0.009673448327625931	0.00769486359490366	0.009565140541781477	0.013806287649846458	0.0068003599944611755	0.0066674907607674715	0.0026228933662199986	0.010061977003761845	0.009055906007663208	0.012607308632087888	0.006473958644680423	0.011647671258781517	0.012413105938251165	0.00960950259428512	0.0006405197206783555	0.00798434679487662	0.00021409486279421142	0.0019876138131992827	0.0039084343769474365	0.0070125621117133425	0.0046887292178203034	0.010749806094544083	0.0015010465926044532	0.014114189403911325	0.00038861097545767693	0.0057838398171207095	0.008953125746882179	0.00988858179689857	0.0078093795516608056	0.007279546239575329	0.010199195518292186	0.005800606333449139	0.005766587444618697	0.0069308903479583526	0.010259071312128339	0.004722849254968855	0.003565037077331466	0.0018249881246480647	0.010127777864180287	0.004094646010507644	0.009351947111508016	0.01067461748727967	0.01267716812650997	0.015278723594054595	0.007937588899282944	0.015087540244347344	0.01376573413851631	0.005404280909758333	0.007528455031943045	0.006603279226526072	0.010537544033281967	0.008911277863613157	0.008435244983166175	0.009987668317754972	0.007089451184099192	1.0005279528731113e-05	0.009738558074450041	0.015050567593331288	0.0053261144018282285	0.004109036273241815	0.004130887064346634	0.007154563465442116	0.0058114789234356545	0.008427876984501956	0.01111696350565	0.008517060585632617	0.009165695030285012	0.008285556112615056	0.009503153077850376	0.013292926862509036	0.007004388422753283	0.011821021997002183	0.008941656971557826	0.009838804404234411
ACOX3	0.00045138158643695037	0.011115437107241952	0.00923409161150544	0.007292564244979034	0.009029382214561846	0.0035938129770387264	0.0034775217708785506	0.0009714780727261138	0.004618194544627822	0.004468663726051746	0.00504820841142247	0.001834760380187226	0.0036524284788133853	0.005336675630400626	0.0034782394926835664	0.0034929522027006012	0.002638922895898205	0.0063268506973009385	0.003783363343712904	0.013987261816939286	0.003129184323920126	0.005774954441790438	0.003957479780794621	0.004563536307356668	0.002587425801506426	0.005163765043928123	0.009413491036766704	0.0001671374470703749	0.060738388789018126	0.008474289770690957	0.006437128124779573	0.0011824575507399814	0.005272625961541597	0.005782354965087063	0.005217680104151846	0.03222068533920448	0.0016519722815097064	0.0006518152403235132	0.005665421827086897	0.01559222408119418	0.0017110518419513837	0.005624414675883151	0.004898644172780872	0.004752864899026003	0.027760470327116087	0.0015441470587486139	0.0007658985492054361	0.005395568283802774	0.016253848698505324	0.04471382323669083	0.004626579664283789	0.0065179946475059525	0.02771209040945804	0.003487173227306404	0.011939707713362939	0.0015705829397574223	0.00649631789689762	0.005120289221636143	0.01581949533083093	0.002328280673717991	0.006936148146077348	0.0054210972286296705	0.005146012874321315	0.00020157151693992817	0.007258883133759652	0.00035036596650407013	0.0007530963953965902	0.0030505934149222744	0.005001008047251469	0.0030684639191777175	0.006587243981109266	0.0002810038957205698	0.0042524411056656004	7.691150589749315e-05	0.0038706303143901657	0.003381390054916248	0.008932433616990093	0.0026394693694808753	0.003959493331673928	0.004873943805214119	0.003750499639121677	0.003614447714037292	0.003183429684436097	0.004742234017058175	0.003884863261441265	0.001454000702193661	0.0007242360215871009	0.025460945885833364	0.0015573574415453293	0.01660492499188259	0.005666132209715588	0.004190623667749175	0.004450382414545027	0.003832216587216997	0.09546344425478195	0.004359020667639456	0.0032054529257413327	0.004296422908754168	0.003671987054703217	0.0052127515907029855	0.008400688194575751	0.006617974215833573	0.005657040618342472	0.005643012427197531	2.415580875542622e-05	0.005045276461533961	0.007055273687138097	0.0273810056939292	0.0029985756657351665	0.016765421171382685	0.016602263897301326	0.003275667826832854	0.0054973247264751834	0.004567703036707545	0.045307349104763084	0.006582278381191212	0.03655216016014803	0.005835614120739295	0.005245569357494512	0.004080978907044668	0.004508579287076787	0.00854019428881818	0.005932864803222233
ACTC1	0.00036866509808142277	0.004244630166670278	0.008149551151876967	0.012899135430338908	0.008976548769110174	0.005957510810574981	0.006585857252937339	0.0011999643222069174	0.017706201260644348	0.00708349138441532	0.011101979026679778	0.002100119629136575	0.007818230700163808	0.0077715010244039495	0.011336603612093099	0.0029098553182522894	0.003272910229264558	0.01303054601392202	0.006917949200139389	0.031241371328986422	0.005577962856498953	0.005305257932686023	0.004147184657201261	0.008244945256962387	0.00514044658096633	0.008088773734718746	0.0072844420143414095	0.00014116876862798377	0.015106620681600368	0.011435971250031646	0.011699023724493865	0.004185504022564577	0.008319913006207626	0.014652890156939642	0.008732000428573024	0.018083098822968435	0.0024580630763057867	0.0015443229649551532	0.011814440494184605	0.011377333664976882	0.002745306402955306	0.007588977942158347	0.0102577924107222	0.008210907311970593	0.014004241487321227	0.004207354747174815	0.0015381583530660132	0.00994607877898173	0.01929852289040164	0.012490721964760452	0.006663251970890651	0.01102454556933438	0.015487576578264835	0.006947618303368594	0.015315111634171938	0.003180151328114773	0.007090992784162527	0.00919686004786939	0.033309390413988275	0.006066212848849305	0.006713491544876412	0.009979970855994188	0.00796131440169518	0.00037568549356494554	0.0073710114819000305	7.225720013232591e-05	0.0013196203114204102	0.0032344178579632424	0.006862928231020403	0.00417621837377366	0.010186192533313194	0.0007282106752038442	0.00962856659238782	4.3725623269635466e-05	0.005306573719767538	0.006639094271752432	0.011123301181538797	0.004975165027969796	0.006117266346736247	0.00733136315643869	0.0061737247604776	0.004303806718181287	0.008568776886843007	0.010255611566821612	0.00710950915679193	0.0027290375288325517	0.002825112453432944	0.010707215532069223	0.003097025951700231	0.022006423494266212	0.0076559838015619825	0.008561776679751068	0.007302086616621172	0.004743444685362664	0.025367042707823206	0.008819609197369066	0.005347424951449562	0.005506038740653168	0.0057590929731797325	0.008419840001890045	0.0077284199201719354	0.006953763876934164	0.00721958312490116	0.004565000767226126	1.181771402133144e-05	0.012307100258449433	0.008107901879194752	0.014210170273670981	0.004109274079889154	0.0061090874101612045	0.01248143026971472	0.004965972867492638	0.018020027755187115	0.007895394981634205	0.009261872347628094	0.005278407390275875	0.010786919722398728	0.009815365388229651	0.007364807755670494	0.005220215325077093	0.0077980476112654885	0.00852060556048048	0.007282094840297923
ACTR6	0.0007786008680645345	0.008412942616076655	0.006416864456817589	0.025904942941562946	0.006512616949951976	0.02134383690844924	0.003765210621886361	0.0012945346141527959	0.006239029589364453	0.004876815853967552	0.005721751290255219	0.0017927546462838378	0.022055739695306834	0.024541379028393488	0.003691802582007195	0.0028529580855351155	0.0026234467051232868	0.008207279616738691	0.02577868582553003	0.022345606113429305	0.00417890419294918	0.001862244330567565	0.0036345976176739747	0.007868378684715304	0.005280046193724792	0.02329484816577244	0.0029101665732590106	0.00037303449455033266	0.006403964030316313	0.0036326989909673	0.00513708400738981	0.0015371440435196328	0.029980396432916948	0.007285171833851211	0.006609400863783505	0.006526604642159185	0.002266331292752267	0.0010668185015077244	0.006381762934388858	0.003176843556625798	0.004967002010459158	0.006029929774746912	0.006738426745636717	0.0076251288537073905	0.0038758271281547764	0.002682618057221382	0.0004373117589100079	0.00725997182288863	0.025151380096178042	0.004311570916296704	0.003736114481158834	0.005816111156101505	0.009406975428714565	0.0039528577597641905	0.004016934947981185	0.002269634348455564	0.024838841431393054	0.004852413085326709	0.0070553562474600815	0.004558169562530154	0.005175822562479972	0.005910648700662378	0.03298366607001983	0.0003541957370020689	0.0043825068146494854	7.044048678528952e-05	0.0016393931208477453	0.002215109102072204	0.01989676618493454	0.002525165980516084	0.006269995124761258	0.00041305713909407414	0.004935393446071001	0.00010332515651613789	0.004100486625170881	0.005011362917204692	0.005804014866239899	0.0033073994596436703	0.0045021998470514	0.0052658178741291405	0.015274555035360685	0.0035470626788258477	0.006542697072191341	0.005748094135017199	0.0032112436699121023	0.004175882660737721	0.0035341418813660754	0.0089560910852372	0.001588711092139516	0.007623282698574901	0.028495402826026528	0.006420302233624989	0.005780599617975937	0.0041771446662059765	0.00524578161823095	0.006392556464048225	0.003929790769494466	0.004829072693353247	0.004973536766186544	0.025953778528058028	0.005859252528863567	0.020432130728174777	0.008641400848142	0.003187260650977546	4.473720173919608e-05	0.006671219208434805	0.008262759135703669	0.0018309495599992535	0.007613265927043348	0.0020871817793505503	0.005110085880910284	0.013020513124565099	0.006179759033815446	0.006007632516620569	0.0039161034945644916	0.004700770380229885	0.029220496954158688	0.006653498547379109	0.00677980317877874	0.017602988282086476	0.009710816777624564	0.026879622177244832	0.05417544066979992
ADAM9	0.00025931870716990626	0.004493006710110196	0.015112991219306973	0.013813317489248992	0.01095595690899554	0.013669428625012579	0.005992351540916715	0.0032715188786382183	0.008356815581876257	0.01076575415317144	0.011500180023681172	0.003128155124157495	0.007266317096862825	0.015577706180981197	0.012250964419925835	0.0035593847706317104	0.003912588767281546	0.010974554905191914	0.011826234925311447	0.009375064251663878	0.004774439284910414	0.0035704380249995966	0.006472811862134466	0.009990918282867054	0.007634900328674207	0.010734921944431939	0.004640466849041118	0.00017746265890282315	0.008588780623577808	0.007265840133063405	0.012020759723915562	0.0017986522182054927	0.012386164415412662	0.016880936106599017	0.010074473176921438	0.006712447406838304	0.00464615492859704	0.0014250155377520902	0.010188528226291363	0.005387557028351385	0.004593529140543299	0.011308534509286218	0.011202360889020458	0.010434353285326884	0.007357926055023918	0.00589977710110378	0.0010013935283132316	0.01373085259601523	0.009508455090175758	0.009112570446275274	0.006456201806129565	0.010769257749577344	0.01329528315977813	0.0064472151496343015	0.008612422028982018	0.0036640908178108868	0.013980161697795179	0.009832678080659725	0.01108213092459668	0.005932859736188994	0.010494854947232088	0.009346445611816351	0.010462182457313176	0.0008342507694825377	0.010455374913591935	0.00014735846919236212	0.0009703967317056208	0.005777837462389205	0.010039491510379564	0.007707375771665138	0.012414303093491643	0.0004712706744387443	0.012541305595312587	0.00023658989051035664	0.008895052145144071	0.009249556109889217	0.012153821371141063	0.006663167271006803	0.008034318721810176	0.009808261024998781	0.006549512890275872	0.005250476489210547	0.00955181485167671	0.01008268425075152	0.0039053790053383652	0.003582316826624219	0.001723995248611716	0.01443282320160386	0.0030553617997061684	0.009909320097839859	0.010039057006281637	0.011146271958882212	0.011632685514660205	0.006430139481556408	0.013291872113228714	0.010866066515052852	0.010409533953334963	0.009252412045055315	0.006031410953110864	0.011123488117244406	0.00961791962778054	0.009613314876637668	0.00983224981881692	0.005611669164276505	3.0352789898644628e-05	0.010019665471852063	0.011084906319832277	0.0037519526802397276	0.004806041144525789	0.003722687903690716	0.00758660371982341	0.0060890570993849735	0.009423341802167107	0.01046283140070904	0.00867785451117362	0.006268215667854902	0.008805059953641337	0.013585192167281185	0.010268427504889965	0.008029958210502458	0.010997899147722966	0.009415138391463658	0.011674490929416819
ADAMTS3	0.0015633149306810467	0.004275259162955219	0.006710405374982363	0.007921105540101026	0.021300576752458354	0.007605079503557443	0.004522719802835118	0.00112661364503218	0.009982395862888861	0.01060194391021477	0.007556281831301809	0.0030824867837559006	0.007757017554303459	0.011211769950671408	0.005962381082283131	0.0028754514866990806	0.003355380867432979	0.0088359016171655	0.008730640408396932	0.016247054363568682	0.02147685304365221	0.010448192899053254	0.005048205574214246	0.006881940244619119	0.0061267411053913525	0.006974824672548702	0.003741656742345786	0.0005855202057865385	0.014125040356334894	0.0055339415361582685	0.013476751535925632	0.0016836457454188877	0.00975532225940305	0.010563643122318729	0.007376132092111689	0.010290096441144002	0.00347523182268915	0.00154269409294988	0.010458022394489133	0.03948638803724233	0.003166154795703697	0.007754033718998342	0.009256587571997293	0.009694099519785233	0.008468336025902768	0.0037812471268805566	0.000328237113353672	0.019014990248245735	0.009005782706753432	0.016663836927844507	0.005834544140161115	0.008489980765701774	0.009666512101516795	0.005994770335412997	0.01878455414569259	0.0038748403605497646	0.014656401454453523	0.006889925253972805	0.019639679190821772	0.009074477891672494	0.011680443109242147	0.007158779578478407	0.0114070673153284	0.0006605763954334092	0.007422163195113369	0.00016177919014080482	0.00198695135464313	0.003180133003221605	0.0073789425690922875	0.003555751398305686	0.010402369942034532	0.0007839491893527912	0.008685917012636922	0.00022555173021304812	0.004970969164172313	0.007044437942531193	0.011245104872686328	0.0041296412436396665	0.005908238193413607	0.00836942424932797	0.00854508545397593	0.004690290710874348	0.006743034641385367	0.007789438144674359	0.009332313324895286	0.0029032352030197686	0.0021589716792122585	0.010795103557581837	0.0022896916323827876	0.011682477084180638	0.008782135320365836	0.008237126596401047	0.006557473159707289	0.005019601863675744	0.01176146555121182	0.007977904969643857	0.012011171444518014	0.007268968690554412	0.004960711557923602	0.009106343254422632	0.00862069201601651	0.007133550460979997	0.007609785458077081	0.004308545142706986	2.026420734208003e-05	0.008787657355089008	0.010327338573181527	0.008029790390504365	0.005779010606760498	0.004361270259780175	0.008316586206058435	0.004986370158026517	0.011368060946175014	0.009545977135145968	0.023302477333651487	0.005774678320791489	0.020666475218400586	0.012118947539851977	0.007569554844244421	0.007179987939954593	0.009325169131842928	0.010868990036459929	0.00871447047884081
AGL	0.00034973489563623367	0.026749550572655743	0.008503079313806412	0.012270463267751833	0.007581945877991208	0.005460387665588358	0.003370890308161552	0.0008568893293019384	0.00917479795955129	0.005528463065587852	0.006812925568873791	0.001710478223291471	0.004523226640647772	0.006893740342310487	0.004185855760522209	0.002831682196998932	0.0017303395621495938	0.006667741209007894	0.006204935021338446	0.011809005306116008	0.005993306831673306	0.0032173419707841448	0.003590936018383546	0.006619631010496471	0.003949477350049015	0.006805842625224561	0.007781580137954169	3.616520674207457e-05	0.04519520493911547	0.008633932206465115	0.006891948224183388	0.0021753123831707495	0.007565812340536391	0.009970918817722661	0.0061614135611162855	0.02607150551160847	0.002632109722224365	0.0009623239545725756	0.006765894669800226	0.009325573158108662	0.0022839823445865966	0.006313333033063726	0.008995740146872806	0.00932990547089779	0.016425633195883124	0.0025181820242968266	0.000862471037960707	0.007267153416426907	0.024812527650847578	0.03536706249962543	0.004744180280267305	0.008543860597314731	0.013257823072179492	0.005777307999521713	0.013007881007663629	0.0019208601106926971	0.006080393402905521	0.004828922553439086	0.015398945851648218	0.003667513482859637	0.007246840525670269	0.005329399551654658	0.0066743911509967	4.233524152139264e-05	0.011186622211279532	0.0001765553780913339	0.0012228084551561605	0.0038158752635639006	0.005802402015768795	0.0021597947925128687	0.005922204764666856	0.0016957110247873396	0.006267559727967995	3.006654776277057e-05	0.004368402130446732	0.005656401098291814	0.009796584071824863	0.006488868861203046	0.004895265732908671	0.005882912989910327	0.0065928832380793	0.004465285757115393	0.004628912826513827	0.007168440143698226	0.0052700003185463225	0.00193626569773402	0.001901687600335148	0.026335097237810964	0.0021040971807108006	0.00812698250360034	0.007663750175647921	0.005977755190125308	0.006280198652130724	0.004401646424574617	0.07669995756096665	0.006001912226228267	0.005686080475968286	0.005108806103563714	0.005483519934352312	0.006169994722908576	0.005218554206343006	0.005547213588815242	0.008135226194988387	0.005146862151019625	3.987322455428408e-05	0.007280707022296487	0.008425815762062713	0.028395408133242622	0.0025328342217422178	0.012786029131335608	0.019550098885677224	0.002676580108904718	0.011638553818751857	0.0063980577009157625	0.02523370034760981	0.004177137861082055	0.0220705508096322	0.0052702309349591196	0.005608571378856411	0.005531451475186731	0.005906143973082261	0.00751433222055216	0.007285749435618692
