	CTBP2	GABPA	NRF1	HDAC6	SMAD4	KDM2B	GTF2F1	OTX2	TAF1	ZNF274	BRD4	JUND	PDX1	RAD21	FOXH1	BRCA1	TCF12	MXI1	RYBP	SIX5	EP300	KLF5	NUP98	PAX7	YY1	ZFP42	FOXM1	HAND1	SOX9	TET1	KDM5A	CEBPB	SP2	TAF7	BCL11A	ZNF207	GATA6	CTCF	MLLT3	TEAD4	SMAD1	HNF1B	CHD1	EGR1	SNAI2	TFAP2A	SOX17	TAL1	THAP11	BCOR	LEF1	EZH2	USF2	TAF2	RFX5	NIPBL	FOXP1	REST	GATA2	NR2F1	TBP	PAX6	POU5F1	PRDM1	SIN3A	DNMT3B	FOXA1	JUN	TCF4	KLF4	PHF8	SAP30	USF1	SIRT6	MYC	PCGF1	E2F6	SUZ12	MAX	GATA3	SMC1A	ATF3	EOMES	AR	HAND2	KDM4A	HNF4A	FOSL1	NANOG	RXRA	SMC3	KDM5B	FOXA2	CREB1	TP53	CTNNB1	HSF1	BRD1	UBTF	HDAC2	SRF	SOX2	SMARCA4	MAFK	ZNF143	CHD2	GATA4	BRD2	ATF2	HEY1	RNF2	SP1	SP4	TRIM28	NR5A2	RBBP5	CHD7	SMAD2	BACH1	STAT3	TFAP2C	SMAD3	TP63
ABCA1	0.0073079990696767565	0.006083313224609623	0.005435226032167852	0.006093051049336504	0.007148603361817626	0.0064999888065481945	0.008359211139748066	0.011057462688561266	0.006437604694266615	0.0036259077162221565	0.008035278298449088	0.011502780730874592	0.0003260765093488148	0.00843959681964475	0.01892457198133279	0.014849711084850616	0.007251659354199871	0.004221830551372393	0.011713919764943034	0.005547907867635809	0.007615222726246093	0.0034014519817187885	0.008676804316282566	0.0001302107489868664	0.014327026722536945	0.04186410204139045	0.010594848637012712	0.02152194106780135	0.003365524054321335	0.010367027209286058	0.007461681556062094	0.003799530881742899	0.005035622279125534	0.007375642150876149	0.014197278027960654	0.008029715478957495	0.006248804725193957	0.007993737486166826	0.014618134628661496	0.006858239379242533	0.007828005487323979	0.00047101075508447125	0.007842071077824572	0.005605733806128596	0.0055736462434184	0.004404455858382614	0.0055176139982217095	0.0032001655717388655	0.005649823047744371	0.006766232866429016	0.012232143500298982	0.010000744113867638	0.005490426426224054	0.006706125422019936	0.007160616626024972	0.008056737984136938	0.005338892497780044	0.007742299401815016	0.008380535519016878	0.00023782953551281007	0.006227806430818938	0.0005381392085424106	0.03259837537173937	0.028046086913018	0.00889700884569426	0.009034070432390257	6.8140195138289e-05	0.006651467364317001	0.009958022068217684	0.002354339859806175	0.006955024524823529	0.004117199690429716	0.002382652899245853	0.0019358991749363114	0.008971140621168834	0.005088069137059198	0.005013536612687029	0.007300048959467656	0.00585356371649213	0.026516620081700675	0.007389333055613747	0.0022904994395733305	0.010860405591867734	0.0037695973149142	0.004453033465673716	0.006673618351668142	0.00025308138176037754	0.0013128500888342116	0.012054028734131602	0.004623564053599672	0.011396375056871745	0.008262820428127522	0.0013730888537287552	0.007860527943015306	0.00881161090867603	0.010963172901858212	0.005641698989562943	0.006014229860389902	0.024268820248203826	0.007127495843274411	0.019966113841395065	0.0045297565347013	0.007391337099874938	0.0004010565752072985	0.00537399345409585	0.0068641784026441015	0.007327552961576788	0.00943316304883789	0.00826178771905903	0.002347907775492241	0.008096098413849792	0.008103978078333214	0.009581914523303535	0.030528712945492874	0.007223947530332327	0.008520486609064811	0.007641200880679568	0.013144188602254473	0.006396560068101244	0.008713237840427417	0.004774170821492721	0.004796658997160571	0.00012557607341124767
ABI1	0.011297409055902803	0.008799879165168412	0.006153498222226254	0.00742360445996041	0.008646393975234534	0.009205639180884892	0.007827708733201762	0.009586310189769473	0.015113844926871641	0.0045426371779712016	0.012720817561813202	0.010967130280288255	4.1166868780845e-05	0.012877936095466962	0.005459761686264496	0.008829223837317577	0.017000603476711507	0.005497568062622667	0.009507064156724717	0.005489999440440679	0.01021735589830541	0.004474775190612601	0.010608220398297967	0.0003281661720172053	0.010336745326592177	0.009487489593163274	0.00986494400972752	0.005107226823876381	0.003559727869645906	0.011465953647527585	0.01960640369561733	0.004177800092622156	0.0052693722990398125	0.01120336243602347	0.008413801769035608	0.010863268024437898	0.010438168372144223	0.009269147085561893	0.008000561153044438	0.006000687685187075	0.006112738320895694	0.001019022023754963	0.00936533394713667	0.00779831484225118	0.004198792698491934	0.008102960496492936	0.004727966629651602	0.00402918293507382	0.00604034145197123	0.010642137421148277	0.006574838665268156	0.010452155325853339	0.005413965282910941	0.008903516212183014	0.006517376155422618	0.009528445792128732	0.008518263410259977	0.012128699371041435	0.003771751451759489	0.0010071348581636376	0.007868997643952009	0.0016821807774723475	0.012008628842560109	0.006031032859521863	0.012612223899663452	0.009868722918662831	0.00011279187682839415	0.005668468024813157	0.009562281502783328	0.0032051333543077704	0.005046812603897404	0.003877804951281961	0.002063768628360428	0.0034422279693467274	0.011956860147935806	0.004895089078098307	0.006173055119298662	0.009681377060203932	0.009090943369620515	0.007441236306142006	0.011984672954241186	0.004020060462005286	0.00756178945354156	0.004972345593316829	0.001724198358031501	0.008522567231028474	0.0005102156131991469	0.0010128175857469085	0.00773770601526386	0.00559188462494358	0.01146601623606218	0.01327690363771706	0.001143256822461951	0.01804887204596203	0.011789206402738934	0.008600440505996324	0.012751914087297077	0.0051797280307558854	0.008190254664856768	0.012191119454060408	0.009337996592306396	0.003050246449715588	0.00954662277154321	0.0017899374336293327	0.008196566083912216	0.018740031233262323	0.00877063414852608	0.008555444667850584	0.016650902909696064	0.0032246649552362	0.01520050165760755	0.0088416596162794	0.009608670299691181	0.013745641115435385	0.00538040844798489	0.02026229854362902	0.012754337154042675	0.016923106021076887	0.009575989278349335	0.01593488319894304	0.006356708408433834	0.007181653893981132	0.0012711770169275564
ABLIM1	0.0104522681657158	0.005711812813407527	0.005549130610245812	0.005531010290359661	0.008978342942832602	0.00939717193584494	0.007794825670433092	0.011307861004971375	0.007408428017234321	0.0045839113880248	0.007892607448758087	0.018262931021049204	1.1674042845659916e-05	0.011136212259889445	0.008296874990878843	0.013026804893041541	0.008038611002176618	0.006636380219372068	0.009226939676760809	0.0034796163738302207	0.008432250325602795	0.002923047060854518	0.0138190957122503	0.0003067830032878443	0.012896194432641908	0.03641499444456945	0.01426369758772731	0.015422422382926518	0.002627784297469958	0.009526633006737492	0.008664198984091187	0.0030042311545165432	0.006291866098897607	0.009836298271598673	0.020950373626053235	0.01071580649565086	0.007619479538798677	0.008658842588191148	0.010788648454814689	0.005281144391584563	0.0052982786580512585	0.0004698791605765018	0.008833332637602363	0.005638817739477018	0.005819840870921483	0.003877388716505215	0.006836523021917707	0.004897800529756828	0.007182197671123985	0.006864504162446094	0.004986478348982304	0.014472672808173605	0.004168642309672825	0.006508827101873888	0.005277258067462247	0.008065721155639962	0.005494356475725805	0.011580059126935653	0.0038691490654618322	0.0013158835298584094	0.0073917928467569114	0.0017696702697515998	0.027748062755954688	0.024349968933255355	0.009093564849544654	0.01444641426724016	0.00025882577874947063	0.004494432126262929	0.013133794703307491	0.002938400664894664	0.005761299286964424	0.005072543642839117	0.0026373061723942897	0.001885335269511059	0.008892492706727251	0.005358954883676011	0.004787259740866972	0.009979132148295733	0.011397739726933028	0.007533284820909982	0.008281977246836537	0.003233326524459889	0.009806051200033939	0.004801246484261748	0.003588766328223136	0.006202463716941907	0.0004525013147575392	0.0016889402072600014	0.01500860353446948	0.006636675720287738	0.013083832108031695	0.009660903766013326	0.0010614060009373346	0.00828727489026855	0.008652566291483284	0.010315267328815355	0.005624060004242429	0.005959221949184145	0.027436379402663285	0.007588577342261263	0.006445817207141577	0.006191821579182679	0.008532664618293906	0.0003411379419906477	0.005907534162560774	0.00756263469840926	0.008281452917937766	0.011480420412925789	0.007799613066414071	0.0028435105272770103	0.007712067710997018	0.009916098159566815	0.009896860592091081	0.022640187368488027	0.005149316086512093	0.01031273258441187	0.008801753992972384	0.014124519372615668	0.006594771892503032	0.01047649188845747	0.004530087253444237	0.005342913658443632	0.00019045756699203207
ACAT1	0.011636223218160898	0.006741467784455683	0.005292612859618294	0.008258177872588193	0.012717361473907677	0.0086243055139563	0.009136517335265874	0.008352292234977401	0.010349016578938957	0.00510936034492233	0.010948930292356045	0.008547365002241377	2.7297249601755612e-05	0.010891722197269306	0.010718656423140944	0.009903625479455684	0.012815002265911557	0.009631410438942167	0.01407264696960098	0.005366031357677342	0.010179583350846932	0.004154415509114991	0.00988980870747359	0.00034667798186503485	0.009172672371015026	0.012351187749185321	0.013105631197972223	0.004650024653756997	0.002993325507453647	0.010110322706105561	0.012477371346608557	0.0033597316054250494	0.006332208312857588	0.010166497831942596	0.00906505724204149	0.01422500260393953	0.00908029797672622	0.010189568036130858	0.010207472249873117	0.009865944707413442	0.0076454648654219705	0.0006790194106381647	0.015324766642750435	0.006489097058314442	0.0036259627052289503	0.004692227959195176	0.0040551984056271554	0.006764071516212943	0.007235249965066728	0.008265792981043317	0.006260875307703358	0.009463345749157364	0.0074804231641902525	0.009021527307808455	0.006637148436058097	0.011845608379613104	0.007453523822276566	0.010287485729565352	0.005877812327151042	0.00025686277687063906	0.013278611549207486	0.0012334707348197484	0.013473612376492026	0.005979431412921367	0.013898885053122366	0.009945630545340851	0.0003506529791095789	0.004080266189473755	0.010139189349097535	0.0025740465175934125	0.01077158975031327	0.00399780333641956	0.003974275093730698	0.0022118923430227925	0.01038169229965824	0.0068699413465455866	0.005934203544546506	0.014492656712800315	0.007732130680456337	0.0062998015576616285	0.013853257892650107	0.0030125306315291435	0.00823211274077585	0.003795938465537436	0.0014023401345412652	0.007351894162939585	0.0006839707086381245	0.00161236983428341	0.009225472944481037	0.010864453722125276	0.01149538079329337	0.011300028197734678	0.0022405888536274838	0.01017314987352336	0.010933563554561102	0.012552533335038092	0.008295236441950892	0.0062682015179456076	0.007586515425053069	0.009805920330409652	0.00877894694609579	0.004133875072846202	0.010846460902595662	0.0013577606520999092	0.0064021107832649615	0.012195818123962131	0.008373696574447554	0.012397329155831197	0.010760511748309054	0.003846277182590122	0.011382189490896385	0.010786140394999526	0.015054509876892391	0.013994367117574768	0.006000355377657808	0.020356338297275525	0.011520667254950118	0.010547052295462172	0.00830979957143419	0.00961729244278842	0.00620250015806059	0.0078667127846572	0.0005397558117066846
ACOX3	0.006120658783786965	0.004113942752663041	0.0029743097889943634	0.005691614237723554	0.005213531119513534	0.005247358094267903	0.003927963635458385	0.032482342352194764	0.006390626380934835	0.0015992013625354858	0.0047782490556413605	0.015255338169590961	2.1952786344147792e-05	0.005988895437001374	0.00858175576591411	0.0066112017250976145	0.005310351092808192	0.0033357398551388086	0.004080956635342059	0.002627397544911831	0.005634693394626757	0.0031159927519348544	0.005196978054236396	6.62306387975361e-05	0.008380945204900275	0.01844895205997178	0.0066568630915789136	0.013559337152928992	0.0014740293185477233	0.0057330355695221925	0.006218268237879671	0.003487612967503061	0.003604638652518644	0.004911083733116553	0.0055462641477411565	0.0073013756690074386	0.04162051614332895	0.0057277582008340615	0.024672736799588216	0.008638614392649504	0.0034501289509658883	0.0008149196775689926	0.004984289136917125	0.00326766840548875	0.005969864597834958	0.014339308968357646	0.010187644773942845	0.004803304169986959	0.004525779692038866	0.0032077928309269823	0.00376154595308273	0.009825956440816986	0.002756283449233359	0.004020306424004198	0.0034564876579789763	0.005541045480971524	0.0034818381414883338	0.005311802050181158	0.0027908963736971025	0.00031603951489760177	0.0040952140871542775	0.0009223081245897778	0.08880378632270142	0.043264922661330314	0.004954117564894716	0.018786485301199852	0.00012216277029989127	0.00195139080210198	0.008153439142341368	0.0012380818966767062	0.005186896436294405	0.0031759015779443812	0.0013986289832865527	0.0009476706918544782	0.004691295056358681	0.0025938033545779417	0.0040250809781206065	0.004420576372074821	0.005937509775622788	0.009529523975666166	0.0038198750876519455	0.001860253354364991	0.014963599144263028	0.003276664113319487	0.0019507757350071331	0.002960006715555006	0.00012952671173946915	0.0009745342494934551	0.06862231483938913	0.00410973118241549	0.006843420702824311	0.007009964777296719	0.0005395923752947234	0.0053951441965216125	0.008806259924301965	0.005050337391350152	0.003808343283586351	0.003579079897096927	0.015446526691327168	0.007821458061473389	0.009054071240362435	0.028850255853787733	0.005294333396467235	0.00024188562829665418	0.0033306792373648	0.008978084936499896	0.03996085624518314	0.00472582847860726	0.005735136237231075	0.0012688271014709349	0.0049356159266468564	0.005424578173096885	0.004719810963660004	0.026798600939329526	0.0040634616505980875	0.008209912437545607	0.004933458637425927	0.028309286502692835	0.003882715412633154	0.0052831935705140755	0.003323937391344667	0.004199465665892458	0.0001475846165283795
ACTC1	0.0062352465769145125	0.006154958239750631	0.005930143645882528	0.006209508632526152	0.00768422138847797	0.007435975758114639	0.007318749015531947	0.010995222870984271	0.007945676523673546	0.004370893691511745	0.009906956207462651	0.01843062892702451	1.220501201467293e-05	0.007834695186236116	0.009867319662225866	0.0110035066095155	0.008260079334466677	0.010647439062523035	0.007316133397851698	0.003758747615534808	0.008954078353929008	0.003309652960878329	0.010158061291354591	0.00016753858122822132	0.008379161377373564	0.03225903076878977	0.013402651440896553	0.010845396180050988	0.0029644802193367612	0.011074301223500166	0.009090319378053591	0.0031199915722183876	0.004319225731166402	0.007332265446102034	0.016359154130544295	0.008439935403988007	0.011266990028603584	0.008418505734101618	0.01385584863376585	0.006389712805001629	0.007124718768648678	0.002013549121846686	0.007681468713930128	0.006128469384093896	0.0054495914261477605	0.004624191732286062	0.005154235090047413	0.004717581815988593	0.004934588146049607	0.006131229561193512	0.006646860270666628	0.008739845521444325	0.004206250414304174	0.0080120121522985	0.005508437463205228	0.010543730389154946	0.005609126380848603	0.008104669697932972	0.006243770192342976	0.00040044009570095704	0.007269572953234802	0.0014098127525142398	0.02288647545768812	0.020929179478822686	0.007507304608804375	0.024179372596777368	6.582332254285126e-05	0.002218052243657121	0.008722738587259337	0.0032219728463584304	0.008730888994695653	0.0040264033786398925	0.0026767478252720358	0.0030757907359363124	0.013451834913058324	0.00496049838283148	0.007284225936060991	0.008611230990687576	0.006605311214046666	0.014416852128239626	0.008097787378671811	0.002060116777752183	0.030703017566092176	0.003374708684349601	0.0024555070473384157	0.008432550678325393	0.0005528899521009918	0.0015400997381774916	0.01732123045093382	0.005782529919791132	0.013933260769744854	0.013890603281486417	0.0010731547555753414	0.009014743729082458	0.012967953323293818	0.015338534452207132	0.004888946644259121	0.007709154656287835	0.012480065220007703	0.010068316445337082	0.006883836209580591	0.01825456727097497	0.009922761872413605	0.0007260455412540193	0.007165161921981432	0.007814888450086788	0.009075669203336674	0.010393356887083665	0.006941830555883148	0.0024644928520534955	0.007550463827384656	0.0077814487268113505	0.01019221292375684	0.015661247434480625	0.005174620756342875	0.011817242549820924	0.0074542537027785915	0.010052358515503434	0.0060380539564112694	0.007966203539396562	0.004289853743563969	0.006852255039968523	0.00019253874395093272
ACTR6	0.005625903802274837	0.0046438794266172095	0.0042021606503087955	0.005140051634211905	0.006105410329085613	0.017694449981909558	0.004872063339182347	0.029786148371756825	0.006548578106080527	0.0027865620883165887	0.00580786109161256	0.026027033381063765	0.0001412125451698259	0.030438227787906804	0.004865654147365976	0.005696010838738125	0.007612442531572376	0.012834365717673817	0.0224896281494816	0.002851615764161771	0.027571441985217524	0.0025381748604820747	0.006642047323886911	5.120121573908777e-06	0.026544469213995843	0.007564205016484795	0.005907336554854652	0.003009669244121918	0.002064877522452514	0.005565921032322508	0.006207972675508163	0.0030668862488001268	0.013253333942455446	0.007149772043187102	0.005296775538634971	0.008041183314451694	0.003796980327746791	0.022579167666677922	0.003712896407368475	0.00942983707384841	0.015223690587677485	0.0009198876547099106	0.005348392485207012	0.004928294053314239	0.005262682451356854	0.008850589659762579	0.002290745802801375	0.0037461569816684723	0.004507742509604381	0.004492348895035281	0.0038902508896370793	0.006200847514982524	0.00328055975016723	0.005435961379891489	0.00428106552763315	0.0058245652449675145	0.01401191863283147	0.025737073896106317	0.003392983815607689	0.0008333907855149839	0.024244751785645995	0.0011444680395840284	0.005394480866242741	0.005352942900774079	0.02647853974445969	0.007080172632880604	9.813525574494208e-05	0.0033674958629728744	0.005331271458654331	0.0018741631865017614	0.004843784464719506	0.002325700386754236	0.0018069182812548955	0.003132877698252801	0.005919146286227909	0.015882868484529092	0.004491893062865189	0.0068543060581387275	0.00490339240900116	0.005084782485936008	0.006070691265342455	0.002082102723477244	0.0223336002700273	0.002144301620897216	0.001320852934542831	0.0212514670115448	0.0005184475892691164	0.0011022985660835245	0.006214651638757239	0.004691335019927686	0.005877058501642686	0.007910111123502418	0.0014992881259451134	0.031104864231513	0.005136192991016054	0.005696572370638692	0.0032409066575447756	0.0038477725092298733	0.005009184145594515	0.006108530601750108	0.005363128406548998	0.002229337682197546	0.005538337828834269	0.00031468797757117393	0.006637621190074494	0.005916367197176926	0.0043060061413822065	0.0061516273771194665	0.05355370675570853	0.004018981671550519	0.006276782479948156	0.022479530483761792	0.006298707720431309	0.009558725665825928	0.0039884708558854155	0.025843972840151413	0.007680899672496419	0.008711584355288592	0.005657665974125233	0.009568945087911328	0.012755626869875011	0.0035041752045473743	0.00029631299516118064
ADAM9	0.010532987203966913	0.007914029646512534	0.011925117425310402	0.005750640259598676	0.011093543862017287	0.009700288126855874	0.009744414465833871	0.008527746137509052	0.013629886545678411	0.005279674356144195	0.009985653448725934	0.009709544888744997	9.879484520578568e-05	0.010412520905483254	0.007100684145389726	0.01206390058251023	0.011558818962910439	0.012452482959131853	0.01199597779052659	0.008430652553141182	0.012070823850111262	0.00433875602926728	0.010489991728328008	0.00020893484723439034	0.009301584494549493	0.010391407414134989	0.0113654249709878	0.0066653959864890365	0.0034158819109125016	0.012132084059538771	0.01104378289021597	0.004809846562110892	0.006596440208621826	0.011076440018404164	0.00976932928475523	0.011145367714301344	0.009155187232645131	0.009550410922540635	0.008055078953223872	0.005494890185742891	0.006598338836885535	0.0005136522915890517	0.010246421467446408	0.008855333013633978	0.0035426727622930696	0.00540714662567138	0.0038169228604966574	0.00598879328039495	0.008722628626276062	0.012936047400098662	0.005266504221325036	0.009055094792692595	0.006104672912532593	0.009999945380625394	0.006797915234418093	0.011473087411723397	0.005472486181017623	0.010951192244335986	0.00470677927238352	0.00032631994920026536	0.010933829607845672	0.00103712572800714	0.013441769274457444	0.00756989166087077	0.016620701433196067	0.00958893051746825	0.00011641390252763033	0.004608848569861736	0.011096219244647897	0.003961954685721189	0.008482174574845843	0.004228093946991016	0.0033999656246580423	0.001653528847147941	0.008118933187024597	0.0056306918369665475	0.006433108822151423	0.009745559705240697	0.009613206544120073	0.008315783776561518	0.012055199188555714	0.002965946893909429	0.009763626378288218	0.004779984193091998	0.002329450714031044	0.007243596037704607	0.0009629159115152702	0.0025833697355835106	0.009380339415394198	0.007261138457884291	0.011729891031142874	0.010898107966199878	0.0011173145361060293	0.01029527285014356	0.01071435006696753	0.014650790810487924	0.006060128945593571	0.006393140515288752	0.007607180714550769	0.013431270508867705	0.009973110672482483	0.0029211505116651733	0.011867916149819148	0.000533347423772572	0.009329465200164222	0.014309896549960283	0.00844657882118156	0.013942855948373219	0.013722110022821032	0.0032537743580665266	0.010299578175620463	0.011125297800610048	0.010976608261971913	0.01253135699449795	0.00805545649531088	0.012412258959616465	0.010112380555052638	0.013818919967260469	0.008895958741776802	0.01036420811439928	0.00728029373587441	0.0069884474786881525	0.00025290955904305593
ADAMTS3	0.011060807007109305	0.006079593078081523	0.01227253234524119	0.006642457559754443	0.007724293938983689	0.007258829262988505	0.010530736225400676	0.021357920000411514	0.01486748359284188	0.003712617252472066	0.007269852522188668	0.009503172482586855	7.078673048975926e-07	0.009908225127940477	0.006136347116484036	0.01287146605459165	0.0073509723657584755	0.004715118674937914	0.008046759935350445	0.003925313715469554	0.008249094255915454	0.0032526165226234183	0.008530903231234106	4.8548110059689935e-05	0.011307988935287169	0.018963469658116516	0.009091959076950295	0.037162070776264655	0.002720744442510599	0.009308163970912633	0.007609081020816843	0.0034097212725629857	0.004542388861280211	0.007678102538868402	0.010574847497978912	0.009080157628692928	0.01717512438921824	0.008782739345942888	0.007440161907564059	0.0045408483881284765	0.006399847096167449	0.00019356016110536	0.010478354746428983	0.006591409349023787	0.014188712085624198	0.003523701678865802	0.003984336662808957	0.0051822289012855545	0.006855209315191857	0.007376661847024675	0.018084218813655364	0.00863372056503838	0.005056894810230168	0.00949313536676481	0.006641357002087367	0.009179709736838721	0.005240617310783462	0.008239940739873027	0.00892663906357282	0.001395331863489651	0.006386520938884122	0.0011243915629060746	0.012323825202057536	0.009971840963110146	0.011176217298200671	0.01373018047392922	0.00020321520282493013	0.0028218836547292884	0.019636316516698633	0.004343867699195988	0.006509872103834973	0.004348081905136848	0.0017384896597033973	0.0021260367246551085	0.010803946147705093	0.008697512380055044	0.008267328879228363	0.008004944786235531	0.006825830574247263	0.018466382838864828	0.008553551245256126	0.003288096534014164	0.016216463280567403	0.0035025158271061478	0.0021023662686827766	0.007489447827259119	0.000744912854843803	0.0010642795852397302	0.016136387201399722	0.004937644823945089	0.011690361320426773	0.008993435828976187	0.0012251146136225363	0.010927444540082399	0.009717441660066894	0.00977652959149207	0.004782451581162602	0.005950373335415416	0.0073441356521410225	0.00992222030873822	0.008191837465914708	0.009130340377960929	0.009377749240501073	0.0005036856175653975	0.007857382221250328	0.007138846453764617	0.020159961282304417	0.020454271774571074	0.009531877889710454	0.0028018848247740665	0.009917102145659667	0.007187886167193022	0.009927660701821064	0.010629223283377783	0.004901729106703387	0.008688264497855022	0.009249009274119332	0.00983170400630825	0.007200683089005404	0.007941229479329785	0.004962664157105258	0.005980411032731385	0.00019321144514553647
AGL	0.006681147422277627	0.00566288066177228	0.005656962305291786	0.004087169453646921	0.005962162456692903	0.00590485267487471	0.0049839373309051496	0.023142367458267383	0.004886365420364869	0.002049029989685214	0.006672753508342861	0.022583478139286708	2.4987941232931093e-05	0.00765399662680869	0.009068174041784978	0.005839084680481609	0.006015377916144604	0.004132566344916747	0.005768166965628467	0.0024701176586749605	0.007924012111958778	0.0021489325716902334	0.0076197461506389294	3.88358749550119e-05	0.007538193978547846	0.018040390388546393	0.007464643013722307	0.009540980637279334	0.0023279947416519533	0.009604240152063282	0.006397679082441664	0.0029794401407577955	0.004373293501268152	0.005791730680311889	0.011603513876672963	0.0090617640072595	0.029810476415709147	0.0066665481892144805	0.019013602313324874	0.006378893232438231	0.005069606842525021	0.0010611453803302197	0.006307183890593218	0.004699062780113301	0.0029202534140661935	0.020223143379544162	0.01080444674490402	0.004512604888536434	0.005220759201904881	0.004971102020902063	0.004546180688472076	0.006094092707878567	0.005161819931522548	0.006744309326961288	0.004555287389127598	0.0073274987783181296	0.0037161496545313074	0.006831898519806458	0.00449778072005782	0.00025318756147435517	0.006356282040895755	0.0011159329916380588	0.07065799616859661	0.036082494092672245	0.0063692745366466155	0.009638609815987619	0.00015455381538270537	0.0023794914909870232	0.008139323190661017	0.0019205404475870188	0.0046454813548668416	0.002842194382888442	0.002246907960224566	0.001696581228731416	0.00948941000747258	0.0036178433572234773	0.006142898018110567	0.005683026029045556	0.005395902643894803	0.012700618747010981	0.005944321771555971	0.0018827575514465073	0.010002849257033798	0.0045083954642581225	0.0015322162424537416	0.0050296918879292	0.00010667559550242093	0.0009922125655749225	0.05592772601371724	0.0037709543468382144	0.007347917975897211	0.006972890891972194	0.0008640796789348201	0.00662478252228782	0.00949098893509062	0.00946591940225262	0.004074501414943685	0.00532780750406276	0.01987417096301356	0.006390993608829196	0.012100471993490979	0.024730603691868844	0.010049819759049098	0.0012191801231882942	0.004288188708594871	0.0076010697840578	0.022868749810508616	0.006936943642426283	0.006893880373940573	0.002252505260943066	0.005356107448245422	0.007391907195020429	0.006621108764403304	0.014378849653398246	0.004090787900661328	0.012205826168320576	0.009172690202290473	0.02780975743193851	0.005598222222136154	0.00781720976050313	0.0028460674063035753	0.005226381719219993	4.8451186268234094e-05
