	FOXA2	MLLT3	PCGF1	THAP11	KLF5	E2F6	SMC3	SMAD4	DNMT3B	PRDM1	RBBP5	GATA2	SUZ12	SP2	TBP	RNF2	UBTF	CREB1	CTCF	SMAD1	HDAC6	GATA4	EP300	PHF8	SOX2	HNF1B	AR	SOX17	CTBP2	HDAC2	CEBPB	NUP98	NR2F1	TCF12	SRF	FOXH1	TET1	RFX5	REST	CTNNB1	BRCA1	HAND1	FOXP1	NRF1	SAP30	HEY1	SMARCA4	TAL1	GATA3	MYC	SNAI2	TEAD4	USF2	SMAD2	PAX7	TRIM28	SP1	CHD7	PAX6	EOMES	SIX5	MAFK	EGR1	GTF2F1	USF1	PDX1	ATF2	HSF1	SMC1A	KDM5B	FOXM1	STAT3	SIRT6	GABPA	RYBP	RXRA	BRD1	NIPBL	LEF1	BCL11A	BCOR	BRD4	TFAP2C	JUN	SP4	TFAP2A	NANOG	ZFP42	HAND2	TAF2	KLF4	MXI1	SMAD3	SIN3A	KDM5A	JUND	FOXA1	TP63	ZNF274	RAD21	HNF4A	ATF3	TAF1	KDM2B	YY1	CHD2	KDM4A	SOX9	ZNF207	OTX2	FOSL1	NR5A2	BACH1	CHD1	EZH2	BRD2	GATA6	TCF4	ZNF143	MAX	POU5F1	TP53	TAF7
ABCA1	0.0011265266066445019	0.01580399175937657	0.004902722022233091	0.00484624962982541	0.0037301731678274475	0.0052142143395909534	0.009122228658576427	0.007766144799419186	0.010064403352545614	0.026967226461814688	0.008780370873160373	0.008073622955953522	0.007625400475939352	0.005305281287432088	0.006984415530041509	0.007429163352366107	0.02387839715851989	0.0073149426367544014	0.0081835043519472	0.006932373350101345	0.005333154876718938	0.006534652383421381	0.007517648719611624	0.006465702973642336	0.00511360951424948	0.0005309981575663303	0.003207876715229679	0.0044816654396173175	0.008174013756441598	0.007924996814577624	0.0041848179724160795	0.008829405793506308	0.0002935744042920566	0.0076176300600641796	0.01705091751191673	0.020019431606614447	0.009853804874364753	0.006308261768237349	0.008094365790149886	0.012316625573814159	0.0139177371443938	0.02497440074442794	0.005669763005848929	0.005149449471569073	0.004289607354199442	0.0018808930768575828	0.007576580069802034	0.0037213978396986886	0.026461579979511207	0.008402405583212303	0.005426735029017991	0.005512360458842063	0.0066829556922051525	0.015402885752950575	0.00011326456111111056	0.02881309177874619	0.009651996866805351	0.0077734608028366785	0.0009011791414932613	0.010463584916948222	0.004909457800855222	0.000313700255407178	0.005225532458585558	0.008168950480686627	0.0021341159554816988	0.0001348311972953965	0.007145598371463911	0.005959681907852971	0.008110594753198476	0.007933541202987188	0.0101675328057773	0.008420007561429705	0.0015267139318351649	0.006104526928373945	0.011262035437197152	0.0046798529126659254	0.005851843174946657	0.007633456204933053	0.011298538337512936	0.015327602431330217	0.0067238061192574266	0.008636797345030792	0.0036432305203818833	0.0049535485841981025	0.009208747318966697	0.005607780133739202	0.011390109194117731	0.03833530209326224	0.003216329704950569	0.00700187787071375	0.002735082175190144	0.0054109751796938025	0.005254144389526958	0.00931007579700085	0.006888155839667371	0.012341103835841749	0.00011066338241273511	0.0001885367235517368	0.004176539279728938	0.008395127063042952	0.0005007766423344655	0.0033738719957105475	0.007165208438578912	0.007152116498624947	0.013640171112253727	0.008187817719238233	0.007078993178082285	0.0029566875133785653	0.008221192542644643	0.010876266358085	0.0013737050770965076	0.006372706337215587	0.007459661839269169	0.008006272395064826	0.008807898700301084	0.010737520838054711	0.007599721140844963	0.009052248522801091	0.005591690039898617	0.0070741243759815135	0.036190956465433986	0.007544745886024963	0.006509762975990307
ABI1	0.0015442438630578824	0.007249415339820384	0.005697676434512251	0.006735363082649226	0.00451965233612098	0.005775792826743904	0.01250889429820495	0.0077261570892040235	0.00815121758546314	0.007337360925944486	0.018319373742754524	0.004181626904387681	0.009744437058783065	0.00518375797471623	0.008337795533132067	0.01415851415452814	0.008377256939927349	0.015980186812618306	0.009629544738055698	0.006430141606340425	0.006895910809754807	0.009551867644519048	0.009491274033407405	0.005862577989649558	0.003336686332563154	0.0008575562983594039	0.0038350040985043084	0.004221146011954468	0.010133734182327337	0.011459346416627509	0.0038555555329566195	0.009339060984246556	0.0005253819494239065	0.014869630067868622	0.009944195636527018	0.006755582222217543	0.011526247812163406	0.006661578828133	0.012216271237166626	0.010247611983865484	0.008936344505465767	0.004358196520499219	0.009862953679017912	0.006877898656115042	0.004361869998676675	0.0030953571092168144	0.010473904685568337	0.005233683655143869	0.008014271716525582	0.012437875218971533	0.00440875132197412	0.006387036245229104	0.00591300175275321	0.017256305279842583	0.00016892518445433226	0.014199495253034641	0.007958505815873698	0.011522642937951862	0.0023686137455634737	0.008845069400924534	0.005077631511380431	0.0014845145553370367	0.00729122144171418	0.0073498461288911306	0.0031486427528388096	2.895836479852427e-05	0.015207143894894604	0.01306447132351922	0.010354223703234588	0.014071742984650248	0.011008089244506846	0.01474275904426551	0.0039223083249504305	0.00832276778586493	0.009496168012845033	0.006047564115007426	0.005378552287828789	0.011341653925747429	0.007954881271972507	0.009534500063666889	0.010399792996630795	0.010740549802456922	0.007087418537443854	0.00534962200366915	0.009899045524119124	0.00801290784170267	0.0078014671736376575	0.009747735673909306	0.0013273545112916637	0.008905621605337045	0.003305222372765755	0.005662235076510691	0.006575110345550325	0.01101463074856196	0.022131733864958862	0.010948819169934445	8.66555960286846e-05	0.0016429217285051103	0.0036139899453491065	0.01211023578224873	0.0006012154925116166	0.0033795001174086576	0.013156763766909245	0.008242900743781626	0.00947045324145104	0.01571835644837626	0.00774521380940829	0.0030349414453226995	0.00997260547076874	0.011752654732024845	0.001613231604954868	0.005630554502086361	0.01034472730527221	0.011823626977168636	0.010733675613054492	0.008288886893201662	0.01007510444542771	0.010468634644711473	0.01038125244701137	0.009190497549776463	0.0124156148087073	0.011845358128676176	0.011068186771458896
ABLIM1	0.0011437775165794228	0.011786118950486351	0.00475691219751935	0.008060599218720696	0.0030519159176672027	0.005901736629031994	0.011291118035213462	0.007644912230813093	0.012666918839374923	0.024385032388683253	0.009224778311112269	0.004164719702595653	0.00935755842808771	0.00681423127111677	0.00783507735538697	0.007589265424487559	0.0265499800588074	0.008610127250178169	0.009150900886079743	0.006020695550921576	0.005811189628687158	0.008153715068115762	0.00847736371125226	0.005972752812295447	0.0040637968761889345	0.00040748749107160075	0.005111518688867861	0.00884275708775414	0.010275013216701087	0.008020290385858417	0.0033927404452054923	0.01420205418646236	0.0008638481703298972	0.00927068456681609	0.006414298920381393	0.008542378147011545	0.010346777708577207	0.006164089094371465	0.011189191580438029	0.01248412199525524	0.015226492817791804	0.01600999880366428	0.005321875192343292	0.005858642300676294	0.004533606868499429	0.002486475212170465	0.008324628249557833	0.004187878245467639	0.008035349168070704	0.00949240846701216	0.00631318601245964	0.005565991339571008	0.0039904792377128285	0.013549870453928562	0.00029970723370233615	0.020431491485011225	0.009615750545008581	0.008512757663212979	0.0011569453774753927	0.009373891272141166	0.0036375016642801973	0.0004145632202414499	0.005622235142216889	0.007605410889318736	0.0029764280728898558	2.4029120396614817e-05	0.0076651385205562745	0.0058645631315077185	0.008793882438282039	0.010806476309951692	0.01315628340567275	0.009437069550834499	0.0021504317245175293	0.0061210956063497204	0.009978771147634518	0.006058776398730837	0.005285387057072719	0.008620168616102403	0.006112804466540861	0.020462559754891398	0.0070601543902847844	0.008218206354376496	0.0042394434656633975	0.00458091227394143	0.009640480096345716	0.0045869589542378965	0.013901836535926079	0.03354184760398674	0.0028768834635500827	0.006932065767729394	0.003264914036808162	0.005275911846615153	0.0054366298549771005	0.008140971411335077	0.00875925544360228	0.01703754593474412	0.00026623415490369053	8.119389559583543e-05	0.0037614843496986215	0.01043207813150802	0.0005323877908838543	0.0032934302269467908	0.006902126442759655	0.008462564457913279	0.013189982368110769	0.007133102730198924	0.0069078982824350285	0.0025733035767002738	0.009843322934659436	0.01013351234280558	0.0019794038191406666	0.0056015857898964105	0.005962625562788926	0.007971349326435721	0.01569298044115261	0.01153068854106559	0.007360953749663707	0.011689183493969402	0.005826636708451214	0.013666864750884014	0.032635538034801945	0.009740562534121738	0.01024154000041321
ACAT1	0.0022488045009419104	0.011109932427986295	0.006804827646802039	0.0068369835636822585	0.003216304484374203	0.006836836892533842	0.010847238975286656	0.011963888658750072	0.009390139465462032	0.006969972904278985	0.021058886811985474	0.005282285415745918	0.015423254191227658	0.006551296537278637	0.014643505948094663	0.011734995520231778	0.008056845351021448	0.010947556134889737	0.010394130026924813	0.007637343144447292	0.009558644613005386	0.008039937962814311	0.00897600442698015	0.009099922732856978	0.004661386781011511	0.0005424643632867091	0.0038239747762320252	0.004321316594833741	0.011314871189177806	0.010157692290931147	0.0034829995402873566	0.009250138314905365	0.0005893762412573789	0.01119534377622212	0.0091556044321615	0.009819033219489345	0.009771307417594596	0.006474128721532743	0.010410879123188282	0.010338213270172222	0.009130380541373951	0.004252076470304729	0.00790866310073033	0.005902649562556628	0.004239641613111455	0.0043226686770787325	0.009694218401372563	0.006185046835625499	0.0068946373820461095	0.009972708758488354	0.003683572654817887	0.009510842465226245	0.006236952133847831	0.010698454823103465	0.0002731161827628892	0.01423229931111869	0.01136235264103083	0.012589726837102428	0.0015508094415907824	0.008836478348300241	0.0046638323258869	0.0015801114886948781	0.006239278602843003	0.010181042855493245	0.0029269781615878982	8.419810933275092e-06	0.009646710567998125	0.007066373002078247	0.01426241656259524	0.01147969338169957	0.012259335808637062	0.009733881627850383	0.002322026009138784	0.007278438781926804	0.01499328986377858	0.010271349790009418	0.006552657539197799	0.011572976839692713	0.005386476608143464	0.008506548822822469	0.00825733876451826	0.010504307248567681	0.00594525579636202	0.004934858919939442	0.01343458486525536	0.004717809456697925	0.009527358243771926	0.013883014605647908	0.0016479140932041793	0.009408453266868882	0.0032861943151441327	0.008813421306196938	0.007389108160449733	0.015611350399932935	0.012528334657267859	0.009858505349343951	0.00023733974967198837	0.0005686097743279471	0.005646394129339509	0.010036993374502423	0.0008537061869562727	0.0034350201298058783	0.009725090919438026	0.008281821694254586	0.009728487738780918	0.010786102856760129	0.006744459270358197	0.004153128702788951	0.01459330571410435	0.00827048414182838	0.001357894145988023	0.005490697297651818	0.008086869500004425	0.014793924178306968	0.010745518038025339	0.01116540717333212	0.010573427824612694	0.010255592812681283	0.007069126227911983	0.00862871887182118	0.014616183563079092	0.0105085103558709	0.010551973156143533
ACOX3	0.0007708211875797909	0.028870027411607872	0.0028616170168344565	0.0038194476305021493	0.003298421118411897	0.003862948207182336	0.006609527325503985	0.00569936107403604	0.018991128761280653	0.04257813552516632	0.007846790172734165	0.0036067387857911183	0.005105262185709474	0.003525327345503075	0.004129391764951342	0.005389818179069654	0.015670118861821215	0.005073303004975247	0.005578892413851992	0.004011309158481603	0.006453951741485029	0.030262487948933083	0.004708287620122868	0.005020967564243799	0.021880717441372446	0.0006812818823128895	0.003932355096738006	0.011567114000852575	0.007457449669798836	0.006464281348649589	0.0035541830462045834	0.00548972549241529	0.00047671912267891793	0.004591735466295933	0.007949203658528857	0.006613654593976046	0.005486664644455595	0.002797975598844232	0.004854493807527371	0.006106826165599813	0.0055978085318142915	0.016659620284583582	0.0035004018534785077	0.0028224006658244104	0.0033447996526241083	0.001248317214997417	0.004708786152995183	0.0039035741823871344	0.01159247039972794	0.00393019891499539	0.005510212025776624	0.008940407561454118	0.0023956029947260864	0.03320991080454152	3.886505769840869e-05	0.024934324680234887	0.00534150173991103	0.005783627684093911	0.0008566996037093803	0.015775766174519514	0.0031096395061197346	0.00016624415373262208	0.002987419357752441	0.004599498915649618	0.0012812626454362457	2.943575343067459e-05	0.0056286820917112144	0.003101927717038781	0.004282527349449721	0.006406687953873136	0.00550842287787773	0.0051569835535824025	0.0007200404794231115	0.003767645087166173	0.004518428061207184	0.003628037970346236	0.004384435949731451	0.005395121324013352	0.003928970999729201	0.0047331302695997	0.0037655676149278236	0.005030282337944515	0.0028246319728764202	0.0017257221518175753	0.004689909500016092	0.009858421483687527	0.07623104199434888	0.015284571179080067	0.0018824744764230378	0.00487311181837908	0.0016448060211188872	0.00380164781144241	0.0039285656430272965	0.0047160535353617476	0.006827375941452531	0.017516616986436202	0.00020804642762307435	7.738250928264993e-05	0.0017888278392453388	0.0061830823338448184	5.98226783101872e-05	0.0019605318966517188	0.006706280173847902	0.005110495399053387	0.007547380149829236	0.008909933182215658	0.0032734146077341266	0.0013700167571709776	0.007366806984135537	0.032443680666548645	0.0009725364104648411	0.005023566331473195	0.0043075065837002435	0.005222640356447591	0.00855629583152186	0.004743658256090465	0.038218087063470844	0.00834975890391156	0.003078352473748262	0.006260739334196013	0.09619382762289555	0.009957162977778183	0.004431064541473496
ACTC1	0.0013332199373321323	0.014056395776372042	0.005354587412134752	0.00544285532856425	0.003705111405401676	0.006736198781841992	0.013007269983168696	0.007478485327511054	0.02372015595463962	0.023328856125311635	0.014147053708330045	0.006433695645088645	0.008066747028310338	0.004038344805103771	0.007823425623267712	0.007584096881587756	0.011834266424847736	0.00808004270289653	0.00814598779851317	0.006723413587456553	0.0061027353976546095	0.008536353404459712	0.008831155518900898	0.008621327932895204	0.014405253240914536	0.0015742236342553102	0.0027727584667489253	0.004841043099677821	0.006611013053826006	0.010364416038626317	0.003382098647372013	0.012500166307355813	0.0004676999343421488	0.008279951816308369	0.007441434327523944	0.00886235812695253	0.009946183128654452	0.00641645411641546	0.009316644140995312	0.015842939177828613	0.010999409556793288	0.016642255297097956	0.005161651289845971	0.004960651352351888	0.003755922528510168	0.002831536527246586	0.009579547811022616	0.004053139536779179	0.016414040542764297	0.015130765108663872	0.005219672715326954	0.005820070400192904	0.004819667413822252	0.010342592425377885	5.5495027335271304e-05	0.012058053400101541	0.008329063491213236	0.008393835344205633	0.001519196386906033	0.032055514543854136	0.004091823218439896	0.0006901247155096074	0.005188525907869277	0.007384823473253439	0.0029359185975496344	1.3455746032822379e-05	0.006741533305710194	0.004004613784247658	0.008057064834156153	0.012861081348414809	0.013937674006331068	0.008079486841683565	0.003006687554862902	0.006766601537137166	0.00620706591481588	0.006365712426701644	0.007321141060578045	0.01060687279254538	0.006340684369276186	0.014016869250126277	0.006785828467014303	0.01020607887454192	0.0038740488193231893	0.0023247495126068928	0.009969327749629083	0.005685628986744757	0.017470261363564728	0.027850820786481652	0.002685255969823997	0.00873437025244839	0.003402778981905619	0.010771390534270165	0.006735293229483149	0.007253613141529704	0.009209342836335295	0.019456031689650995	3.265507898229118e-05	0.00015815278712013147	0.0044928456115465665	0.007651213016950169	0.00030448450146876337	0.002169110203135931	0.00764968748043687	0.007296077409654488	0.008676386095365205	0.008236908533250886	0.00716832046718879	0.00406160503094201	0.008227811747851949	0.010984094199685986	0.001390886080645951	0.00521591900695537	0.0060151359934938935	0.007115329690845989	0.007130979469290268	0.010454976620644452	0.010034063661116267	0.008161168349139115	0.0078283572540034	0.0066450314124494305	0.025484181823995426	0.012729599380850297	0.0073539367635950545
ACTR6	0.0008646425312150809	0.0047118731683429525	0.012634624544551318	0.004011203925061948	0.002060177661030993	0.014662454364298224	0.005231935915951206	0.005709501317517524	0.00534163317472054	0.006205796876148413	0.005398138151480552	0.0030162876281786288	0.005934793739310103	0.0032718283273081993	0.02595096115208375	0.006683546286520249	0.004848070949451759	0.030272506696122456	0.020940721018202803	0.014939678103708843	0.005374224280854007	0.0038209474395055378	0.0053270405668185425	0.017813846949812036	0.0019440178019243476	0.0003425347709880862	0.0019243090107782781	0.0023569962863578373	0.005335017436678158	0.00539742758330453	0.002682217006757865	0.005546920658040627	0.0011191832111670454	0.006688600804012825	0.00439598498178658	0.003571833996654116	0.0052542450886822085	0.005355281775696956	0.026768459286938485	0.006799709936346764	0.005562396977673961	0.0028811024886346284	0.01534942563087185	0.00301769012330759	0.007829685426879545	0.004883326404554811	0.0062282258452160824	0.003290166250284036	0.003797687495805288	0.005159679712217123	0.0039717088623681725	0.002827252615225222	0.0032355538265786887	0.006325600087736616	7.874810087809257e-05	0.008577425915190956	0.02263384535416345	0.006724422488022191	0.0011253719832761263	0.02008216913558319	0.0021938838827032137	0.00037361838453240265	0.004351513321780906	0.0045108869190541735	0.002303870863344831	1.68396685744022e-05	0.05359895169744664	0.0027376407699539304	0.00620443443529481	0.007402602963860189	0.005412810778272867	0.008117408606873114	0.0026828058201035987	0.0037624522795111502	0.024380257666274253	0.0036651178495940464	0.003055362235206664	0.021785468160539757	0.0034816736172668073	0.005296528151760071	0.004174432195552076	0.004992064947369947	0.01207627762899601	0.0036493715545892224	0.0047085319084418315	0.0020915687029357177	0.005324744450629681	0.005950278385169259	0.0011374287766752187	0.005130100095600788	0.0015808998869704547	0.013295848918240927	0.0033194407467894527	0.02405540903834391	0.005147165549978565	0.02492544497756752	4.409485860570983e-05	0.00032780337198187173	0.0023710285600320505	0.025885811071137462	0.0002827800572594297	0.0016945363151665642	0.024672236506224014	0.018065963764158595	0.026052686697342224	0.006694399561039675	0.019714885562366856	0.0018410520952045052	0.006452615897638107	0.028439577784223187	0.0008210729748539909	0.004070698860449234	0.005210404800156277	0.0044235743841088936	0.005721510944397621	0.005257573900292071	0.003211010596980761	0.00603087130331701	0.022667049819103134	0.020545438468530283	0.005161524255751702	0.004698683216174372	0.028657319408928062
ADAM9	0.001088742042238865	0.007408575329189877	0.005269883210721637	0.010068677247095925	0.00359872857495757	0.006600418292238574	0.012113894619473731	0.010010908055829307	0.009717369551721216	0.007528187397453291	0.012659416641694645	0.004877318887735817	0.010745440916605644	0.005154888520661068	0.012162294244354022	0.009864804643591806	0.00842245430758232	0.012219528535470878	0.00914762394269355	0.005822626816756493	0.006147448600640012	0.008224708270701035	0.011852279567128815	0.007905123475649286	0.0032749748620308217	0.0006231320902877554	0.006601644428646326	0.0038617581249270876	0.010622111971717443	0.012221405083752123	0.0038814677505348842	0.010835011523336156	0.00036798436479087466	0.01040129746466191	0.008739124119040109	0.007947483099204235	0.011708414311105558	0.006486182609104417	0.009902574306565928	0.017221286890204406	0.013940862013279978	0.0065237040710107545	0.005405252455827172	0.011241962549170462	0.004236126208994454	0.003126255945429179	0.012519887427798096	0.005868628634204817	0.008594687973462774	0.008255431337479939	0.004301644682300813	0.005696388004181996	0.005887498806165177	0.015160696580856581	0.00023046112789128648	0.011325812167025284	0.010031629702416	0.010580910658838406	0.0014575884631366379	0.009828464039445501	0.007867966280407382	0.0004544806558531846	0.007786812081348917	0.010192610636756494	0.00286374934924576	0.00011520075989744557	0.0124790621611528	0.005567555707829184	0.010553361842798112	0.013450244831787802	0.011898472842981471	0.010976660453992136	0.0017458218799184422	0.008329876047598024	0.011075680147709576	0.0055732377161612405	0.006623171635470639	0.010071237346292991	0.005138106200617597	0.009521587500964355	0.014224830601638672	0.009457218948034696	0.00613883779732966	0.003991525478474935	0.010667191134435637	0.005381006871551195	0.010283544707366135	0.010376150187034175	0.0016600824844811223	0.01006742996897451	0.0037396662157104937	0.012212306759345105	0.007668349807692391	0.014942888963946455	0.011298350339830787	0.009206402511957553	0.0002657717810901849	0.0002184602990776995	0.006797085639020552	0.010275272314740392	0.0008163522109342097	0.0027371591312160357	0.01308093481909123	0.01025708206430178	0.009296862258918029	0.014343776827693071	0.007988887880421527	0.0035317940549712498	0.010650132402802307	0.00852237505854176	0.00225236088602306	0.008525217493894177	0.00957179338462655	0.012988898967090845	0.009346855838773609	0.014015102318682346	0.009727358797820504	0.009957004748963421	0.009892582961515928	0.009938059968509178	0.012650411046455416	0.010532720782852932	0.010697919664374231
ADAMTS3	0.0014861503154090822	0.009159803844494472	0.007474836031930007	0.008217964725961388	0.0031131952405909595	0.009264870578088736	0.011154085961421386	0.007914515836055527	0.013481232567252635	0.00963421508063217	0.008205081144016472	0.008723836392592521	0.008865955531967878	0.0041785049707964185	0.007030301438328482	0.009014605715397334	0.009470360729595378	0.012167175826282113	0.009272392767009524	0.006156514083280131	0.007026069869203279	0.020146988770062088	0.008380032507071214	0.005806282565426932	0.006944097487751427	0.0003622451328603205	0.0028388007070855106	0.004597101739136	0.010589802023910952	0.010197107052704156	0.0030332819526718018	0.00706342996256048	0.001312877785341826	0.007750610109233146	0.007287390259736329	0.006851483117512345	0.009467261161818044	0.006255504116955263	0.007142962797559979	0.011208219461750569	0.0142676091739117	0.03747353485440071	0.005525157687358274	0.010835936149872272	0.005567158735115975	0.002553401960018631	0.009043745814947896	0.005322773293810133	0.018303315389601112	0.010741061611075013	0.012431447802566746	0.004560007730195132	0.004628093819080687	0.00919131587681147	0.00039091192962588384	0.010667483752245138	0.006649863889799181	0.008927335996727128	0.00173484812821442	0.013831166977500104	0.004411517725642521	0.0006135153497644572	0.00519907120442291	0.012107261423160895	0.0017047400409519035	2.3116782326805223e-05	0.009442434926566401	0.005094013156682429	0.009177496071552688	0.008178547774366976	0.009666680637767737	0.008469732980807148	0.0020530404508278203	0.00634011844935168	0.009280823509621956	0.004623902884722488	0.006953014143778196	0.00881234702616439	0.01581190394861893	0.01193774459511229	0.006826079433005395	0.008920575696920218	0.004412604873309284	0.0031658788297227046	0.009916900643868283	0.004405337968481645	0.018024376664958874	0.01867861733316451	0.0017504193146141152	0.009837553334763898	0.004406070014379613	0.0066775075193368566	0.0065236358366066215	0.010336781754998355	0.00802065310163903	0.009371482810132304	0.00020406822443876828	0.0002897572981935429	0.003672149322847735	0.00967446969952028	0.0007529364693809973	0.0027891789625086386	0.011588296563051603	0.006488996291717891	0.011681552993294014	0.006949738271156319	0.008564211054179231	0.002222417039082563	0.009964357713034165	0.020368340341817722	0.0010646866000667975	0.004429949460236661	0.006830922920103906	0.009320385923360647	0.008730147100233064	0.02090393017202947	0.016536401896129593	0.01688739073973025	0.00766418750962879	0.007548366907072847	0.014376183467710128	0.011199581858587673	0.007228579054442558
AGL	0.000949932916428416	0.0201727835842975	0.0040241644045000274	0.0044057914252947665	0.002094725209442931	0.005757757138682498	0.007286332702635203	0.00616202685504502	0.008650739802436759	0.03006986246255088	0.013056581288563233	0.005556467427160645	0.006264039484008691	0.0043528337784638745	0.0069382373161298435	0.005376152334807166	0.020673909301421448	0.007259524354795739	0.006240021255381631	0.004784829576030238	0.004459109908831584	0.016742909609333376	0.00752880077980864	0.004134083757876018	0.02298114132229726	0.0005249947839331955	0.0051983419489004395	0.01018378103022061	0.006325131808513498	0.006971736930107921	0.003047403609686714	0.007085318532471734	0.0003362949774380689	0.005087910546900441	0.01120938797099827	0.008007690379650906	0.009072816258013327	0.005608772922361769	0.006639293505777704	0.008668150524927183	0.0051636601930691115	0.009903253235536848	0.0037054002754244816	0.00592272843535943	0.002532168277751128	0.00216466281829743	0.00950224648548379	0.0045876938035931784	0.010665936973253482	0.00834430002308585	0.00292591761149065	0.006646239852450771	0.005054733390038056	0.027776547981881033	4.4234285087660066e-05	0.012346745339314137	0.00658485229298207	0.009411616898168967	0.0008646051571681897	0.009507836100091796	0.0025669768174579784	0.002021204811349986	0.005046414201923129	0.0050316085775736485	0.0018269883482575921	1.3649906539308497e-07	0.006693465846195176	0.003574157244398971	0.006368946897909066	0.007508498494157382	0.006914103542666285	0.008120689350524984	0.0017623206087839889	0.005732592809742521	0.006466748217921621	0.0033513713290990845	0.005137140695657618	0.007204971027462881	0.004729526369881872	0.011582182081924214	0.005183915281010255	0.007296301467846594	0.002743596731180918	0.0022845320591455267	0.006013472651899282	0.01991234983217952	0.05773365973481791	0.016471646368865642	0.0019524313825499953	0.0061228630317200685	0.0020879367649910547	0.005021009873332365	0.005906447864416041	0.0059001311080106675	0.006980467723071264	0.026800558857313757	0.00022233652289954748	0.0001071598268129547	0.0017666733658267147	0.0073170065378825875	0.00010684603797425574	0.0016418535915357652	0.005303990027419612	0.006645887921349953	0.007310440641237428	0.007029962532835733	0.004962118030571299	0.002129150912977201	0.008118074792156302	0.02123372613778526	0.0006971722674930276	0.00404644248117212	0.005863047800021894	0.0070281891410584755	0.005729844574979292	0.009190500112915376	0.03370486799892191	0.008236440813176545	0.005304067435184394	0.0059529939011126	0.08081492585130455	0.00965356223294184	0.006286190850495759
